,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_11,CountryEN,cihr_co-applicant_4,CountryEN,1.0,textual,True
1,cihr_co-applicant_6,Country,cihr_co-applicant_8,Country,0.9999999403953552,textual,True
2,cihr_co-applicant_6,Funding Category,cihr_co-applicant_7,FundingTypeEN,0.9999999403953552,textual,True
3,cihr_co-applicant_10,Funding Category,cihr_co-applicant_3,Funding Type,0.9982131123542786,textual,True
4,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,0.9977660179138184,textual,True
5,cihr_co-applicant_11,CountryEN,cihr_co-applicant_9,Country,0.9977660179138184,textual,True
6,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.9977660179138184,textual,True
7,cihr_co-applicant_4,CountryEN,cihr_co-applicant_9,Country,0.9977660179138184,textual,True
8,cihr_co-applicant_10,Funding Category,cihr_co-applicant_5,FundingTypeEN,0.9973642826080322,textual,True
9,cihr_co-applicant_10,Country,cihr_co-applicant_3,Country,0.9961272478103638,textual,True
10,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_4,FundingTypeEN,0.9955773949623108,textual,True
11,cihr_co-applicant_3,Funding Type,cihr_co-applicant_5,FundingTypeEN,0.9955773949623108,textual,True
12,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_9,Grant Type,0.9955773949623108,textual,True
13,cihr_co-applicant_10,Country,cihr_co-applicant_6,Country,0.995531976222992,textual,True
14,cihr_co-applicant_10,Country,cihr_co-applicant_7,Institution Country,0.995531976222992,textual,True
15,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,0.995531976222992,textual,True
16,cihr_co-applicant_5,CountryEN,cihr_co-applicant_9,Country,0.995531976222992,textual,True
17,cihr_co-applicant_6,Country,cihr_co-applicant_9,Country,0.995531976222992,textual,True
18,cihr_co-applicant_8,Country,cihr_co-applicant_9,Country,0.995531976222992,textual,True
19,cihr_co-applicant_3,Country,cihr_co-applicant_7,Institution Country,0.994512140750885,textual,True
20,cihr_co-applicant_3,Country,cihr_co-applicant_6,Country,0.9936908483505248,textual,True
21,cihr_co-applicant_3,Country,cihr_co-applicant_8,Country,0.9936908483505248,textual,True
22,cihr_co-applicant_11,CountryEN,cihr_co-applicant_6,Country,0.9932979941368104,textual,True
23,cihr_co-applicant_11,CountryEN,cihr_co-applicant_8,Country,0.9932979941368104,textual,True
24,cihr_co-applicant_4,CountryEN,cihr_co-applicant_6,Country,0.9932979941368104,textual,True
25,cihr_co-applicant_4,CountryEN,cihr_co-applicant_8,Country,0.9932979941368104,textual,True
26,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_9,Province,0.9922966361045836,textual,True
27,cihr_co-applicant_0,Country,cihr_co-applicant_5,CountryEN,0.9921649694442748,textual,True
28,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_9,Grant Type,0.9911547899246216,textual,True
29,cihr_co-applicant_3,Funding Type,cihr_co-applicant_9,Grant Type,0.9911547899246216,textual,True
30,cihr_co-applicant_10,Country,cihr_co-applicant_9,Country,0.991063952445984,textual,True
31,cihr_co-applicant_5,CountryEN,cihr_co-applicant_6,Country,0.991063952445984,textual,True
32,cihr_co-applicant_5,CountryEN,cihr_co-applicant_8,Country,0.991063952445984,textual,True
33,cihr_co-applicant_6,Country,cihr_co-applicant_7,Institution Country,0.991063952445984,textual,True
34,cihr_co-applicant_7,Institution Country,cihr_co-applicant_8,Country,0.991063952445984,textual,True
35,cihr_co-applicant_0,Country,cihr_co-applicant_11,CountryEN,0.9910167455673218,textual,True
36,cihr_co-applicant_0,Country,cihr_co-applicant_4,CountryEN,0.9910167455673218,textual,True
37,cihr_co-applicant_3,Country,cihr_co-applicant_9,Country,0.989775538444519,textual,True
38,cihr_co-applicant_0,Country,cihr_co-applicant_9,Country,0.989512264728546,textual,True
39,cihr_co-applicant_10,Organization Code,cihr_co-applicant_3,Organization ID,0.9894938468933104,textual,True
40,cihr_co-applicant_10,Funding Category,cihr_co-applicant_9,Grant Type,0.9893679022789,textual,True
41,cihr_co-applicant_10,Country,cihr_co-applicant_11,CountryEN,0.9888299703598022,textual,True
42,cihr_co-applicant_10,Country,cihr_co-applicant_4,CountryEN,0.9888299703598022,textual,True
43,cihr_co-applicant_11,CountryEN,cihr_co-applicant_3,Country,0.9876760840415956,textual,True
44,cihr_co-applicant_3,Country,cihr_co-applicant_4,CountryEN,0.9876760840415956,textual,True
45,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_6,Area,0.9875178933143616,textual,True
46,cihr_co-applicant_5,AppOrgID,cihr_co-applicant_8,Org Code,0.9872422218322754,textual,True
47,cihr_co-applicant_5,AppOrgID,cihr_co-applicant_6,Org ID,0.9871883392333984,textual,True
48,cihr_co-applicant_5,AppOrgID,cihr_co-applicant_9,Org Code,0.9871567487716676,textual,True
49,cihr_co-applicant_10,Province,cihr_co-applicant_3,Province,0.9871358275413512,textual,True
50,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_6,Funding Category,0.9867321848869324,textual,True
51,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9867321848869324,textual,True
52,cihr_co-applicant_3,Funding Type,cihr_co-applicant_4,FundingTypeEN,0.9867321848869324,textual,True
53,cihr_co-applicant_5,FundingTypeEN,cihr_co-applicant_9,Grant Type,0.9867321848869324,textual,True
54,cihr_co-applicant_6,Funding Category,cihr_co-applicant_8,Grant Type,0.9867321848869324,textual,True
