,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_11,CountryEN,cihr_co-applicant_4,CountryEN,1.0000001192092896,textual,True
1,cihr_co-applicant_6,Country,cihr_co-applicant_8,Country,1.0000001192092896,textual,True
2,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,0.9995533227920532,textual,True
3,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.9995533227920532,textual,True
4,cihr_co-applicant_10,Country,cihr_co-applicant_3,Country,0.999225616455078,textual,True
5,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_4,FundingTypeEN,0.9991154670715332,textual,True
6,cihr_co-applicant_10,Country,cihr_co-applicant_6,Country,0.9991065263748168,textual,True
7,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,0.9991065263748168,textual,True
8,cihr_co-applicant_6,Country,cihr_co-applicant_9,Country,0.9991065263748168,textual,True
9,cihr_co-applicant_8,Country,cihr_co-applicant_9,Country,0.9991065263748168,textual,True
10,cihr_co-applicant_3,Country,cihr_co-applicant_6,Country,0.9987382888793944,textual,True
11,cihr_co-applicant_3,Country,cihr_co-applicant_8,Country,0.9987382888793944,textual,True
12,cihr_co-applicant_10,Country,cihr_co-applicant_9,Country,0.9982129335403442,textual,True
13,cihr_co-applicant_3,Country,cihr_co-applicant_9,Country,0.9979552626609802,textual,True
14,cihr_co-applicant_0,Country,cihr_co-applicant_9,Country,0.9979025721549988,textual,True
15,cihr_co-applicant_10,Province,cihr_co-applicant_3,Province,0.9974271655082704,textual,True
16,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9973464608192444,textual,True
17,cihr_co-applicant_8,Province,cihr_co-applicant_9,Province,0.9972392916679382,textual,True
18,cihr_co-applicant_0,Country,cihr_co-applicant_6,Country,0.9971821904182434,textual,True
19,cihr_co-applicant_0,Country,cihr_co-applicant_8,Country,0.9971821904182434,textual,True
20,cihr_co-applicant_4,AppNm,cihr_co-applicant_5,AppNm,0.9971694350242616,textual,True
21,cihr_co-applicant_6,App Name,cihr_co-applicant_8,App Name,0.9971171617507936,textual,True
22,cihr_co-applicant_3,Province,cihr_co-applicant_9,Province,0.9969319105148317,textual,True
23,cihr_co-applicant_6,App Name,cihr_co-applicant_9,App Name,0.996869683265686,textual,True
24,cihr_co-applicant_8,Org Code,cihr_co-applicant_9,Org Code,0.9966915845870972,textual,True
25,cihr_co-applicant_2,AppNm,cihr_co-applicant_5,AppNm,0.9965324401855468,textual,True
26,cihr_co-applicant_10,Province,cihr_co-applicant_9,Province,0.9965202808380128,textual,True
27,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.9964619278907776,textual,True
28,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9964619278907776,textual,True
29,cihr_co-applicant_4,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.9964537620544434,textual,True
30,cihr_co-applicant_0,Country,cihr_co-applicant_10,Country,0.9963836073875428,textual,True
31,cihr_co-applicant_8,App Name,cihr_co-applicant_9,App Name,0.9963781833648682,textual,True
32,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_4,ProvinceEN,0.9963605403900146,textual,True
33,cihr_co-applicant_0,Country,cihr_co-applicant_3,Country,0.9963587522506714,textual,True
34,cihr_co-applicant_4,AppOrgID,cihr_co-applicant_5,AppOrgID,0.9963401556015016,textual,True
35,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_5,AppOrgID,0.996205747127533,textual,True
36,cihr_co-applicant_3,Province,cihr_co-applicant_8,Province,0.9961770176887512,textual,True
37,cihr_co-applicant_2,AppNm,cihr_co-applicant_4,AppNm,0.9961631298065186,textual,True
38,cihr_co-applicant_0,Province,cihr_co-applicant_3,Province,0.996144711971283,textual,True
39,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.996097445487976,textual,True
40,cihr_co-applicant_0,Province,cihr_co-applicant_9,Province,0.9959768056869508,textual,True
41,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_4,AppOrgNm,0.9959225654602052,textual,True
42,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.9959075450897216,textual,True
43,cihr_co-applicant_11,AppNm,cihr_co-applicant_4,AppNm,0.9958838820457458,textual,True
44,cihr_co-applicant_11,AppNm,cihr_co-applicant_2,AppNm,0.9958568215370178,textual,True
45,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9958462715148926,textual,True
46,cihr_co-applicant_11,TitreApplicationTitle,cihr_co-applicant_5,TitreApplicationTitle,0.99580979347229,textual,True
47,cihr_co-applicant_10,Province,cihr_co-applicant_6,Province,0.9957796931266784,textual,True
48,cihr_co-applicant_0,Organization Code,cihr_co-applicant_10,Organization Code,0.9957101345062256,textual,True
49,cihr_co-applicant_6,Program Name,cihr_co-applicant_8,Program Name,0.995690107345581,textual,True
50,cihr_co-applicant_11,AppNm,cihr_co-applicant_5,AppNm,0.995674967765808,textual,True
51,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.9955773949623108,textual,True
52,cihr_co-applicant_10,Province,cihr_co-applicant_8,Province,0.995443880558014,textual,True
53,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.9951317310333252,textual,True
54,cihr_co-applicant_0,Province,cihr_co-applicant_10,Province,0.995117962360382,textual,True
55,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_4,AppOrgID,0.9950219988822936,textual,True
56,cihr_co-applicant_8,Title of Study,cihr_co-applicant_9,Title of Study,0.995010495185852,textual,True
57,cihr_co-applicant_10,Title of Study,cihr_co-applicant_9,Title of Study,0.9949914813041688,textual,True
58,cihr_co-applicant_3,Province,cihr_co-applicant_6,Province,0.9947739243507384,textual,True
59,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_5,AreasOfScienceEN,0.9947545528411864,textual,True
60,cihr_co-applicant_8,Org Name,cihr_co-applicant_9,Org Name,0.9947539567947388,textual,True
61,cihr_co-applicant_6,Province,cihr_co-applicant_9,Province,0.9947407841682434,textual,True
62,cihr_co-applicant_0,Province,cihr_co-applicant_8,Province,0.9947302937507628,textual,True
63,cihr_co-applicant_6,Province,cihr_co-applicant_8,Province,0.9944561719894408,textual,True
64,cihr_co-applicant_8,Code,cihr_co-applicant_9,Code,0.9944207072257996,textual,True
65,cihr_co-applicant_6,Program ID,cihr_co-applicant_8,Program ID,0.9943477511405944,textual,True
66,cihr_co-applicant_10,Title of Study,cihr_co-applicant_8,Title of Study,0.994238257408142,textual,True
67,cihr_co-applicant_4,ProgramNameEN,cihr_co-applicant_5,ProgramNameEN,0.9938173890113832,textual,True
68,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.9935134649276732,textual,True
69,cihr_co-applicant_10,Funding Category,cihr_co-applicant_6,Funding Category,0.9934511184692384,textual,True
