,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_2,price,ulta_1,price,0.9996676445007324,mixed,True
1,sephora_2,_id,ulta_1,_id,0.9995394945144652,numerical,True
2,sephora_2,product name,ulta_1,product name,0.9994381666183472,textual,True
3,amazon_1,Price,sephora_1,Price,0.9980299472808838,mixed,True
4,sephora_2,brand,ulta_1,brand,0.9977855682373048,textual,True
5,amazon_1,Description,sephora_1,Description,0.9950220584869384,textual,True
6,amazon_1,Color,sephora_1,Color,0.949420928955078,textual,True
7,sephora_2,rating,ulta_1,rating,0.9171565771102904,textual,True
8,sephora_2,number of colors,ulta_1,number of colors/scent,0.8821865320205688,numerical,True
9,sephora_1,Price,sephora_2,price,0.7718408107757568,mixed,True
10,sephora_1,Price,ulta_1,price,0.7714948654174805,mixed,True
11,amazon_1,Price,sephora_2,price,0.7698191404342651,mixed,True
12,amazon_1,Price,ulta_1,price,0.769645631313324,mixed,True
13,sephora_1,Product_id,ulta_1,_id,0.7301921844482422,numerical,True
14,sephora_1,Product_id,sephora_2,_id,0.7292447686195374,numerical,True
15,sephora_1,Color,ulta_1,brand,0.6773852109909058,textual,False
16,sephora_1,Color,sephora_2,brand,0.6734663248062134,textual,False
17,amazon_1,Color,ulta_1,number of colors/scent,0.6192411780357361,textual,False
18,sephora_1,Description,sephora_2,product name,0.619085967540741,textual,True
19,sephora_1,Description,ulta_1,product name,0.6183221340179443,textual,True
20,amazon_1,Description,ulta_1,product name,0.6182733774185181,textual,True
21,amazon_1,Description,sephora_2,product name,0.6181198358535767,textual,True
22,amazon_1,Color,sephora_2,number of colors,0.6122622489929199,textual,False
23,amazon_1,Color,ulta_1,brand,0.6044981479644775,textual,False
24,amazon_1,Color,sephora_2,brand,0.6022493243217468,textual,False
25,amazon_1,ID,ulta_1,_id,0.6010931730270386,textual,True
26,amazon_1,ID,sephora_2,_id,0.5984007120132446,textual,True
27,amazon_1,ID,sephora_1,Product_id,0.5517159700393677,textual,True
28,sephora_1,Color,ulta_1,number of colors/scent,0.476250559091568,textual,False
29,sephora_1,Color,sephora_2,number of colors,0.4693026542663574,textual,False
30,amazon_1,Color,sephora_2,rating,0.4343420267105102,textual,False
31,sephora_1,Color,sephora_2,rating,0.3933892250061035,textual,False
32,amazon_1,Description,sephora_1,Color,0.3776873648166656,textual,False
33,sephora_2,rating,ulta_1,brand,0.3636507093906402,textual,False
34,sephora_2,rating,ulta_1,number of colors/scent,0.3540952801704407,textual,False
35,sephora_1,Description,ulta_1,brand,0.3385529518127441,textual,False
36,sephora_1,Color,ulta_1,rating,0.335996925830841,textual,False
