,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_2,price,ulta_1,price,0.9998338222503662,mixed,True
1,sephora_2,_id,ulta_1,_id,0.9997698664665222,numerical,True
2,sephora_2,product name,ulta_1,product name,0.9997190833091736,textual,True
3,amazon_1,Price,sephora_1,Price,0.999014973640442,mixed,True
4,sephora_2,brand,ulta_1,brand,0.9988927245140076,textual,True
5,amazon_1,Description,sephora_1,Description,0.9975111484527588,textual,True
6,amazon_1,Color,sephora_1,Color,0.9747104048728944,textual,True
7,sephora_2,number of colors,ulta_1,number of colors/scent,0.973615288734436,numerical,True
8,sephora_2,rating,ulta_1,rating,0.9585784077644348,textual,True
9,sephora_1,Price,sephora_2,price,0.9012908339500428,mixed,True
10,sephora_1,Price,ulta_1,price,0.9011178612709044,mixed,True
11,amazon_1,Price,sephora_2,price,0.9002799987792969,mixed,True
12,amazon_1,Price,ulta_1,price,0.9001932144165039,mixed,True
13,sephora_1,Product_id,ulta_1,_id,0.8635510802268982,numerical,True
14,sephora_1,Product_id,sephora_2,_id,0.8630774021148682,numerical,True
15,sephora_1,Color,ulta_1,brand,0.8184450268745422,textual,False
16,sephora_1,Color,sephora_2,brand,0.8164856433868408,textual,False
17,amazon_1,Color,ulta_1,number of colors/scent,0.8065770268440247,textual,False
18,amazon_1,Color,sephora_2,number of colors,0.7969527244567871,textual,False
19,amazon_1,Color,ulta_1,brand,0.7820014953613281,textual,False
20,amazon_1,Color,sephora_2,brand,0.7808771133422852,textual,False
21,amazon_1,ID,ulta_1,_id,0.7461327314376831,textual,True
22,amazon_1,ID,sephora_2,_id,0.7447865009307861,textual,True
23,sephora_1,Color,ulta_1,number of colors/scent,0.7350817322731018,textual,False
24,sephora_1,Description,sephora_2,product name,0.7303435802459717,textual,True
25,sephora_1,Description,ulta_1,product name,0.729961633682251,textual,True
26,amazon_1,Description,ulta_1,product name,0.7299373149871826,textual,True
27,amazon_1,Description,sephora_2,product name,0.7298605442047119,textual,True
28,sephora_1,Color,sephora_2,number of colors,0.7254729866981506,textual,False
29,amazon_1,Description,sephora_1,Color,0.6756722331047058,textual,False
30,amazon_1,ID,sephora_1,Product_id,0.6708702445030212,textual,True
31,sephora_1,Product_id,sephora_2,product name,0.6626899242401123,textual,False
32,sephora_1,Product_id,ulta_1,product name,0.6618664860725403,textual,False
33,amazon_1,Color,sephora_2,rating,0.6563337445259094,textual,False
34,sephora_1,Description,ulta_1,brand,0.6473292708396912,textual,False
35,amazon_1,Description,ulta_1,brand,0.6444671154022217,textual,False
36,sephora_2,rating,ulta_1,brand,0.6436704397201538,textual,False
37,sephora_1,Description,sephora_2,brand,0.6374015808105469,textual,False
38,amazon_1,Color,sephora_1,Description,0.635913074016571,textual,False
39,sephora_1,Color,sephora_2,rating,0.635857343673706,textual,False
40,amazon_1,Description,sephora_2,brand,0.6345873475074768,textual,False
41,sephora_2,brand,ulta_1,_id,0.6317013502120972,textual,False
42,sephora_2,_id,ulta_1,brand,0.6312471628189087,textual,False
43,sephora_2,brand,ulta_1,rating,0.6291532516479492,textual,False
44,sephora_1,Color,ulta_1,rating,0.6071611642837524,textual,False
45,sephora_1,Product_id,sephora_2,brand,0.6010695695877075,textual,False
46,sephora_1,Product_id,ulta_1,brand,0.599452018737793,textual,False
47,amazon_1,Description,ulta_1,rating,0.597261905670166,textual,False
48,sephora_1,Description,ulta_1,rating,0.5961821675300598,textual,False
49,amazon_1,Description,ulta_1,_id,0.5958665013313293,textual,False
50,amazon_1,Description,sephora_2,_id,0.5948818325996399,textual,False
51,sephora_1,Description,ulta_1,_id,0.5934016108512878,textual,False
52,amazon_1,Color,ulta_1,rating,0.5932040810585022,textual,False
53,sephora_1,Description,sephora_2,_id,0.592449963092804,textual,False
54,sephora_1,Color,sephora_2,_id,0.5896892547607422,textual,False
55,sephora_1,Color,ulta_1,_id,0.5869935154914856,textual,False
56,amazon_1,Description,sephora_2,rating,0.5850161910057068,textual,False
57,sephora_1,Description,sephora_2,rating,0.5836369395256042,textual,False
58,amazon_1,Color,sephora_2,_id,0.5813919305801392,textual,False
59,amazon_1,Color,ulta_1,_id,0.576384425163269,textual,False
60,amazon_1,Description,sephora_1,Product_id,0.5753738880157471,textual,False
61,sephora_2,_id,ulta_1,rating,0.5542606711387634,numerical,False
62,sephora_2,rating,ulta_1,_id,0.5391457080841064,textual,False
63,sephora_2,product name,ulta_1,brand,0.5225716829299927,textual,False
64,sephora_1,Product_id,ulta_1,rating,0.5213251113891602,numerical,False
65,sephora_2,rating,ulta_1,number of colors/scent,0.5205515623092651,textual,False
66,sephora_2,brand,ulta_1,number of colors/scent,0.519237220287323,textual,False
67,sephora_2,brand,ulta_1,product name,0.5124059319496155,textual,False
68,amazon_1,Color,sephora_1,Product_id,0.5120735168457031,textual,False
69,sephora_1,Color,ulta_1,product name,0.5109902620315552,textual,False
70,sephora_1,Color,sephora_2,product name,0.5105465650558472,textual,False
71,sephora_2,number of colors,ulta_1,brand,0.5010928511619568,textual,False
72,sephora_1,Product_id,sephora_2,rating,0.4991824328899383,textual,False
73,amazon_1,ID,sephora_1,Description,0.4917169511318207,textual,False
74,amazon_1,ID,sephora_1,Color,0.490825742483139,textual,False
75,sephora_1,Price,ulta_1,product name,0.485497772693634,textual,False
76,sephora_1,Price,sephora_2,product name,0.485273152589798,textual,False
77,amazon_1,Price,ulta_1,product name,0.4839913845062256,textual,False
78,amazon_1,Price,sephora_2,product name,0.4838016629219055,textual,False
79,amazon_1,ID,ulta_1,rating,0.483332872390747,textual,False
80,amazon_1,Description,ulta_1,number of colors/scent,0.4819976687431335,textual,False
81,sephora_1,Description,ulta_1,number of colors/scent,0.4805820286273956,textual,False
82,amazon_1,ID,sephora_2,brand,0.4751951396465301,textual,False
83,amazon_1,ID,ulta_1,brand,0.4739120304584503,textual,False
84,amazon_1,Color,ulta_1,product name,0.472374677658081,textual,False
85,amazon_1,Color,sephora_2,product name,0.4715875089168548,textual,False
86,sephora_2,product name,ulta_1,number of colors/scent,0.4654276967048645,textual,False
87,sephora_2,product name,ulta_1,_id,0.4648662805557251,textual,False
88,sephora_2,_id,ulta_1,product name,0.4635947048664093,textual,False
89,amazon_1,Price,sephora_1,Product_id,0.4578768014907837,textual,False
90,amazon_1,ID,sephora_2,rating,0.4501011371612549,mixed,False
91,amazon_1,Description,sephora_2,number of colors,0.4487532079219818,textual,False
92,sephora_1,Description,sephora_2,number of colors,0.4474938511848449,textual,False
93,sephora_1,Product_id,ulta_1,number of colors/scent,0.4454817175865173,numerical,False
94,sephora_2,_id,ulta_1,number of colors/scent,0.4380166232585907,numerical,False
95,sephora_2,number of colors,ulta_1,product name,0.4063999652862549,textual,False
96,sephora_2,number of colors,ulta_1,_id,0.4036449491977691,numerical,False
97,amazon_1,ID,sephora_2,product name,0.400468498468399,textual,False
98,sephora_2,number of colors,ulta_1,rating,0.3999834060668945,numerical,False
99,amazon_1,ID,ulta_1,product name,0.399297147989273,textual,False
100,sephora_1,Product_id,sephora_2,number of colors,0.3984540700912475,numerical,False
101,sephora_2,product name,ulta_1,rating,0.3975622653961181,textual,False
102,sephora_2,rating,ulta_1,product name,0.3907178044319153,textual,False
103,amazon_1,Description,sephora_1,Price,0.3770563900470733,textual,False
104,amazon_1,Price,sephora_1,Description,0.3678700625896454,textual,False
105,amazon_1,Price,ulta_1,_id,0.3588905334472656,textual,False
106,amazon_1,Price,sephora_2,_id,0.3587600588798523,textual,False
107,sephora_1,Price,ulta_1,_id,0.3510667085647583,textual,False
108,sephora_1,Price,sephora_2,_id,0.3509770035743713,textual,False
109,amazon_1,ID,sephora_1,Price,0.3371920585632324,mixed,False
110,amazon_1,ID,ulta_1,number of colors/scent,0.3294797539710998,textual,False
111,sephora_1,Price,ulta_1,brand,0.324708878993988,textual,False
112,amazon_1,Price,ulta_1,brand,0.3234916627407074,textual,False
113,sephora_1,Price,sephora_2,brand,0.3227730691432953,textual,False
114,amazon_1,Price,sephora_2,brand,0.321643054485321,textual,False
115,amazon_1,ID,sephora_2,number of colors,0.3211651146411896,textual,False
116,sephora_2,product name,ulta_1,price,0.3187409341335296,textual,False
117,sephora_2,price,ulta_1,product name,0.3176747858524322,textual,False
118,sephora_1,Price,ulta_1,number of colors/scent,0.2968569695949554,textual,False
119,amazon_1,Price,ulta_1,number of colors/scent,0.29399573802948,textual,False
120,amazon_1,Price,ulta_1,rating,0.2919931411743164,textual,False
121,sephora_1,Price,ulta_1,rating,0.2915942370891571,textual,False
122,amazon_1,Price,sephora_1,Color,0.286239743232727,textual,False
123,sephora_1,Price,sephora_2,rating,0.2701303660869598,mixed,False
124,amazon_1,Color,sephora_1,Price,0.2697880268096924,textual,False
125,amazon_1,Price,sephora_2,rating,0.268829882144928,mixed,False
126,sephora_1,Price,sephora_2,number of colors,0.2585550844669342,textual,False
127,amazon_1,Price,sephora_2,number of colors,0.2557565867900848,textual,False
128,sephora_1,Product_id,sephora_2,price,0.2541848421096802,textual,False
129,sephora_1,Product_id,ulta_1,price,0.2530349195003509,textual,False
130,amazon_1,ID,sephora_2,price,0.2224831581115722,mixed,False
131,amazon_1,ID,ulta_1,price,0.2213827818632125,mixed,False
132,amazon_1,Description,ulta_1,price,0.1872928440570831,textual,False
133,amazon_1,Description,sephora_2,price,0.186105415225029,textual,False
134,sephora_2,price,ulta_1,_id,0.1791439056396484,textual,False
135,sephora_1,Description,ulta_1,price,0.1790542900562286,textual,False
136,sephora_1,Description,sephora_2,price,0.1779638230800628,textual,False
137,sephora_2,_id,ulta_1,price,0.1778551936149597,textual,False
138,sephora_2,price,ulta_1,number of colors/scent,0.1672335714101791,textual,False
139,sephora_2,price,ulta_1,brand,0.1531689167022705,textual,False
140,sephora_2,brand,ulta_1,price,0.1509784907102584,textual,False
141,sephora_2,number of colors,ulta_1,price,0.147102952003479,textual,False
142,sephora_1,Color,ulta_1,price,0.1268064379692077,textual,False
143,sephora_1,Color,sephora_2,price,0.1262956708669662,textual,False
144,sephora_2,price,ulta_1,rating,0.1255558431148529,textual,False
145,amazon_1,Color,ulta_1,price,0.1092304214835167,textual,False
146,amazon_1,Color,sephora_2,price,0.1087370589375495,textual,False
147,sephora_2,rating,ulta_1,price,0.1053177043795585,mixed,False
