,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_2,price,ulta_1,price,0.9563316800897456,mixed,True
1,sephora_1,Price,sephora_2,price,0.9367962915486132,mixed,True
2,amazon_1,Price,sephora_1,Price,0.926962245780068,mixed,True
3,sephora_1,Price,ulta_1,price,0.9146050183161296,mixed,True
4,sephora_2,number of colors,ulta_1,number of colors/scent,0.8955931733662925,numerical,True
5,amazon_1,Price,sephora_2,price,0.8868799076222764,mixed,True
6,amazon_1,Price,ulta_1,price,0.8813750601838309,mixed,True
7,sephora_2,_id,ulta_1,_id,0.8783919223593994,numerical,True
8,sephora_2,product name,ulta_1,product name,0.8534383486874623,textual,True
9,amazon_1,Description,sephora_1,Description,0.8333524345095987,textual,True
10,sephora_1,Product_id,ulta_1,_id,0.8175460547376959,numerical,True
11,sephora_1,Product_id,sephora_2,_id,0.7985981325018626,numerical,True
12,sephora_1,Description,sephora_2,product name,0.7626544265075246,textual,True
13,sephora_1,Description,ulta_1,product name,0.7601797230989237,textual,True
14,amazon_1,Description,ulta_1,product name,0.7581788600471143,textual,True
15,amazon_1,Description,sephora_2,product name,0.7543421164775385,textual,True
16,sephora_2,brand,ulta_1,brand,0.7542279115275763,textual,True
17,amazon_1,ID,sephora_1,Product_id,0.6375271294149386,textual,True
18,sephora_2,rating,ulta_1,rating,0.614704469682497,textual,True
19,amazon_1,ID,ulta_1,_id,0.6144922144129683,textual,True
20,amazon_1,ID,sephora_2,_id,0.5966105021839992,textual,True
21,amazon_1,Color,sephora_1,Color,0.5619715120145578,textual,True
22,ulta_1,brand,sephora_1,Color,0.5473349062092765,textual,False
23,sephora_1,Color,sephora_2,brand,0.5383822161965869,textual,False
24,sephora_2,number of colors,amazon_1,Color,0.4965954893466388,textual,False
25,amazon_1,Color,ulta_1,number of colors/scent,0.4736483646299224,textual,False
26,amazon_1,Color,sephora_2,brand,0.4494393293267313,textual,False
27,amazon_1,Color,ulta_1,brand,0.4458432429560372,textual,False
28,sephora_2,rating,ulta_1,number of colors/scent,0.3419958310747661,textual,False
29,amazon_1,Color,sephora_2,rating,0.3219907962037701,textual,False
30,sephora_2,number of colors,sephora_1,Color,0.2881586042777811,textual,False
31,ulta_1,number of colors/scent,sephora_1,Color,0.2792944412620642,textual,False
32,sephora_1,Color,sephora_2,rating,0.2584777801075923,textual,False
33,amazon_1,Description,sephora_1,Price,0.2341898060022374,textual,False
34,amazon_1,Description,ulta_1,price,0.2244928015942131,textual,False
35,amazon_1,Description,sephora_2,price,0.2213700365496876,textual,False
36,sephora_1,Price,ulta_1,product name,0.2188257802022681,textual,False
37,sephora_1,Price,sephora_2,product name,0.217740314159289,textual,False
38,sephora_1,Color,sephora_2,_id,0.2168293136815372,textual,False
39,amazon_1,Price,ulta_1,product name,0.216079139349237,textual,False
40,sephora_1,Color,ulta_1,product name,0.2151864219582539,textual,False
41,amazon_1,Price,sephora_2,product name,0.2151687596364293,textual,False
42,sephora_1,Color,sephora_2,product name,0.2150775639355822,textual,False
43,amazon_1,Price,sephora_1,Description,0.2132401383625356,textual,False
44,amazon_1,Description,sephora_1,Color,0.2101555204369246,textual,False
45,sephora_2,product name,ulta_1,price,0.2078950140677637,textual,False
46,sephora_2,price,ulta_1,product name,0.2057182688388278,textual,False
47,sephora_1,Description,ulta_1,price,0.2051190493342192,textual,False
48,sephora_1,Color,ulta_1,rating,0.2036650321311005,textual,False
49,sephora_1,Description,sephora_2,price,0.2023922700530298,textual,False
50,sephora_2,rating,ulta_1,brand,0.2017974058194875,textual,False
51,ulta_1,_id,sephora_1,Color,0.1957141790792112,textual,False
52,sephora_2,brand,ulta_1,rating,0.1862384594347356,textual,False
53,sephora_2,product name,ulta_1,brand,0.1846678893829927,textual,False
54,sephora_2,brand,ulta_1,_id,0.1842576278765432,textual,False
55,sephora_2,_id,amazon_1,Color,0.1840678931431648,textual,False
56,sephora_2,number of colors,ulta_1,brand,0.182392010488436,textual,False
57,sephora_1,Description,ulta_1,brand,0.1819732127090529,textual,False
58,sephora_2,_id,ulta_1,brand,0.1806953477004297,textual,False
59,sephora_2,brand,ulta_1,number of colors/scent,0.1796252000190259,textual,False
60,amazon_1,Description,ulta_1,brand,0.1766938408237653,textual,False
61,amazon_1,Color,ulta_1,rating,0.1749233307579454,textual,False
62,amazon_1,ID,sephora_1,Price,0.1728478522053296,mixed,False
63,sephora_1,Product_id,sephora_2,brand,0.1706035443656963,textual,False
64,amazon_1,Price,sephora_1,Product_id,0.1680817552388052,textual,False
65,amazon_1,Color,ulta_1,_id,0.1673662489387338,textual,False
66,sephora_1,Product_id,ulta_1,brand,0.1666228563033314,textual,False
67,amazon_1,ID,sephora_2,brand,0.1644115664559798,textual,False
68,sephora_2,_id,ulta_1,rating,0.1636686603265213,numerical,False
69,amazon_1,ID,sephora_2,price,0.163553654604076,mixed,False
70,amazon_1,ID,ulta_1,price,0.1610371865313412,mixed,False
71,sephora_2,brand,ulta_1,product name,0.1609227228076113,textual,False
72,sephora_1,Product_id,ulta_1,rating,0.1604548830323809,numerical,False
73,amazon_1,ID,ulta_1,brand,0.1602017436745647,textual,False
74,sephora_1,Description,sephora_2,brand,0.1591180106419731,textual,False
75,amazon_1,ID,sephora_1,Color,0.156064827320854,textual,False
76,amazon_1,ID,ulta_1,rating,0.1551173853532742,textual,False
77,amazon_1,Price,ulta_1,_id,0.1534659179467224,textual,False
78,amazon_1,Description,sephora_2,brand,0.1533448676239692,textual,False
79,amazon_1,Price,sephora_2,_id,0.1523093101063458,textual,False
80,sephora_2,rating,ulta_1,_id,0.150766943119472,textual,False
81,amazon_1,Color,ulta_1,product name,0.1433823414855931,textual,False
82,amazon_1,Color,sephora_2,product name,0.1431121687452814,textual,False
83,amazon_1,Color,sephora_1,Description,0.1392479788604571,textual,False
84,sephora_1,Price,ulta_1,_id,0.136571678779103,textual,False
85,sephora_1,Price,sephora_2,_id,0.1353869740809992,textual,False
86,sephora_2,_id,ulta_1,number of colors/scent,0.1333206832321798,numerical,False
87,sephora_1,Product_id,sephora_2,price,0.1331171909944057,textual,False
88,sephora_1,Product_id,amazon_1,Color,0.1330761770870957,textual,False
89,sephora_1,Product_id,ulta_1,price,0.1310344941143642,textual,False
90,amazon_1,ID,sephora_1,Description,0.1248742338745218,textual,False
91,sephora_2,number of colors,ulta_1,rating,0.1240638018089714,numerical,False
92,sephora_2,price,ulta_1,_id,0.1222293505326876,textual,False
93,sephora_1,Product_id,sephora_2,rating,0.1218228801270396,textual,False
94,sephora_2,_id,ulta_1,price,0.1192052013065392,textual,False
95,amazon_1,Description,ulta_1,rating,0.1168670955985872,textual,False
96,sephora_2,number of colors,ulta_1,_id,0.115075056772914,numerical,False
97,sephora_1,Description,ulta_1,rating,0.1146790009000274,textual,False
98,sephora_1,Price,ulta_1,brand,0.1128020821643362,textual,False
99,amazon_1,Price,ulta_1,brand,0.111598553955637,textual,False
100,amazon_1,Price,sephora_1,Color,0.1110636615166119,textual,False
101,amazon_1,Price,ulta_1,rating,0.1110482549485912,textual,False
102,sephora_1,Price,ulta_1,rating,0.1098806436590062,textual,False
103,sephora_1,Price,sephora_2,brand,0.1092631237642178,textual,False
104,amazon_1,Price,sephora_2,brand,0.1080892841071562,textual,False
105,amazon_1,ID,sephora_2,product name,0.1065040776688375,textual,False
106,amazon_1,Description,sephora_2,rating,0.1060706358026608,textual,False
107,amazon_1,ID,ulta_1,product name,0.1040291320459458,textual,False
108,sephora_2,product name,ulta_1,rating,0.1018423512581764,textual,False
109,sephora_1,Description,sephora_2,rating,0.1016682872621403,textual,False
110,sephora_1,Color,ulta_1,price,0.0987683936046098,textual,False
111,sephora_2,price,ulta_1,brand,0.0980718520452407,textual,False
112,sephora_2,price,ulta_1,rating,0.0966515988872906,textual,False
113,sephora_1,Color,sephora_2,price,0.0965133093536368,textual,False
114,sephora_2,rating,ulta_1,product name,0.0962176509983612,textual,False
115,sephora_1,Product_id,sephora_2,product name,0.0948260989305728,textual,False
116,amazon_1,ID,sephora_2,rating,0.0940199377767127,mixed,False
117,sephora_2,brand,ulta_1,price,0.0936528253207,textual,False
118,sephora_1,Product_id,ulta_1,product name,0.0928280386441279,textual,False
119,amazon_1,Description,sephora_1,Product_id,0.090385432766367,textual,False
120,amazon_1,Description,sephora_2,_id,0.0889382318849104,textual,False
121,amazon_1,Description,ulta_1,_id,0.0879699283545717,textual,False
122,sephora_1,Description,sephora_2,_id,0.0833843274020775,textual,False
123,sephora_1,Description,ulta_1,_id,0.0825441206295045,textual,False
124,sephora_1,Product_id,ulta_1,number of colors/scent,0.0816300373199563,numerical,False
125,amazon_1,Color,sephora_1,Price,0.0811699197725629,textual,False
126,sephora_1,Product_id,sephora_2,number of colors,0.0796803165313915,numerical,False
127,sephora_2,product name,ulta_1,number of colors/scent,0.0787826598257477,textual,False
128,sephora_2,number of colors,ulta_1,product name,0.0762746497671863,textual,False
129,sephora_1,Price,sephora_2,rating,0.0738965965842357,mixed,False
130,amazon_1,Price,sephora_2,rating,0.0726286393741969,mixed,False
131,ulta_1,price,amazon_1,Color,0.0692334058272043,textual,False
132,amazon_1,Color,sephora_2,price,0.0675873175072618,textual,False
133,sephora_2,_id,ulta_1,product name,0.0647027750948917,textual,False
134,sephora_2,product name,ulta_1,_id,0.0645208375604963,textual,False
135,sephora_2,rating,ulta_1,price,0.0628739163890109,mixed,False
136,amazon_1,Description,ulta_1,number of colors/scent,0.0618074363461747,textual,False
137,amazon_1,Description,sephora_2,number of colors,0.0612240842388857,textual,False
138,sephora_1,Description,ulta_1,number of colors/scent,0.0592667468443649,textual,False
139,sephora_1,Description,sephora_2,number of colors,0.0583436718932771,textual,False
140,sephora_1,Price,ulta_1,number of colors/scent,0.0523063749873089,textual,False
141,sephora_1,Price,sephora_2,number of colors,0.0503197193084408,textual,False
142,amazon_1,Price,ulta_1,number of colors/scent,0.047633161665646,textual,False
143,amazon_1,Price,sephora_2,number of colors,0.0460031838309292,textual,False
144,sephora_2,number of colors,ulta_1,price,0.0426387320792453,textual,False
145,sephora_2,price,ulta_1,number of colors/scent,0.0409216532396806,textual,False
146,amazon_1,ID,sephora_2,number of colors,0.0239492198925093,textual,False
147,amazon_1,ID,ulta_1,number of colors/scent,0.0208843480795621,textual,False
