,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_2,price,ulta_1,price,0.9805918809972488,mixed,True
1,amazon_1,Price,sephora_1,Price,0.9675387990818364,mixed,True
2,sephora_2,_id,ulta_1,_id,0.9459520482772952,numerical,True
3,sephora_2,number of colors,ulta_1,number of colors/scent,0.9428547188359298,numerical,True
4,sephora_2,product name,ulta_1,product name,0.9348615114851228,textual,True
5,amazon_1,Description,sephora_1,Description,0.9259344981218284,textual,True
6,sephora_1,Price,sephora_2,price,0.9148003801719362,mixed,True
7,sephora_1,Price,ulta_1,price,0.9049375920686102,mixed,True
8,amazon_1,Price,sephora_2,price,0.89261532064912,mixed,True
9,sephora_2,brand,ulta_1,brand,0.8907679242538622,textual,True
10,amazon_1,Price,ulta_1,price,0.8901687217875887,mixed,True
11,sephora_1,Product_id,ulta_1,_id,0.8375027991078203,numerical,True
12,sephora_1,Product_id,sephora_2,_id,0.829081500336339,numerical,True
13,sephora_2,rating,ulta_1,rating,0.8287576248653387,textual,True
14,amazon_1,Color,sephora_1,Color,0.8053206355814094,textual,True
15,sephora_1,Description,sephora_2,product name,0.7222743146120937,textual,True
16,sephora_1,Description,ulta_1,product name,0.7211744464304932,textual,True
17,amazon_1,Description,ulta_1,product name,0.7202851739630225,textual,True
18,amazon_1,Description,sephora_2,product name,0.7185799545987666,textual,True
19,ulta_1,brand,sephora_1,Color,0.6935675990796824,textual,False
20,sephora_1,Color,sephora_2,brand,0.6895886257407092,textual,False
21,sephora_2,number of colors,amazon_1,Color,0.6848671761325799,textual,False
22,amazon_1,ID,ulta_1,_id,0.683603736732395,textual,True
23,amazon_1,Color,ulta_1,number of colors/scent,0.6826633707402274,textual,False
24,amazon_1,ID,sephora_2,_id,0.6756563090750755,textual,True
25,amazon_1,Color,sephora_2,brand,0.6500584537985512,textual,False
26,amazon_1,Color,ulta_1,brand,0.6484601931893538,textual,False
27,amazon_1,ID,sephora_1,Product_id,0.6393429035889937,textual,True
28,ulta_1,number of colors/scent,sephora_1,Color,0.5962838492434015,textual,False
29,sephora_2,number of colors,sephora_1,Color,0.5922285605464209,textual,False
30,amazon_1,Description,sephora_1,Color,0.552488419677488,textual,False
31,amazon_1,Color,sephora_2,rating,0.5464533901988833,textual,False
32,sephora_1,Product_id,sephora_2,product name,0.5321712644681822,textual,False
33,sephora_1,Product_id,ulta_1,product name,0.5312832376742067,textual,False
34,sephora_1,Description,ulta_1,brand,0.5291110862184558,textual,False
35,amazon_1,Description,ulta_1,brand,0.5267646987138835,textual,False
36,amazon_1,Color,sephora_1,Description,0.5209739567546136,textual,False
37,sephora_1,Description,sephora_2,brand,0.518953218633087,textual,False
38,sephora_2,rating,ulta_1,brand,0.5186967529369249,textual,False
39,sephora_1,Color,sephora_2,rating,0.5182253830450265,textual,False
40,amazon_1,Description,sephora_2,brand,0.516387377291752,textual,False
41,sephora_2,brand,ulta_1,_id,0.5145770714688933,textual,False
42,sephora_2,_id,ulta_1,brand,0.5129938358350651,textual,False
43,sephora_2,brand,ulta_1,rating,0.5117816656548129,textual,False
44,sephora_1,Color,sephora_2,_id,0.4968760306508516,textual,False
45,sephora_1,Color,ulta_1,rating,0.4938641617221412,textual,False
46,sephora_1,Product_id,sephora_2,brand,0.4902396354857781,textual,False
47,sephora_1,Product_id,ulta_1,brand,0.4884704407913937,textual,False
48,ulta_1,_id,sephora_1,Color,0.4874915263831511,textual,False
49,amazon_1,Description,sephora_2,_id,0.4834982683788731,textual,False
50,amazon_1,Description,ulta_1,rating,0.4832430433869401,textual,False
51,amazon_1,Description,ulta_1,_id,0.4830679112542781,textual,False
52,sephora_2,_id,amazon_1,Color,0.4823153993004638,textual,False
