,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_2,price,ulta_1,price,0.9839153289794922,mixed,True
1,sephora_2,product name,ulta_1,product name,0.9800530672073364,textual,True
2,sephora_2,_id,ulta_1,_id,0.9783048629760742,numerical,True
3,amazon_1,Price,sephora_1,Price,0.9608850479125975,mixed,True
4,sephora_2,brand,ulta_1,brand,0.9599264860153198,textual,True
5,sephora_2,number of colors,ulta_1,number of colors/scent,0.9594334363937378,numerical,True
6,sephora_1,Price,sephora_2,price,0.9431036710739136,mixed,True
7,amazon_1,Description,sephora_1,Description,0.9399510622024536,textual,True
8,sephora_1,Price,ulta_1,price,0.9325851202011108,mixed,True
9,amazon_1,Price,sephora_2,price,0.9103540182113647,mixed,True
10,amazon_1,Price,ulta_1,price,0.9088000059127808,mixed,True
11,sephora_1,Product_id,ulta_1,_id,0.8833426237106323,numerical,True
12,sephora_1,Product_id,sephora_2,_id,0.8735059499740601,numerical,True
13,amazon_1,Color,sephora_1,Color,0.849158763885498,textual,True
14,sephora_1,Description,sephora_2,product name,0.8011723756790161,textual,True
15,amazon_1,Description,ulta_1,product name,0.7971328496932983,textual,True
16,sephora_1,Description,ulta_1,product name,0.7971310615539551,textual,True
17,amazon_1,Description,sephora_2,product name,0.7963947057723999,textual,True
18,sephora_1,Color,ulta_1,brand,0.7925159335136414,textual,False
19,sephora_1,Color,sephora_2,brand,0.7765504121780396,textual,False
20,sephora_2,rating,ulta_1,rating,0.7608153820037842,textual,True
21,amazon_1,ID,ulta_1,_id,0.6887250542640686,textual,True
22,amazon_1,ID,sephora_2,_id,0.6855087280273438,textual,True
23,amazon_1,Color,ulta_1,brand,0.683637261390686,textual,False
24,amazon_1,Color,sephora_2,brand,0.6735700368881226,textual,False
25,amazon_1,Color,sephora_2,number of colors,0.6715387105941772,textual,False
26,amazon_1,Color,ulta_1,number of colors/scent,0.6697510480880737,textual,False
27,amazon_1,ID,sephora_1,Product_id,0.6583812236785889,textual,True
28,amazon_1,Color,sephora_2,rating,0.5698527097702026,textual,False
29,sephora_1,Color,sephora_2,number of colors,0.5451726913452148,textual,False
30,sephora_1,Color,ulta_1,number of colors/scent,0.544474720954895,textual,False
31,sephora_1,Color,sephora_2,rating,0.5393018126487732,textual,False
32,sephora_2,rating,ulta_1,brand,0.4869056642055511,textual,False
33,amazon_1,Description,sephora_1,Color,0.4769433736801147,textual,False
34,sephora_2,rating,ulta_1,number of colors/scent,0.4649805426597595,textual,False
35,sephora_1,Color,sephora_2,_id,0.4471195340156555,textual,False
36,sephora_1,Color,ulta_1,rating,0.4433466792106628,textual,False
37,amazon_1,Color,sephora_2,_id,0.4386882781982422,textual,False
38,sephora_1,Color,ulta_1,_id,0.4344250559806824,textual,False
39,sephora_2,_id,ulta_1,brand,0.4328055083751678,textual,False
40,amazon_1,Color,sephora_1,Description,0.4291807413101196,textual,False
41,amazon_1,Color,ulta_1,rating,0.426569402217865,textual,False
42,amazon_1,Color,ulta_1,_id,0.4230734407901764,textual,False
43,sephora_1,Description,ulta_1,brand,0.4210895299911499,textual,False
44,amazon_1,Description,ulta_1,brand,0.4183343350887298,textual,False
45,sephora_2,brand,ulta_1,_id,0.4163530468940735,textual,False
46,sephora_1,Color,sephora_2,product name,0.4100179970264435,textual,False
47,sephora_1,Color,ulta_1,product name,0.4094405770301819,textual,False
48,sephora_2,brand,ulta_1,rating,0.4047837257385254,textual,False
49,sephora_1,Description,sephora_2,brand,0.3988607823848724,textual,False
50,amazon_1,Description,sephora_2,brand,0.396200954914093,textual,False
51,sephora_1,Product_id,ulta_1,brand,0.3948467671871185,textual,False
52,amazon_1,Description,sephora_2,rating,0.3926967978477478,textual,False
53,sephora_2,rating,ulta_1,_id,0.3919089734554291,textual,False
54,sephora_1,Description,sephora_2,rating,0.3898283839225769,textual,False
55,sephora_1,Product_id,sephora_2,brand,0.3886358737945556,textual,False
56,sephora_1,Product_id,sephora_2,product name,0.37278813123703,textual,False
57,amazon_1,Color,sephora_1,Product_id,0.3726595044136047,textual,False
58,sephora_2,product name,ulta_1,brand,0.3719704151153564,textual,False
59,sephora_1,Product_id,ulta_1,product name,0.3705357611179352,textual,False
60,sephora_2,number of colors,ulta_1,brand,0.370302677154541,textual,False
61,amazon_1,ID,sephora_1,Color,0.367384523153305,textual,False
62,sephora_2,brand,ulta_1,number of colors/scent,0.3646946251392364,textual,False
63,sephora_2,_id,ulta_1,rating,0.3641852438449859,numerical,False
64,amazon_1,Color,sephora_2,product name,0.36272993683815,textual,False
65,amazon_1,Color,ulta_1,product name,0.3624109029769897,textual,False
66,sephora_1,Product_id,sephora_2,rating,0.3567813038825989,textual,False
67,amazon_1,Description,sephora_2,_id,0.3538134694099426,textual,False
68,sephora_1,Price,sephora_2,product name,0.3500562906265259,textual,False
69,sephora_1,Description,sephora_2,_id,0.3495885729789734,textual,False
70,sephora_1,Price,ulta_1,product name,0.3494707942008972,textual,False
71,amazon_1,Price,sephora_2,product name,0.3490177392959595,textual,False
72,amazon_1,Price,ulta_1,product name,0.3483646512031555,textual,False
73,sephora_2,brand,ulta_1,product name,0.3482143878936767,textual,False
74,amazon_1,Description,ulta_1,rating,0.3481320142745971,textual,False
75,amazon_1,Description,ulta_1,_id,0.3456473350524902,textual,False
76,sephora_1,Description,ulta_1,rating,0.3455396890640259,textual,False
77,sephora_1,Description,ulta_1,_id,0.3413389921188354,textual,False
78,amazon_1,ID,ulta_1,brand,0.3314023315906524,textual,False
79,sephora_1,Product_id,ulta_1,rating,0.3308661878108978,numerical,False
80,amazon_1,Description,sephora_1,Product_id,0.3299161493778229,textual,False
81,amazon_1,ID,sephora_2,brand,0.3250316381454468,textual,False
82,amazon_1,ID,sephora_2,rating,0.3180750608444214,mixed,False
83,amazon_1,ID,ulta_1,rating,0.3061917126178741,textual,False
84,amazon_1,Price,sephora_1,Product_id,0.3058362901210785,textual,False
85,amazon_1,Description,sephora_1,Price,0.3051964938640594,textual,False
86,sephora_2,rating,ulta_1,product name,0.304514467716217,textual,False
87,amazon_1,ID,sephora_1,Description,0.303010880947113,textual,False
88,sephora_2,_id,ulta_1,number of colors/scent,0.3012464046478271,numerical,False
89,amazon_1,Price,sephora_1,Description,0.2905113995075226,textual,False
90,sephora_2,_id,ulta_1,product name,0.2868158519268036,textual,False
91,sephora_2,product name,ulta_1,number of colors/scent,0.2866708636283874,textual,False
92,amazon_1,Description,ulta_1,number of colors/scent,0.2832081019878387,textual,False
93,sephora_1,Description,ulta_1,number of colors/scent,0.2802171409130096,textual,False
94,sephora_2,product name,ulta_1,_id,0.2800543904304504,textual,False
95,sephora_2,number of colors,ulta_1,_id,0.2739971876144409,numerical,False
96,amazon_1,Description,sephora_2,number of colors,0.2706521153450012,textual,False
97,amazon_1,Price,sephora_2,_id,0.270116925239563,textual,False
98,sephora_1,Product_id,ulta_1,number of colors/scent,0.2700082063674927,numerical,False
99,sephora_2,product name,ulta_1,price,0.2698904871940613,textual,False
100,sephora_2,number of colors,ulta_1,rating,0.2682085037231445,numerical,False
101,sephora_1,Description,sephora_2,number of colors,0.2678599059581756,textual,False
102,sephora_2,price,ulta_1,product name,0.266669750213623,textual,False
103,amazon_1,Price,ulta_1,_id,0.2623515129089355,textual,False
104,sephora_2,number of colors,ulta_1,product name,0.2608494460582733,textual,False
105,amazon_1,ID,sephora_2,product name,0.2577560245990753,textual,False
106,sephora_1,Price,sephora_2,_id,0.2576880156993866,textual,False
107,sephora_2,product name,ulta_1,rating,0.2552133202552795,textual,False
108,amazon_1,ID,ulta_1,product name,0.2550421357154846,textual,False
109,amazon_1,Price,sephora_1,Color,0.2538230717182159,textual,False
110,sephora_1,Product_id,sephora_2,number of colors,0.2505618333816528,numerical,False
111,sephora_1,Price,ulta_1,_id,0.2496819347143173,textual,False
112,amazon_1,ID,sephora_1,Price,0.2466989606618881,mixed,False
113,sephora_1,Price,ulta_1,brand,0.2403874099254608,textual,False
114,amazon_1,Price,ulta_1,brand,0.2402430325746536,textual,False
115,amazon_1,Color,sephora_1,Price,0.2345547676086425,textual,False
116,sephora_1,Price,sephora_2,brand,0.2290172278881073,textual,False
117,amazon_1,Price,sephora_2,brand,0.2289456129074096,textual,False
118,amazon_1,Price,sephora_2,rating,0.226333275437355,mixed,False
119,sephora_1,Price,sephora_2,rating,0.2262240946292877,mixed,False
120,amazon_1,Description,ulta_1,price,0.2135820686817169,textual,False
121,amazon_1,Description,sephora_2,price,0.2110434174537658,textual,False
122,sephora_1,Description,ulta_1,price,0.1990875601768493,textual,False
123,amazon_1,Price,ulta_1,rating,0.1989118754863739,textual,False
124,sephora_1,Price,ulta_1,rating,0.1969390511512756,textual,False
125,sephora_1,Description,sephora_2,price,0.1967469602823257,textual,False
126,sephora_1,Product_id,sephora_2,price,0.1950284987688064,textual,False
127,sephora_1,Product_id,ulta_1,price,0.1939820051193237,textual,False
128,amazon_1,ID,sephora_2,price,0.1895283907651901,mixed,False
129,amazon_1,ID,ulta_1,price,0.1884287893772125,mixed,False
130,amazon_1,ID,sephora_2,number of colors,0.1870151460170745,textual,False
131,amazon_1,ID,ulta_1,number of colors/scent,0.1863037347793579,textual,False
132,sephora_1,Price,ulta_1,number of colors/scent,0.1845858842134475,textual,False
133,amazon_1,Price,ulta_1,number of colors/scent,0.1824641227722168,textual,False
134,sephora_1,Color,ulta_1,price,0.1738495677709579,textual,False
135,sephora_1,Color,sephora_2,price,0.1724968403577804,textual,False
136,sephora_2,_id,ulta_1,price,0.170810654759407,textual,False
137,sephora_1,Price,sephora_2,number of colors,0.1691978871822357,textual,False
138,amazon_1,Price,sephora_2,number of colors,0.1671873778104782,textual,False
139,sephora_2,price,ulta_1,_id,0.163816213607788,textual,False
140,amazon_1,Color,ulta_1,price,0.1548578143119812,textual,False
141,sephora_2,price,ulta_1,brand,0.1538463234901428,textual,False
142,amazon_1,Color,sephora_2,price,0.1535341590642929,textual,False
143,sephora_2,rating,ulta_1,price,0.1455253660678863,mixed,False
144,sephora_2,brand,ulta_1,price,0.1427762657403946,textual,False
145,sephora_2,price,ulta_1,number of colors/scent,0.1196927800774574,textual,False
146,sephora_2,number of colors,ulta_1,price,0.1144108027219772,textual,False
147,sephora_2,price,ulta_1,rating,0.1140028983354568,textual,False
