,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_2,price,ulta_1,price,0.991957664489746,mixed,True
1,sephora_2,product name,ulta_1,product name,0.9900264739990234,textual,True
2,sephora_2,_id,ulta_1,_id,0.9891523718833924,numerical,True
3,amazon_1,Price,sephora_1,Price,0.9804425239562988,mixed,True
4,sephora_2,brand,ulta_1,brand,0.97996324300766,textual,True
5,amazon_1,Description,sephora_1,Description,0.969975471496582,textual,True
6,amazon_1,Color,sephora_1,Color,0.924579381942749,textual,True
7,sephora_2,rating,ulta_1,rating,0.8804076313972473,textual,True
8,sephora_2,number of colors,ulta_1,number of colors/scent,0.8499693274497986,numerical,True
9,sephora_1,Price,sephora_2,price,0.7301198244094849,mixed,True
10,sephora_1,Price,ulta_1,price,0.7248605489730835,mixed,True
11,amazon_1,Price,sephora_2,price,0.7137449979782104,mixed,True
12,amazon_1,Price,ulta_1,price,0.7129679918289185,mixed,True
13,sephora_1,Product_id,ulta_1,_id,0.6642764806747437,numerical,True
14,sephora_1,Product_id,sephora_2,_id,0.6593581438064575,numerical,True
15,sephora_1,Color,ulta_1,brand,0.5895657539367676,textual,False
16,sephora_1,Color,sephora_2,brand,0.5815830230712891,textual,False
17,amazon_1,Color,ulta_1,number of colors/scent,0.5548365712165833,textual,False
18,amazon_1,Color,sephora_2,number of colors,0.5455164313316345,textual,False
19,amazon_1,Color,ulta_1,brand,0.5351264476776123,textual,False
20,amazon_1,Color,sephora_2,brand,0.5300928354263306,textual,False
21,sephora_1,Description,sephora_2,product name,0.5297887921333313,textual,True
22,amazon_1,Description,ulta_1,product name,0.5277689695358276,textual,True
23,sephora_1,Description,ulta_1,product name,0.5277681350708008,textual,True
24,amazon_1,Description,sephora_2,product name,0.5273999571800232,textual,True
25,amazon_1,ID,ulta_1,_id,0.4971036314964294,textual,True
26,amazon_1,ID,sephora_2,_id,0.4954954385757446,textual,True
27,sephora_1,Color,ulta_1,number of colors/scent,0.4921984374523163,textual,False
28,sephora_1,Color,sephora_2,number of colors,0.4823334217071533,textual,False
29,amazon_1,Description,sephora_1,Color,0.4420264661312103,textual,False
30,amazon_1,ID,sephora_1,Product_id,0.4372239708900451,textual,True
31,sephora_1,Product_id,sephora_2,product name,0.4316075444221496,textual,False
32,amazon_1,Color,sephora_2,rating,0.4312005937099457,textual,False
33,sephora_1,Product_id,ulta_1,product name,0.4304813742637634,textual,False
34,amazon_1,Color,sephora_1,Description,0.4181451499462127,textual,False
35,sephora_1,Color,sephora_2,rating,0.4159251451492309,textual,False
36,sephora_2,rating,ulta_1,brand,0.4140018224716186,textual,False
37,sephora_1,Description,ulta_1,brand,0.4015124440193176,textual,False
38,amazon_1,Description,ulta_1,brand,0.4001348614692688,textual,False
39,sephora_2,_id,ulta_1,brand,0.3906906247138977,textual,False
40,sephora_1,Description,sephora_2,brand,0.3903980851173401,textual,False
41,amazon_1,Description,sephora_2,brand,0.3890681564807892,textual,False
42,sephora_2,brand,ulta_1,_id,0.3824644088745117,textual,False
43,sephora_2,brand,ulta_1,rating,0.3729408681392669,textual,False
44,amazon_1,Description,sephora_2,rating,0.3692212402820587,textual,False
45,sephora_1,Color,ulta_1,rating,0.3679475784301758,textual,False
46,sephora_1,Description,sephora_2,rating,0.3677870631217956,textual,False
47,sephora_1,Color,sephora_2,_id,0.3673235774040222,textual,False
48,amazon_1,Description,sephora_2,_id,0.3631523847579956,textual,False
49,amazon_1,Color,sephora_2,_id,0.3631079494953155,textual,False
50,sephora_1,Description,sephora_2,_id,0.3610399067401886,textual,False
51,sephora_1,Color,ulta_1,_id,0.3609763383865356,textual,False
52,amazon_1,Color,ulta_1,rating,0.3595589101314544,textual,False
53,amazon_1,Description,ulta_1,_id,0.359069287776947,textual,False
54,sephora_1,Description,ulta_1,_id,0.3569151163101196,textual,False
55,amazon_1,Color,ulta_1,_id,0.3553005456924438,textual,False
56,sephora_1,Product_id,ulta_1,brand,0.3538020551204681,textual,False
57,sephora_1,Product_id,sephora_2,brand,0.3506966233253479,textual,False
58,amazon_1,Description,ulta_1,rating,0.3469388782978058,textual,False
59,sephora_1,Description,ulta_1,rating,0.3456426858901977,textual,False
60,amazon_1,Description,sephora_1,Product_id,0.3328127264976501,textual,False
61,sephora_2,rating,ulta_1,_id,0.3239292502403259,textual,False
62,sephora_2,_id,ulta_1,rating,0.3100673854351043,numerical,False
63,sephora_2,rating,ulta_1,number of colors/scent,0.3051040470600128,textual,False
64,amazon_1,Color,sephora_1,Product_id,0.3002955019474029,textual,False
65,sephora_1,Color,sephora_2,product name,0.2977038025856018,textual,False
66,sephora_1,Color,ulta_1,product name,0.2974150776863098,textual,False
67,sephora_2,product name,ulta_1,brand,0.2932315766811371,textual,False
68,sephora_1,Product_id,sephora_2,rating,0.2887558043003082,textual,False
69,sephora_2,brand,ulta_1,number of colors/scent,0.2858238518238067,textual,False
70,sephora_2,brand,ulta_1,product name,0.2813535630702972,textual,False
71,sephora_2,number of colors,ulta_1,brand,0.2780444025993347,textual,False
72,amazon_1,ID,sephora_1,Color,0.2778298854827881,textual,False
73,sephora_1,Product_id,ulta_1,rating,0.2757982313632965,numerical,False
74,amazon_1,Color,sephora_2,product name,0.2740597724914551,textual,False
75,amazon_1,Color,ulta_1,product name,0.2739002704620361,textual,False
76,amazon_1,Description,ulta_1,number of colors/scent,0.2589779794216156,textual,False
77,sephora_1,Description,ulta_1,number of colors/scent,0.257482498884201,textual,False
78,amazon_1,ID,sephora_1,Description,0.2551766633987427,textual,False
79,sephora_1,Price,sephora_2,product name,0.2531341314315796,textual,False
80,sephora_1,Price,ulta_1,product name,0.2528413832187652,textual,False
81,amazon_1,Price,sephora_2,product name,0.2526148557662964,textual,False
82,amazon_1,Price,ulta_1,product name,0.2522883117198944,textual,False
83,sephora_2,_id,ulta_1,product name,0.2520822882652282,textual,False
84,amazon_1,ID,sephora_2,rating,0.2507225275039673,mixed,False
85,amazon_1,ID,ulta_1,brand,0.2507126629352569,textual,False
86,sephora_2,product name,ulta_1,_id,0.2487015575170517,textual,False
87,amazon_1,ID,sephora_2,brand,0.2475273311138153,textual,False
88,sephora_2,product name,ulta_1,number of colors/scent,0.246752917766571,textual,False
89,amazon_1,ID,ulta_1,rating,0.2447808384895324,textual,False
90,amazon_1,Description,sephora_2,number of colors,0.2352838516235351,textual,False
91,sephora_1,Description,sephora_2,number of colors,0.2338877469301223,textual,False
92,sephora_2,_id,ulta_1,number of colors/scent,0.2297435700893402,numerical,False
93,amazon_1,Price,sephora_1,Product_id,0.2294074445962906,textual,False
94,sephora_1,Product_id,ulta_1,number of colors/scent,0.2273184359073639,numerical,False
95,sephora_2,rating,ulta_1,product name,0.2160874158143997,textual,False
96,sephora_2,number of colors,ulta_1,product name,0.2052472829818725,textual,False
97,sephora_2,number of colors,ulta_1,_id,0.2036511003971099,numerical,False
98,sephora_1,Product_id,sephora_2,number of colors,0.1959313005208969,numerical,False
99,sephora_2,number of colors,ulta_1,rating,0.1944420486688614,numerical,False
100,amazon_1,ID,sephora_2,product name,0.1929263919591903,textual,False
101,amazon_1,ID,ulta_1,product name,0.191569447517395,textual,False
102,sephora_2,product name,ulta_1,rating,0.1914368420839309,textual,False
103,amazon_1,Description,sephora_1,Price,0.1831037551164627,textual,False
104,amazon_1,Price,sephora_1,Description,0.1757612079381942,textual,False
105,amazon_1,Price,sephora_2,_id,0.1723743081092834,textual,False
106,amazon_1,Price,ulta_1,_id,0.1684915870428085,textual,False
107,sephora_1,Price,sephora_2,_id,0.166159838438034,textual,False
108,sephora_1,Price,ulta_1,_id,0.1621567904949188,textual,False
109,sephora_1,Price,ulta_1,brand,0.1518432199954986,textual,False
110,amazon_1,Price,ulta_1,brand,0.1517710387706756,textual,False
111,amazon_1,ID,sephora_1,Price,0.1494568586349487,mixed,False
112,sephora_2,product name,ulta_1,price,0.1485172808170318,textual,False
113,sephora_2,price,ulta_1,product name,0.1469069123268127,textual,False
114,amazon_1,ID,ulta_1,number of colors/scent,0.1461904197931289,textual,False
115,sephora_1,Price,sephora_2,brand,0.1461581438779831,textual,False
116,amazon_1,Price,sephora_2,brand,0.146122321486473,textual,False
117,amazon_1,Price,sephora_1,Color,0.1454322636127472,textual,False
118,amazon_1,ID,sephora_2,number of colors,0.1427005380392074,textual,False
119,amazon_1,Color,sephora_1,Price,0.1357981115579605,textual,False
120,amazon_1,Price,sephora_2,rating,0.1333552300930023,mixed,False
121,sephora_1,Price,sephora_2,rating,0.133300632238388,mixed,False
122,sephora_1,Price,ulta_1,number of colors/scent,0.1253606677055359,textual,False
123,amazon_1,Price,ulta_1,number of colors/scent,0.1242997795343399,textual,False
124,amazon_1,Price,ulta_1,rating,0.1196445226669311,textual,False
125,sephora_1,Price,ulta_1,rating,0.118658110499382,textual,False
126,sephora_1,Price,sephora_2,number of colors,0.1042253226041793,textual,False
127,amazon_1,Price,sephora_2,number of colors,0.10322006046772,textual,False
128,sephora_1,Product_id,sephora_2,price,0.1012749746441841,textual,False
129,sephora_1,Product_id,ulta_1,price,0.1007517278194427,textual,False
130,amazon_1,ID,sephora_2,price,0.0843556225299835,mixed,False
131,amazon_1,ID,ulta_1,price,0.0838058218359947,mixed,False
132,amazon_1,Description,ulta_1,price,0.0784531161189079,textual,False
133,amazon_1,Description,sephora_2,price,0.0771837905049324,textual,False
134,sephora_1,Description,ulta_1,price,0.0712058618664741,textual,False
135,sephora_1,Description,sephora_2,price,0.0700355619192123,textual,False
136,sephora_2,_id,ulta_1,price,0.067627802491188,textual,False
137,sephora_2,price,ulta_1,_id,0.0641305744647979,textual,False
