,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-00-cos,0.7486792452830189,0.7492447129909365,0.748961872404681,0.691711851278079,0.3138723843967967,0.1968381897086175,0.14458098084800178,0.1138379402393869,0.6858006042296072
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-00-euc,0.7486792452830189,0.7492447129909365,0.748961872404681,0.691711851278079,0.3138723843967967,0.1968381897086175,0.14458098084800178,0.1138379402393869,0.6858006042296072
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-01-cos,0.7643072289156626,0.7666163141993958,0.7654600301659126,0.6627505183137526,0.2830145194745333,0.17699115044247787,0.12977777777777777,0.10171314434969655,0.6895770392749244
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-01-euc,0.7643072289156626,0.7666163141993958,0.7654600301659126,0.6762177650429799,0.29257224743252924,0.1831470335339639,0.13418628454452405,0.10540562057161054,0.6888217522658611
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-02-cos,0.7718373493975904,0.7741691842900302,0.773001508295626,0.6406451612903226,0.26570567986230637,0.16522524848328385,0.1212428545085746,0.09495123350545037,0.6948640483383686
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-02-euc,0.7733433734939759,0.775679758308157,0.7745098039215688,0.6554734721289456,0.27547592385218367,0.1721311475409836,0.12630770707361552,0.09884285181037701,0.6933534743202417
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-03-cos,0.7774436090225564,0.7809667673716012,0.7792012057272042,0.6477132262051916,0.255358615004122,0.15766044268579202,0.11499735029146795,0.09095905468535312,0.6978851963746223
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-03-euc,0.7795334838224228,0.7824773413897281,0.7810026385224274,0.6572709801409353,0.26393337604099937,0.16412556053811658,0.12034410176626704,0.0942415830308207,0.7001510574018127
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-04-cos,0.7909774436090226,0.7945619335347432,0.7927656367746798,0.662621359223301,0.2511129097531364,0.15335114133074307,0.11222896790980053,0.0892471667566109,0.7039274924471299
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-04-euc,0.7827067669172932,0.7862537764350453,0.784476262245667,0.6565781346510191,0.2554067971163749,0.15770609318996415,0.11528954802259887,0.09090909090909091,0.7190332326283988
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-05-cos,0.793984962406015,0.797583081570997,0.7957799547852299,0.6598311218335344,0.24994972853408406,0.15178571428571427,0.11074722054641041,0.08781337980962596,0.7439577039274925
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-05-euc,0.7984962406015037,0.8021148036253777,0.800301431801055,0.6630303030303031,0.2510105092966855,0.15363162362071056,0.11224666551186559,0.08919428725410941,0.7303625377643505
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-06-cos,0.793233082706767,0.7968277945619335,0.7950263752825922,0.654425045153522,0.2478426650612081,0.15123419626730886,0.10931452653306958,0.08682855040470934,0.7605740181268882
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-06-euc,0.7962406015037594,0.7998489425981873,0.7980406932931424,0.6592414208308248,0.24954828347721342,0.15128884606119009,0.11098683644497978,0.08793414976912267,0.7598187311178247
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-07-cos,0.7894736842105263,0.7930513595166163,0.7912584777694046,0.6534296028880866,0.24513540621865595,0.1508184882041406,0.10892365887207703,0.08619190906051488,0.7439577039274925
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-07-euc,0.7962406015037594,0.7998489425981873,0.7980406932931424,0.6528279181708785,0.24789410348977137,0.15116139126248646,0.10952544704264099,0.08692163680128377,0.7590634441087614
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-08-cos,0.762406015037594,0.7658610271903323,0.7641296156744537,0.6010830324909747,0.24217495987158907,0.14854941615504996,0.10816852966466037,0.08594168004280364,0.7152567975830816
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-08-euc,0.7714285714285715,0.7749244712990937,0.7731725697061039,0.6239470517448856,0.24428399518652227,0.15067998555782885,0.10883768913342504,0.08625300882588928,0.7197885196374623
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-09-cos,0.7233082706766917,0.7265861027190332,0.7249434815373021,0.5641180012040939,0.23459763194862532,0.1468994581577363,0.1070783521114647,0.0852230918456084,0.6329305135951662
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-09-euc,0.7360902255639098,0.7394259818731118,0.7377543330821402,0.5794223826714802,0.23786602486963498,0.14767119990371885,0.10806396148555708,0.08585183204065258,0.6382175226586103
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-10-cos,0.6533834586466165,0.6563444108761329,0.6548605877920121,0.4996989765201686,0.2219546457957054,0.1430635838150289,0.10649462365591397,0.08456546464173413,0.5664652567975831
valentwin-movies-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-10-euc,0.6533834586466165,0.6563444108761329,0.6548605877920121,0.4993983152827918,0.2218655967903711,0.14299470389985555,0.1064396870432465,0.08452587936338103,0.5664652567975831
