,table_a,column_a,table_b,column_b,similarity,type,correct
0,imdb_1,Duration,rotten_tomatoes_2,Duration,0.9999760389328004,textual,True
1,imdb_3,Duration,rotten_tomatoes_1,Duration,0.99990713596344,textual,True
2,tmdb_2,year,tmdb_3,year,0.9998844861984252,numerical,True
3,imdb_2,year,tmdb_1,year,0.9998343586921692,numerical,True
4,amazon_1,year,tmdb_2,year,0.999829351902008,numerical,True
5,imdb_4,id,rotten_tomatoes_3,id,0.999814748764038,numerical,True
6,amazon_1,year,tmdb_3,year,0.9997915625572203,numerical,True
7,metacritic_1,_id,metacritic_4,_id,0.9997429847717284,numerical,True
8,imdb_2,ID,tmdb_1,ID,0.9997410774230956,numerical,True
9,tmdb_2,year,tmdb_4,year,0.9997193813323976,numerical,True
10,rotten_tomatoes_3,year,tmdb_3,year,0.9996944069862366,numerical,True
11,metacritic_1,_id,rotten_tomatoes_4,_id,0.9996698498725892,numerical,True
12,amazon_1,year,rotten_tomatoes_3,year,0.9996672868728638,numerical,True
13,amazon_1,id,rotten_tomatoes_3,id,0.9996641874313354,numerical,True
14,metacritic_1,_id,tmdb_3,_id,0.9996546506881714,numerical,True
15,rotten_tomatoes_3,year,tmdb_2,year,0.9996440410614014,numerical,True
16,amazon_1,id,imdb_4,id,0.9996188879013062,numerical,True
17,rotten_tomatoes_4,_id,tmdb_3,_id,0.9995863437652588,numerical,True
18,metacritic_3,_id,walmart_1,_id,0.9995583891868592,numerical,True
19,metacritic_4,_id,tmdb_3,_id,0.999542236328125,numerical,True
20,metacritic_1,_id,metacritic_2,_id,0.9995251297950744,numerical,True
21,metacritic_3,_id,tmdb_2,_id,0.9995235800743104,numerical,True
22,tmdb_3,year,tmdb_4,year,0.9995204210281372,numerical,True
23,metacritic_4,_id,rotten_tomatoes_4,_id,0.9994775652885436,numerical,True
24,tmdb_2,_id,walmart_1,_id,0.9994444847106934,numerical,True
25,amazon_1,year,tmdb_4,year,0.9994133114814758,numerical,True
26,roger_ebert_1,year,tmdb_1,year,0.9994084239006042,numerical,True
27,imdb_4,movie_rating,metacritic_2,movie_rating,0.9993871450424194,numerical,True
28,metacritic_2,_id,tmdb_3,_id,0.999385416507721,numerical,True
29,metacritic_4,_id,walmart_1,_id,0.999383807182312,numerical,True
30,metacritic_2,_id,rotten_tomatoes_4,_id,0.9993771314620972,numerical,True
31,metacritic_2,_id,metacritic_4,_id,0.9993754625320436,numerical,True
32,imdb_4,year,tmdb_4,year,0.9993294477462769,numerical,True
33,metacritic_3,id,roger_ebert_1,id,0.9992855787277222,numerical,True
34,metacritic_2,_id,walmart_1,_id,0.9992595911026,numerical,True
35,rotten_tomatoes_3,year,tmdb_4,year,0.9992416501045228,numerical,True
36,amazon_1,id,roger_ebert_1,id,0.9992008209228516,numerical,True
37,metacritic_4,_id,tmdb_2,_id,0.9991169571876526,numerical,True
38,metacritic_1,_id,walmart_1,_id,0.9991152882575988,numerical,True
39,tmdb_3,_id,walmart_1,_id,0.9990732669830322,numerical,True
40,tmdb_2,_id,tmdb_3,_id,0.9990655183792114,numerical,True
41,imdb_2,year,roger_ebert_1,year,0.9990357160568236,numerical,True
42,metacritic_2,_id,tmdb_2,_id,0.9989964962005616,numerical,True
43,metacritic_3,id,tmdb_3,id,0.9989780187606812,numerical,True
44,metacritic_1,_id,tmdb_2,_id,0.9989330768585204,numerical,True
45,metacritic_3,_id,metacritic_4,_id,0.998913824558258,numerical,True
46,imdb_1,Name,rotten_tomatoes_1,Name,0.9989000558853148,textual,True
47,amazon_1,id,metacritic_3,id,0.9988788366317748,numerical,True
48,metacritic_2,_id,metacritic_3,_id,0.9988244771957396,numerical,True
49,metacritic_3,_id,tmdb_3,_id,0.9988200664520264,numerical,True
50,tmdb_4,_id,walmart_1,_id,0.998765230178833,numerical,True
51,metacritic_2,_id,tmdb_4,_id,0.998754620552063,numerical,True
52,rotten_tomatoes_4,_id,tmdb_2,_id,0.998748779296875,numerical,True
53,rotten_tomatoes_4,_id,walmart_1,_id,0.9987353086471558,numerical,True
54,imdb_4,year,tmdb_2,year,0.9987347722053528,numerical,True
55,roger_ebert_1,id,rotten_tomatoes_3,id,0.998725175857544,numerical,True
56,metacritic_1,_id,metacritic_3,_id,0.9986919164657592,numerical,True
57,imdb_4,id,roger_ebert_1,id,0.9986813068389891,numerical,True
58,roger_ebert_1,id,tmdb_3,id,0.9985742568969728,numerical,True
59,amazon_1,year,imdb_4,year,0.998542845249176,numerical,True
60,metacritic_3,_id,rotten_tomatoes_4,_id,0.998537540435791,numerical,True
61,imdb_2,name,tmdb_2,name,0.9983271956443788,textual,True
62,metacritic_3,id,rotten_tomatoes_3,id,0.9983203411102296,numerical,True
63,imdb_2,name,rotten_tomatoes_4,name,0.9983059167861938,textual,True
64,imdb_4,id,metacritic_3,id,0.9983047246932985,numerical,True
65,metacritic_2,title,tmdb_3,title,0.9982891082763672,textual,True
66,rotten_tomatoes_4,name,tmdb_2,name,0.9982693195343018,textual,True
67,metacritic_3,_id,tmdb_4,_id,0.9982154965400696,numerical,True
68,imdb_4,year,tmdb_3,year,0.9981845617294312,numerical,True
69,rotten_tomatoes_3,title,tmdb_3,title,0.9981671571731568,textual,True
70,tmdb_2,_id,tmdb_4,_id,0.9981001615524292,numerical,True
71,metacritic_3,title,tmdb_1,title,0.9980822801589966,textual,True
72,metacritic_4,_id,tmdb_4,_id,0.997954785823822,numerical,True
73,metacritic_2,title,metacritic_3,title,0.997913122177124,textual,True
74,imdb_1,Name,metacritic_1,Name,0.9979100227355956,textual,True
75,rotten_tomatoes_3,title,tmdb_1,title,0.9978247880935668,textual,True
76,metacritic_2,title,rotten_tomatoes_3,title,0.99781334400177,textual,True
77,metacritic_3,title,tmdb_3,title,0.9977948665618896,textual,True
78,amazon_1,id,tmdb_3,id,0.9977797269821168,numerical,True
79,imdb_3,Genre,rotten_tomatoes_2,Genre,0.997772216796875,textual,True
80,imdb_4,year,rotten_tomatoes_3,year,0.9977383017539978,numerical,True
81,metacritic_2,title,tmdb_1,title,0.9976136684417723,textual,True
82,tmdb_3,_id,tmdb_4,_id,0.9976017475128174,numerical,True
83,metacritic_1,_id,tmdb_4,_id,0.997555673122406,numerical,True
84,roger_ebert_1,genre,rotten_tomatoes_4,genre,0.9975185394287108,textual,True
85,rotten_tomatoes_4,_id,tmdb_4,_id,0.9974925518035888,numerical,True
86,tmdb_1,title,tmdb_3,title,0.997437596321106,textual,True
87,metacritic_3,title,rotten_tomatoes_3,title,0.9974288940429688,textual,True
88,metacritic_1,Name,rotten_tomatoes_1,Name,0.9973844289779664,textual,True
89,imdb_4,movie_name,roger_ebert_1,movie_name,0.997069239616394,textual,True
90,imdb_2,name,metacritic_4,name,0.996962308883667,textual,True
91,imdb_3,ContentRating,rotten_tomatoes_2,ContentRating,0.996848464012146,textual,True
92,metacritic_4,name,rotten_tomatoes_4,name,0.9967820048332214,textual,True
93,metacritic_4,name,tmdb_2,name,0.9967580437660216,textual,True
94,imdb_1,Genre,metacritic_1,Genre,0.9965405464172364,textual,True
95,imdb_4,id,tmdb_3,id,0.996515154838562,numerical,True
96,rotten_tomatoes_3,id,tmdb_3,id,0.9964494705200196,numerical,True
97,rotten_tomatoes_3,year,rotten_tomatoes_4,year,0.9963759183883668,numerical,True
98,imdb_3,Director,rotten_tomatoes_1,Director,0.9963557720184326,textual,True
99,rotten_tomatoes_4,year,tmdb_3,year,0.9961422085762024,numerical,True
100,imdb_3,Summary,rotten_tomatoes_2,Summary,0.9958807826042176,textual,True
101,imdb_1,Cast,rotten_tomatoes_1,Cast,0.9955500364303588,textual,True
102,rotten_tomatoes_4,year,tmdb_2,year,0.9953730702400208,numerical,True
103,imdb_3,Director,rotten_tomatoes_2,Director,0.995370864868164,textual,True
104,imdb_3,Title,rotten_tomatoes_2,Title,0.9951635599136353,textual,True
105,imdb_2,ID,metacritic_1,ID,0.994948148727417,numerical,True
106,imdb_2,director,tmdb_2,director,0.9949198961257936,textual,True
107,amazon_1,director,imdb_2,director,0.9949172735214232,textual,True
108,imdb_4,genre,walmart_1,genre,0.9947830438613892,textual,True
109,metacritic_3,genres,tmdb_4,genres,0.9947540760040284,textual,True
110,amazon_1,year,rotten_tomatoes_4,year,0.9947295784950256,numerical,True
111,imdb_4,directors,tmdb_4,directors,0.9946008920669556,textual,True
112,rotten_tomatoes_4,year,tmdb_4,year,0.9945458173751832,numerical,True
113,imdb_1,Genre,rotten_tomatoes_1,Genre,0.9944579601287842,textual,True
114,rotten_tomatoes_3,director,tmdb_2,director,0.9943798780441284,textual,True
115,imdb_1,Director,imdb_3,Director,0.9942910671234132,textual,True
116,rotten_tomatoes_1,Director,rotten_tomatoes_2,Director,0.9941016435623168,textual,True
117,imdb_2,director,rotten_tomatoes_3,director,0.9939813613891602,textual,True
118,imdb_3,Rating,rotten_tomatoes_2,Rating,0.993910789489746,textual,True
119,imdb_1,Director,rotten_tomatoes_1,Director,0.99371075630188,textual,True
120,imdb_2,director,metacritic_3,director,0.9936643838882446,textual,True
121,metacritic_1,ID,tmdb_1,ID,0.9935890436172484,numerical,True
122,metacritic_3,director,rotten_tomatoes_3,director,0.9935404062271118,textual,True
123,amazon_1,director,tmdb_2,director,0.993491530418396,textual,True
124,amazon_1,director,metacritic_3,director,0.9933136701583862,textual,True
125,metacritic_1,Director,rotten_tomatoes_2,Director,0.9930368661880492,textual,True
126,metacritic_1,Director,rotten_tomatoes_1,Director,0.993016004562378,textual,True
127,imdb_1,Director,metacritic_1,Director,0.9929198026657104,textual,True
128,amazon_1,director,rotten_tomatoes_3,director,0.9928486347198486,textual,True
129,imdb_4,genre,roger_ebert_1,genre,0.9927141666412354,textual,True
130,rotten_tomatoes_3,director,rotten_tomatoes_4,director,0.9926102161407472,textual,True
131,rotten_tomatoes_4,director,tmdb_2,director,0.9922956228256226,textual,True
132,roger_ebert_1,directors,tmdb_4,directors,0.9922531843185424,textual,True
133,imdb_1,Director,rotten_tomatoes_2,Director,0.9922327995300292,textual,True
134,imdb_2,director,rotten_tomatoes_4,director,0.99218487739563,textual,True
135,imdb_3,Director,metacritic_1,Director,0.9920330047607422,textual,True
136,metacritic_3,director,tmdb_2,director,0.9919263124465942,textual,True
137,metacritic_1,Genre,rotten_tomatoes_1,Genre,0.9915530681610109,textual,True
138,rotten_tomatoes_1,Genre,rotten_tomatoes_2,Genre,0.9907879829406738,textual,True
139,imdb_1,Description,rotten_tomatoes_1,Description,0.990382194519043,textual,True
140,imdb_4,year,rotten_tomatoes_4,year,0.9903786182403564,numerical,True
141,roger_ebert_1,genre,walmart_1,genre,0.9901224374771118,textual,True
142,metacritic_3,genres,tmdb_2,genres,0.989700436592102,textual,True
143,imdb_4,directors,roger_ebert_1,directors,0.9896035194396972,textual,True
144,imdb_1,Genre,rotten_tomatoes_2,Genre,0.9889878034591676,textual,True
145,imdb_3,Genre,rotten_tomatoes_1,Genre,0.988450527191162,textual,True
146,metacritic_3,director,rotten_tomatoes_4,director,0.988379716873169,textual,True
147,imdb_4,genre,rotten_tomatoes_4,genre,0.9883207082748412,textual,True
148,amazon_1,director,rotten_tomatoes_4,director,0.987663745880127,textual,True
149,tmdb_2,genres,tmdb_4,genres,0.9867031574249268,textual,True
150,imdb_2,actors,imdb_4,actors,0.9866043329238892,textual,True
151,metacritic_4,genre,roger_ebert_1,genre,0.9860389232635498,textual,True
152,rotten_tomatoes_4,genre,walmart_1,genre,0.9856894016265868,textual,True
153,metacritic_4,duration,roger_ebert_1,duration,0.9843761920928956,textual,True
