,table_a,column_a,table_b,column_b,similarity,type,correct
0,imdb_1,Duration,rotten_tomatoes_2,Duration,0.9832419465867756,textual,True
1,tmdb_2,year,tmdb_3,year,0.9713857877897774,numerical,True
2,imdb_3,Duration,rotten_tomatoes_1,Duration,0.9701376013628686,textual,True
3,amazon_1,year,tmdb_3,year,0.968523413827733,numerical,True
4,amazon_1,year,tmdb_2,year,0.966491048040663,numerical,True
5,amazon_1,year,rotten_tomatoes_3,year,0.9652627180555342,numerical,True
6,tmdb_3,year,tmdb_4,year,0.9652317239568076,numerical,True
7,tmdb_2,year,tmdb_4,year,0.9620451378556892,numerical,True
8,imdb_2,year,tmdb_1,year,0.962021619214416,numerical,True
9,imdb_4,movie_rating,metacritic_2,movie_rating,0.9607694491046104,numerical,True
10,rotten_tomatoes_3,year,tmdb_3,year,0.9584679649125692,numerical,True
11,imdb_4,year,tmdb_4,year,0.9574394542925004,numerical,True
12,rotten_tomatoes_3,year,tmdb_2,year,0.9571517847458332,numerical,True
13,metacritic_4,duration,rotten_tomatoes_1,Duration,0.9556437550144196,textual,True
14,amazon_1,year,imdb_4,year,0.955177504812494,numerical,True
15,imdb_3,Duration,metacritic_4,duration,0.9545120211087892,textual,True
16,imdb_2,year,roger_ebert_1,year,0.9540951941385244,numerical,True
17,roger_ebert_1,year,tmdb_1,year,0.9538865242966348,numerical,True
18,rotten_tomatoes_3,year,tmdb_4,year,0.9518971423899222,numerical,True
19,amazon_1,year,tmdb_4,year,0.951367984581156,numerical,True
20,imdb_4,year,tmdb_2,year,0.9513247779863928,numerical,True
21,imdb_4,year,tmdb_3,year,0.9484515529911588,numerical,True
22,imdb_3,Rating,rotten_tomatoes_1,RatingValue,0.9453709783424198,numerical,True
23,imdb_4,year,rotten_tomatoes_3,year,0.9422627612040296,numerical,True
24,rotten_tomatoes_2,Duration,rotten_tomatoes_3,time,0.9352463428024512,textual,True
25,imdb_3,ContentRating,rotten_tomatoes_2,ContentRating,0.9341343670848984,textual,True
26,imdb_1,Duration,rotten_tomatoes_3,time,0.93326946485715,textual,True
27,imdb_3,Duration,metacritic_1,Runtime,0.9303583341513234,textual,True
28,metacritic_1,Runtime,rotten_tomatoes_1,Duration,0.9284617621792072,textual,True
29,rotten_tomatoes_4,year,tmdb_3,year,0.9248396854042078,numerical,True
30,imdb_4,year,rotten_tomatoes_1,Year,0.9228840966807744,numerical,True
31,rotten_tomatoes_3,year,rotten_tomatoes_4,year,0.920328297183871,numerical,True
32,metacritic_1,Runtime,metacritic_4,duration,0.9191816145741968,textual,True
33,rotten_tomatoes_4,year,tmdb_2,year,0.9191044679663904,numerical,True
34,metacritic_1,Year,tmdb_1,year,0.9166921132993748,numerical,True
35,metacritic_1,User Rating,imdb_3,Rating,0.9130718285333088,numerical,True
36,rotten_tomatoes_4,year,tmdb_4,year,0.9129312197081524,numerical,True
37,metacritic_1,_id,metacritic_4,_id,0.9116302964465508,numerical,True
38,amazon_1,year,rotten_tomatoes_4,year,0.9097712625034036,numerical,True
39,metacritic_3,release year,tmdb_2,year,0.9095778941986415,numerical,True
40,imdb_2,year,metacritic_1,Year,0.9090952784313004,numerical,True
41,imdb_3,Genre,rotten_tomatoes_2,Genre,0.9090016014332488,textual,True
42,metacritic_3,release year,tmdb_3,year,0.907980003548084,numerical,True
43,metacritic_1,User Rating,rotten_tomatoes_1,RatingValue,0.907263164048761,numerical,True
44,metacritic_3,release year,metacritic_2,release_year,0.906310419124324,numerical,True
45,imdb_4,movie_rating,metacritic_3,score,0.9054967539833184,numerical,True
46,metacritic_2,movie_rating,metacritic_3,score,0.9037982700138368,numerical,True
47,imdb_2,ID,tmdb_1,ID,0.9036469428792224,numerical,True
48,rotten_tomatoes_4,genre,roger_ebert_1,genre,0.903009328372662,textual,True
49,rotten_tomatoes_1,Year,tmdb_4,year,0.9016889554027624,numerical,True
