,table_a,column_a,table_b,column_b,similarity,type,correct
0,imdb_1,Duration,rotten_tomatoes_2,Duration,0.9937157169315248,textual,True
1,tmdb_2,year,tmdb_3,year,0.9892696573826504,numerical,True
2,imdb_3,Duration,rotten_tomatoes_1,Duration,0.9888015874725598,textual,True
3,amazon_1,year,tmdb_3,year,0.9881962671468838,numerical,True
4,amazon_1,year,tmdb_2,year,0.9874341299767326,numerical,True
5,amazon_1,year,rotten_tomatoes_3,year,0.9869735062323092,numerical,True
6,tmdb_3,year,tmdb_4,year,0.9869618834452868,numerical,True
7,tmdb_2,year,tmdb_4,year,0.9857669136573676,numerical,True
8,imdb_2,year,tmdb_1,year,0.98575809416689,numerical,True
9,imdb_4,movie_rating,metacritic_2,movie_rating,0.9852885303757128,numerical,True
10,rotten_tomatoes_3,year,tmdb_3,year,0.9844254738036974,numerical,True
11,imdb_4,year,tmdb_4,year,0.9840397823211716,numerical,True
12,rotten_tomatoes_3,year,tmdb_2,year,0.9839319062411712,numerical,True
13,amazon_1,year,imdb_4,year,0.9831915512661692,numerical,True
14,imdb_2,year,roger_ebert_1,year,0.9827856847634306,numerical,True
15,roger_ebert_1,year,tmdb_1,year,0.982707433572722,numerical,True
16,rotten_tomatoes_3,year,tmdb_4,year,0.9819614153577048,numerical,True
17,amazon_1,year,tmdb_4,year,0.9817629811794176,numerical,True
18,imdb_4,year,tmdb_2,year,0.9817467787063812,numerical,True
19,imdb_4,year,tmdb_3,year,0.9806693193331686,numerical,True
20,imdb_4,year,rotten_tomatoes_3,year,0.9783485224129952,numerical,True
21,imdb_3,ContentRating,rotten_tomatoes_2,ContentRating,0.9753003746183208,textual,True
22,rotten_tomatoes_4,year,tmdb_3,year,0.971814868988062,numerical,True
23,rotten_tomatoes_3,year,rotten_tomatoes_4,year,0.9701230984054356,numerical,True
24,rotten_tomatoes_4,year,tmdb_2,year,0.9696641624488804,numerical,True
25,rotten_tomatoes_4,year,tmdb_4,year,0.9673491943520413,numerical,True
26,metacritic_1,_id,metacritic_4,_id,0.9668613481289404,numerical,True
27,amazon_1,year,rotten_tomatoes_4,year,0.9661642104002603,numerical,True
28,imdb_3,Genre,rotten_tomatoes_2,Genre,0.9658755986748232,textual,True
29,imdb_2,ID,tmdb_1,ID,0.9638676017170632,numerical,True
30,rotten_tomatoes_4,genre,roger_ebert_1,genre,0.9636284906891676,textual,True
31,metacritic_1,_id,tmdb_3,_id,0.9626918613814548,numerical,True
32,metacritic_3,_id,walmart_1,_id,0.962680073011113,numerical,True
33,imdb_4,id,rotten_tomatoes_3,id,0.9624911685885936,numerical,True
34,amazon_1,id,rotten_tomatoes_3,id,0.9615566918640308,numerical,True
35,amazon_1,id,imdb_4,id,0.9613077823705948,numerical,True
36,metacritic_1,_id,rotten_tomatoes_4,_id,0.9609943563870358,numerical,True
37,metacritic_4,_id,rotten_tomatoes_4,_id,0.9608910004411536,numerical,True
38,tmdb_2,_id,walmart_1,_id,0.9608195933609736,numerical,True
39,metacritic_3,_id,metacritic_4,_id,0.9607189099879636,numerical,True
40,metacritic_3,genres,tmdb_4,genres,0.9600254731917168,textual,True
41,metacritic_4,_id,tmdb_3,_id,0.959963341682385,numerical,True
42,metacritic_3,_id,tmdb_2,_id,0.9596739078502928,numerical,True
43,metacritic_3,id,roger_ebert_1,id,0.9596593829977276,numerical,True
44,imdb_1,Genre,metacritic_1,Genre,0.9596044616252088,textual,True
45,metacritic_4,_id,walmart_1,_id,0.9595539558078698,numerical,True
46,imdb_4,genre,walmart_1,genre,0.9592944257422384,textual,True
47,metacritic_2,_id,rotten_tomatoes_4,_id,0.9591407179424546,numerical,True
48,imdb_4,id,roger_ebert_1,id,0.9589534838779802,numerical,True
49,roger_ebert_1,id,rotten_tomatoes_3,id,0.95892698183199,numerical,True
50,metacritic_3,id,tmdb_3,id,0.9588808683300668,numerical,True
51,tmdb_2,_id,tmdb_3,_id,0.9588692019684866,numerical,True
52,amazon_1,id,metacritic_3,id,0.9587983729774384,numerical,True
53,tmdb_2,_id,tmdb_4,_id,0.9586260849862536,numerical,True
54,imdb_4,id,metacritic_3,id,0.958615374359972,numerical,True
55,metacritic_1,_id,metacritic_2,_id,0.9585764158004224,numerical,True
56,rotten_tomatoes_4,_id,tmdb_3,_id,0.9585086980327936,numerical,True
57,imdb_3,Rating,rotten_tomatoes_2,Rating,0.958416906774524,textual,True
58,imdb_4,year,rotten_tomatoes_4,year,0.9582480756982494,numerical,True
59,metacritic_3,id,rotten_tomatoes_3,id,0.958160737759776,numerical,True
60,metacritic_3,_id,rotten_tomatoes_4,_id,0.9580631888499496,numerical,True
61,metacritic_3,_id,tmdb_3,_id,0.9580542124910644,numerical,True
62,metacritic_2,_id,tmdb_3,_id,0.9579097221627184,numerical,True
63,amazon_1,id,roger_ebert_1,id,0.957858853224065,numerical,True
64,metacritic_1,_id,walmart_1,_id,0.9577914782429572,numerical,True
65,metacritic_4,_id,tmdb_2,_id,0.9577548029902304,numerical,True
66,metacritic_2,_id,metacritic_4,_id,0.9571437889223492,numerical,True
67,tmdb_3,_id,walmart_1,_id,0.9570937537102332,numerical,True
68,metacritic_1,_id,metacritic_3,_id,0.9570908719794844,numerical,True
69,metacritic_1,_id,tmdb_2,_id,0.9567283578041964,numerical,True
70,rotten_tomatoes_4,_id,tmdb_2,_id,0.9564423692671328,numerical,True
71,metacritic_3,_id,tmdb_4,_id,0.9563982427650404,numerical,True
72,tmdb_4,_id,walmart_1,_id,0.9563937458706862,numerical,True
73,rotten_tomatoes_4,_id,walmart_1,_id,0.9562068400678798,numerical,True
74,roger_ebert_1,id,tmdb_3,id,0.9559412298989648,numerical,True
75,metacritic_2,_id,tmdb_4,_id,0.9557309419884992,numerical,True
76,rotten_tomatoes_1,Genre,imdb_1,Genre,0.9555728360633584,textual,True
77,metacritic_4,duration,roger_ebert_1,duration,0.9555705556615058,textual,True
78,metacritic_2,_id,walmart_1,_id,0.955403354273689,numerical,True
79,metacritic_2,_id,tmdb_2,_id,0.9552858482164382,numerical,True
80,metacritic_3,runtime,rotten_tomatoes_4,runtime,0.9547022890248752,textual,True
81,amazon_1,id,tmdb_3,id,0.954663141642242,numerical,True
82,imdb_4,id,tmdb_3,id,0.9544876639934338,numerical,True
83,tmdb_3,_id,tmdb_4,_id,0.9541370514823376,numerical,True
84,metacritic_2,_id,metacritic_3,_id,0.953997885964942,numerical,True
85,metacritic_4,_id,tmdb_4,_id,0.9533137973638062,numerical,True
86,rotten_tomatoes_4,_id,tmdb_4,_id,0.953105630081815,numerical,True
87,metacritic_3,genres,tmdb_2,genres,0.9530246540287652,textual,True
88,walmart_1,genre,roger_ebert_1,genre,0.9524626380985266,textual,True
89,imdb_1,Genre,rotten_tomatoes_2,Genre,0.9521651168285262,textual,True
90,rotten_tomatoes_3,id,tmdb_3,id,0.9521462751897788,numerical,True
91,metacritic_1,Genre,rotten_tomatoes_1,Genre,0.951918464497179,textual,True
92,metacritic_1,_id,tmdb_4,_id,0.9513358407061212,numerical,True
93,imdb_3,Genre,rotten_tomatoes_1,Genre,0.9504213095091004,textual,True
94,imdb_4,genre,roger_ebert_1,genre,0.9494770430339088,textual,True
95,imdb_2,ID,metacritic_1,ID,0.9468931821514748,numerical,True
96,rotten_tomatoes_1,Genre,rotten_tomatoes_2,Genre,0.946011448071546,textual,True
97,tmdb_2,genres,tmdb_4,genres,0.9452227950567949,textual,True
98,imdb_4,duration,metacritic_4,duration,0.944593799221438,textual,True
99,rotten_tomatoes_4,genre,walmart_1,genre,0.9433065254479532,textual,True
100,imdb_1,Genre,imdb_3,Genre,0.9433003204309376,textual,True
101,metacritic_1,ID,tmdb_1,ID,0.9431375723629172,numerical,True
102,imdb_4,genre,rotten_tomatoes_4,genre,0.9426540109713232,textual,True
103,metacritic_4,genre,roger_ebert_1,genre,0.941908275990931,textual,True
104,metacritic_1,Genre,rotten_tomatoes_2,Genre,0.9409709291555012,textual,True
105,imdb_1,Cast,rotten_tomatoes_1,Cast,0.9398270621563614,textual,True
106,amazon_1,time,rotten_tomatoes_3,time,0.9381456884632012,textual,True
107,metacritic_4,genre,rotten_tomatoes_4,genre,0.937758618572167,textual,True
108,imdb_3,Genre,metacritic_1,Genre,0.9354691706412844,textual,True
109,imdb_1,ContentRating,rotten_tomatoes_2,ContentRating,0.9351988921847548,textual,True
110,imdb_4,genre,metacritic_4,genre,0.934401814755516,textual,True
111,imdb_4,duration,roger_ebert_1,duration,0.934356206718462,textual,True
112,imdb_1,RatingValue,rotten_tomatoes_1,RatingValue,0.9325333783911416,textual,True
113,metacritic_4,genre,walmart_1,genre,0.9322090384333652,textual,True
114,metacritic_3,genres,tmdb_3,genres,0.9305787689814696,textual,True
115,imdb_3,ID,rotten_tomatoes_2,ID,0.9297746615235892,mixed,True
116,tmdb_3,genres,tmdb_4,genres,0.9271317135409208,textual,True
117,imdb_1,Duration,rotten_tomatoes_1,Duration,0.9261098785430908,textual,True
118,imdb_1,Duration,imdb_3,Duration,0.9257316571922394,textual,True
119,rotten_tomatoes_2,Duration,rotten_tomatoes_1,Duration,0.9255699665334858,textual,True
120,imdb_3,Duration,rotten_tomatoes_2,Duration,0.9252309332348544,textual,True
121,imdb_2,actors,imdb_4,actors,0.9242459332631296,textual,True
122,imdb_1,ContentRating,imdb_3,ContentRating,0.92356941211018,textual,True
123,tmdb_2,genres,tmdb_3,genres,0.9229388650205694,textual,True
124,walmart_1,duration,roger_ebert_1,duration,0.9217405298243108,textual,True
125,metacritic_4,duration,walmart_1,duration,0.918685901040422,textual,True
126,metacritic_3,title,tmdb_3,title,0.909890760025794,textual,True
127,rotten_tomatoes_3,title,tmdb_3,title,0.909527615471905,textual,True
128,metacritic_3,title,rotten_tomatoes_3,title,0.9092450664199284,textual,True
129,metacritic_2,title,metacritic_3,title,0.9087453301525182,textual,True
130,metacritic_3,title,tmdb_1,title,0.9078106268402552,textual,True
131,tmdb_2,duration,walmart_1,duration,0.9074927359170176,textual,True
132,metacritic_2,title,rotten_tomatoes_3,title,0.9074681889161827,textual,True
133,metacritic_2,title,tmdb_3,title,0.9073693153398024,textual,True
134,imdb_2,name,metacritic_4,name,0.9069705267977188,textual,True
135,imdb_1,Name,rotten_tomatoes_1,Name,0.9068747208702,textual,True
136,tmdb_1,title,tmdb_3,title,0.9066944384001632,textual,True
137,metacritic_4,name,rotten_tomatoes_4,name,0.906547371362972,textual,True
138,imdb_3,Summary,rotten_tomatoes_2,Summary,0.9060712176461864,textual,True
139,rotten_tomatoes_3,title,tmdb_1,title,0.9056131328459912,textual,True
140,metacritic_1,Name,rotten_tomatoes_1,Name,0.9051744939184104,textual,True
141,imdb_4,duration,walmart_1,duration,0.9048819343380462,textual,True
142,metacritic_4,name,tmdb_2,name,0.9048220570858322,textual,True
