,table_a,column_a,table_b,column_b,similarity,type,correct
0,imdb_1,Duration,rotten_tomatoes_2,Duration,0.9977675080299376,textual,True
1,imdb_3,Duration,rotten_tomatoes_1,Duration,0.995629072189331,textual,True
2,tmdb_2,year,tmdb_3,year,0.9951332807540894,numerical,True
3,imdb_2,year,tmdb_1,year,0.9941589832305908,numerical,True
4,amazon_1,year,tmdb_2,year,0.9941146969795228,numerical,True
5,imdb_4,id,rotten_tomatoes_3,id,0.993990421295166,numerical,True
6,amazon_1,year,tmdb_3,year,0.9934877157211304,numerical,True
7,imdb_2,ID,tmdb_1,ID,0.9928339123725892,numerical,True
8,metacritic_1,_id,metacritic_4,_id,0.9926612377166748,numerical,True
9,rotten_tomatoes_3,year,tmdb_3,year,0.9921337366104126,numerical,True
10,metacritic_1,_id,rotten_tomatoes_4,_id,0.9921160936355592,numerical,True
11,tmdb_2,year,tmdb_4,year,0.991965651512146,numerical,True
12,amazon_1,year,rotten_tomatoes_3,year,0.9917559623718262,numerical,True
13,metacritic_1,_id,tmdb_3,_id,0.991730272769928,numerical,True
14,amazon_1,id,rotten_tomatoes_3,id,0.9917231202125548,numerical,True
15,rotten_tomatoes_3,year,tmdb_2,year,0.9914649724960328,numerical,True
16,amazon_1,id,imdb_4,id,0.991214632987976,numerical,True
17,rotten_tomatoes_4,_id,tmdb_3,_id,0.9912078380584716,numerical,True
18,metacritic_4,_id,tmdb_3,_id,0.9907726049423218,numerical,True
19,metacritic_1,_id,metacritic_2,_id,0.9906523823738098,numerical,True
20,metacritic_3,_id,walmart_1,_id,0.9906215667724608,numerical,True
21,metacritic_3,_id,tmdb_2,_id,0.9901927709579468,numerical,True
22,metacritic_4,_id,rotten_tomatoes_4,_id,0.9900851845741272,numerical,True
23,tmdb_3,year,tmdb_4,year,0.9899182319641112,numerical,True
24,tmdb_2,_id,walmart_1,_id,0.9897254705429076,numerical,True
25,metacritic_2,_id,rotten_tomatoes_4,_id,0.9890775680541992,numerical,True
26,roger_ebert_1,year,tmdb_1,year,0.9890516996383668,numerical,True
27,metacritic_2,_id,tmdb_3,_id,0.988888144493103,numerical,True
28,metacritic_4,_id,walmart_1,_id,0.9888869524002076,numerical,True
29,imdb_4,movie_rating,metacritic_2,movie_rating,0.98880797624588,numerical,True
30,amazon_1,year,tmdb_4,year,0.9887974262237548,numerical,True
31,metacritic_2,_id,metacritic_4,_id,0.9886938333511353,numerical,True
32,imdb_4,year,tmdb_4,year,0.9883188009262084,numerical,True
33,metacritic_3,id,roger_ebert_1,id,0.9882663488388062,numerical,True
34,amazon_1,id,roger_ebert_1,id,0.9876049757003784,numerical,True
35,rotten_tomatoes_3,year,tmdb_4,year,0.9875231981277466,numerical,True
36,metacritic_4,_id,tmdb_2,_id,0.9869126081466676,numerical,True
37,metacritic_2,_id,walmart_1,_id,0.9866435527801514,numerical,True
38,tmdb_2,_id,tmdb_3,_id,0.9864927530288696,numerical,True
39,tmdb_3,_id,walmart_1,_id,0.9864468574523926,numerical,True
40,metacritic_1,_id,walmart_1,_id,0.9861078858375548,numerical,True
41,imdb_2,year,roger_ebert_1,year,0.9860292673110962,numerical,True
42,imdb_1,Name,rotten_tomatoes_1,Name,0.985630989074707,textual,True
43,metacritic_3,id,tmdb_3,id,0.9853143095970154,numerical,True
44,amazon_1,id,metacritic_3,id,0.985302984714508,numerical,True
45,metacritic_2,_id,tmdb_2,_id,0.9851109385490416,numerical,True
46,metacritic_1,_id,tmdb_2,_id,0.98508882522583,numerical,True
47,metacritic_3,_id,metacritic_4,_id,0.9849330186843872,numerical,True
48,tmdb_4,_id,walmart_1,_id,0.9846881031990052,numerical,True
49,rotten_tomatoes_4,_id,tmdb_2,_id,0.9842908382415771,numerical,True
50,metacritic_3,_id,tmdb_3,_id,0.9842592477798462,numerical,True
51,roger_ebert_1,id,rotten_tomatoes_3,id,0.9841896295547484,numerical,True
52,rotten_tomatoes_4,_id,walmart_1,_id,0.9840993881225586,numerical,True
53,imdb_4,year,tmdb_2,year,0.9839582443237304,numerical,True
54,imdb_4,id,roger_ebert_1,id,0.9839268922805786,numerical,True
55,imdb_2,name,tmdb_2,name,0.9838449954986572,textual,True
56,metacritic_2,_id,tmdb_4,_id,0.9836688041687012,numerical,True
57,imdb_2,name,rotten_tomatoes_4,name,0.9835641980171204,textual,True
58,rotten_tomatoes_4,name,tmdb_2,name,0.9833639860153198,textual,True
59,metacritic_2,_id,metacritic_3,_id,0.9830350875854492,numerical,True
60,roger_ebert_1,id,tmdb_3,id,0.9830090999603271,numerical,True
61,amazon_1,year,imdb_4,year,0.9828012585639954,numerical,True
62,metacritic_1,_id,metacritic_3,_id,0.9827749729156494,numerical,True
63,rotten_tomatoes_3,title,tmdb_3,title,0.9825639724731444,textual,True
64,metacritic_3,_id,rotten_tomatoes_4,_id,0.9823884963989258,numerical,True
65,metacritic_3,title,tmdb_1,title,0.982243537902832,textual,True
66,metacritic_3,id,rotten_tomatoes_3,id,0.9818981289863586,numerical,True
67,metacritic_2,title,tmdb_3,title,0.9818768501281738,textual,True
68,imdb_4,id,metacritic_3,id,0.9818175435066224,numerical,True
69,imdb_1,Name,metacritic_1,Name,0.981742799282074,textual,True
70,metacritic_3,_id,tmdb_4,_id,0.9813960790634156,numerical,True
71,tmdb_2,_id,tmdb_4,_id,0.9810284376144408,numerical,True
72,metacritic_3,title,tmdb_3,title,0.9809799790382384,textual,True
73,rotten_tomatoes_3,title,tmdb_1,title,0.9809705018997192,textual,True
74,imdb_4,year,tmdb_3,year,0.9808505773544312,numerical,True
75,metacritic_2,title,rotten_tomatoes_3,title,0.980797290802002,textual,True
76,metacritic_2,title,metacritic_3,title,0.98033207654953,textual,True
77,metacritic_4,_id,tmdb_4,_id,0.9802629947662354,numerical,True
78,tmdb_1,title,tmdb_3,title,0.9794747829437256,textual,True
79,metacritic_3,title,rotten_tomatoes_3,title,0.9794250726699828,textual,True
80,imdb_3,Genre,rotten_tomatoes_2,Genre,0.979357123374939,textual,True
81,amazon_1,id,tmdb_3,id,0.9790745973587036,numerical,True
82,metacritic_2,title,tmdb_1,title,0.978975772857666,textual,True
83,imdb_3,Director,rotten_tomatoes_1,Director,0.978851079940796,textual,True
84,imdb_4,year,rotten_tomatoes_3,year,0.9786553382873536,numerical,True
85,tmdb_3,_id,tmdb_4,_id,0.9786230325698853,numerical,True
86,imdb_4,movie_name,roger_ebert_1,movie_name,0.9785572290420532,textual,True
87,metacritic_1,_id,tmdb_4,_id,0.9781246185302734,numerical,True
88,metacritic_1,Name,rotten_tomatoes_1,Name,0.9781073331832886,textual,True
89,rotten_tomatoes_4,_id,tmdb_4,_id,0.978054940700531,numerical,True
90,roger_ebert_1,genre,rotten_tomatoes_4,genre,0.9780174493789672,textual,True
91,imdb_2,name,metacritic_4,name,0.9763692021369934,textual,True
92,metacritic_4,name,rotten_tomatoes_4,name,0.9762394428253174,textual,True
93,imdb_3,Director,rotten_tomatoes_2,Director,0.9758849143981934,textual,True
94,metacritic_4,name,tmdb_2,name,0.9755924940109252,textual,True
95,imdb_3,ContentRating,rotten_tomatoes_2,ContentRating,0.9755189418792723,textual,True
96,amazon_1,director,imdb_2,director,0.9751627445220948,textual,True
97,imdb_2,director,tmdb_2,director,0.975157618522644,textual,True
98,rotten_tomatoes_3,director,tmdb_2,director,0.9741671085357666,textual,True
99,imdb_1,Genre,metacritic_1,Genre,0.9739559888839722,textual,True
100,imdb_4,directors,tmdb_4,directors,0.9738162755966188,textual,True
101,imdb_4,id,tmdb_3,id,0.9735271334648132,numerical,True
102,imdb_1,Director,imdb_3,Director,0.973301649093628,textual,True
103,rotten_tomatoes_3,id,tmdb_3,id,0.9732855558395386,numerical,True
104,imdb_2,director,rotten_tomatoes_3,director,0.9729855060577391,textual,True
105,rotten_tomatoes_3,year,rotten_tomatoes_4,year,0.9728002548217772,numerical,True
106,rotten_tomatoes_1,Director,rotten_tomatoes_2,Director,0.9727405309677124,textual,True
107,imdb_1,Director,rotten_tomatoes_1,Director,0.9723554253578186,textual,True
108,imdb_2,director,metacritic_3,director,0.9720608592033386,textual,True
109,amazon_1,director,tmdb_2,director,0.972020149230957,textual,True
110,rotten_tomatoes_4,year,tmdb_3,year,0.971944272518158,numerical,True
111,metacritic_3,director,rotten_tomatoes_3,director,0.9716967344284058,textual,True
112,amazon_1,director,metacritic_3,director,0.9712980389595032,textual,True
113,imdb_1,Director,metacritic_1,Director,0.9711976051330566,textual,True
114,metacritic_1,Director,rotten_tomatoes_1,Director,0.9709306359291076,textual,True
115,imdb_1,Cast,rotten_tomatoes_1,Cast,0.9707431793212892,textual,True
116,amazon_1,director,rotten_tomatoes_3,director,0.9706756472587584,textual,True
117,imdb_3,Title,rotten_tomatoes_2,Title,0.970556139945984,textual,True
118,rotten_tomatoes_3,director,rotten_tomatoes_4,director,0.97044837474823,textual,True
119,metacritic_1,Director,rotten_tomatoes_2,Director,0.9700496792793274,textual,True
120,rotten_tomatoes_4,director,tmdb_2,director,0.9698431491851808,textual,True
121,rotten_tomatoes_4,year,tmdb_2,year,0.969273567199707,numerical,True
122,imdb_2,director,rotten_tomatoes_4,director,0.9691721200942992,textual,True
123,roger_ebert_1,directors,tmdb_4,directors,0.9690309762954712,textual,True
124,imdb_3,Director,metacritic_1,Director,0.968691110610962,textual,True
125,imdb_3,Summary,rotten_tomatoes_2,Summary,0.9684579968452454,textual,True
126,metacritic_3,director,tmdb_2,director,0.9684220552444458,textual,True
127,imdb_1,Director,rotten_tomatoes_2,Director,0.9683640003204346,textual,True
128,imdb_4,genre,walmart_1,genre,0.9677387475967408,textual,True
129,metacritic_3,genres,tmdb_4,genres,0.9675722718238832,textual,True
