,table_a,column_a,table_b,column_b,similarity,type,correct
0,imdb_1,Duration,rotten_tomatoes_2,Duration,0.9983255863189696,textual,True
1,imdb_3,Duration,rotten_tomatoes_1,Duration,0.9967217445373536,textual,True
2,tmdb_2,year,tmdb_3,year,0.9963499307632446,numerical,True
3,imdb_2,year,tmdb_1,year,0.9956192374229432,numerical,True
4,amazon_1,year,tmdb_2,year,0.9955860376358032,numerical,True
5,imdb_4,id,rotten_tomatoes_3,id,0.9954928159713744,numerical,True
6,amazon_1,year,tmdb_3,year,0.9951157569885254,numerical,True
7,imdb_2,ID,tmdb_1,ID,0.9946253299713136,numerical,True
8,metacritic_1,_id,metacritic_4,_id,0.9944958686828612,numerical,True
9,rotten_tomatoes_3,year,tmdb_3,year,0.9941002130508424,numerical,True
10,metacritic_1,_id,rotten_tomatoes_4,_id,0.9940871000289916,numerical,True
11,tmdb_2,year,tmdb_4,year,0.9939742088317872,numerical,True
12,amazon_1,year,rotten_tomatoes_3,year,0.9938169717788696,numerical,True
13,metacritic_1,_id,tmdb_3,_id,0.9937976598739624,numerical,True
14,amazon_1,id,rotten_tomatoes_3,id,0.9937924146652222,numerical,True
15,rotten_tomatoes_3,year,tmdb_2,year,0.993598699569702,numerical,True
16,amazon_1,id,imdb_4,id,0.9934110045433044,numerical,True
17,rotten_tomatoes_4,_id,tmdb_3,_id,0.993405818939209,numerical,True
18,metacritic_4,_id,tmdb_3,_id,0.993079423904419,numerical,True
19,metacritic_1,_id,metacritic_2,_id,0.9929893016815186,numerical,True
20,metacritic_3,_id,walmart_1,_id,0.9929661154747008,numerical,True
21,metacritic_3,_id,tmdb_2,_id,0.9926445484161376,numerical,True
22,metacritic_4,_id,rotten_tomatoes_4,_id,0.9925638437271118,numerical,True
23,tmdb_3,year,tmdb_4,year,0.9924386143684388,numerical,True
24,tmdb_2,_id,walmart_1,_id,0.9922940731048584,numerical,True
25,metacritic_2,_id,rotten_tomatoes_4,_id,0.9918081164360046,numerical,True
26,roger_ebert_1,year,tmdb_1,year,0.9917887449264526,numerical,True
27,metacritic_2,_id,tmdb_3,_id,0.9916660785675048,numerical,True
28,metacritic_4,_id,walmart_1,_id,0.991665244102478,numerical,True
29,imdb_4,movie_rating,metacritic_2,movie_rating,0.9916059970855712,numerical,True
30,amazon_1,year,tmdb_4,year,0.9915980100631714,numerical,True
31,metacritic_2,_id,metacritic_4,_id,0.9915202856063844,numerical,True
32,imdb_4,year,tmdb_4,year,0.991239070892334,numerical,True
