,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
valentwin-organogram-junior-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-00-cos,0.6517412935323383,0.7093862815884476,0.6793431287813311,0.5726795096322241,0.293395675043834,0.18695194668537354,0.1363066900526184,0.10797115572013252,0.5776173285198556
valentwin-organogram-junior-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-00-euc,0.6517412935323383,0.7093862815884476,0.6793431287813311,0.5726795096322241,0.293395675043834,0.18695194668537354,0.1363066900526184,0.10797115572013252,0.5776173285198556
valentwin-organogram-junior-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-01-cos,0.6771523178807947,0.7382671480144405,0.7063903281519861,0.5523809523809524,0.27527792482795127,0.17127422942484907,0.12528370403994554,0.09779346866725508,0.5794223826714802
valentwin-organogram-junior-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-01-euc,0.6998341625207297,0.7617328519855595,0.7294727744165946,0.5616883116883117,0.2822318526543879,0.17517062073448164,0.12790157845868153,0.10003611412062116,0.5812274368231047
valentwin-organogram-junior-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-02-cos,0.7123966942148761,0.7779783393501805,0.7437446074201898,0.547085201793722,0.2633416458852868,0.16367444643925794,0.11818764693310536,0.09210307564422278,0.5812274368231047
valentwin-organogram-junior-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-02-euc,0.7350993377483444,0.8014440433212996,0.766839378238342,0.5705521472392638,0.27044989775051126,0.1675360540042958,0.12097304404996713,0.09442645304244077,0.5938628158844765
valentwin-organogram-junior-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-03-cos,0.740495867768595,0.8086642599277978,0.7730802415875755,0.5542521994134897,0.2595307917888563,0.16041055718475072,0.11562630917469627,0.090257412838058,0.6028880866425993
valentwin-organogram-junior-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-03-euc,0.7619834710743801,0.8321299638989169,0.7955133735979292,0.5745937961595273,0.26440177252584934,0.16159527326440176,0.11669128508124077,0.09092401116034794,0.6245487364620939
valentwin-organogram-junior-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-04-cos,0.7553719008264462,0.8249097472924187,0.7886108714408973,0.5510204081632653,0.25717063684978125,0.15956826137689614,0.11481558658053762,0.08978930307941653,0.5848375451263538
valentwin-organogram-junior-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-04-euc,0.7702479338842976,0.8411552346570397,0.8041415012942191,0.5889212827988338,0.2602140077821012,0.15966141272621132,0.11507191994996874,0.08983298200097292,0.6353790613718412
