,table_a,column_a,table_b,column_b,similarity,type,correct
0,yelp_2,phone,zomato_2,phone,0.9999526739120485,mixed,True
1,yellow_pages_1,phone,yelp_2,phone,0.9999186396598816,mixed,True
2,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.9999150037765504,mixed,True
3,yellow_pages_1,phone,zomato_2,phone,0.9999088048934937,mixed,True
4,yellow_pages_1,phone,yellow_pages_2,phone,0.999893307685852,mixed,True
5,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.9998759031295776,mixed,True
6,yellow_pages_2,phone,zomato_2,phone,0.9998687505722046,mixed,True
7,yellow_pages_1,website,yellow_pages_2,website,0.9998295307159424,textual,True
8,yellow_pages_2,phone,yelp_2,phone,0.999813973903656,mixed,True
9,yellow_pages_2,phone,yelp_4,phone,0.9997907876968384,mixed,True
10,yelp_2,name,zomato_2,name,0.9997423887252808,textual,True
11,yelp_2,zip,zomato_2,zip,0.9997259378433228,numerical,True
12,yelp_3,name,zagats_1,name,0.999707818031311,textual,True
13,yelp_5,Name,zomato_3,Name,0.9997052550315856,textual,True
14,yellow_pages_1,phone,yelp_4,phone,0.9997000694274902,mixed,True
15,yelp_4,phone,zomato_2,phone,0.9996932744979858,mixed,True
16,yellow_pages_2,zipcode,yelp_4,zipcode,0.9996785521507264,numerical,True
17,yelp_2,phone,yelp_4,phone,0.9996124505996704,mixed,True
18,yellow_pages_1,name,yelp_3,name,0.9996058344841005,textual,True
19,yellow_pages_1,streetAddress,yelp_3,streetAddress,0.99958074092865,textual,True
20,yellow_pages_1,name,zagats_1,name,0.9995737075805664,textual,True
21,yellow_pages_2,address,yelp_2,address,0.999565839767456,textual,True
22,yellow_pages_2,address,yelp_4,address,0.9995160102844238,textual,True
23,yellow_pages_1,priceRange,yelp_3,priceRange,0.9995070695877076,textual,True
24,fodors_1,name,yelp_3,name,0.9994818568229676,textual,True
25,fodors_1,phone,zagats_1,phone,0.999469757080078,mixed,True
26,yellow_pages_2,name,yelp_2,name,0.9994668960571288,textual,True
27,fodors_1,addr,zagats_1,addr,0.999441921710968,textual,True
28,fodors_1,name,zagats_1,name,0.9994069337844848,textual,True
29,yellow_pages_1,state,yelp_3,state,0.9992619752883912,textual,True
30,yellow_pages_2,name,zomato_2,name,0.9991570115089417,textual,True
31,yellow_pages_1,city,yelp_3,city,0.999140441417694,textual,True
32,fodors_1,name,yellow_pages_1,name,0.9991064071655272,textual,True
33,yellow_pages_2,state,yelp_4,state,0.9990367889404296,textual,True
34,yelp_1,NAME,zomato_1,NAME,0.999005138874054,textual,True
35,yellow_pages_2,state,yelp_3,state,0.9990036487579346,textual,True
36,yelp_3,id,yelp_4,id,0.998987317085266,numerical,True
37,yelp_2,address,yelp_4,address,0.9989526271820068,textual,True
38,yelp_4,name,zomato_2,name,0.9987986087799072,textual,True
39,yellow_pages_1,id,yellow_pages_2,id,0.998731017112732,numerical,True
40,yelp_3,state,yelp_4,state,0.9986878633499146,textual,True
41,yellow_pages_2,id,yelp_3,id,0.998542308807373,numerical,True
42,yelp_2,name,yelp_4,name,0.9984979629516602,textual,True
43,yelp_5,Address,zomato_3,Address,0.99849271774292,textual,True
44,yellow_pages_1,id,yelp_3,id,0.9984556436538696,numerical,True
45,yelp_2,cuisine,zomato_2,cuisine,0.9984126091003418,textual,True
46,yelp_2,address,zomato_2,address,0.9983698129653932,textual,True
47,yellow_pages_2,address,zomato_2,address,0.9980143904685974,textual,True
48,yellow_pages_1,ratingValue,yelp_3,ratingValue,0.9980065226554872,numerical,True
49,yelp_5,_id,zomato_3,_id,0.9978410005569458,numerical,True
50,yellow_pages_2,name,yelp_4,name,0.9978067874908448,textual,True
51,yelp_4,address,zomato_2,address,0.9976330995559692,textual,True
52,yellow_pages_1,state,yellow_pages_2,state,0.9976194500923156,textual,True
53,zagats_1,phone,zomato_2,phone,0.9975919723510742,mixed,True
54,yelp_1,ADDRESS,zomato_1,ADDRESS,0.9975912570953368,textual,True
55,yelp_2,phone,zagats_1,phone,0.9975749254226683,mixed,True
56,yellow_pages_1,phone,zagats_1,phone,0.9974521398544312,mixed,True
57,yellow_pages_2,phone,zagats_1,phone,0.997391641139984,mixed,True
