,table_a,column_a,table_b,column_b,similarity,type,correct
0,yelp_2,phone,zomato_2,phone,0.999964475631714,mixed,True
1,yellow_pages_1,phone,yelp_2,phone,0.9999390244483948,mixed,True
2,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.9999362230300904,mixed,True
3,yellow_pages_1,phone,zomato_2,phone,0.9999316930770874,mixed,True
4,yellow_pages_1,phone,yellow_pages_2,phone,0.9999200105667114,mixed,True
5,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.9999068975448608,mixed,True
6,yellow_pages_2,phone,zomato_2,phone,0.9999015927314758,mixed,True
7,yellow_pages_1,website,yellow_pages_2,website,0.999872088432312,textual,True
8,yellow_pages_2,phone,yelp_2,phone,0.9998605251312256,mixed,True
9,yellow_pages_2,phone,yelp_4,phone,0.9998431205749512,mixed,True
10,yelp_2,name,zomato_2,name,0.9998068809509276,textual,True
11,yelp_2,zip,zomato_2,zip,0.9997943639755248,numerical,True
12,yelp_3,name,zagats_1,name,0.9997808933258056,textual,True
13,yelp_5,Name,zomato_3,Name,0.9997789859771729,textual,True
14,yellow_pages_1,phone,yelp_4,phone,0.9997750520706176,mixed,True
15,yelp_4,phone,zomato_2,phone,0.9997699856758118,mixed,True
16,yellow_pages_2,zipcode,yelp_4,zipcode,0.9997588992118835,numerical,True
17,yelp_2,phone,yelp_4,phone,0.9997093677520752,mixed,True
18,yellow_pages_1,name,yelp_3,name,0.9997044205665588,textual,True
19,yellow_pages_1,streetAddress,yelp_3,streetAddress,0.999685525894165,textual,True
20,yellow_pages_1,name,zagats_1,name,0.9996802806854248,textual,True
21,yellow_pages_2,address,yelp_2,address,0.9996744394302368,textual,True
22,yellow_pages_2,address,yelp_4,address,0.9996370673179626,textual,True
23,yellow_pages_1,priceRange,yelp_3,priceRange,0.999630331993103,textual,True
24,fodors_1,name,yelp_3,name,0.9996114373207092,textual,True
25,fodors_1,phone,zagats_1,phone,0.9996023178100586,mixed,True
26,yellow_pages_2,name,yelp_2,name,0.9996002316474916,textual,True
27,fodors_1,addr,zagats_1,addr,0.9995814561843872,textual,True
28,fodors_1,name,zagats_1,name,0.999555230140686,textual,True
29,yellow_pages_1,state,yelp_3,state,0.9994465112686156,textual,True
30,yellow_pages_2,name,zomato_2,name,0.9993678331375122,textual,True
31,yellow_pages_1,city,yelp_3,city,0.9993553161621094,textual,True
32,fodors_1,name,yellow_pages_1,name,0.9993298649787904,textual,True
33,yellow_pages_2,state,yelp_4,state,0.9992775917053224,textual,True
34,yelp_1,NAME,zomato_1,NAME,0.9992538690567015,textual,True
35,yellow_pages_2,state,yelp_3,state,0.9992526769638062,textual,True
36,yelp_3,id,yelp_4,id,0.9992404580116272,numerical,True
37,yelp_2,address,yelp_4,address,0.99921452999115,textual,True
38,yelp_4,name,zomato_2,name,0.9990989565849304,textual,True
39,yellow_pages_1,id,yellow_pages_2,id,0.9990482330322266,numerical,True
