,table_a,column_a,table_b,column_b,similarity,type,correct
0,yelp_1,RATING,yelp_2,rating,0.978630039888534,numerical,True
1,yelp_2,rating,yelp_3,ratingValue,0.9770284444081672,numerical,True
2,yelp_1,RATING,yelp_3,ratingValue,0.9739074205185844,numerical,True
3,yellow_pages_1,priceRange,yelp_3,priceRange,0.9648728670206062,textual,True
4,yelp_2,phone,zomato_2,phone,0.9578634945036796,mixed,True
5,yellow_pages_1,state,yelp_3,state,0.9559183194311084,textual,True
6,yellow_pages_1,phone,yelp_3,telephone,0.9545530364854964,mixed,True
7,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.9543180725924962,mixed,True
8,zomato_1,RATING,zomato_2,rating,0.953764848307444,numerical,True
9,yelp_3,telephone,zomato_2,phone,0.9509074433740116,mixed,True
10,yelp_2,phone,yelp_3,telephone,0.9495175465249952,mixed,True
11,yellow_pages_1,phone,yelp_2,phone,0.9493133488198708,mixed,True
12,yellow_pages_1,phone,zomato_2,phone,0.9484719202683756,mixed,True
13,zomato_1,PHONENUMBER,zomato_2,phone,0.9477870866570284,mixed,True
14,yelp_2,phone,zomato_1,PHONENUMBER,0.9462781280921068,mixed,True
15,yellow_pages_2,phone,yelp_3,telephone,0.94503630067052,mixed,True
16,yelp_2,zip,zomato_2,zip,0.9447007414460658,numerical,True
17,yellow_pages_1,phone,yellow_pages_2,phone,0.944576694997738,mixed,True
18,yelp_3,telephone,zomato_1,PHONENUMBER,0.94423465943355,mixed,True
19,yellow_pages_2,phone,zomato_2,phone,0.9431638855354464,mixed,True
20,yellow_pages_1,phone,zomato_1,PHONENUMBER,0.9431032729047788,mixed,True
21,zomato_2,phone,zomato_3,PhoneNumber,0.9419659866640204,mixed,True
22,yelp_2,phone,zomato_3,PhoneNumber,0.9419208047824762,mixed,True
23,yellow_pages_2,phone,yelp_2,phone,0.9414198725326718,mixed,True
24,zomato_2,phone,yelp_5,PhoneNumber,0.9407602914042168,mixed,True
25,yellow_pages_1,city,yelp_3,city,0.9407104679075874,textual,True
26,yelp_2,phone,yelp_5,PhoneNumber,0.9407044728852288,mixed,True
27,yelp_3,telephone,zomato_3,PhoneNumber,0.940441068377414,mixed,True
28,yellow_pages_1,phone,yelp_5,PhoneNumber,0.9402546841806972,mixed,True
29,yelp_3,telephone,yelp_5,PhoneNumber,0.940177616214414,mixed,True
30,zomato_1,PHONENUMBER,yelp_5,PhoneNumber,0.9401085066641393,mixed,True
31,yellow_pages_2,phone,zomato_1,PHONENUMBER,0.9398283847171878,mixed,True
32,zomato_1,PHONENUMBER,zomato_3,PhoneNumber,0.9397251683505212,mixed,True
33,yellow_pages_1,phone,zomato_3,PhoneNumber,0.9396410664788316,mixed,True
34,yellow_pages_2,phone,zomato_3,PhoneNumber,0.9389914595807396,mixed,True
35,yellow_pages_2,phone,yelp_5,PhoneNumber,0.9385929812146308,mixed,True
36,yelp_1,PHONENUMBER,zomato_2,phone,0.9370203553216392,mixed,True
37,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.936541754291845,mixed,True
38,yelp_1,PHONENUMBER,yelp_2,phone,0.936190182925002,mixed,True
39,yellow_pages_2,zipcode,yelp_4,zipcode,0.9335337970958092,numerical,True
40,fodors_1,phone,zagats_1,phone,0.9331917138764352,mixed,True
41,yellow_pages_1,website,yellow_pages_2,website,0.9330166763794288,textual,True
42,yelp_1,PHONENUMBER,yelp_3,telephone,0.9323454149649636,mixed,True
43,yelp_3,state,yelp_4,state,0.9306053001563775,textual,True
44,yellow_pages_1,phone,yelp_1,PHONENUMBER,0.9298944754067598,mixed,True
45,zomato_2,cuisine,yelp_5,Cuisine,0.9276696501735754,textual,True
46,yelp_1,PHONENUMBER,zomato_3,PhoneNumber,0.9273427594273966,mixed,True
47,yelp_1,PHONENUMBER,yellow_pages_2,phone,0.9269777207050802,mixed,True
48,yelp_4,phone,yellow_pages_2,phone,0.9264798669802708,mixed,True
49,yelp_1,PHONENUMBER,yelp_5,PhoneNumber,0.9256347928070712,mixed,True
50,yelp_3,zipCode,yelp_4,zipcode,0.9254818720817394,numerical,True
51,yellow_pages_1,ratingValue,yelp_1,RATING,0.9230055418406048,numerical,True
52,yelp_3,telephone,yelp_4,phone,0.922251103065052,mixed,True
53,yelp_4,phone,zomato_2,phone,0.921576381884106,mixed,True
54,yellow_pages_1,phone,yelp_4,phone,0.9210602571611066,mixed,True
55,yellow_pages_1,zipCode,yelp_2,zip,0.9203685135478356,numerical,True
56,yelp_4,phone,zomato_1,PHONENUMBER,0.9188463735585546,mixed,True
57,yelp_2,phone,yelp_4,phone,0.9186915227982028,mixed,True
58,yelp_1,PHONENUMBER,yelp_4,phone,0.9184347852508647,mixed,True
59,yelp_3,category,zomato_3,Cuisine,0.9165690275452312,textual,True
60,yelp_4,id,yelp_5,_id,0.9160797136296958,numerical,True
61,yellow_pages_2,state,yelp_3,state,0.9157032662559272,textual,True
62,yellow_pages_2,state,yelp_4,state,0.9155467856882252,textual,True
63,yelp_4,phone,zomato_3,PhoneNumber,0.9153129321610514,mixed,True
64,yellow_pages_1,ratingValue,yelp_2,rating,0.915215629802928,numerical,True
65,yellow_pages_1,zipCode,zomato_2,zip,0.9145142026559264,numerical,True
66,yelp_4,phone,yelp_5,PhoneNumber,0.914365470821416,mixed,True
67,yellow_pages_1,ratingValue,yelp_3,ratingValue,0.9079805432645418,numerical,True
68,zagats_1,phone,zomato_2,phone,0.9058595348533636,mixed,True
69,yelp_2,phone,zagats_1,phone,0.904142156333866,mixed,True
70,yellow_pages_2,zipcode,yelp_3,zipCode,0.9038322546613824,numerical,True
71,zagats_1,phone,zomato_1,PHONENUMBER,0.9036502309141552,mixed,True
72,yellow_pages_1,streetAddress,zomato_3,Address,0.9034290917905212,textual,True
73,yelp_3,telephone,zagats_1,phone,0.9033144048206614,mixed,True
74,yellow_pages_1,streetAddress,yelp_2,address,0.9028109945012016,textual,True
75,zagats_1,phone,zomato_3,PhoneNumber,0.901581223841592,mixed,True
76,yellow_pages_1,phone,zagats_1,phone,0.9014628007051748,mixed,True
77,yelp_2,address,zomato_3,Address,0.8997945832752258,textual,True
78,zagats_1,phone,yellow_pages_2,phone,0.8996918291638604,mixed,True
79,yelp_5,PhoneNumber,zagats_1,phone,0.8985865433802868,mixed,True
80,yelp_3,id,zomato_2,ID,0.8953271478935607,numerical,True
81,yellow_pages_2,state,yellow_pages_1,state,0.8952167975455978,textual,True
82,yelp_5,_id,zomato_2,ID,0.8940907531631416,numerical,True
83,yelp_4,id,zomato_2,ID,0.8929440836163225,numerical,True
84,yelp_2,ID,zomato_3,_id,0.8925519862795764,numerical,True
85,yelp_2,address,yelp_3,streetAddress,0.892266302972456,textual,True
86,yelp_1,PHONENUMBER,zagats_1,phone,0.8903362012351157,mixed,True
87,fodors_1,phone,zomato_2,phone,0.8894874623781371,mixed,True
88,fodors_1,phone,yelp_2,phone,0.8889246451042074,mixed,True
89,yellow_pages_1,streetAddress,yelp_3,streetAddress,0.8888702228821597,textual,True
90,fodors_1,addr,zagats_1,addr,0.888777171366599,textual,True
91,yelp_3,id,yelp_4,id,0.8887199279575589,numerical,True
92,yelp_3,streetAddress,zomato_3,Address,0.8884723306748348,textual,True
93,yellow_pages_1,state,yelp_4,state,0.8880419471619125,textual,True
94,fodors_1,phone,zomato_1,PHONENUMBER,0.8871576384743417,mixed,True
95,fodors_1,phone,yelp_3,telephone,0.8870215543261111,mixed,True
96,yelp_3,id,yelp_5,_id,0.886725253443621,numerical,True
97,yelp_3,category,zomato_2,cuisine,0.8864055252718499,textual,True
98,yellow_pages_2,address,yelp_2,address,0.8856858747818441,textual,True
99,fodors_1,phone,yellow_pages_1,phone,0.8853324162696481,mixed,True
100,fodors_1,phone,zomato_3,PhoneNumber,0.8850604481249666,mixed,True
101,yellow_pages_1,streetAddress,yellow_pages_2,address,0.884815338442935,textual,True
102,yellow_pages_1,streetAddress,yelp_5,Address,0.8839719846219385,textual,True
103,yelp_5,Address,zomato_2,address,0.8836686498340418,textual,True
104,yelp_1,ADDRESS,zomato_1,ADDRESS,0.8835269519049379,textual,True
105,yellow_pages_2,address,zomato_3,Address,0.8834495598833919,textual,True
106,fodors_1,phone,yellow_pages_2,phone,0.8832746939450541,mixed,True
107,yellow_pages_1,streetAddress,zomato_2,address,0.8832055367395939,textual,True
108,zomato_1,ADDRESS,zomato_2,address,0.8831056800635179,textual,True
109,yelp_5,Address,zomato_3,Address,0.8827335979047578,textual,True
110,fodors_1,phone,yelp_5,PhoneNumber,0.8826142597887754,mixed,True
111,yelp_2,address,zomato_2,address,0.8825342467320171,textual,True
112,yelp_3,streetAddress,yellow_pages_2,address,0.8815260917478984,textual,True
113,yelp_3,category,yelp_5,Cuisine,0.8808307835267384,textual,True
114,yelp_2,address,yelp_5,Address,0.8789053329355205,textual,True
115,zomato_2,address,zomato_3,Address,0.8781646188534437,textual,True
116,yelp_4,phone,zagats_1,phone,0.8768051498404847,mixed,True
117,yelp_2,cuisine,yelp_3,category,0.8761555334113557,textual,True
118,fodors_1,phone,yelp_1,PHONENUMBER,0.8734372434959631,mixed,True
119,yelp_3,streetAddress,yelp_5,Address,0.8720542709454263,textual,True
120,yellow_pages_2,id,yelp_3,id,0.8717368778777537,numerical,True
121,yelp_1,ADDRESS,zomato_2,address,0.8713466581553234,textual,True
122,zomato_3,Cuisine,yelp_5,Cuisine,0.8708794657769812,textual,True
123,zomato_2,cuisine,zomato_3,Cuisine,0.8698232743656962,textual,True
124,yelp_5,_id,zomato_3,_id,0.8698203673993696,numerical,True
125,yellow_pages_1,id,yellow_pages_2,id,0.869702058635398,numerical,True
126,yelp_3,streetAddress,zomato_2,address,0.8684091448547611,textual,True
127,yelp_5,Address,zomato_1,ADDRESS,0.8679585650741473,textual,True
128,yellow_pages_1,id,yelp_3,id,0.866473743860773,numerical,True
129,yelp_4,id,zomato_3,_id,0.8651291432657466,numerical,True
130,yellow_pages_2,address,zomato_2,address,0.865036034563963,textual,True
131,yelp_5,Address,yellow_pages_2,address,0.8640823589881149,textual,True
132,yelp_3,streetAddress,yelp_4,address,0.8637282047102081,textual,True
133,yelp_2,cuisine,yelp_5,Cuisine,0.8635610589119506,textual,True
134,yellow_pages_2,website,yelp_3,website,0.8628227466512319,textual,True
135,zomato_3,Cuisine,yelp_2,cuisine,0.8625027802035327,textual,True
136,yelp_1,ADDRESS,yelp_5,Address,0.8623580990598051,textual,True
137,yelp_4,address,yellow_pages_2,address,0.8605115273319265,textual,True
138,fodors_1,phone,yelp_4,phone,0.8602859181518755,mixed,True
139,yelp_2,address,yelp_4,address,0.8597892558067082,textual,True
140,yelp_4,address,zomato_3,Address,0.8596491400297689,textual,True
141,zomato_2,cuisine,yelp_2,cuisine,0.8581408534029653,textual,True
142,yellow_pages_1,name,yelp_3,name,0.8563576821341167,textual,True
143,yellow_pages_1,website,yelp_3,website,0.856234760348171,textual,True
144,yelp_1,NAME,zomato_1,NAME,0.8558670148113079,textual,True
145,yellow_pages_1,streetAddress,yelp_4,address,0.8555242882469274,textual,True
146,yellow_pages_1,streetAddress,yelp_1,ADDRESS,0.855454768862056,textual,True
147,yellow_pages_1,streetAddress,zomato_1,ADDRESS,0.8540737025189464,textual,True
148,yellow_pages_2,name,yelp_5,Name,0.8539054987755668,textual,True
149,zomato_2,ID,zomato_3,_id,0.8529145854376274,numerical,True
150,yelp_2,ID,yelp_4,id,0.852084393978916,numerical,True
151,yelp_2,address,zomato_1,ADDRESS,0.851916514290799,textual,True
152,yellow_pages_1,name,zagats_1,name,0.8505201411020487,textual,True
153,yelp_4,address,yelp_5,Address,0.8501074186009399,textual,True
154,yelp_2,ID,yelp_5,_id,0.8494018073286356,numerical,True
155,yellow_pages_1,id,yelp_4,id,0.8488731111676535,numerical,True
156,yellow_pages_2,id,zomato_2,ID,0.8487578046803798,numerical,True
157,zomato_1,ADDRESS,zomato_3,Address,0.8483589593693412,textual,True
158,yellow_pages_1,id,zomato_2,ID,0.8478858768100488,numerical,True
159,yelp_2,name,yelp_5,Name,0.8474159108999,textual,True
160,yellow_pages_1,id,yelp_5,_id,0.8471008815294372,numerical,True
161,yelp_5,Name,zomato_3,Name,0.8470460018176069,textual,True
162,fodors_1,id,yelp_3,zipCode,0.8467501488938621,numerical,False
163,yelp_3,name,zagats_1,name,0.8460309558936387,textual,True
164,yelp_1,ADDRESS,zomato_3,Address,0.8454960264343696,textual,True
165,yelp_1,ADDRESS,yelp_2,address,0.8446094017047747,textual,True
166,yelp_4,address,zomato_2,address,0.8439584223373351,textual,True
167,yellow_pages_2,name,zomato_3,Name,0.8438342043303391,textual,True
168,yellow_pages_1,ratingValue,zomato_1,RATING,0.8428286227262471,numerical,True
169,yellow_pages_1,ratingValue,zomato_2,rating,0.8428105042246513,numerical,True
170,fodors_1,id,yelp_4,zipcode,0.8425634120868953,numerical,False
171,yellow_pages_1,categories,zomato_3,Cuisine,0.8415571156550182,textual,True
172,yelp_2,votes,zomato_2,votes,0.8413751205009026,numerical,True
173,yelp_2,ID,zomato_2,ID,0.8410778760457358,numerical,True
174,yelp_2,name,zomato_3,Name,0.8406822522252494,textual,True
175,yelp_3,streetAddress,zomato_1,ADDRESS,0.8404881145298221,textual,True
176,fodors_1,name,zagats_1,name,0.8404518012783332,textual,True
177,yellow_pages_2,name,yelp_2,name,0.8397594000234997,textual,True
178,yelp_2,rating,zomato_2,rating,0.8395333428847034,numerical,True
179,yellow_pages_2,address,zomato_1,ADDRESS,0.8381818799429388,textual,True
180,yellow_pages_2,id,yelp_4,id,0.8380711483534904,numerical,True
181,fodors_1,name,yelp_3,name,0.8377971882220475,textual,True
182,yelp_3,id,zomato_3,_id,0.8372356767002055,numerical,True
183,fodors_1,id,yellow_pages_2,zipcode,0.8372326648924704,numerical,False
184,fodors_1,name,yellow_pages_1,name,0.8372105719483888,textual,True
185,fodors_1,type,zagats_1,type,0.8362732897564149,textual,True
