,table_a,column_a,table_b,column_b,similarity,type,correct
0,yellow_pages_1,priceRange,yelp_3,priceRange,0.9929747045343396,textual,True
1,yelp_2,phone,zomato_2,phone,0.9915728300309544,mixed,True
2,yellow_pages_1,state,yelp_3,state,0.9911836758071506,textual,True
3,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.9908636264394282,mixed,True
4,yellow_pages_1,phone,yelp_2,phone,0.9898628008941928,mixed,True
5,yellow_pages_1,phone,zomato_2,phone,0.9896945151838936,mixed,True
6,yelp_2,zip,zomato_2,zip,0.988940160210142,numerical,True
7,yellow_pages_1,phone,yellow_pages_2,phone,0.988915470129766,mixed,True
8,yellow_pages_2,phone,zomato_2,phone,0.9886329082373078,mixed,True
9,yellow_pages_2,phone,yelp_2,phone,0.9882841056367528,mixed,True
10,yellow_pages_1,city,yelp_3,city,0.9881421055024464,textual,True
11,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.987308362779298,mixed,True
12,yellow_pages_2,zipcode,yelp_4,zipcode,0.9867067713400908,numerical,True
13,fodors_1,phone,zagats_1,phone,0.9866384739055056,mixed,True
14,yellow_pages_1,website,yellow_pages_2,website,0.9866033471968148,textual,True
15,yelp_3,state,yelp_4,state,0.9861210719522044,textual,True
16,yelp_4,phone,yellow_pages_2,phone,0.9852961045262728,mixed,True
17,yelp_4,phone,zomato_2,phone,0.9843154075070396,mixed,True
18,yellow_pages_1,phone,yelp_4,phone,0.9842121825624398,mixed,True
19,yelp_2,phone,yelp_4,phone,0.983738435689859,mixed,True
20,yellow_pages_2,state,yelp_3,state,0.9831406651721144,textual,True
21,yellow_pages_2,state,yelp_4,state,0.983109369058574,textual,True
22,yellow_pages_1,ratingValue,yelp_3,ratingValue,0.9815961205738372,numerical,True
23,zagats_1,phone,zomato_2,phone,0.9811720381008912,mixed,True
24,yelp_2,phone,zagats_1,phone,0.9808285623969916,mixed,True
25,yellow_pages_1,phone,zagats_1,phone,0.9802926912712534,mixed,True
26,zagats_1,phone,yellow_pages_2,phone,0.9799384969629904,mixed,True
27,yellow_pages_2,state,yellow_pages_1,state,0.9790433714300484,textual,True
28,fodors_1,phone,zomato_2,phone,0.977897623605846,mixed,True
29,fodors_1,phone,yelp_2,phone,0.97778506015106,mixed,True
30,yellow_pages_1,streetAddress,yelp_3,streetAddress,0.9777740564973608,textual,True
31,fodors_1,addr,zagats_1,addr,0.9777555654035384,textual,True
32,yelp_3,id,yelp_4,id,0.9777439975124408,numerical,True
33,yellow_pages_1,state,yelp_4,state,0.9776084013533114,textual,True
34,yellow_pages_2,address,yelp_2,address,0.9771373060865872,textual,True
35,fodors_1,phone,yellow_pages_1,phone,0.977066614384148,mixed,True
36,yelp_1,ADDRESS,zomato_1,ADDRESS,0.9767053426972716,textual,True
37,fodors_1,phone,yellow_pages_2,phone,0.9766550699192292,mixed,True
38,yelp_5,Address,zomato_3,Address,0.9765467315018804,textual,True
39,yelp_2,address,zomato_2,address,0.976506980476622,textual,True
40,yelp_4,phone,zagats_1,phone,0.9753611610983154,mixed,True
41,yellow_pages_2,id,yelp_3,id,0.9743473874964796,numerical,True
42,zomato_3,Cuisine,yelp_5,Cuisine,0.9741760838902594,textual,True
43,yelp_5,_id,zomato_3,_id,0.9739642046100924,numerical,True
44,yellow_pages_1,id,yellow_pages_2,id,0.9739404236480084,numerical,True
45,yellow_pages_1,id,yelp_3,id,0.9732947606930836,numerical,True
46,yellow_pages_2,address,zomato_2,address,0.9730073380430112,textual,True
47,yellow_pages_2,website,yelp_3,website,0.9725645612511752,textual,True
48,yelp_4,address,yellow_pages_2,address,0.9721024365966038,textual,True
49,fodors_1,phone,yelp_4,phone,0.9720573147605936,mixed,True
50,yelp_2,address,yelp_4,address,0.97195798229156,textual,True
51,zomato_2,cuisine,yelp_2,cuisine,0.9716283018108116,textual,True
52,yellow_pages_1,name,yelp_3,name,0.971271667557042,textual,True
53,yellow_pages_1,website,yelp_3,website,0.9712469639905632,textual,True
54,yelp_1,NAME,zomato_1,NAME,0.9711734148831904,textual,True
55,yellow_pages_1,name,zagats_1,name,0.9701041593506282,textual,True
56,yellow_pages_1,id,yelp_4,id,0.9697746341544596,numerical,True
57,yelp_5,Name,zomato_3,Name,0.96940933149374,textual,True
58,yelp_3,name,zagats_1,name,0.9692063223089462,textual,True
59,yelp_4,address,zomato_2,address,0.9687918155976856,textual,True
60,yelp_2,votes,zomato_2,votes,0.968275155230399,numerical,True
61,yelp_2,ID,zomato_2,ID,0.968215587130076,numerical,True
62,fodors_1,name,zagats_1,name,0.9680904913858852,textual,True
63,yellow_pages_2,name,yelp_2,name,0.9679520111349184,textual,True
64,yelp_2,rating,zomato_2,rating,0.9679067997071592,numerical,True
65,yellow_pages_2,id,yelp_4,id,0.967614241591627,numerical,True
66,fodors_1,name,yelp_3,name,0.967559568774628,textual,True
