,table_a,column_a,table_b,column_b,similarity,type,correct
0,yellow_pages_1,phone,yelp_3,telephone,0.9912447929382324,mixed,True
1,yelp_3,telephone,zomato_2,phone,0.9900745749473572,mixed,True
2,yelp_2,phone,zomato_2,phone,0.990063726902008,mixed,True
3,yelp_2,phone,yelp_3,telephone,0.9880834817886353,mixed,True
4,yelp_4,id,yelp_5,_id,0.987134575843811,numerical,True
5,yellow_pages_1,phone,yelp_2,phone,0.9869754910469056,mixed,True
6,yelp_1,RATING,yelp_3,ratingValue,0.9867751598358154,numerical,True
7,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.9866799712181092,mixed,True
8,yelp_3,telephone,zomato_1,PHONENUMBER,0.9862804412841796,mixed,True
9,yellow_pages_1,phone,zomato_2,phone,0.986215114593506,mixed,True
10,yellow_pages_2,phone,yelp_3,telephone,0.9858828186988832,mixed,True
11,yellow_pages_2,phone,zomato_1,PHONENUMBER,0.9857149720191956,mixed,True
12,yelp_2,rating,yelp_3,ratingValue,0.9854663014411926,numerical,True
13,yellow_pages_1,phone,yellow_pages_2,phone,0.985088348388672,mixed,True
14,zomato_1,PHONENUMBER,zomato_2,phone,0.9847314953804016,mixed,True
15,yelp_1,RATING,yelp_2,rating,0.9837364554405212,numerical,True
16,yellow_pages_1,phone,zomato_1,PHONENUMBER,0.9836389422416688,mixed,True
17,yellow_pages_2,phone,zomato_2,phone,0.983462929725647,mixed,True
18,zomato_1,PHONENUMBER,zomato_3,PhoneNumber,0.9818843007087708,mixed,True
19,yelp_2,phone,zomato_1,PHONENUMBER,0.9810791611671448,mixed,True
20,yelp_5,Cuisine,zomato_2,cuisine,0.9807785153388976,textual,True
21,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.9805642366409302,mixed,True
22,yelp_2,address,yelp_3,streetAddress,0.980464518070221,textual,True
23,yellow_pages_1,website,yellow_pages_2,website,0.9803783297538756,textual,True
24,yellow_pages_2,phone,yelp_2,phone,0.9803102612495422,mixed,True
25,yelp_5,PhoneNumber,zomato_1,PHONENUMBER,0.979783296585083,mixed,True
26,yellow_pages_1,streetAddress,zomato_3,Address,0.9797283411026,textual,True
27,yelp_1,PHONENUMBER,zomato_2,phone,0.9790698289871216,mixed,True
28,yelp_1,PHONENUMBER,yelp_3,telephone,0.9788742065429688,mixed,True
29,yellow_pages_2,phone,zomato_3,PhoneNumber,0.9785773754119872,mixed,True
30,yellow_pages_2,phone,yelp_1,PHONENUMBER,0.9783714413642884,mixed,True
31,yellow_pages_2,name,yelp_5,Name,0.9776762127876282,textual,True
32,yelp_2,address,zomato_3,Address,0.977675199508667,textual,True
33,yellow_pages_1,phone,yelp_1,PHONENUMBER,0.9774175882339478,mixed,True
34,yelp_1,PHONENUMBER,yelp_2,phone,0.9772771000862122,mixed,True
35,yelp_3,telephone,zomato_3,PhoneNumber,0.9771299362182616,mixed,True
36,yelp_2,name,yelp_5,Name,0.9768891334533693,textual,True
37,yellow_pages_1,zipCode,yelp_2,zip,0.9767351150512696,numerical,True
38,yelp_5,Name,zomato_3,Name,0.9764205813407898,textual,True
39,yelp_2,zip,zomato_2,zip,0.9763209223747252,numerical,True
40,zomato_2,phone,zomato_3,PhoneNumber,0.9759069681167604,mixed,True
41,yellow_pages_2,phone,yelp_5,PhoneNumber,0.9758302569389344,mixed,True
42,yellow_pages_2,name,zomato_3,Name,0.97580486536026,textual,True
43,yelp_3,name,zagats_1,name,0.9750983119010924,textual,True
44,yelp_1,PHONENUMBER,zomato_3,PhoneNumber,0.9749907851219176,mixed,True
45,yellow_pages_1,phone,zomato_3,PhoneNumber,0.974963128566742,mixed,True
46,yelp_2,ID,zomato_3,_id,0.974525511264801,numerical,True
47,yellow_pages_1,streetAddress,yelp_2,address,0.9742085933685304,textual,True
48,yellow_pages_2,zipcode,yelp_4,zipcode,0.9740906357765198,numerical,True
49,yelp_3,telephone,yelp_5,PhoneNumber,0.9740131497383118,mixed,True
50,yelp_2,name,zomato_2,name,0.9737828969955444,textual,True
51,yelp_2,phone,zomato_3,PhoneNumber,0.973088800907135,mixed,True
52,yellow_pages_1,phone,yelp_5,PhoneNumber,0.9728204607963562,mixed,True
53,yellow_pages_2,phone,yelp_4,phone,0.9725085496902466,mixed,True
54,yelp_1,PHONENUMBER,yelp_4,phone,0.9724963903427124,mixed,True
55,yellow_pages_1,name,yelp_3,name,0.9721980690956116,textual,True
56,yelp_5,PhoneNumber,zomato_2,phone,0.9719879627227784,mixed,True
57,yelp_1,PHONENUMBER,yelp_5,PhoneNumber,0.9719066619873048,mixed,True
58,yelp_3,streetAddress,zomato_3,Address,0.9716601371765136,textual,True
59,yelp_4,phone,zomato_1,PHONENUMBER,0.9707537889480592,mixed,True
60,yelp_2,phone,yelp_5,PhoneNumber,0.9704349637031556,mixed,True
61,yelp_3,telephone,yelp_4,phone,0.9701235890388488,mixed,True
62,zomato_1,RATING,zomato_2,rating,0.9697295427322388,numerical,True
63,yellow_pages_2,address,yelp_3,streetAddress,0.96965754032135,textual,True
64,yellow_pages_2,address,yelp_2,address,0.9696319699287416,textual,True
65,yellow_pages_1,name,zagats_1,name,0.9692535400390624,textual,True
66,yellow_pages_1,phone,yelp_4,phone,0.96917724609375,mixed,True
67,yelp_4,phone,zomato_2,phone,0.9689930081367492,mixed,True
68,yelp_2,name,zomato_3,Name,0.9688204526901244,textual,True
69,yellow_pages_1,priceRange,yelp_3,priceRange,0.9684000611305236,textual,True
70,yelp_4,id,zomato_2,ID,0.9676016569137572,numerical,True
71,yellow_pages_1,streetAddress,yelp_3,streetAddress,0.9674451351165771,textual,True
72,fodors_1,phone,zagats_1,phone,0.9668615460395812,mixed,True
73,fodors_1,addr,zagats_1,addr,0.9667313098907472,textual,True
74,yelp_2,phone,yelp_4,phone,0.966403305530548,mixed,True
75,yellow_pages_2,name,yelp_2,name,0.9663453102111816,textual,True
76,yelp_4,phone,zomato_3,PhoneNumber,0.9659293293952942,mixed,True
77,fodors_1,name,zagats_1,name,0.9654105305671692,textual,True
78,yelp_5,_id,zomato_2,ID,0.9648005366325378,numerical,True
79,yellow_pages_2,address,yelp_4,address,0.9647303223609924,textual,True
80,yelp_4,phone,yelp_5,PhoneNumber,0.9646236300468444,mixed,True
81,yelp_3,id,zomato_2,ID,0.9643186330795288,numerical,True
82,fodors_1,name,yelp_3,name,0.9638903737068176,textual,True
83,yellow_pages_1,zipCode,zomato_2,zip,0.9634063839912416,numerical,True
84,yelp_3,category,zomato_3,Cuisine,0.9631491303443908,textual,True
85,yelp_5,Name,zomato_2,name,0.9631258845329284,textual,True
86,yellow_pages_2,address,zomato_3,Address,0.9625401496887208,textual,True
87,yellow_pages_1,state,yelp_3,state,0.9614821672439576,textual,True
88,yelp_3,zipCode,yelp_4,zipcode,0.9613165855407716,numerical,True
89,yellow_pages_1,city,yelp_3,city,0.9593008756637572,textual,True
90,yelp_5,Address,zomato_2,address,0.9590327143669128,textual,True
91,zomato_2,name,zomato_3,Name,0.9586557149887084,textual,True
92,yelp_3,id,yelp_4,id,0.956476867198944,numerical,True
93,yelp_3,streetAddress,yelp_4,address,0.9558188319206238,textual,True
94,yellow_pages_1,streetAddress,yellow_pages_2,address,0.9557778835296632,textual,True
95,yellow_pages_2,state,yelp_4,state,0.955751359462738,textual,True
96,yellow_pages_2,state,yelp_3,state,0.955251693725586,textual,True
97,yelp_4,name,zomato_2,name,0.9540088176727296,textual,True
98,yelp_3,id,yelp_5,_id,0.9538908004760742,numerical,True
99,fodors_1,name,yellow_pages_1,name,0.9536458253860474,textual,True
100,yelp_1,NAME,zomato_1,NAME,0.9534682035446168,textual,True
101,yellow_pages_2,name,zomato_2,name,0.9526607394218444,textual,True
102,yellow_pages_1,id,yellow_pages_2,id,0.9506819844245912,numerical,True
103,yelp_2,cuisine,yelp_5,Cuisine,0.9493723511695862,textual,True
104,yelp_3,state,yelp_4,state,0.9484899044036864,textual,True
105,yelp_2,address,yelp_4,address,0.9484824538230896,textual,True
106,zomato_1,ADDRESS,zomato_2,address,0.946699321269989,textual,True
107,yelp_2,name,yelp_4,name,0.9461498856544496,textual,True
108,yellow_pages_1,id,yelp_3,id,0.946089506149292,numerical,True
109,yellow_pages_1,streetAddress,yelp_5,Address,0.9453696608543396,textual,True
110,yellow_pages_1,ratingValue,yelp_1,RATING,0.9450358748435974,numerical,True
