,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-00-cos,0.36231884057971014,0.3834355828220859,0.37257824143070045,0.20018450184501846,0.0984009840098401,0.06015870086731869,0.042968235139053644,0.03341875961045618,0.2392638036809816
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-00-euc,0.36231884057971014,0.3834355828220859,0.37257824143070045,0.20018450184501846,0.0984009840098401,0.06015870086731869,0.042968235139053644,0.03341875961045618,0.2392638036809816
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-01-cos,0.6,0.6349693251533742,0.6169895678092399,0.1955521472392638,0.08235294117647059,0.05002301672548719,0.03572994300745287,0.027791986359761295,0.294478527607362
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-01-euc,0.6492753623188405,0.6871165644171779,0.6676602086438151,0.20306204673650283,0.0862439548629769,0.05255521521844269,0.037535981577432355,0.0291957728819631,0.3619631901840491
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-02-cos,0.663768115942029,0.7024539877300614,0.6825633383010432,0.18413793103448275,0.07426994711427914,0.04498413136470263,0.03213088902030357,0.0249904177845918,0.35276073619631904
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-02-euc,0.6811594202898551,0.7208588957055214,0.7004470938897168,0.19156540385989992,0.0767580452920143,0.046631383206980404,0.03330608908868002,0.025905912269548633,0.4171779141104294
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-03-cos,0.6695652173913044,0.7085889570552147,0.6885245901639344,0.17603748326639893,0.07185896005355948,0.043652919121585435,0.03118125298900048,0.02425234340127957,0.3987730061349693
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-03-euc,0.7043478260869566,0.745398773006135,0.7242921013412817,0.1826205023761032,0.07288365776369397,0.04428144525944037,0.0316289900067915,0.0246000603682463,0.4723926380368098
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-04-cos,0.6782608695652174,0.7177914110429447,0.6974664679582713,0.1645653616456536,0.07125470236778048,0.043287743991501794,0.030920990230484682,0.024050165990409444,0.40797546012269936
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-04-euc,0.6753623188405797,0.7147239263803681,0.6944858420268257,0.17455029980013326,0.07150788363313347,0.043437708194536975,0.031026934424669268,0.024132060108076097,0.5061349693251533
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-05-cos,0.6521739130434783,0.6901840490797546,0.6706408345752608,0.15838303512259774,0.07116022099447514,0.04309201803235216,0.030874135808315183,0.02401473296500921,0.450920245398773
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-05-euc,0.6695652173913044,0.7085889570552147,0.6885245901639344,0.1656726308813784,0.07116022099447514,0.04322460885706709,0.030874135808315183,0.02401473296500921,0.5184049079754601
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-06-cos,0.6376811594202898,0.6748466257668712,0.6557377049180327,0.15308151093439365,0.06803622708195273,0.04294803817603393,0.030865366407877296,0.024005891016200296,0.5
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-06-euc,0.6608695652173913,0.6993865030674846,0.6795827123695976,0.15827814569536425,0.071113074204947,0.04306346892805088,0.0308536816202915,0.02399882214369847,0.5184049079754601
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-07-cos,0.6289855072463768,0.6656441717791411,0.6467958271236959,0.14314115308151093,0.061851115529047936,0.04148442677269715,0.030767774306541703,0.024004123407701937,0.5153374233128835
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-07-euc,0.6347826086956522,0.6717791411042945,0.6527570789865872,0.14966887417218544,0.06778538308677412,0.04279846296541672,0.0308536816202915,0.023997055576002943,0.5214723926380368
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-08-cos,0.6202898550724638,0.656441717791411,0.6378539493293591,0.13386348575215373,0.053015241882041084,0.037778366914103925,0.02982672095445507,0.02400765888504308,0.5184049079754601
