,table_a,column_a,table_b,column_b,similarity,type,correct
0,stockport_contracts_1,Client,stockport_contracts_10,Client,1.0,textual,True
1,stockport_contracts_1,Client,stockport_contracts_2,Client,1.0,textual,True
2,stockport_contracts_1,Client,stockport_contracts_3,Client,1.0,textual,True
3,stockport_contracts_1,Client,stockport_contracts_6,Client,1.0,textual,True
4,stockport_contracts_1,Client,stockport_contracts_7,Client,1.0,textual,True
5,stockport_contracts_1,Client,stockport_contracts_8,Client,1.0,textual,True
6,stockport_contracts_1,Client,stockport_contracts_9,Client,1.0,textual,True
7,stockport_contracts_10,Client,stockport_contracts_2,Client,1.0,textual,True
8,stockport_contracts_10,Client,stockport_contracts_3,Client,1.0,textual,True
9,stockport_contracts_10,Client,stockport_contracts_6,Client,1.0,textual,True
10,stockport_contracts_10,Client,stockport_contracts_7,Client,1.0,textual,True
11,stockport_contracts_10,Client,stockport_contracts_8,Client,1.0,textual,True
12,stockport_contracts_10,Client,stockport_contracts_9,Client,1.0,textual,True
13,stockport_contracts_2,Client,stockport_contracts_3,Client,1.0,textual,True
14,stockport_contracts_2,Client,stockport_contracts_6,Client,1.0,textual,True
15,stockport_contracts_2,Client,stockport_contracts_7,Client,1.0,textual,True
16,stockport_contracts_2,Client,stockport_contracts_8,Client,1.0,textual,True
17,stockport_contracts_2,Client,stockport_contracts_9,Client,1.0,textual,True
18,stockport_contracts_3,Client,stockport_contracts_6,Client,1.0,textual,True
19,stockport_contracts_3,Client,stockport_contracts_7,Client,1.0,textual,True
20,stockport_contracts_3,Client,stockport_contracts_8,Client,1.0,textual,True
21,stockport_contracts_3,Client,stockport_contracts_9,Client,1.0,textual,True
22,stockport_contracts_6,Client,stockport_contracts_7,Client,1.0,textual,True
23,stockport_contracts_6,Client,stockport_contracts_8,Client,1.0,textual,True
24,stockport_contracts_6,Client,stockport_contracts_9,Client,1.0,textual,True
25,stockport_contracts_7,Client,stockport_contracts_8,Client,1.0,textual,True
26,stockport_contracts_7,Client,stockport_contracts_9,Client,1.0,textual,True
27,stockport_contracts_8,Client,stockport_contracts_9,Client,1.0,textual,True
28,stockport_contracts_7,UID,stockport_contracts_8,UID,0.9999706745147704,numerical,True
29,stockport_contracts_2,UID,stockport_contracts_3,UID,0.999970316886902,numerical,True
30,stockport_contracts_6,UID,stockport_contracts_7,UID,0.9999678134918212,numerical,True
31,stockport_contracts_5,Status,stockport_contracts_9,Status,0.9999549984931946,textual,True
32,stockport_contracts_5,Council Directorate,stockport_contracts_9,Council Directorate,0.9999486207962036,textual,True
33,stockport_contracts_1,UID,stockport_contracts_3,UID,0.9999439120292664,numerical,True
34,stockport_contracts_6,UID,stockport_contracts_8,UID,0.9999340176582336,numerical,True
35,stockport_contracts_3,Council Directorate,stockport_contracts_7,Council Directorate,0.9999319314956664,textual,True
36,stockport_contracts_1,UID,stockport_contracts_2,UID,0.999919056892395,numerical,True
37,stockport_contracts_6,Council Directorate,stockport_contracts_7,Council Directorate,0.9998930096626282,textual,True
38,stockport_contracts_3,Council Directorate,stockport_contracts_6,Council Directorate,0.9998689293861388,textual,True
39,stockport_contracts_7,Postcode,stockport_contracts_8,Postcode,0.9998610019683838,textual,True
40,stockport_contracts_2,Pro Class,stockport_contracts_3,Pro Class,0.999845027923584,textual,True
41,stockport_contracts_3,UID,stockport_contracts_8,UID,0.999836564064026,numerical,True
42,stockport_contracts_5,Postcode,stockport_contracts_9,Postcode,0.9998325109481812,textual,True
43,stockport_contracts_2,Council Directorate,stockport_contracts_3,Council Directorate,0.9998299479484558,textual,True
44,stockport_contracts_10,Council Directorate,stockport_contracts_6,Council Directorate,0.99982750415802,textual,True
45,stockport_contracts_7,Pro Class,stockport_contracts_8,Pro Class,0.9998201727867126,textual,True
46,stockport_contracts_2,UID,stockport_contracts_6,UID,0.9998121857643129,numerical,True
47,stockport_contracts_3,UID,stockport_contracts_7,UID,0.9998096823692322,numerical,True
48,stockport_contracts_3,UID,stockport_contracts_6,UID,0.9998074769973756,numerical,True
49,stockport_contracts_2,UID,stockport_contracts_8,UID,0.9998050928115844,numerical,True
50,stockport_contracts_1,Registered Number,stockport_contracts_7,Registered Number,0.9998028874397278,mixed,True
51,stockport_contracts_1,Postcode,stockport_contracts_9,Postcode,0.9998027682304382,textual,True
52,stockport_contracts_1,Postcode,stockport_contracts_7,Postcode,0.9998006820678712,textual,True
