,table_a,column_a,table_b,column_b,similarity,type,correct
0,stockport_contracts_1,Client,stockport_contracts_10,Client,1.0,textual,True
1,stockport_contracts_1,Client,stockport_contracts_2,Client,1.0,textual,True
2,stockport_contracts_1,Client,stockport_contracts_3,Client,1.0,textual,True
3,stockport_contracts_1,Client,stockport_contracts_7,Client,1.0,textual,True
4,stockport_contracts_1,Client,stockport_contracts_9,Client,1.0,textual,True
5,stockport_contracts_10,Client,stockport_contracts_2,Client,1.0,textual,True
6,stockport_contracts_10,Client,stockport_contracts_3,Client,1.0,textual,True
7,stockport_contracts_10,Client,stockport_contracts_7,Client,1.0,textual,True
8,stockport_contracts_10,Client,stockport_contracts_9,Client,1.0,textual,True
9,stockport_contracts_2,Client,stockport_contracts_3,Client,1.0,textual,True
10,stockport_contracts_2,Client,stockport_contracts_7,Client,1.0,textual,True
11,stockport_contracts_2,Client,stockport_contracts_9,Client,1.0,textual,True
12,stockport_contracts_3,Client,stockport_contracts_7,Client,1.0,textual,True
13,stockport_contracts_3,Client,stockport_contracts_9,Client,1.0,textual,True
14,stockport_contracts_7,Client,stockport_contracts_9,Client,1.0,textual,True
15,stockport_contracts_1,Client,stockport_contracts_8,Client,0.9999999403953552,textual,True
16,stockport_contracts_10,Client,stockport_contracts_8,Client,0.9999999403953552,textual,True
17,stockport_contracts_2,Client,stockport_contracts_8,Client,0.9999999403953552,textual,True
18,stockport_contracts_3,Client,stockport_contracts_8,Client,0.9999999403953552,textual,True
19,stockport_contracts_7,Client,stockport_contracts_8,Client,0.9999999403953552,textual,True
20,stockport_contracts_8,Client,stockport_contracts_9,Client,0.9999999403953552,textual,True
21,stockport_contracts_1,Client,stockport_contracts_6,Client,0.9999996423721312,textual,True
22,stockport_contracts_10,Client,stockport_contracts_6,Client,0.9999996423721312,textual,True
23,stockport_contracts_2,Client,stockport_contracts_6,Client,0.9999996423721312,textual,True
24,stockport_contracts_3,Client,stockport_contracts_6,Client,0.9999996423721312,textual,True
25,stockport_contracts_6,Client,stockport_contracts_7,Client,0.9999996423721312,textual,True
26,stockport_contracts_6,Client,stockport_contracts_8,Client,0.9999996423721312,textual,True
27,stockport_contracts_6,Client,stockport_contracts_9,Client,0.9999996423721312,textual,True
28,stockport_contracts_7,UID,stockport_contracts_8,UID,0.99563729763031,numerical,True
29,stockport_contracts_2,UID,stockport_contracts_3,UID,0.9955953359603882,numerical,True
30,stockport_contracts_6,UID,stockport_contracts_7,UID,0.9954248666763306,numerical,True
31,stockport_contracts_5,Status,stockport_contracts_9,Status,0.994574248790741,textual,True
32,stockport_contracts_1,UID,stockport_contracts_3,UID,0.9939676523208618,numerical,True
33,stockport_contracts_5,Council Directorate,stockport_contracts_9,Council Directorate,0.9937590956687928,textual,True
34,stockport_contracts_6,UID,stockport_contracts_8,UID,0.9934561252593994,numerical,True
35,stockport_contracts_3,Council Directorate,stockport_contracts_7,Council Directorate,0.9931944608688354,textual,True
36,stockport_contracts_1,UID,stockport_contracts_2,UID,0.9927453398704528,numerical,True
37,stockport_contracts_7,Postcode,stockport_contracts_8,Postcode,0.9906311631202698,textual,True
38,stockport_contracts_3,Council Directorate,stockport_contracts_6,Council Directorate,0.9902570247650146,textual,True
39,stockport_contracts_6,Council Directorate,stockport_contracts_7,Council Directorate,0.9900273084640504,textual,True
40,stockport_contracts_2,Pro Class,stockport_contracts_3,Pro Class,0.9900014996528624,textual,True
41,stockport_contracts_5,Postcode,stockport_contracts_9,Postcode,0.9897630214691162,textual,True
42,stockport_contracts_3,UID,stockport_contracts_8,UID,0.989698588848114,numerical,True
43,stockport_contracts_7,Pro Class,stockport_contracts_8,Pro Class,0.989366888999939,textual,True
44,stockport_contracts_1,Postcode,stockport_contracts_9,Postcode,0.9890533685684204,textual,True
45,stockport_contracts_2,UID,stockport_contracts_6,UID,0.98895925283432,numerical,True
46,stockport_contracts_3,UID,stockport_contracts_7,UID,0.988885223865509,numerical,True
47,stockport_contracts_3,UID,stockport_contracts_6,UID,0.9888186454772948,numerical,True
48,stockport_contracts_2,UID,stockport_contracts_8,UID,0.9887516498565674,numerical,True
49,stockport_contracts_1,Registered Number,stockport_contracts_7,Registered Number,0.988704264163971,mixed,True
50,stockport_contracts_1,Postcode,stockport_contracts_7,Postcode,0.9886017441749572,textual,True
51,stockport_contracts_10,Council Directorate,stockport_contracts_6,Council Directorate,0.9884774088859558,textual,True
