,table_a,column_a,table_b,column_b,similarity,type,correct
0,amo-ame-2009-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.9963996410369872,numerical,True
1,amo-ame-2009-eng,OBJ_CD,amo-ame-2010-eng,OBJ_CD,0.996134877204895,numerical,True
2,amo-ame-2010-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.995895266532898,numerical,True
3,amo-ame-2012-eng,Amount,amo-ame-2013-eng,Amount,0.9955650568008424,numerical,True
4,amo-ame-2009-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.995201587677002,numerical,True
5,amo-ame-2010-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9948409795761108,numerical,True
6,amo-ame-2011-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9945505857467652,numerical,True
7,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2011-eng,AGRG_PYMT_AMT,0.9937773942947388,numerical,True
8,amo-ame-2013-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9929333925247192,numerical,True
9,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.9918986558914183,numerical,True
10,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9889041185379028,numerical,True
11,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.9886864423751832,numerical,True
12,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9877480268478394,numerical,True
13,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.9869718551635742,numerical,True
14,amo-ame-2017-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.984550714492798,numerical,True
15,amo-ame-2012-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9840102195739746,numerical,True
16,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.9837309122085572,numerical,True
