,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_11,CountryEN,cihr_co-applicant_4,CountryEN,1.0,textual,True
1,cihr_co-applicant_6,Country,cihr_co-applicant_8,Country,1.0,textual,True
2,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,0.998659610748291,textual,True
3,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.998659610748291,textual,True
4,cihr_co-applicant_10,Country,cihr_co-applicant_3,Country,0.9976763725280762,textual,True
5,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_4,FundingTypeEN,0.9973465204238892,textual,True
6,cihr_co-applicant_10,Country,cihr_co-applicant_6,Country,0.997319221496582,textual,True
7,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,0.997319221496582,textual,True
8,cihr_co-applicant_6,Country,cihr_co-applicant_9,Country,0.997319221496582,textual,True
9,cihr_co-applicant_8,Country,cihr_co-applicant_9,Country,0.997319221496582,textual,True
10,cihr_co-applicant_3,Country,cihr_co-applicant_6,Country,0.9962145090103148,textual,True
11,cihr_co-applicant_3,Country,cihr_co-applicant_8,Country,0.9962145090103148,textual,True
12,cihr_co-applicant_10,Country,cihr_co-applicant_9,Country,0.994638442993164,textual,True
13,cihr_co-applicant_3,Country,cihr_co-applicant_9,Country,0.9938653707504272,textual,True
14,cihr_co-applicant_0,Country,cihr_co-applicant_9,Country,0.9937074184417723,textual,True
15,cihr_co-applicant_10,Province,cihr_co-applicant_3,Province,0.9922815561294556,textual,True
16,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9920393228530884,textual,True
17,cihr_co-applicant_8,Province,cihr_co-applicant_9,Province,0.99171781539917,textual,True
18,cihr_co-applicant_0,Country,cihr_co-applicant_6,Country,0.9915461540222168,textual,True
19,cihr_co-applicant_0,Country,cihr_co-applicant_8,Country,0.9915461540222168,textual,True
20,cihr_co-applicant_4,AppNm,cihr_co-applicant_5,AppNm,0.9915084838867188,textual,True
21,cihr_co-applicant_6,App Name,cihr_co-applicant_8,App Name,0.9913510084152222,textual,True
22,cihr_co-applicant_3,Province,cihr_co-applicant_9,Province,0.9907957315444946,textual,True
23,cihr_co-applicant_6,App Name,cihr_co-applicant_9,App Name,0.9906086921691896,textual,True
24,cihr_co-applicant_8,Org Code,cihr_co-applicant_9,Org Code,0.9900747537612916,textual,True
25,cihr_co-applicant_2,AppNm,cihr_co-applicant_5,AppNm,0.9895975589752196,textual,True
26,cihr_co-applicant_10,Province,cihr_co-applicant_9,Province,0.9895607233047484,textual,True
27,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.989385724067688,textual,True
28,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.989385724067688,textual,True
29,cihr_co-applicant_4,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.98936128616333,textual,True
30,cihr_co-applicant_0,Country,cihr_co-applicant_10,Country,0.9891504049301147,textual,True
31,cihr_co-applicant_8,App Name,cihr_co-applicant_9,App Name,0.9891340732574464,textual,True
32,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_4,ProvinceEN,0.9890817403793336,textual,True
33,cihr_co-applicant_0,Country,cihr_co-applicant_3,Country,0.9890758991241456,textual,True
34,cihr_co-applicant_4,AppOrgID,cihr_co-applicant_5,AppOrgID,0.989020586013794,textual,True
35,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_5,AppOrgID,0.9886174201965332,textual,True
36,cihr_co-applicant_3,Province,cihr_co-applicant_8,Province,0.9885309934616088,textual,True
37,cihr_co-applicant_2,AppNm,cihr_co-applicant_4,AppNm,0.9884895086288452,textual,True
38,cihr_co-applicant_0,Province,cihr_co-applicant_3,Province,0.988434076309204,textual,True
39,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9882923364639282,textual,True
40,cihr_co-applicant_0,Province,cihr_co-applicant_9,Province,0.9879305362701416,textual,True
41,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_4,AppOrgNm,0.9877675771713256,textual,True
42,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.9877221584320068,textual,True
43,cihr_co-applicant_11,AppNm,cihr_co-applicant_4,AppNm,0.987651824951172,textual,True
44,cihr_co-applicant_11,AppNm,cihr_co-applicant_2,AppNm,0.9875706434249878,textual,True
45,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9875389337539672,textual,True
46,cihr_co-applicant_11,TitreApplicationTitle,cihr_co-applicant_5,TitreApplicationTitle,0.987429141998291,textual,True
47,cihr_co-applicant_10,Province,cihr_co-applicant_6,Province,0.9873390197753906,textual,True
48,cihr_co-applicant_0,Organization Code,cihr_co-applicant_10,Organization Code,0.987129807472229,textual,True
49,cihr_co-applicant_6,Program Name,cihr_co-applicant_8,Program Name,0.9870703220367432,textual,True
50,cihr_co-applicant_11,AppNm,cihr_co-applicant_5,AppNm,0.987025022506714,textual,True
51,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.9867322444915771,textual,True
52,cihr_co-applicant_10,Province,cihr_co-applicant_8,Province,0.986331582069397,textual,True
53,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.985395073890686,textual,True
54,cihr_co-applicant_0,Province,cihr_co-applicant_10,Province,0.9853538274765016,textual,True
55,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_4,AppOrgID,0.9850661754608154,textual,True
56,cihr_co-applicant_8,Title of Study,cihr_co-applicant_9,Title of Study,0.9850314855575562,textual,True
57,cihr_co-applicant_10,Title of Study,cihr_co-applicant_9,Title of Study,0.9849745035171508,textual,True
