,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_11,CountryEN,cihr_co-applicant_4,CountryEN,1.0,textual,True
1,cihr_co-applicant_6,Country,cihr_co-applicant_8,Country,1.0,textual,True
2,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,0.9987015724182128,textual,True
3,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.9987015724182128,textual,True
4,cihr_co-applicant_10,Country,cihr_co-applicant_3,Country,0.9981173276901244,textual,True
5,cihr_co-applicant_10,Country,cihr_co-applicant_6,Country,0.9974032640457152,textual,True
6,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,0.9974032640457152,textual,True
7,cihr_co-applicant_6,Country,cihr_co-applicant_9,Country,0.9974032640457152,textual,True
8,cihr_co-applicant_8,Country,cihr_co-applicant_9,Country,0.9974032640457152,textual,True
9,cihr_co-applicant_3,Country,cihr_co-applicant_6,Country,0.9970694780349731,textual,True
10,cihr_co-applicant_3,Country,cihr_co-applicant_8,Country,0.9970694780349731,textual,True
11,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_4,FundingTypeEN,0.996404767036438,textual,True
12,cihr_co-applicant_10,Country,cihr_co-applicant_9,Country,0.9948064088821412,textual,True
13,cihr_co-applicant_3,Country,cihr_co-applicant_9,Country,0.9947925806045532,textual,True
14,cihr_co-applicant_0,Country,cihr_co-applicant_9,Country,0.994066834449768,textual,True
15,cihr_co-applicant_3,Province,cihr_co-applicant_9,Province,0.9924497604370116,textual,True
16,cihr_co-applicant_0,Country,cihr_co-applicant_6,Country,0.9918479919433594,textual,True
17,cihr_co-applicant_0,Country,cihr_co-applicant_8,Country,0.9918479919433594,textual,True
18,cihr_co-applicant_10,Province,cihr_co-applicant_9,Province,0.991318941116333,textual,True
19,cihr_co-applicant_0,Country,cihr_co-applicant_3,Country,0.9900107383728028,textual,True
20,cihr_co-applicant_10,Province,cihr_co-applicant_3,Province,0.989794135093689,textual,True
21,cihr_co-applicant_0,Country,cihr_co-applicant_10,Country,0.989455223083496,textual,True
22,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.989214301109314,textual,True
23,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9856630563735962,textual,True
24,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.985619068145752,textual,True
25,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.985619068145752,textual,True
26,cihr_co-applicant_8,Province,cihr_co-applicant_9,Province,0.985094428062439,textual,True
27,cihr_co-applicant_0,Province,cihr_co-applicant_3,Province,0.9850180149078368,textual,True
28,cihr_co-applicant_10,Province,cihr_co-applicant_8,Province,0.9840878248214722,textual,True
29,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_4,ProvinceEN,0.9839739799499512,textual,True
30,cihr_co-applicant_0,Province,cihr_co-applicant_9,Province,0.9838489294052124,textual,True
31,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_4,AppOrgID,0.98382568359375,textual,True
32,cihr_co-applicant_3,Province,cihr_co-applicant_8,Province,0.9828546047210692,textual,True
33,cihr_co-applicant_10,Province,cihr_co-applicant_6,Province,0.982030153274536,textual,True
34,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.98202383518219,textual,True
35,cihr_co-applicant_0,Province,cihr_co-applicant_8,Province,0.9806324243545532,textual,True
36,cihr_co-applicant_11,CountryEN,cihr_co-applicant_2,CountryEN,0.9801948070526124,textual,True
37,cihr_co-applicant_2,CountryEN,cihr_co-applicant_4,CountryEN,0.9801948070526124,textual,True
38,cihr_co-applicant_4,AppOrgID,cihr_co-applicant_5,AppOrgID,0.9799854755401612,textual,True
39,cihr_co-applicant_2,CountryEN,cihr_co-applicant_5,CountryEN,0.9796684980392456,textual,True
40,cihr_co-applicant_6,Province,cihr_co-applicant_9,Province,0.9790661334991456,textual,True
41,cihr_co-applicant_0,Province,cihr_co-applicant_10,Province,0.9788856506347656,textual,True
42,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9781715869903564,textual,True
43,cihr_co-applicant_8,Code,cihr_co-applicant_9,Code,0.978141188621521,textual,True
44,cihr_co-applicant_3,Province,cihr_co-applicant_6,Province,0.9779455661773682,textual,True
45,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.9779318571090698,textual,True
46,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.9777672290802002,textual,True
47,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_5,AreasOfScienceEN,0.9773919582366944,textual,True
48,cihr_co-applicant_6,Program Name,cihr_co-applicant_8,Program Name,0.9771895408630372,textual,True
49,cihr_co-applicant_6,CommitteeNameEN,cihr_co-applicant_7,CommitteeNameEN,0.9766945838928224,textual,True
50,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_5,AppOrgID,0.976643443107605,textual,True
51,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_9,Areas of Study,0.9765346050262452,textual,True
52,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_4,AppOrgNm,0.9754304885864258,textual,True
53,cihr_co-applicant_6,Program ID,cihr_co-applicant_8,Program ID,0.9749326705932616,textual,True
54,cihr_co-applicant_2,ProvinceEN,cihr_co-applicant_4,ProvinceEN,0.9741241931915284,textual,True
55,cihr_co-applicant_8,Org Name,cihr_co-applicant_9,Org Name,0.9735205173492432,textual,True
56,cihr_co-applicant_10,Funding Category,cihr_co-applicant_6,Funding Category,0.9733806848526,textual,True
57,cihr_co-applicant_8,Org Code,cihr_co-applicant_9,Org Code,0.9725968837738036,textual,True
