,table_a,column_a,table_b,column_b,similarity,type,correct
0,yelp_2,phone,zomato_2,phone,0.9958505630493164,mixed,True
1,yellow_pages_1,phone,yelp_2,phone,0.9955981969833374,mixed,True
2,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.995497226715088,mixed,True
3,yellow_pages_1,phone,zomato_2,phone,0.995205283164978,mixed,True
4,yellow_pages_1,phone,yellow_pages_2,phone,0.9937744140625,mixed,True
5,yellow_pages_2,phone,zomato_2,phone,0.993671178817749,mixed,True
6,yellow_pages_2,phone,yelp_2,phone,0.9919960498809814,mixed,True
7,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.990565538406372,mixed,True
8,yelp_2,zip,zomato_2,zip,0.9871214628219604,numerical,True
9,yelp_5,Name,zomato_3,Name,0.9860730171203612,textual,True
10,yellow_pages_1,website,yellow_pages_2,website,0.9855517148971558,textual,True
11,yelp_2,name,zomato_2,name,0.9842129945755004,textual,True
12,fodors_1,phone,zagats_1,phone,0.983823537826538,mixed,True
13,yellow_pages_1,priceRange,yelp_3,priceRange,0.983120322227478,textual,True
14,yellow_pages_1,name,yelp_3,name,0.9824166297912598,textual,True
15,yelp_4,phone,zomato_2,phone,0.9821133613586426,mixed,True
16,yellow_pages_2,phone,yelp_4,phone,0.9818176031112672,mixed,True
17,yellow_pages_1,phone,yelp_4,phone,0.981812596321106,mixed,True
18,yelp_2,phone,yelp_4,phone,0.9814826250076294,mixed,True
19,fodors_1,name,yelp_3,name,0.9812700748443604,textual,True
20,yellow_pages_2,zipcode,yelp_4,zipcode,0.9805251359939576,numerical,True
21,yelp_3,id,yelp_4,id,0.980404257774353,numerical,True
22,yellow_pages_1,city,yelp_3,city,0.9801105260849,textual,True
23,yellow_pages_1,streetAddress,yelp_3,streetAddress,0.9793860912322998,textual,True
24,yellow_pages_2,name,yelp_2,name,0.9788082838058472,textual,True
25,yellow_pages_2,address,yelp_4,address,0.977867603302002,textual,True
26,yellow_pages_2,address,yelp_2,address,0.9771518707275392,textual,True
27,yelp_3,name,zagats_1,name,0.9763835668563844,textual,True
28,fodors_1,name,zagats_1,name,0.9761115312576294,textual,True
29,yellow_pages_1,id,yellow_pages_2,id,0.9754965305328368,numerical,True
30,fodors_1,phone,yellow_pages_1,phone,0.9754208326339722,mixed,True
31,yellow_pages_1,phone,zagats_1,phone,0.9753930568695068,mixed,True
32,fodors_1,phone,yelp_2,phone,0.9753351211547852,mixed,True
33,yelp_2,phone,zagats_1,phone,0.9752258062362672,mixed,True
34,yellow_pages_1,state,yelp_3,state,0.9750066995620728,textual,True
35,yellow_pages_2,name,zomato_2,name,0.9743914604187012,textual,True
36,fodors_1,phone,zomato_2,phone,0.9742788076400756,mixed,True
37,yellow_pages_1,ratingValue,yelp_3,ratingValue,0.9740499258041382,numerical,True
38,yelp_4,name,zomato_2,name,0.9739984273910522,textual,True
39,fodors_1,phone,yellow_pages_2,phone,0.9738470315933228,mixed,True
40,yellow_pages_2,phone,zagats_1,phone,0.973726749420166,mixed,True
41,zagats_1,phone,zomato_2,phone,0.973708987236023,mixed,True
42,fodors_1,name,yellow_pages_1,name,0.973391890525818,textual,True
43,yellow_pages_2,state,yelp_4,state,0.9731909036636353,textual,True
44,yellow_pages_1,name,zagats_1,name,0.972248911857605,textual,True
45,fodors_1,addr,zagats_1,addr,0.9714759588241576,textual,True
46,fodors_1,phone,yelp_4,phone,0.9696476459503174,mixed,True
47,yelp_2,name,yelp_4,name,0.9688726663589478,textual,True
48,yelp_4,phone,zagats_1,phone,0.9687130451202391,mixed,True
49,yelp_2,address,yelp_4,address,0.968611478805542,textual,True
50,yelp_2,address,zomato_2,address,0.9681687355041504,textual,True
51,yelp_3,state,yelp_4,state,0.9680089950561525,textual,True
52,yelp_4,address,zomato_2,address,0.9672669172286988,textual,True
53,yellow_pages_2,address,zomato_2,address,0.9672503471374512,textual,True
54,yellow_pages_2,id,yelp_3,id,0.9658746719360352,numerical,True
55,yellow_pages_2,state,yelp_3,state,0.9657236337661744,textual,True
56,yelp_5,Address,zomato_3,Address,0.9616776704788208,textual,True
57,yelp_1,NAME,zomato_1,NAME,0.9615484476089478,textual,True
58,yellow_pages_2,name,yelp_4,name,0.960130214691162,textual,True
59,yelp_5,Cuisine,zomato_3,Cuisine,0.9571765661239624,textual,True
60,yelp_5,_id,zomato_3,_id,0.9568644762039183,numerical,True
61,yelp_1,ADDRESS,zomato_1,ADDRESS,0.951206922531128,textual,True
62,yelp_2,ID,zomato_2,ID,0.9505343437194824,numerical,True
63,yellow_pages_1,state,yellow_pages_2,state,0.950285792350769,textual,True
64,yelp_2,votes,zomato_2,votes,0.9479798078536988,numerical,True
65,yellow_pages_2,id,yelp_4,id,0.9476512670516968,numerical,True
66,yellow_pages_1,state,yelp_4,state,0.9462345838546752,textual,True
67,fodors_1,type,zagats_1,type,0.9452180862426758,textual,True
68,yellow_pages_1,id,yelp_3,id,0.9448435306549072,numerical,True
69,yelp_2,cuisine,zomato_2,cuisine,0.9435437917709352,textual,True
70,yellow_pages_1,id,yelp_4,id,0.9277799129486084,numerical,True
71,yelp_2,rating,zomato_2,rating,0.927680492401123,numerical,True
72,yelp_1,RATING,zomato_1,RATING,0.9205433130264282,numerical,True
73,yellow_pages_1,website,yelp_3,website,0.9132872819900512,textual,True
74,yellow_pages_2,website,yelp_3,website,0.9116250276565552,textual,True
75,yelp_5,Cuisine,zomato_2,cuisine,0.9061146378517152,textual,True
76,yellow_pages_1,neighborhood,yelp_3,neighborhood,0.8925696015357971,textual,True
77,yelp_1,ID,zomato_1,ID,0.8848573565483093,numerical,True
78,fodors_1,city,zagats_1,city,0.8811124563217163,textual,True
79,yelp_1,NO_OF_REVIEWS,zomato_1,NO_OF_REVIEWS,0.877811074256897,numerical,True
80,zomato_2,cuisine,zomato_3,Cuisine,0.873931884765625,textual,True
81,yellow_pages_2,name,yelp_5,Name,0.8738654851913452,textual,True
82,yellow_pages_2,name,zomato_3,Name,0.8735724687576294,textual,True
83,yelp_2,name,yelp_5,Name,0.8725196123123169,textual,True
84,yelp_2,name,zomato_3,Name,0.8707669973373413,textual,True
85,zomato_2,name,zomato_3,Name,0.8688321113586426,textual,True
86,yelp_5,Name,zomato_2,name,0.8670557737350464,textual,True
87,yelp_2,cuisine,yelp_5,Cuisine,0.8659453392028809,textual,True
88,yelp_4,name,zomato_3,Name,0.8557610511779785,textual,True
89,yelp_4,name,yelp_5,Name,0.8524034023284912,textual,True
90,yelp_2,cuisine,zomato_3,Cuisine,0.8486424088478088,textual,True
91,yellow_pages_1,phone,yelp_3,telephone,0.8449837565422058,mixed,True
92,yelp_3,telephone,zomato_2,phone,0.843794584274292,mixed,True
93,yelp_2,phone,yelp_3,telephone,0.8432765603065491,mixed,True
94,yellow_pages_2,phone,yelp_3,telephone,0.8422026038169861,mixed,True
95,yelp_3,telephone,yelp_4,phone,0.8297516107559204,mixed,True
96,fodors_1,phone,yelp_3,telephone,0.8228145241737366,mixed,True
97,yelp_3,telephone,zagats_1,phone,0.822655975818634,mixed,True
98,yellow_pages_2,city,yelp_4,city,0.8188870549201965,textual,True
99,yelp_4,id,yelp_5,_id,0.7976409196853638,numerical,True
100,yelp_3,zipCode,yelp_4,zipcode,0.7932221293449402,numerical,True
101,yelp_5,Address,zomato_1,ADDRESS,0.7931709289550781,textual,True
102,yelp_4,city,zagats_1,city,0.7845512628555298,textual,True
103,yelp_3,id,yelp_5,_id,0.7830510139465332,numerical,True
104,yellow_pages_1,zipCode,yelp_3,zipCode,0.7826371788978577,numerical,True
105,yelp_1,ADDRESS,zomato_3,Address,0.7787793278694153,textual,True
106,zomato_1,ADDRESS,zomato_3,Address,0.7782320976257324,textual,True
107,fodors_1,city,yelp_3,city,0.7758914232254028,textual,True
108,yellow_pages_2,zipcode,yelp_3,zipCode,0.7751799821853638,numerical,True
109,fodors_1,city,yelp_4,city,0.7730798721313477,textual,True
110,fodors_1,city,yellow_pages_1,city,0.7728149890899658,textual,True
111,yelp_1,ADDRESS,yelp_5,Address,0.771906316280365,textual,True
112,yelp_3,telephone,zomato_3,PhoneNumber,0.7710559964179993,mixed,True
113,yelp_3,telephone,yelp_5,PhoneNumber,0.7704226970672607,mixed,True
114,yellow_pages_1,streetAddress,zomato_3,Address,0.7677067518234253,textual,True
115,yellow_pages_1,ratingValue,yelp_5,CostRange,0.7672118544578552,numerical,False
116,yelp_3,streetAddress,zomato_3,Address,0.7623611688613892,textual,True
117,yelp_1,RATING,yelp_3,ratingValue,0.7590879797935486,numerical,True
118,yelp_2,rating,yelp_3,ratingValue,0.7587283253669739,numerical,True
119,yelp_4,id,zomato_2,ID,0.7580235600471497,numerical,True
120,yelp_4,id,zomato_3,_id,0.7563448548316956,numerical,True
121,yelp_3,city,yelp_4,city,0.7560542821884155,textual,True
122,yellow_pages_1,city,yelp_4,city,0.7540932297706604,textual,True
123,yelp_1,RATING,yelp_2,rating,0.7529730796813965,numerical,True
124,yelp_3,ratingValue,yelp_5,CostRange,0.7520411014556885,numerical,False
125,yelp_3,id,zomato_2,ID,0.7508508563041687,numerical,True
126,yelp_3,id,zomato_3,_id,0.7505083084106445,numerical,True
127,yellow_pages_2,id,yelp_5,_id,0.7500246167182922,numerical,True
128,zomato_1,RATING,zomato_2,rating,0.7457734942436218,numerical,True
129,yelp_3,streetAddress,yelp_5,Address,0.7441263198852539,textual,True
130,yellow_pages_1,ratingValue,yelp_1,RATING,0.7430346012115479,numerical,True
131,yellow_pages_2,phone,zomato_3,PhoneNumber,0.7429071068763733,mixed,True
132,yellow_pages_1,ratingValue,yelp_2,rating,0.7426024079322815,numerical,True
133,yellow_pages_1,phone,zomato_3,PhoneNumber,0.7424898147583008,mixed,True
134,yellow_pages_1,phone,yelp_5,PhoneNumber,0.7421975135803223,mixed,True
135,zomato_2,phone,zomato_3,PhoneNumber,0.7421832084655762,mixed,True
136,yelp_2,phone,yelp_5,PhoneNumber,0.7419447898864746,mixed,True
137,yelp_2,phone,zomato_3,PhoneNumber,0.7418839931488037,mixed,True
138,yellow_pages_2,phone,yelp_5,PhoneNumber,0.7415417432785034,mixed,True
139,yellow_pages_1,streetAddress,yelp_5,Address,0.7413274049758911,textual,True
140,yelp_5,PhoneNumber,zomato_2,phone,0.7411952018737793,mixed,True
141,yelp_2,address,zomato_3,Address,0.73558109998703,textual,True
142,fodors_1,class,zagats_1,class,0.733677089214325,numerical,True
143,yellow_pages_1,categories,yelp_3,category,0.7330655455589294,textual,True
144,yellow_pages_1,zipCode,zomato_2,zip,0.732133150100708,numerical,True
145,yelp_4,phone,zomato_3,PhoneNumber,0.7312173247337341,mixed,True
146,yelp_4,phone,yelp_5,PhoneNumber,0.7306780219078064,mixed,True
147,yellow_pages_1,id,yelp_5,_id,0.7297045588493347,numerical,True
148,yelp_2,address,yelp_3,streetAddress,0.7294939756393433,textual,True
149,yelp_3,city,zagats_1,city,0.7275925874710083,textual,True
150,yellow_pages_1,city,zagats_1,city,0.7266595363616943,textual,True
151,yellow_pages_1,zipCode,yelp_2,zip,0.726535975933075,numerical,True
152,yellow_pages_2,id,zomato_3,_id,0.7245821952819824,numerical,True
153,yelp_5,_id,zomato_2,ID,0.7244226336479187,numerical,True
154,yelp_1,RATING,yelp_5,CostRange,0.7241436243057251,numerical,False
155,yellow_pages_1,streetAddress,yelp_2,address,0.7233736515045166,textual,True
156,yelp_5,PhoneNumber,zagats_1,phone,0.723272442817688,mixed,True
157,zagats_1,phone,zomato_3,PhoneNumber,0.7230831980705261,mixed,True
158,fodors_1,phone,zomato_3,PhoneNumber,0.7229723334312439,mixed,True
159,fodors_1,phone,yelp_5,PhoneNumber,0.7225843667984009,mixed,True
160,yellow_pages_2,address,yelp_3,streetAddress,0.7215030193328857,textual,True
161,yelp_2,ID,zomato_3,_id,0.72087162733078,numerical,True
162,yellow_pages_2,address,zomato_3,Address,0.7201260924339294,textual,True
163,yelp_5,CostRange,zomato_1,RATING,0.7189836502075195,numerical,False
164,yelp_5,Address,zomato_2,address,0.7179778218269348,textual,True
165,yellow_pages_2,id,zomato_2,ID,0.7174362540245056,numerical,True
166,yelp_3,streetAddress,yelp_4,address,0.7153595089912415,textual,True
167,yelp_4,address,yelp_5,Address,0.7145379781723022,textual,True
168,yelp_3,category,zomato_2,cuisine,0.713562548160553,textual,True
169,yelp_2,ID,yelp_4,id,0.71345454454422,numerical,True
170,yellow_pages_2,address,yelp_5,Address,0.7128734588623047,textual,True
171,zomato_2,address,zomato_3,Address,0.7122064828872681,textual,True
172,yelp_4,address,zomato_3,Address,0.7114772200584412,textual,True
173,yelp_2,address,yelp_5,Address,0.7107639908790588,textual,True
174,yellow_pages_1,streetAddress,yellow_pages_2,address,0.7106391191482544,textual,True
175,yelp_3,streetAddress,zomato_2,address,0.7085952162742615,textual,True
176,yelp_3,streetAddress,zomato_1,ADDRESS,0.7069806456565857,textual,True
177,yelp_2,ID,yelp_3,id,0.7066226601600647,numerical,True
178,yelp_3,category,zomato_3,Cuisine,0.7065023183822632,textual,True
179,yellow_pages_1,streetAddress,yelp_1,ADDRESS,0.7046213150024414,textual,True
180,yellow_pages_1,ratingValue,zomato_2,rating,0.7028605341911316,numerical,True
181,yellow_pages_1,streetAddress,zomato_1,ADDRESS,0.7024031281471252,textual,True
182,yellow_pages_1,id,zomato_3,_id,0.7016695737838745,numerical,True
183,yellow_pages_1,streetAddress,yelp_4,address,0.7013750672340393,textual,True
184,yellow_pages_1,streetAddress,zomato_2,address,0.7008938193321228,textual,True
185,yellow_pages_1,ratingValue,zomato_1,RATING,0.7007402181625366,numerical,True
186,yelp_1,ADDRESS,yelp_3,streetAddress,0.6996556520462036,textual,True
187,yelp_3,category,yelp_5,Cuisine,0.6989409923553467,textual,True
188,yellow_pages_1,id,zomato_2,ID,0.6965516805648804,numerical,True
189,fodors_1,city,yellow_pages_2,city,0.695468544960022,textual,True
190,yellow_pages_2,city,zagats_1,city,0.6934570670127869,textual,True
191,zomato_2,ID,zomato_3,_id,0.6922441124916077,numerical,True
192,yelp_2,cuisine,yelp_3,category,0.6910008192062378,textual,True
193,yelp_3,ratingValue,zomato_2,rating,0.6876665949821472,numerical,True
194,yelp_3,ratingValue,zomato_1,RATING,0.6837773323059082,numerical,True
195,yelp_1,RATING,zomato_2,rating,0.6826161742210388,numerical,True
196,yelp_2,rating,zomato_1,RATING,0.6813635230064392,numerical,True
197,yelp_2,ID,yelp_5,_id,0.68072110414505,numerical,True
198,yellow_pages_2,id,yelp_2,ID,0.6805465817451477,numerical,True
199,yellow_pages_2,city,yelp_3,city,0.6791709065437317,textual,True
200,fodors_1,class,yellow_pages_1,years-in-business,0.6784854531288147,numerical,False
201,yellow_pages_1,city,yellow_pages_2,city,0.6765609383583069,textual,True
202,fodors_1,class,zagats_1,id,0.6757622957229614,numerical,False
203,yellow_pages_2,address,zagats_1,addr,0.6635622978210449,textual,True
204,fodors_1,type,yelp_3,category,0.6627630591392517,textual,True
205,zomato_1,PHONENUMBER,zomato_3,PhoneNumber,0.662367045879364,mixed,True
206,yelp_5,PhoneNumber,zomato_1,PHONENUMBER,0.6614760756492615,mixed,True
207,yelp_2,address,zagats_1,addr,0.6587129831314087,textual,True
208,yellow_pages_1,id,yelp_2,ID,0.6577584743499756,numerical,True
209,yelp_4,address,zagats_1,addr,0.6576504707336426,textual,True
210,yelp_1,PHONENUMBER,zomato_3,PhoneNumber,0.6573958992958069,mixed,True
211,yelp_1,PHONENUMBER,yelp_5,PhoneNumber,0.6571967005729675,mixed,True
212,fodors_1,addr,yellow_pages_2,address,0.6542761325836182,textual,True
213,zagats_1,addr,zomato_2,address,0.6531462073326111,textual,True
214,fodors_1,addr,yelp_4,address,0.6495864391326904,textual,True
215,fodors_1,addr,yelp_2,address,0.6484259963035583,textual,True
216,zomato_1,ADDRESS,zomato_2,address,0.6468907594680786,textual,True
217,fodors_1,addr,zomato_2,address,0.6463086009025574,textual,True
218,yelp_3,category,zagats_1,type,0.6458189487457275,textual,True
219,yellow_pages_1,aka,yelp_4,name,0.6399914026260376,textual,True
220,yellow_pages_1,aka,yellow_pages_2,name,0.633826732635498,textual,True
221,yelp_2,rating,yelp_5,CostRange,0.6338241696357727,numerical,False
222,yellow_pages_2,phone,zomato_1,PHONENUMBER,0.6326020359992981,mixed,True
223,zomato_1,PHONENUMBER,zomato_2,phone,0.6323279738426208,mixed,True
224,yellow_pages_1,phone,zomato_1,PHONENUMBER,0.6320967078208923,mixed,True
225,yellow_pages_1,aka,zomato_2,name,0.6320641040802002,textual,True
226,yellow_pages_1,aka,yelp_2,name,0.6315260529518127,textual,True
227,yelp_3,neighborhood,yelp_4,city,0.6312403678894043,textual,False
228,yelp_2,phone,zomato_1,PHONENUMBER,0.6305161714553833,mixed,True
