,table_a,column_a,table_b,column_b,similarity,type,correct
0,stockport_contracts_1,Client,stockport_contracts_10,Client,1.0,textual,True
1,stockport_contracts_1,Client,stockport_contracts_2,Client,1.0,textual,True
2,stockport_contracts_1,Client,stockport_contracts_3,Client,1.0,textual,True
3,stockport_contracts_1,Client,stockport_contracts_7,Client,1.0,textual,True
4,stockport_contracts_1,Client,stockport_contracts_8,Client,1.0,textual,True
5,stockport_contracts_1,Client,stockport_contracts_9,Client,1.0,textual,True
6,stockport_contracts_10,Client,stockport_contracts_2,Client,1.0,textual,True
7,stockport_contracts_10,Client,stockport_contracts_3,Client,1.0,textual,True
8,stockport_contracts_10,Client,stockport_contracts_7,Client,1.0,textual,True
9,stockport_contracts_10,Client,stockport_contracts_8,Client,1.0,textual,True
10,stockport_contracts_10,Client,stockport_contracts_9,Client,1.0,textual,True
11,stockport_contracts_2,Client,stockport_contracts_3,Client,1.0,textual,True
12,stockport_contracts_2,Client,stockport_contracts_7,Client,1.0,textual,True
13,stockport_contracts_2,Client,stockport_contracts_8,Client,1.0,textual,True
14,stockport_contracts_2,Client,stockport_contracts_9,Client,1.0,textual,True
15,stockport_contracts_3,Client,stockport_contracts_7,Client,1.0,textual,True
16,stockport_contracts_3,Client,stockport_contracts_8,Client,1.0,textual,True
17,stockport_contracts_3,Client,stockport_contracts_9,Client,1.0,textual,True
18,stockport_contracts_7,Client,stockport_contracts_8,Client,1.0,textual,True
19,stockport_contracts_7,Client,stockport_contracts_9,Client,1.0,textual,True
20,stockport_contracts_8,Client,stockport_contracts_9,Client,1.0,textual,True
21,stockport_contracts_1,Client,stockport_contracts_6,Client,0.9999997615814208,textual,True
22,stockport_contracts_10,Client,stockport_contracts_6,Client,0.9999997615814208,textual,True
23,stockport_contracts_2,Client,stockport_contracts_6,Client,0.9999997615814208,textual,True
24,stockport_contracts_3,Client,stockport_contracts_6,Client,0.9999997615814208,textual,True
25,stockport_contracts_6,Client,stockport_contracts_7,Client,0.9999997615814208,textual,True
26,stockport_contracts_6,Client,stockport_contracts_8,Client,0.9999997615814208,textual,True
27,stockport_contracts_6,Client,stockport_contracts_9,Client,0.9999997615814208,textual,True
28,stockport_contracts_3,Council Directorate,stockport_contracts_7,Council Directorate,0.9949986934661864,textual,True
29,stockport_contracts_3,Council Directorate,stockport_contracts_6,Council Directorate,0.994670271873474,textual,True
30,stockport_contracts_10,Council Directorate,stockport_contracts_8,Council Directorate,0.9937684535980223,textual,True
31,stockport_contracts_5,Council Directorate,stockport_contracts_9,Council Directorate,0.993504524230957,textual,True
32,stockport_contracts_5,Status,stockport_contracts_9,Status,0.9929851293563844,textual,True
33,stockport_contracts_10,Council Directorate,stockport_contracts_2,Council Directorate,0.99284029006958,textual,True
34,stockport_contracts_2,Council Directorate,stockport_contracts_6,Council Directorate,0.992699146270752,textual,True
35,stockport_contracts_6,Council Directorate,stockport_contracts_7,Council Directorate,0.9920625686645508,textual,True
36,stockport_contracts_10,Council Directorate,stockport_contracts_5,Council Directorate,0.9904314279556274,textual,True
37,stockport_contracts_10,Council Directorate,stockport_contracts_9,Council Directorate,0.9901480674743652,textual,True
38,stockport_contracts_10,Council Directorate,stockport_contracts_6,Council Directorate,0.989722728729248,textual,True
39,stockport_contracts_7,UID,stockport_contracts_8,UID,0.9892829656600952,numerical,True
40,stockport_contracts_2,Council Directorate,stockport_contracts_3,Council Directorate,0.9891496896743774,textual,True
41,stockport_contracts_2,Council Directorate,stockport_contracts_8,Council Directorate,0.9889577627182008,textual,True
42,stockport_contracts_6,Agreement Type,stockport_contracts_9,Agreement Type,0.9884397983551024,textual,True
43,stockport_contracts_6,Council Directorate,stockport_contracts_8,Council Directorate,0.988389015197754,textual,True
44,stockport_contracts_6,UID,stockport_contracts_7,UID,0.9879732131958008,numerical,True
45,stockport_contracts_5,Council Directorate,stockport_contracts_8,Council Directorate,0.9878544807434082,textual,True
46,stockport_contracts_8,Council Directorate,stockport_contracts_9,Council Directorate,0.987296462059021,textual,True
47,stockport_contracts_2,Council Directorate,stockport_contracts_7,Council Directorate,0.9870103597640992,textual,True
48,stockport_contracts_2,Council Directorate,stockport_contracts_9,Council Directorate,0.9865777492523192,textual,True
49,stockport_contracts_2,Council Directorate,stockport_contracts_5,Council Directorate,0.9859400987625122,textual,True
