,table_a,column_a,table_b,column_b,similarity,correct
0,1009ipopayments,Expense area,1005ipopayments,ExpenseCategory,1.0,True
1,1007ipopayments,VAT registration number,1004ipopayments,VAT registration number,1.0,True
2,1007ipopayments,Entity,1005ipopayments,OfficeName,1.0,True
3,1008ipopayments,VAT number,1004ipopayments,VAT registration number,1.0,True
4,1010ipopayments,Expense Category,1007ipopayments,Expense type,1.0,True
5,1006ipopayments,Vendor Name,1004ipopayments,Supplier Name,1.0,True
6,1007ipopayments,Expense area,1004ipopayments,Category,1.0,True
7,1006ipopayments,Expense area,1005ipopayments,ExpenseCategory,1.0,True
8,1009ipopayments,Entity,1007ipopayments,Entity,1.0,True
9,1008ipopayments,VAT number,1007ipopayments,VAT registration number,1.0,True
10,1008ipopayments,Expense Office,1007ipopayments,Expense area,1.0,True
11,1008ipopayments,Department Category,1005ipopayments,DeptName,1.0,True
12,1009ipopayments,VAT registration number,1008ipopayments,VAT number,1.0,True
13,1009ipopayments,Department family,1008ipopayments,Department Category,1.0,True
14,1009ipopayments,Department family,1005ipopayments,DeptName,1.0,True
15,1010ipopayments,Department Primary,1005ipopayments,OfficeName,1.0,True
16,1010ipopayments,Department Secondary,1008ipopayments,Department Category,1.0,True
17,1008ipopayments,Expense Office,1004ipopayments,Category,1.0,True
18,1008ipopayments,Expense Office,1006ipopayments,Expense area,1.0,True
19,1009ipopayments,Expense area,1004ipopayments,Category,1.0,True
20,1010ipopayments,Department Primary,1008ipopayments,Entity Category,1.0,True
21,1009ipopayments,Department family,1007ipopayments,Department family,1.0,True
22,1010ipopayments,Department Secondary,1007ipopayments,Department family,1.0,True
23,1010ipopayments,Department Secondary,1009ipopayments,Department family,1.0,True
24,1010ipopayments,VAT registration number,1004ipopayments,VAT registration number,1.0,True
25,1006ipopayments,Expense area,1004ipopayments,Category,1.0,True
26,1008ipopayments,Supplier,1004ipopayments,Supplier Name,1.0,True
27,1010ipopayments,Department Primary,1007ipopayments,Entity,1.0,True
28,1010ipopayments,Department Primary,1009ipopayments,Entity,1.0,True
29,1009ipopayments,Supplier,1004ipopayments,Supplier Name,1.0,True
30,1008ipopayments,Expense Office,1005ipopayments,ExpenseCategory,1.0,True
31,1010ipopayments,VAT registration number,1007ipopayments,VAT registration number,1.0,True
32,1007ipopayments,Department family,1005ipopayments,DeptName,1.0,True
33,1009ipopayments,Expense area,1008ipopayments,Expense Office,1.0,True
34,1010ipopayments,VAT registration number,1008ipopayments,VAT number,1.0,True
35,1007ipopayments,Expense type,1006ipopayments,Expense type,1.0,True
36,1009ipopayments,VAT registration number,1004ipopayments,VAT registration number,1.0,True
37,1007ipopayments,Expense area,1006ipopayments,Expense area,1.0,True
38,1007ipopayments,Expense type,1005ipopayments,Expense,1.0,True
39,1009ipopayments,VAT registration number,1007ipopayments,VAT registration number,1.0,True
40,1009ipopayments,Expense area,1007ipopayments,Expense area,1.0,True
41,1009ipopayments,Supplier,1008ipopayments,Supplier,1.0,True
42,1008ipopayments,Entity Category,1005ipopayments,OfficeName,1.0,True
43,1010ipopayments,Department Secondary,1005ipopayments,DeptName,1.0,True
44,1009ipopayments,Entity,1005ipopayments,OfficeName,1.0,True
45,1008ipopayments,Expense Category,1004ipopayments,Title,1.0,True
46,1010ipopayments,VAT registration number,1009ipopayments,VAT registration number,1.0,True
47,1009ipopayments,Expense area,1006ipopayments,Expense area,1.0,True
48,1010ipopayments,Expense Category,1006ipopayments,Expense type,1.0,True
49,1009ipopayments,Expense type,1004ipopayments,Title,1.0,True
50,1007ipopayments,Expense area,1005ipopayments,ExpenseCategory,1.0,True
51,1009ipopayments,Entity,1008ipopayments,Entity Category,1.0,True
52,1008ipopayments,Department Category,1007ipopayments,Department family,1.0,True
53,1010ipopayments,Expense Category,1005ipopayments,Expense,1.0,True
54,1009ipopayments,Expense type,1008ipopayments,Expense Category,1.0,True
55,1005ipopayments,ExpenseCategory,1004ipopayments,Category,1.0,True
56,1008ipopayments,Supplier,1006ipopayments,Vendor Name,1.0,True
57,1008ipopayments,Entity Category,1007ipopayments,Entity,1.0,True
58,1006ipopayments,Expense type,1005ipopayments,Expense,1.0,True
59,1009ipopayments,Supplier,1006ipopayments,Vendor Name,1.0,True
