,table_a,column_a,table_b,column_b,similarity,correct
0,25kjul12,Department family,25kjun11,Department family,0.97767854,True
1,25kjul12,Expense type,25kjun11,Expense type,0.9754902,True
2,25kjul12,Expense area,25kjun11,Expense area,0.9754902,True
3,25kjul12,Supplier,25kjun11,Supplier,0.9734043,True
4,25kjul12,Entity,25kjun11,Entity,0.9722222,True
5,25kjul12,Department family,25kmay10,Department family,0.96875,True
6,25kjun11,Department family,25kmay10,Department family,0.96875,True
7,25kjul12,Expense type,25kmay10,Expense type,0.96568626,True
8,25kjul12,Expense area,25kmay10,Expense area,0.96568626,True
9,25kjun11,Expense type,25kmay10,Expense type,0.96568626,True
10,25kjun11,Expense area,25kmay10,Expense area,0.96568626,True
11,25kjul12,Supplier,25kmay10,Supplier,0.96276593,True
12,25kjun11,Supplier,25kmay10,Supplier,0.96276593,True
13,25kjul12,Entity,25kmay10,Entity,0.9611111,True
14,25kjun11,Entity,25kmay10,Entity,0.9611111,True
15,25kjun11,Department family,25koct11,Department family,0.95779216,True
16,25kjun11,Expense type,25koct11,Expense type,0.95560384,True
17,25kjun11,Expense area,25koct11,Expense area,0.95560384,True
18,25kmay10,Department family,25koct10,Department family,0.954016,True
19,25kjun11,Supplier,25koct11,Supplier,0.9535179,True
20,25kjun11,Entity,25koct11,Entity,0.95233583,True
21,25kmay10,Expense type,25koct10,Expense type,0.95182765,True
22,25kmay10,Expense area,25koct10,Expense area,0.95182765,True
23,25kmar12,Transaction number,25knov10,Transaction number,0.9509194,True
24,25kmar12,Department family,25knov10,Department family,0.95037115,True
25,25kmay10,Supplier,25koct10,Supplier,0.9497417,True
26,25kjul12,Department family,25koct11,Department family,0.9488636,True
27,25kmay10,Department family,25koct11,Department family,0.9488636,True
28,25kmar12,Expense type,25knov10,Expense type,0.9473074,True
29,25kmar12,Expense area,25knov10,Expense area,0.9473074,True
30,25kjul12,Expense type,25koct11,Expense type,0.9457999,True
31,25kjul12,Expense area,25koct11,Expense area,0.9457999,True
32,25kmay10,Expense type,25koct11,Expense type,0.9457999,True
33,25kmay10,Expense area,25koct11,Expense area,0.9457999,True
34,25kjul12,Department family,25koct10,Department family,0.94508743,True
35,25kjun11,Department family,25koct10,Department family,0.94508743,True
36,25kmar12,Supplier,25knov10,Supplier,0.9443871,True
37,25koct10,Department family,25koct11,Department family,0.9434358,True
38,25kjul12,Supplier,25koct11,Supplier,0.94287956,True
39,25kmay10,Supplier,25koct11,Supplier,0.94287956,True
40,25kmar12,Entity,25knov10,Entity,0.9427323,True
41,25kmar12,Amount,25knov10,Amount,0.9427323,True
42,25koct10,Expense type,25koct11,Expense type,0.9421228,True
43,25koct10,Expense area,25koct11,Expense area,0.9421228,True
44,25kjul12,Expense type,25koct10,Expense type,0.9420237,True
45,25kjul12,Expense area,25koct10,Expense area,0.9420237,True
46,25kjun11,Expense type,25koct10,Expense type,0.9420237,True
47,25kjun11,Expense area,25koct10,Expense area,0.9420237,True
48,25kjul12,Entity,25koct11,Entity,0.94122475,True
49,25kmay10,Entity,25koct11,Entity,0.94122475,True
50,25kmar12,Date,25knov10,Date,0.94092345,True
51,25koct10,Supplier,25koct11,Supplier,0.94087124,True
52,25kjul12,Supplier,25koct10,Supplier,0.93910336,True
53,25kjun11,Supplier,25koct10,Supplier,0.93910336,True
54,25kmay10,Department family,25knov10,Department family,0.9270458,True
55,25kmay10,Expense type,25knov10,Expense type,0.9248575,True
56,25kmay10,Expense area,25knov10,Expense area,0.9248575,True
57,25kmay10,Supplier,25knov10,Supplier,0.9227716,True
58,25kjun11,Department family,25ksep11,Department family,0.92230916,True
59,25kmay10,Entity,25knov10,Entity,0.9215895,True
60,25kmar12,Department family,25koct11,Department family,0.9206066,True
61,25kjul12,Department family,25knov10,Department family,0.9181173,True
62,25kjun11,Department family,25knov10,Department family,0.9181173,True
63,25kjun11,Supplier,25ksep11,Supplier,0.9180349,True
64,25kmar12,Expense type,25koct11,Expense type,0.9175429,True
65,25kmar12,Expense area,25koct11,Expense area,0.9175429,True
66,25kmar12,Description,25koct11,Description,0.91685665,True
67,25kjun11,Entity,25ksep11,Entity,0.91685283,True
68,25kjul12,Expense type,25knov10,Expense type,0.91505355,True
69,25kjul12,Expense area,25knov10,Expense area,0.91505355,True
70,25kjun11,Expense type,25knov10,Expense type,0.91505355,True
71,25kjun11,Expense area,25knov10,Expense area,0.91505355,True
72,25kmar12,Supplier,25koct11,Supplier,0.91462255,True
73,25kjul12,Department family,25ksep11,Department family,0.9133806,True
74,25kmay10,Department family,25ksep11,Department family,0.9133806,True
75,25kmar12,Entity,25koct11,Entity,0.91296774,True
76,25kjul12,Supplier,25knov10,Supplier,0.9121332,True
77,25kjun11,Supplier,25knov10,Supplier,0.9121332,True
78,25kjul12,Department family,25kmar12,Department family,0.91174227,True
79,25kmar12,Department family,25kmay10,Department family,0.91174227,True
80,25kjul12,Entity,25knov10,Entity,0.9104784,True
81,25kjun11,Entity,25knov10,Entity,0.9104784,True
82,25kjul12,Expense type,25kmar12,Expense type,0.90955395,True
83,25kjul12,Expense area,25kmar12,Expense area,0.90955395,True
84,25kmar12,Expense type,25kmay10,Expense type,0.90955395,True
85,25kmar12,Expense area,25kmay10,Expense area,0.90955395,True
86,25koct11,Department family,25ksep11,Department family,0.90869415,True
87,25kjul12,Supplier,25kmar12,Supplier,0.907468,True
88,25kmar12,Supplier,25kmay10,Supplier,0.907468,True
89,25kjul12,Supplier,25ksep11,Supplier,0.90739655,True
90,25kmay10,Supplier,25ksep11,Supplier,0.90739655,True
91,25knov10,Department family,25ksep11,Department family,0.9072183,True
92,25kjul12,Entity,25kmar12,Entity,0.90628594,True
93,25kmar12,Entity,25kmay10,Entity,0.90628594,True
94,25knov10,Department family,25koct11,Department family,0.9061089,True
95,25kjul12,Entity,25ksep11,Entity,0.90574175,True
96,25kmay10,Entity,25ksep11,Entity,0.90574175,True
97,25koct11,Supplier,25ksep11,Supplier,0.9044199,True
98,25knov10,Department family,25koct10,Department family,0.90429634,True
99,25koct11,Entity,25ksep11,Entity,0.9032378,True
100,25knov10,Expense type,25koct11,Expense type,0.9030452,True
101,25knov10,Expense area,25koct11,Expense area,0.9030452,True
102,25kjun11,Department family,25kmar12,Department family,0.90281373,True
103,25knov10,Expense type,25koct10,Expense type,0.902108,True
104,25knov10,Expense area,25koct10,Expense area,0.902108,True
105,25knov10,Supplier,25ksep11,Supplier,0.9012342,True
106,25knov10,Supplier,25koct11,Supplier,0.90012485,True
107,25knov10,Supplier,25koct10,Supplier,0.9000221,True
108,25kjun11,Expense type,25kmar12,Expense type,0.89975,True
109,25kjun11,Expense area,25kmar12,Expense area,0.89975,True
110,25knov10,Entity,25ksep11,Entity,0.8995794,True
111,25knov10,Entity,25koct11,Entity,0.89847004,True
112,25knov10,Date,25ksep11,Date,0.8977706,True
113,25kjun11,Supplier,25kmar12,Supplier,0.89682966,True
114,25kjun11,Entity,25kmar12,Entity,0.89517486,True
115,25kmar12,Department family,25ksep11,Department family,0.8942336,True
116,25kmar12,Supplier,25ksep11,Supplier,0.8882495,True
117,25kjun12,Expense type,25koct11,Expense type,0.8877844,True
118,25kjun12,Expense area,25koct11,Expense area,0.8877844,True
119,25kjun12,Description,25koct11,Description,0.8870701,True
120,25kmar12,Entity,25ksep11,Entity,0.88659465,True
121,25koct10,Department family,25ksep11,Department family,0.88560754,True
122,25kmar12,Date,25ksep11,Date,0.8847859,True
123,25kmar12,Department family,25koct10,Department family,0.882221,True
124,25koct10,Supplier,25ksep11,Supplier,0.8796235,True
125,25kmar12,Expense type,25koct10,Expense type,0.8791573,True
126,25kmar12,Expense area,25koct10,Expense area,0.8791573,True
127,25kmar12,Supplier,25koct10,Supplier,0.8762369,True
128,25kjul12,Expense type,25kjun12,Expense type,0.8710828,True
129,25kjul12,Expense area,25kjun12,Expense area,0.8710828,True
130,25kjun11,Expense type,25kjun12,Expense type,0.8710828,True
131,25kjun11,Expense area,25kjun12,Expense area,0.8710828,True
132,25kjun12,Expense type,25koct10,Expense type,0.867472,True
133,25kjun12,Expense area,25koct10,Expense area,0.867472,True
134,25kmar11,Transaction number,25kmar12,Transaction number,0.86651886,True
135,25kmar11,Amount,25kmar12,Amount,0.8630101,True
136,25kmar11,Date,25kmar12,Date,0.8622349,True
137,25kmar11,Transaction number,25knov10,Transaction number,0.85632193,True
138,25kjun12,Expense type,25kmar12,Expense type,0.8524157,True
139,25kjun12,Expense area,25kmar12,Expense area,0.8524157,True
140,25kjun12,Description,25kmar12,Description,0.8519255,True
141,25kjun12,Expense type,25kmay10,Expense type,0.85147494,True
142,25kjun12,Expense area,25kmay10,Expense area,0.85147494,True
143,25kmar11,Amount,25knov10,Amount,0.8481348,True
144,25kmar11,Date,25knov10,Date,0.846326,True
145,25kmar11,Expense Category,25ksep11,Expense Category,0.8302042,True
146,25kmar11,Date,25ksep11,Date,0.82386166,True
147,25kjun12,Expense type,25knov10,Expense type,0.821655,True
148,25kjun12,Expense area,25knov10,Expense area,0.821655,True
149,25kjun10,Description,25kjun12,Description,0.8143129,False
150,25kjun10,Description,25koct11,Description,0.8093549,False
151,25kjun10,Vendor,25kmar11,Vendor,0.8069479,True
152,25kjun10,Description,25kmar12,Description,0.7967533,False
153,25kjun11,Expense type,25ksep11,Expense Title,0.73184747,True
154,25kjul12,Expense type,25ksep11,Expense Title,0.7221387,True
155,25kmay10,Expense type,25ksep11,Expense Title,0.7221387,True
156,25koct11,Expense type,25ksep11,Expense Title,0.71823245,True
157,25knov10,Expense type,25ksep11,Expense Title,0.71597636,True
158,25kmar12,Expense type,25ksep11,Expense Title,0.7029916,True
159,25koct10,Expense type,25ksep11,Expense Title,0.6943656,True
160,25kjun12,Expense type,25ksep11,Expense Title,0.607269,True
161,25kmar11,Expense Summary,25kmar12,Expense type,0.5982665,True
162,25kmar11,Expense Summary,25knov10,Expense type,0.5863827,True
163,25kjun10,Summary,25kmar11,Expense Summary,0.5620373,True
164,25kmar11,Expense Summary,25koct11,Expense type,0.5236856,True
165,25kjun12,Expense type,25kmar11,Expense Summary,0.51957875,True
166,25kjun11,Expense type,25kmar11,Expense Summary,0.51684535,True
167,25kmar11,Expense Summary,25kmay10,Expense type,0.51684535,True
168,25kjun10,Ent,25koct11,Entity,0.51477927,True
169,25kmar11,Expense Summary,25koct10,Expense type,0.50793606,True
170,25kjul12,Expense type,25kmar11,Expense Summary,0.50723,True
171,25kjun10,Ent,25kmar12,Entity,0.50217766,True
172,25kjun10,Ent,25kjun11,Entity,0.5003283,True
173,25kjul12,Entity,25kjun10,Ent,0.48883402,True
174,25kjun10,Ent,25kmay10,Entity,0.48883402,True
175,25kjun10,Ent,25knov10,Entity,0.48744437,True
176,25kjun10,Ent,25ksep11,Entity,0.47713965,True
177,25kjun10,Ent,25kmar11,Amount,0.4393381,False
178,25kmar11,Primary Organization,25kmar12,Description,0.42451805,False
179,25kjun10,Dept,25koct11,Department family,0.38102156,True
180,25kmar11,Vendor,25kmar12,Supplier,0.38088453,True
181,25kjun10,Description,25kmar11,Primary Organization,0.3721595,False
182,25kjun10,Summary,25koct11,Supplier,0.37166107,False
183,25kjun10,Dept,25kmar12,Department family,0.3684199,True
184,25kjul12,Department family,25kjun12,Description,0.36810002,False
185,25kjun11,Department family,25kjun12,Description,0.36810002,False
186,25kmar11,Vendor,25knov10,Supplier,0.36649227,True
187,25kjun12,Description,25koct10,Department family,0.36522913,False
188,25kjun10,Summary,25kmar12,Supplier,0.36443573,False
189,25kjun10,Dept,25kjun11,Department family,0.36378404,True
190,25kjun10,Summary,25kjun11,Supplier,0.35572693,False
191,25kjul12,Department family,25kjun10,Dept,0.35368305,True
192,25kjun10,Dept,25kmay10,Department family,0.35368305,True
193,25kjun10,Dept,25knov10,Department family,0.3522934,True
194,25kjun12,Description,25kmay10,Department family,0.34923208,False
195,25kjun12,Description,25kmar11,Primary Organization,0.34654248,False
196,25kmar11,Primary Organization,25koct11,Description,0.3456636,False
197,25kjul12,Supplier,25kjun10,Summary,0.34497425,False
198,25kjun10,Summary,25kmay10,Supplier,0.34497425,False
199,25kjun10,Summary,25knov10,Supplier,0.3435846,False
200,25kjun10,Dept,25ksep11,Department family,0.34338188,True
201,25kmar11,Vendor,25ksep11,Supplier,0.3378348,True
202,25kjun10,Dept,25koct10,Department family,0.33745238,True
203,25kjun10,Summary,25ksep11,Supplier,0.3340214,False
204,25kjun10,Summary,25koct10,Supplier,0.32874358,False
205,25kjun10,Ent,25kjun12,Expense type,0.32304046,False
206,25kjun10,Ent,25kjun12,Expense area,0.3201165,False
207,25kmar11,Date,25koct11,Entity,0.31795797,False
208,25kmar11,Date,25kmay10,Entity,0.31679958,False
209,25kjun11,Entity,25kmar11,Date,0.31111777,False
210,25kjul12,Entity,25kmar11,Date,0.30543593,False
211,25kmar11,Vendor,25koct11,Supplier,0.2996146,True
212,25kmar11,Vendor,25kmay10,Supplier,0.29820916,True
213,25kjun11,Supplier,25kmar11,Vendor,0.29277438,True
214,25kmar11,Vendor,25koct10,Supplier,0.28804564,True
215,25kjul12,Supplier,25kmar11,Vendor,0.2873396,True
216,25kjun10,Ent,25koct10,Expense type,0.2736596,False
217,25knov11,nan1,25ksep10,unnamed1,0.25950855,False
218,25knov11,nan2,25ksep10,unnamed2,0.25950855,False
219,25knov11,nan3,25ksep10,unnamed3,0.25950855,False
220,25knov11,nan4,25ksep10,unnamed4,0.25786713,False
221,25knov11,nan4,25koct11,Description,0.24346192,False
222,25kjun12,Description,25knov11,nan4,0.24264096,False
