,table_a,column_a,table_b,column_b,similarity,correct
0,25kjul12,Department family,25kjun10,Dept,1.0,True
1,25kjul12,Department family,25kjun10,Ent,1.0,False
2,25kjul12,Entity,25kjun10,Dept,1.0,False
3,25kjul12,Entity,25kjun10,Ent,1.0,True
4,25kjul12,Department family,25kjun11,Department family,1.0,True
5,25kjul12,Department family,25kjun11,Entity,1.0,False
6,25kjul12,Entity,25kjun11,Department family,1.0,False
7,25kjul12,Entity,25kjun11,Entity,1.0,True
8,25kjul12,Department family,25kmar11,Secondary Organization,1.0,True
9,25kjul12,Department family,25kmar11,Primary Organization,1.0,False
10,25kjul12,Entity,25kmar11,Secondary Organization,1.0,False
11,25kjul12,Entity,25kmar11,Primary Organization,1.0,True
12,25kjul12,Department family,25kmar12,Department family,1.0,True
13,25kjul12,Department family,25kmar12,Entity,1.0,False
14,25kjul12,Entity,25kmar12,Department family,1.0,False
15,25kjul12,Entity,25kmar12,Entity,1.0,True
16,25kjul12,Department family,25kmay10,Department family,1.0,True
17,25kjul12,Department family,25kmay10,Entity,1.0,False
18,25kjul12,Entity,25kmay10,Department family,1.0,False
19,25kjul12,Entity,25kmay10,Entity,1.0,True
20,25kjul12,Department family,25knov10,Department family,1.0,True
21,25kjul12,Department family,25knov10,Entity,1.0,False
22,25kjul12,Entity,25knov10,Department family,1.0,False
23,25kjul12,Entity,25knov10,Entity,1.0,True
24,25kjul12,Department family,25knov11,nan1,1.0,True
25,25kjul12,Department family,25knov11,nan2,1.0,False
26,25kjul12,Entity,25knov11,nan1,1.0,False
27,25kjul12,Entity,25knov11,nan2,1.0,True
28,25kjul12,Department family,25koct10,Department family,1.0,True
29,25kjul12,Entity,25koct10,Department family,1.0,False
30,25kjul12,Department family,25koct11,Department family,1.0,True
31,25kjul12,Department family,25koct11,Entity,1.0,False
32,25kjul12,Entity,25koct11,Department family,1.0,False
33,25kjul12,Entity,25koct11,Entity,1.0,True
34,25kjul12,Department family,25ksep10,unnamed0,1.0,True
35,25kjul12,Department family,25ksep10,unnamed1,1.0,False
36,25kjul12,Entity,25ksep10,unnamed0,1.0,False
37,25kjul12,Entity,25ksep10,unnamed1,1.0,True
38,25kjul12,Department family,25ksep11,Department family,1.0,True
39,25kjul12,Department family,25ksep11,Entity,1.0,False
40,25kjul12,Entity,25ksep11,Department family,1.0,False
41,25kjul12,Entity,25ksep11,Entity,1.0,True
42,25kjun10,Dept,25kjun11,Department family,1.0,True
43,25kjun10,Dept,25kjun11,Entity,1.0,False
44,25kjun10,Ent,25kjun11,Department family,1.0,False
45,25kjun10,Ent,25kjun11,Entity,1.0,True
46,25kjun10,Dept,25kmar11,Secondary Organization,1.0,True
47,25kjun10,Dept,25kmar11,Primary Organization,1.0,False
48,25kjun10,Ent,25kmar11,Secondary Organization,1.0,False
49,25kjun10,Ent,25kmar11,Primary Organization,1.0,True
50,25kjun10,Dept,25kmar12,Department family,1.0,True
51,25kjun10,Dept,25kmar12,Entity,1.0,False
52,25kjun10,Ent,25kmar12,Department family,1.0,False
53,25kjun10,Ent,25kmar12,Entity,1.0,True
54,25kjun10,Dept,25kmay10,Department family,1.0,True
55,25kjun10,Dept,25kmay10,Entity,1.0,False
56,25kjun10,Ent,25kmay10,Department family,1.0,False
57,25kjun10,Ent,25kmay10,Entity,1.0,True
58,25kjun10,Dept,25knov10,Department family,1.0,True
59,25kjun10,Dept,25knov10,Entity,1.0,False
