,table_a,column_a,table_b,column_b,similarity,correct
0,500spend_oct2015,purpose of expenditure,500spend_sep2015,Description,0.994669641902096,True
1,500spend_may2016,Merchant,500spend_sep2016,Supplier Name,0.9874156841897056,True
2,500spend_may2016,Description,500spend_oct2015,purpose of expenditure,0.9771922428495308,True
3,500spend_oct2015,Service Name,500spend_sep2015,Service Name,0.97467130498296,True
4,500spend_nov2015,Service,500spend_oct2015,Service Name,0.9742408504460244,True
5,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.9726653146767044,True
6,500spend_may2016,Amount,500spend_sep2016,net_amount,0.9723849777453852,True
7,500spend_jun2016,Primary Service,500spend_sep2016,Merchant Category,0.971992611847856,True
8,500spend_jun2016,Name,500spend_sep2016,Supplier Name,0.9692006040989926,True
9,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.9685973490493044,True
10,500spend_may2016,Description,500spend_sep2015,Description,0.96666696940512,True
11,500spend_oct2015,Service Category,500spend_sep2016,Merchant Category,0.9661011225696824,True
12,500spend_may2016,Merchant,500spend_oct2015,Supplier Name,0.9630504188328264,True
13,500spend_nov2015,Service,500spend_sep2015,Service Name,0.961011785256364,True
14,500spend_jul2016,Expense Category,500spend_jun2016,Details,0.958655271682654,True
15,500spend_jun2016,Primary Service,500spend_oct2015,Service Category,0.9578031487433462,True
16,500spend_jun2016,Secondary Service,500spend_nov2015,Service,0.9577306313637524,True
17,500spend_may2016,Description,500spend_nov2015,Summary of purpose of expenditure,0.9577255564940218,True
18,500spend_oct2015,Supplier Name,500spend_sep2016,Supplier Name,0.9553360038867168,True
19,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.9549755981964708,True
20,500spend_jun2016,Name,500spend_may2016,Merchant,0.9544149720938646,True
21,500spend_jul2016,Supplier,500spend_jun2016,Name,0.9539134970593152,True
22,500spend_sep2015,Supplier Name,500spend_sep2016,Supplier Name,0.9501536805758062,True
23,500spend_jul2016,Supplier,500spend_oct2015,Supplier Name,0.9451911595281892,True
24,500spend_may2016,Merchant,500spend_sep2015,Supplier Name,0.9451382443765122,True
25,500spend_jun2016,Secondary Service,500spend_oct2015,Service Name,0.944810203717649,True
26,500spend_jul2016,Service Name,500spend_oct2015,Service Name,0.9435992879996976,True
27,500spend_jun2016,Secondary Service,500spend_sep2015,Service Name,0.9435410987043026,True
28,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.9422764743835176,True
29,500spend_jun2016,Name,500spend_oct2015,Supplier Name,0.941979648548942,True
30,500spend_jul2016,Category Name,500spend_nov2015,Merchant Category,0.9390285542901778,True
31,500spend_nov2015,Supplier Name,500spend_sep2016,Supplier Name,0.9369441239013064,True
32,500spend_jul2016,Supplier,500spend_may2016,Merchant,0.9368395766579668,True
33,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2015,Description,0.936453775484842,True
34,500spend_may2016,Merchant,500spend_nov2015,Supplier Name,0.9360182271187484,True
35,500spend_jun2016,Name,500spend_sep2015,Supplier Name,0.9359124344457428,True
36,500spend_jul2016,Supplier,500spend_sep2016,Supplier Name,0.9322190175941608,True
37,500spend_jul2016,Category Name,500spend_jun2016,Primary Service,0.9306499662573698,True
38,500spend_jul2016,Category Name,500spend_oct2015,Service Category,0.92987538689662,True
39,500spend_jul2016,Service Name,500spend_jun2016,Secondary Service,0.9279240228321136,True
40,500spend_jul2016,Supplier,500spend_sep2015,Supplier Name,0.9225523324864878,True
41,500spend_jul2016,Category Name,500spend_sep2016,Merchant Category,0.916496644281481,True
42,500spend_jun2016,Name,500spend_nov2015,Supplier Name,0.9121920140676416,True
43,500spend_jul2016,Service Name,500spend_nov2015,Service,0.9112224139517622,True
44,500spend_jul2016,Supplier,500spend_nov2015,Supplier Name,0.8998992724865701,True
45,500spend_jun2016,Details,500spend_sep2015,Description,0.8830163946187364,True
46,500spend_jun2016,Details,500spend_oct2015,purpose of expenditure,0.883005167127007,True
47,500spend_nov2015,Merchant Category,500spend_oct2015,Service Category,0.8811194164404713,True
48,500spend_jul2016,Service Name,500spend_sep2015,Service Name,0.8782629899020944,True
49,500spend_nov2015,Merchant Category,500spend_sep2016,Merchant Category,0.875243414345285,True
50,500spend_jun2016,Primary Service,500spend_nov2015,Merchant Category,0.873121893199388,True
51,500spend_jun2016,Details,500spend_nov2015,Summary of purpose of expenditure,0.8729633427446982,True
52,500spend_jun2016,Details,500spend_may2016,Description,0.8712955530308788,True
