,table_a,column_a,table_b,column_b,similarity,correct
0,arxiv_1,_id,arxiv_2,_id,1.0,True
1,arxiv_1,Title,arxiv_2,Title,1.0,True
2,arxiv_1,Authors,arxiv_2,Authors,1.0,True
3,arxiv_1,_id,citeseer_1,id,1.0,True
4,arxiv_1,Title,citeseer_1,title,1.0,True
5,arxiv_1,Authors,citeseer_1,authors,1.0,True
6,arxiv_1,_id,dblp_1,ID,1.0,True
7,arxiv_1,Title,dblp_1,title,1.0,True
8,arxiv_1,Title,dblp_2,title,1.0,True
9,arxiv_1,Authors,dblp_2,authors,1.0,True
10,arxiv_1,_id,dblp_3,id,1.0,True
11,arxiv_1,Title,dblp_3,title,1.0,True
12,arxiv_1,Authors,dblp_3,authors,1.0,True
13,arxiv_1,_id,google_scholar_1,ID,1.0,True
14,arxiv_1,Title,google_scholar_1,title,1.0,True
15,arxiv_1,Title,google_scholar_2,title,1.0,True
16,arxiv_1,Authors,google_scholar_2,authors,1.0,True
17,arxiv_1,_id,neurips_1,_id,1.0,True
18,arxiv_1,Title,neurips_1,Title,1.0,True
19,arxiv_1,Authors,neurips_1,Authors,1.0,True
20,arxiv_1,Date,neurips_1,Date,1.0,True
21,arxiv_1,Abstract,neurips_1,Abstract,1.0,True
22,arxiv_1,Journal-ref,neurips_1,Journal-ref,1.0,True
23,arxiv_1,_id,thecvf_1,_id,1.0,True
24,arxiv_1,Title,thecvf_1,Title,1.0,True
25,arxiv_1,Authors,thecvf_1,Authors,1.0,True
26,arxiv_2,_id,citeseer_1,id,1.0,True
27,arxiv_2,Title,citeseer_1,title,1.0,True
28,arxiv_2,Authors,citeseer_1,authors,1.0,True
29,arxiv_2,_id,dblp_1,ID,1.0,True
30,arxiv_2,Title,dblp_1,title,1.0,True
31,arxiv_2,Year,dblp_1,year,1.0,True
32,arxiv_2,Title,dblp_2,title,1.0,True
33,arxiv_2,Authors,dblp_2,authors,1.0,True
34,arxiv_2,Year,dblp_2,year,1.0,True
35,arxiv_2,_id,dblp_3,id,1.0,True
36,arxiv_2,Title,dblp_3,title,1.0,True
37,arxiv_2,Authors,dblp_3,authors,1.0,True
38,arxiv_2,Month,dblp_3,month,1.0,True
39,arxiv_2,Year,dblp_3,year,1.0,True
40,arxiv_2,_id,google_scholar_1,ID,1.0,True
41,arxiv_2,Title,google_scholar_1,title,1.0,True
42,arxiv_2,Title,google_scholar_2,title,1.0,True
43,arxiv_2,Authors,google_scholar_2,authors,1.0,True
44,arxiv_2,_id,neurips_1,_id,1.0,True
45,arxiv_2,Title,neurips_1,Title,1.0,True
46,arxiv_2,Authors,neurips_1,Authors,1.0,True
47,arxiv_2,_id,thecvf_1,_id,1.0,True
48,arxiv_2,Tag,thecvf_1,Tag,1.0,True
49,arxiv_2,Title,thecvf_1,Title,1.0,True
50,arxiv_2,Authors,thecvf_1,Authors,1.0,True
51,arxiv_2,Month,thecvf_1,Month,1.0,True
52,arxiv_2,Year,thecvf_1,Year,1.0,True
53,arxiv_2,JournalRef,thecvf_1,JournalRef,1.0,True
54,citeseer_1,id,dblp_1,ID,1.0,True
55,citeseer_1,title,dblp_1,title,1.0,True
56,citeseer_1,journal,dblp_1,journal,1.0,True
