,table_a,column_a,table_b,column_b,similarity,type,correct
0,arxiv_1,Authors,neurips_1,Authors,0.8529142737388611,textual,True
1,dblp_3,authors,google_scholar_1,author,0.850662350654602,textual,True
2,dblp_3,authors,neurips_1,Authors,0.8499947190284729,textual,True
3,arxiv_2,Authors,neurips_1,Authors,0.8313369750976562,textual,True
4,arxiv_1,Authors,dblp_3,authors,0.8277616500854492,textual,True
5,arxiv_2,_id,thecvf_1,_id,0.8237149119377136,numerical,True
6,arxiv_1,Journal-ref,arxiv_2,JournalRef,0.8229424357414246,textual,True
7,neurips_1,Authors,thecvf_1,Authors,0.8098475337028503,textual,True
8,google_scholar_1,author,neurips_1,Authors,0.8061173558235168,textual,True
9,arxiv_1,Authors,citeseer_1,authors,0.8051022291183472,textual,True
10,arxiv_1,_id,arxiv_2,_id,0.7985541224479675,numerical,True
11,dblp_1,author,dblp_3,authors,0.7961395978927612,textual,True
12,dblp_1,author,google_scholar_1,author,0.7929916977882385,textual,True
13,citeseer_1,authors,neurips_1,Authors,0.7928449511528015,textual,True
14,citeseer_1,authors,dblp_3,authors,0.7913023829460144,textual,True
15,dblp_3,title,neurips_1,Title,0.7912307381629944,textual,True
16,arxiv_1,Authors,thecvf_1,Authors,0.7892260551452637,textual,True
17,arxiv_1,Authors,arxiv_2,Authors,0.7856726050376892,textual,True
18,arxiv_2,Authors,thecvf_1,Authors,0.7855963110923767,textual,True
19,dblp_1,author,neurips_1,Authors,0.7818964719772339,textual,True
20,arxiv_2,_id,neurips_1,_id,0.7800823450088501,numerical,True
21,dblp_3,title,google_scholar_2,title,0.7790209054946899,textual,True
22,citeseer_1,authors,thecvf_1,Authors,0.7761505842208862,textual,True
23,arxiv_1,_id,google_scholar_1,ID,0.7742859125137329,numerical,True
24,dblp_1,ID,google_scholar_1,ID,0.7708410620689392,numerical,True
25,neurips_1,_id,thecvf_1,_id,0.7671401500701904,numerical,True
26,google_scholar_2,title,neurips_1,Title,0.765625,textual,True
27,arxiv_1,_id,neurips_1,_id,0.7652513384819031,numerical,True
28,arxiv_1,Authors,google_scholar_1,author,0.7620508074760437,textual,True
29,arxiv_1,Abstract,neurips_1,Abstract,0.7592654824256897,textual,True
30,arxiv_1,_id,thecvf_1,_id,0.7588779330253601,numerical,True
31,citeseer_1,authors,dblp_1,author,0.7584779262542725,textual,True
32,arxiv_2,Title,thecvf_1,Title,0.7480881214141846,textual,True
33,dblp_1,author,google_scholar_2,authors,0.7463722229003906,textual,True
34,arxiv_1,_id,dblp_3,id,0.7456458806991577,numerical,True
35,dblp_1,title,dblp_3,title,0.7433884143829346,textual,True
36,dblp_3,id,google_scholar_1,ID,0.7406160831451416,numerical,True
37,citeseer_1,title,neurips_1,Title,0.7379640936851501,textual,True
38,arxiv_2,_id,google_scholar_1,ID,0.7378084063529968,numerical,True
39,dblp_1,title,google_scholar_2,title,0.7372535467147827,textual,True
40,arxiv_2,Year,thecvf_1,Year,0.7372346520423889,numerical,True
41,arxiv_1,Authors,dblp_1,author,0.7351492047309875,textual,True
42,arxiv_1,Journal-ref,thecvf_1,JournalRef,0.7270734310150146,textual,True
43,google_scholar_2,authors,neurips_1,Authors,0.7264961004257202,textual,True
44,dblp_3,authors,thecvf_1,Authors,0.7253313660621643,textual,True
45,arxiv_1,Title,dblp_3,title,0.7240667343139648,textual,True
46,arxiv_1,Journal-ref,dblp_1,booktitle,0.7219078540802002,textual,True
47,dblp_3,title,google_scholar_1,title,0.7208189964294434,textual,True
48,google_scholar_2,title,thecvf_1,Title,0.7178660035133362,textual,True
49,citeseer_1,id,thecvf_1,_id,0.7171773314476013,numerical,True
50,google_scholar_1,ID,thecvf_1,_id,0.7165369987487793,numerical,True
51,arxiv_2,Authors,dblp_3,authors,0.716444730758667,textual,True
52,arxiv_2,_id,citeseer_1,id,0.7134905457496643,numerical,True
53,arxiv_1,_id,dblp_1,ID,0.7129369378089905,numerical,True
54,dblp_1,journal,dblp_3,journal,0.7129237651824951,textual,True
55,neurips_1,Title,thecvf_1,Title,0.7102339267730713,textual,True
56,citeseer_1,title,dblp_1,title,0.7081653475761414,textual,True
57,arxiv_1,Title,neurips_1,Title,0.7068341970443726,textual,True
58,arxiv_2,Authors,citeseer_1,authors,0.7065171599388123,textual,True
59,arxiv_2,Title,google_scholar_2,title,0.7062919735908508,textual,True
60,citeseer_1,title,google_scholar_2,title,0.7061469554901123,textual,True
61,arxiv_2,Authors,google_scholar_1,author,0.7060010433197021,textual,True
62,arxiv_1,Title,google_scholar_2,title,0.7049219012260437,textual,True
63,dblp_1,ID,dblp_3,id,0.7045367956161499,numerical,True
64,arxiv_1,_id,citeseer_1,id,0.7044247388839722,numerical,True
65,arxiv_2,Authors,google_scholar_2,authors,0.704085111618042,textual,True
66,arxiv_2,_id,dblp_3,id,0.7021778225898743,numerical,True
67,dblp_3,id,thecvf_1,_id,0.6991384029388428,numerical,True
68,citeseer_1,journal,dblp_3,month,0.6981723308563232,textual,False
69,arxiv_2,Authors,dblp_1,author,0.6977771520614624,textual,True
70,citeseer_1,title,dblp_3,title,0.6946603655815125,textual,True
71,dblp_2,authors,neurips_1,Authors,0.6937821507453918,textual,True
72,google_scholar_2,authors,thecvf_1,Authors,0.6917456388473511,textual,True
73,dblp_1,title,google_scholar_1,booktitle,0.6902165412902832,textual,False
74,dblp_1,title,neurips_1,Title,0.6898941993713379,textual,True
75,citeseer_1,authors,google_scholar_1,author,0.6897305846214294,textual,True
76,citeseer_1,id,dblp_3,id,0.6851322650909424,numerical,True
77,arxiv_2,_id,dblp_1,ID,0.6820563077926636,numerical,True
78,dblp_3,authors,google_scholar_2,authors,0.679269552230835,textual,True
79,dblp_1,ENTRYTYPE,google_scholar_1,ENTRYTYPE,0.6785654425621033,textual,True
80,citeseer_1,authors,google_scholar_2,authors,0.6779285669326782,textual,True
81,dblp_1,author,thecvf_1,Authors,0.6776905655860901,textual,True
82,arxiv_1,Title,google_scholar_1,title,0.6733115315437317,textual,True
83,arxiv_2,JournalRef,dblp_1,crossref,0.6713467240333557,textual,False
84,arxiv_1,Date,thecvf_1,Month,0.6705462336540222,textual,False
85,arxiv_2,Authors,dblp_2,authors,0.6679452657699585,textual,True
86,dblp_2,authors,google_scholar_2,authors,0.6629053950309753,textual,True
87,dblp_3,journal,google_scholar_1,organization,0.6624741554260254,textual,True
88,arxiv_2,JournalRef,dblp_1,booktitle,0.6583425998687744,textual,True
89,dblp_3,id,neurips_1,_id,0.6578710675239563,numerical,True
90,citeseer_1,id,google_scholar_1,ID,0.6573151350021362,numerical,True
91,arxiv_2,Title,dblp_2,title,0.6570738554000854,textual,True
92,arxiv_2,JournalRef,thecvf_1,JournalRef,0.6550263166427612,textual,True
93,dblp_3,title,thecvf_1,Title,0.6548525094985962,textual,True
94,dblp_1,author,dblp_2,authors,0.6541869640350342,textual,True
95,citeseer_1,id,neurips_1,_id,0.6525669097900391,numerical,True
96,citeseer_1,authors,dblp_2,authors,0.6519384980201721,textual,True
97,dblp_1,title,thecvf_1,Title,0.6516776084899902,textual,True
98,google_scholar_1,author,google_scholar_2,authors,0.6471569538116455,textual,True
99,arxiv_1,Journal-ref,dblp_1,crossref,0.6465893983840942,textual,False
100,dblp_3,title,google_scholar_1,booktitle,0.6455525159835815,textual,False
101,arxiv_1,Authors,dblp_2,authors,0.641508936882019,textual,True
102,dblp_1,ID,thecvf_1,_id,0.6409511566162109,numerical,True
103,dblp_2,authors,thecvf_1,Authors,0.6406059265136719,textual,True
