,table_a,column_a,table_b,column_b,similarity,type,correct
0,amo-ame-2009-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9997280836105348,numerical,True
1,amo-ame-2009-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.999697208404541,numerical,True
2,amo-ame-2011-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9996744394302368,numerical,True
3,amo-ame-2010-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9996172189712524,numerical,True
4,amo-ame-2009-eng,OBJ_CD,amo-ame-2010-eng,OBJ_CD,0.999547243118286,numerical,True
5,amo-ame-2010-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.99946129322052,numerical,True
6,amo-ame-2013-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9988659620285034,numerical,True
7,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9986117482185364,numerical,True
8,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9981353878974916,numerical,True
9,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.998093843460083,numerical,True
10,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.997851014137268,numerical,True
11,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.9977141618728638,numerical,True
12,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,0.9976738691329956,numerical,True
13,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.9971397519111632,numerical,True
14,amo-ame-2011-eng,MINC,amo-ame-2013-eng,MINC,0.9971227645874025,numerical,True
15,amo-ame-2011-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9970101118087769,numerical,True
16,amo-ame-2012-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9969913959503174,numerical,True
17,amo-ame-2010-eng,MINC,amo-ame-2013-eng,MINC,0.9969711303710938,numerical,True
18,amo-ame-2010-eng,MINC,amo-ame-2011-eng,MINC,0.9967278242111206,numerical,True
19,amo-ame-2012-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9967182278633118,numerical,True
20,amo-ame-2011-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9967132806777954,numerical,True
21,amo-ame-2009-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9966605305671692,numerical,True
22,amo-ame-2010-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9966549277305604,numerical,True
23,amo-ame-2009-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9965720176696776,numerical,True
24,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.996508240699768,numerical,True
25,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2011-eng,AGRG_PYMT_AMT,0.9961954951286316,numerical,True
26,amo-ame-2010-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.996171236038208,numerical,True
27,amo-ame-2013-eng,MINC,amo-ame-2019-eng,minc,0.9959388375282288,numerical,True
28,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.9958748817443848,numerical,True
29,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.995683491230011,numerical,True
30,amo-ame-2010-eng,MINC,amo-ame-2019-eng,minc,0.9956163167953492,numerical,True
31,amo-ame-2017-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.994766354560852,numerical,True
32,amo-ame-2011-eng,MINC,amo-ame-2019-eng,minc,0.9946433305740356,numerical,True
33,amo-ame-2009-eng,MINC,amo-ame-2013-eng,MINC,0.9945144653320312,numerical,True
34,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9943645000457764,numerical,True
35,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.9943310618400574,numerical,True
36,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9942309260368348,numerical,True
37,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.9941108226776124,numerical,True
