,table_a,column_a,table_b,column_b,similarity,type,correct
0,barnes_and_noble_3,ISBN13,barnes_and_noble_6,isbn13,0.9989790916442872,numerical,True
1,amazon_1,pubmonth,barnes_and_noble_1,pubmonth,0.998846173286438,numerical,True
2,amazon_4,rating,goodreads_2,rating,0.9985594749450684,numerical,True
3,barnes_and_noble_4,ID,goodreads_3,ID,0.9982072710990906,numerical,True
4,barnes_and_noble_4,ID,book_depository_1,ID,0.9981132745742798,numerical,True
5,amazon_1,pubyear,barnes_and_noble_1,pubyear,0.9980926513671876,numerical,True
6,barnes_and_noble_4,ID,goodreads_4,ID,0.9979565143585204,numerical,True
7,book_depository_1,_id,goodreads_3,_id,0.9979457855224608,numerical,True
8,amazon_2,ID,barnes_and_noble_4,ID,0.9979002475738524,numerical,True
9,book_depository_1,ID,goodreads_3,ID,0.9978314638137816,numerical,True
10,amazon_2,ID,book_depository_1,ID,0.9978288412094116,numerical,True
11,amazon_2,ID,goodreads_3,ID,0.9976150393486024,numerical,True
12,amazon_1,pubday,barnes_and_noble_1,pubday,0.997613251209259,numerical,True
13,barnes_and_noble_6,_id,book_depository_1,_id,0.9974769353866576,numerical,True
14,book_depository_1,ID,goodreads_4,ID,0.9974477887153624,numerical,True
15,amazon_2,ID,goodreads_4,ID,0.9973188638687134,numerical,True
16,amazon_3,Pages,barnes_and_noble_5,pages,0.9973052740097046,numerical,True
17,book_depository_1,_id,goodreads_4,_id,0.9972751140594482,numerical,True
18,goodreads_3,ID,goodreads_4,ID,0.9972385168075562,numerical,True
19,barnes_and_noble_3,ISBN13,half_1,ISBN13,0.9972295165061952,numerical,True
20,barnes_and_noble_6,_id,goodreads_4,_id,0.9972054362297058,numerical,True
21,barnes_and_noble_2,ID,goodreads_1,ID,0.9971332550048828,numerical,True
22,amazon_5,old_price,barnes_and_noble_6,old_price,0.9971283674240112,mixed,True
23,goodreads_3,_id,goodreads_4,_id,0.9970718026161194,numerical,True
24,amazon_5,_id,goodreads_3,_id,0.9970704317092896,numerical,True
25,amazon_2,ID,imsa_1,ID,0.9970377683639526,numerical,True
26,amazon_4,_id,amazon_5,_id,0.9969823360443116,numerical,True
27,goodreads_1,ID,imsa_1,ID,0.9968668222427368,numerical,True
28,barnes_and_noble_6,_id,goodreads_3,_id,0.9968406558036804,numerical,True
29,amazon_1,id,barnes_and_noble_1,id,0.9967540502548218,numerical,True
