,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
alite-bert-base-uncased-l2,0.9894736842105263,0.5222222222222223,0.6836363636363638,1.0,1.0,1.0,1.0,1.0,0.5222222222222223
coma_schema,0.7763157894736842,0.6555555555555556,0.710843373493976,1.0,0.9830508474576272,0.9473684210526315,0.8976377952755905,0.7919463087248322,0.6555555555555556
coma_schema_instance,0.8627450980392157,0.7333333333333333,0.7927927927927927,1.0,1.0,1.0,0.9838709677419355,0.8671328671328671,0.7333333333333333
cupid,0.7619047619047619,0.6222222222222222,0.6850152905198776,0.8674698795180723,0.59,0.45901639344262296,0.35910224438902744,0.2977867203219316,0.7333333333333333
deepjoin-all-mpnet-base-v2-coltotext-colname-stat-col-shuffle-0.4-epochs-10-bs-16-lr-2e-05-wd-0.01-warmup-10000,0.7539267015706806,0.8,0.7762803234501349,0.6875,0.3135755258126195,0.2073170731707317,0.1575649059982095,0.12606232294617564,0.8777777777777778
distribution_based,0.9781021897810219,0.7444444444444445,0.8454258675078865,1.0,0.975609756097561,0.9705882352941176,0.9791666666666666,0.9838709677419355,0.7444444444444445
jaccard,0.9935483870967742,0.8555555555555555,0.9194029850746268,1.0,1.0,1.0,0.9928057553956835,0.9221556886227545,0.8555555555555555
similarity_flooding,0.6923076923076923,0.7,0.6961325966850829,0.5226130653266332,0.26719056974459726,0.19631901840490798,0.1509433962264151,0.12207239176721078,0.6
starmie-model_drop_num_col_random_column_0-ft,0.7918781725888325,0.8666666666666667,0.8275862068965516,0.7452830188679245,0.34237995824634654,0.22788203753351208,0.1755424063116371,0.13928012519561817,0.8777777777777778
starmie-model_sample_row_ordered_tfidf_entity_column_0,0.5748502994011976,0.5333333333333333,0.553314121037464,0.5405405405405406,0.2692307692307692,0.20239680426098536,0.1614785992217899,0.13650306748466257,0.6222222222222222
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-04-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7542372881355932,0.33584905660377357,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.9888888888888889
