,table_a,column_a,table_b,column_b,similarity,correct
0,cihr_co-applicant_0,Province,cihr_co-applicant_2,ProvinceEN,0.2729839275133404,True
1,cihr_co-applicant_0,Country,cihr_co-applicant_2,CountryEN,0.2690931409840881,True
2,cihr_co-applicant_1,nan1,cihr_co-applicant_5,nan1,0.228431588296795,False
3,cihr_co-applicant_1,nan0,cihr_co-applicant_5,nan0,0.2284315882967949,False
4,cihr_co-applicant_0,Province,cihr_co-applicant_6,Province,0.228392172164948,True
5,cihr_co-applicant_0,Country,cihr_co-applicant_6,Country,0.228392172164948,True
6,cihr_co-applicant_2,AppNm,cihr_co-applicant_5,AppNm,0.2252184311101883,True
7,cihr_co-applicant_2,AppOrgID,cihr_co-applicant_5,AppOrgID,0.2252184311101883,True
8,cihr_co-applicant_2,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.2252184311101883,True
9,cihr_co-applicant_2,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.2252184311101883,True
10,cihr_co-applicant_2,CountryEN,cihr_co-applicant_5,CountryEN,0.2252184311101883,True
11,cihr_co-applicant_0,Province,cihr_co-applicant_3,Province,0.2247259665060003,True
12,cihr_co-applicant_0,Country,cihr_co-applicant_3,Country,0.2247259665060003,True
13,cihr_co-applicant_0,Organization Code,cihr_co-applicant_10,Organization Code,0.2240366641373184,True
14,cihr_co-applicant_0,Province,cihr_co-applicant_10,Province,0.2240366641373184,True
15,cihr_co-applicant_0,Country,cihr_co-applicant_10,Country,0.2240366641373184,True
16,cihr_co-applicant_2,AppNm,cihr_co-applicant_4,AppNm,0.2235139223146946,True
17,cihr_co-applicant_2,AppOrgID,cihr_co-applicant_4,AppOrgID,0.2235139223146946,True
18,cihr_co-applicant_2,AppOrgNm,cihr_co-applicant_4,AppOrgNm,0.2235139223146946,True
19,cihr_co-applicant_2,ProvinceEN,cihr_co-applicant_4,ProvinceEN,0.2235139223146946,True
20,cihr_co-applicant_2,CountryEN,cihr_co-applicant_4,CountryEN,0.2235139223146946,True
21,cihr_co-applicant_11,AppNm,cihr_co-applicant_2,AppNm,0.2235044580098065,True
22,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_2,AppOrgNm,0.2235044580098065,True
23,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_2,AppOrgID,0.2235044580098065,True
24,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_2,ProvinceEN,0.2235044580098065,True
25,cihr_co-applicant_11,CountryEN,cihr_co-applicant_2,CountryEN,0.2235044580098065,True
26,cihr_co-applicant_0,Province,cihr_co-applicant_8,Province,0.2233955956260803,True
27,cihr_co-applicant_0,Country,cihr_co-applicant_8,Country,0.2233955956260803,True
28,cihr_co-applicant_0,Province,cihr_co-applicant_9,Province,0.2231451340065092,True
29,cihr_co-applicant_0,Country,cihr_co-applicant_9,Country,0.2231451340065092,True
30,cihr_co-applicant_2,ProvinceEN,cihr_co-applicant_3,Province,0.2093576869759321,True
31,cihr_co-applicant_10,Province,cihr_co-applicant_2,ProvinceEN,0.2090517802758679,True
32,cihr_co-applicant_2,ProvinceEN,cihr_co-applicant_9,Province,0.2087689509269134,True
33,cihr_co-applicant_2,ProvinceEN,cihr_co-applicant_8,Province,0.2087135854695871,True
34,cihr_co-applicant_2,CountryEN,cihr_co-applicant_3,Country,0.2062249861262383,True
35,cihr_co-applicant_10,Country,cihr_co-applicant_2,CountryEN,0.2059229965206838,True
36,cihr_co-applicant_0,Province,cihr_co-applicant_5,ProvinceEN,0.2057510312669033,True
37,cihr_co-applicant_2,CountryEN,cihr_co-applicant_9,Country,0.205645156815253,True
38,cihr_co-applicant_2,CountryEN,cihr_co-applicant_8,Country,0.2055906275942388,True
39,cihr_co-applicant_0,Province,cihr_co-applicant_11,ProvinceEN,0.2046855742030901,True
40,cihr_co-applicant_0,Province,cihr_co-applicant_4,ProvinceEN,0.2046801804146043,True
41,cihr_co-applicant_0,Country,cihr_co-applicant_5,CountryEN,0.2026728481689366,True
42,cihr_co-applicant_2,ProvinceEN,cihr_co-applicant_6,Province,0.2021606335147316,True
