,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_2,_id,ulta_1,_id,0.994888424873352,numerical,True
1,sephora_1,Price,sephora_2,price,0.99225252866745,mixed,True
2,sephora_2,price,ulta_1,price,0.982560396194458,mixed,True
3,amazon_1,Price,sephora_1,Price,0.9811283349990844,mixed,True
4,sephora_2,rating,ulta_1,rating,0.979144275188446,textual,True
5,sephora_1,Price,ulta_1,price,0.9766467809677124,mixed,True
6,amazon_1,Price,sephora_2,price,0.9757368564605712,mixed,True
7,amazon_1,Price,ulta_1,price,0.9707951545715332,mixed,True
8,sephora_2,product name,ulta_1,product name,0.952767252922058,textual,True
9,sephora_2,brand,ulta_1,brand,0.9452314376831056,textual,True
10,amazon_1,Description,sephora_1,Description,0.9162662625312804,textual,True
11,amazon_1,ID,sephora_2,_id,0.9002261161804199,textual,True
12,sephora_1,Product_id,sephora_2,_id,0.896998405456543,numerical,True
13,amazon_1,Color,sephora_1,Color,0.891756534576416,textual,True
14,amazon_1,ID,ulta_1,_id,0.8877277970314026,textual,True
15,sephora_1,Product_id,ulta_1,_id,0.8869246244430542,numerical,True
16,amazon_1,ID,sephora_1,Product_id,0.8401148319244385,textual,True
17,amazon_1,Description,sephora_2,product name,0.8367072939872742,textual,True
18,sephora_1,Description,sephora_2,product name,0.8348135948181152,textual,True
19,sephora_1,Description,ulta_1,product name,0.8264826536178589,textual,True
20,amazon_1,Description,ulta_1,product name,0.8196252584457397,textual,True
21,amazon_1,Price,sephora_1,Product_id,0.8096189498901367,textual,False
22,sephora_2,number of colors,ulta_1,number of colors/scent,0.8003382682800293,numerical,True
23,sephora_1,Description,sephora_2,brand,0.7982401847839355,textual,False
24,sephora_1,Description,ulta_1,brand,0.7951337099075317,textual,False
25,sephora_1,Product_id,sephora_2,price,0.7878350615501404,textual,False
26,sephora_1,Product_id,ulta_1,price,0.7738884091377258,textual,False
27,sephora_2,product name,ulta_1,brand,0.7735201120376587,textual,False
28,sephora_2,brand,ulta_1,product name,0.7697708010673523,textual,False
29,amazon_1,Description,sephora_2,brand,0.7635239958763123,textual,False
30,amazon_1,Description,ulta_1,brand,0.755393385887146,textual,False
31,sephora_1,Product_id,ulta_1,rating,0.753387451171875,numerical,False
32,amazon_1,ID,ulta_1,rating,0.7524421215057373,textual,False
33,sephora_1,Color,ulta_1,product name,0.7520369291305542,textual,False
34,amazon_1,Price,sephora_2,_id,0.7386211156845093,textual,False
35,sephora_1,Price,ulta_1,rating,0.7377506494522095,textual,False
36,sephora_2,price,ulta_1,rating,0.73745197057724,textual,False
37,sephora_2,_id,ulta_1,rating,0.7356690168380737,numerical,False
38,sephora_1,Price,sephora_2,_id,0.7335716485977173,textual,False
39,sephora_1,Color,sephora_2,product name,0.7334878444671631,textual,False
40,amazon_1,Price,ulta_1,rating,0.7323970198631287,textual,False
41,amazon_1,Price,ulta_1,_id,0.729655921459198,textual,False
42,amazon_1,ID,sephora_2,rating,0.7255989909172058,mixed,False
43,sephora_1,Price,ulta_1,_id,0.7231583595275879,textual,False
44,amazon_1,ID,sephora_1,Price,0.7202253341674805,mixed,False
45,sephora_1,Product_id,sephora_2,rating,0.7181921005249023,textual,False
46,sephora_1,Color,ulta_1,brand,0.7166000604629517,textual,False
47,sephora_1,Color,sephora_2,brand,0.7144761681556702,textual,False
48,sephora_2,price,ulta_1,_id,0.711798906326294,textual,False
49,amazon_1,ID,sephora_2,price,0.7075409889221191,mixed,False
50,amazon_1,Color,sephora_2,number of colors,0.7051002383232117,textual,False
51,amazon_1,Description,sephora_1,Color,0.7047539949417114,textual,False
52,sephora_2,_id,ulta_1,price,0.703281581401825,textual,False
53,amazon_1,Color,ulta_1,number of colors/scent,0.7029224038124084,textual,False
54,sephora_2,rating,ulta_1,_id,0.6940449476242065,textual,False
55,amazon_1,ID,ulta_1,price,0.6861526370048523,mixed,False
56,sephora_1,Price,sephora_2,rating,0.6788163185119629,mixed,False
57,amazon_1,Price,sephora_2,rating,0.6690362095832825,mixed,False
58,sephora_2,rating,ulta_1,price,0.6675451993942261,mixed,False
59,sephora_1,Color,ulta_1,number of colors/scent,0.6652070879936218,textual,False
60,sephora_1,Color,sephora_2,number of colors,0.6454457640647888,textual,False
61,amazon_1,Color,sephora_2,product name,0.6403998136520386,textual,False
62,amazon_1,Color,ulta_1,product name,0.6398488283157349,textual,False
63,amazon_1,Color,sephora_2,brand,0.6216119527816772,textual,False
64,amazon_1,Color,ulta_1,brand,0.6113897562026978,textual,False
65,sephora_2,number of colors,ulta_1,rating,0.5697544813156128,numerical,False
66,sephora_2,rating,ulta_1,number of colors/scent,0.5693122744560242,textual,False
67,amazon_1,Price,ulta_1,number of colors/scent,0.5689141750335693,textual,False
68,sephora_2,price,ulta_1,number of colors/scent,0.5681769847869873,textual,False
69,sephora_1,Price,ulta_1,number of colors/scent,0.5678590536117554,textual,False
70,amazon_1,Color,sephora_1,Description,0.5667839050292969,textual,False
71,sephora_2,number of colors,ulta_1,price,0.5337207317352295,textual,False
72,sephora_1,Price,sephora_2,number of colors,0.5223841071128845,textual,False
73,amazon_1,Price,sephora_2,number of colors,0.5212717056274414,textual,False
74,sephora_1,Product_id,ulta_1,number of colors/scent,0.4967622756958008,numerical,False
75,sephora_2,brand,ulta_1,number of colors/scent,0.4854458570480346,textual,False
76,sephora_2,product name,ulta_1,number of colors/scent,0.4828667640686035,textual,False
77,amazon_1,ID,ulta_1,number of colors/scent,0.4790440797805786,textual,False
78,amazon_1,ID,sephora_2,number of colors,0.4698067605495453,textual,False
79,sephora_1,Product_id,sephora_2,number of colors,0.4668395519256592,numerical,False
80,amazon_1,Price,ulta_1,brand,0.4390487372875213,textual,False
81,sephora_2,rating,ulta_1,brand,0.4380744397640228,textual,False
