,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
alite-bert-base-uncased-l2,0.8311688311688312,0.165374677002584,0.27586206896551724,0.7777777777777778,0.7407407407407407,0.7272727272727273,0.7419354838709677,0.7875,0.1834625322997416
coma_schema,0.9627507163323782,0.8682170542635659,0.9130434782608694,1.0,1.0,1.0,1.0,1.0,0.8682170542635659
coma_schema_instance,0.9510869565217391,0.9043927648578811,0.9271523178807947,1.0,1.0,1.0,1.0,0.9939759036144579,0.9043927648578811
cupid,0.8466666666666667,0.6563307493540051,0.7394468704512372,1.0,0.9385245901639344,0.6477832512315271,0.46397188049209137,0.36114911080711354,0.648578811369509
deepjoin-all-mpnet-base-v2-coltotext-colname-stat-col-shuffle-0.4-epochs-10-bs-16-lr-2e-05-wd-0.01-warmup-10000,0.8040540540540541,0.9224806201550387,0.8592057761732852,0.6819012797074955,0.23461304082876294,0.14149908592321755,0.1010707756594411,0.07861060329067641,0.9147286821705426
distribution_based,0.8113207547169812,0.1111111111111111,0.19545454545454544,0.8333333333333334,0.8333333333333334,0.896551724137931,0.875,0.8076923076923077,0.11627906976744186
jaccard,0.7024390243902439,0.37209302325581395,0.48648648648648646,0.7857142857142857,0.7142857142857143,0.6642857142857143,0.6122448979591837,0.5873015873015873,0.4289405684754522
similarity_flooding,0.6283783783783784,0.7209302325581395,0.671480144404332,0.35648994515539306,0.1614868982327849,0.12541133455210238,0.09584747975972839,0.07739183424741011,0.4754521963824289
starmie-model_drop_num_col_random_column_0-ft,0.6591422121896162,0.7545219638242894,0.7036144578313253,0.5947867298578199,0.2685624012638231,0.17354196301564723,0.12698950220115138,0.10007900974453517,0.6356589147286822
starmie-model_sample_row_ordered_tfidf_entity_column_0,0.5968468468468469,0.6847545219638242,0.6377858002406739,0.5734989648033126,0.24033149171270718,0.15292167426440115,0.11071640023682652,0.08749712180520378,0.6640826873385013
valentwin-restaurants-n-100-hn-10-selective-neg-lr-3e5-bs-512-20240421-euc-cnw-04-euc,0.7342342342342343,0.8423772609819121,0.7845968712394705,0.6288848263254113,0.22120658135283364,0.13455210237659965,0.09924262209454165,0.07861060329067641,0.8423772609819121
