,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
alite-bert-base-uncased-l2,0.36585365853658536,0.046012269938650305,0.08174386920980926,0.4,0.20689655172413793,0.2916666666666667,0.31343283582089554,0.29069767441860467,0.07975460122699386
coma_schema,0.9245283018867925,0.6012269938650306,0.728624535315985,1.0,1.0,1.0,0.9828571428571429,0.88,0.6104294478527608
coma_schema_instance,0.9055793991416309,0.647239263803681,0.7549194991055457,1.0,1.0,0.9924812030075187,0.9946524064171123,0.8666666666666667,0.6595092024539877
cupid,0.9289099526066351,0.6012269938650306,0.7299813780260709,0.8209606986899564,0.2905109489051095,0.17425569176882663,0.12570356472795496,0.09781021897810219,0.6104294478527608
deepjoin-all-mpnet-base-v2-coltotext-colname-stat-col-shuffle-0.4-epochs-10-bs-16-lr-2e-05-wd-0.01-warmup-10000,0.6318840579710145,0.6687116564417178,0.6497764530551415,0.13311258278145696,0.05409582689335394,0.038950715421303655,0.030566859089618623,0.023995289268364493,0.38650306748466257
distribution_based,0.30288461538461536,0.19325153374233128,0.23595505617977527,0.1144578313253012,0.18072289156626506,0.1652593486127865,0.1456896551724138,0.11997319034852547,0.15030674846625766
jaccard,0.26517571884984026,0.254601226993865,0.25978090766823164,0.15517241379310345,0.12561576354679804,0.10448496796451454,0.09295774647887324,0.07776560788608981,0.15644171779141106
similarity_flooding,0.6115942028985507,0.647239263803681,0.6289120715350225,0.1390728476821192,0.054758224773680725,0.037890832008479064,0.029525882464275576,0.0235536581775357,0.5429447852760736
starmie-model_drop_num_col_random_column_0-ft,0.48695652173913045,0.5153374233128835,0.5007451564828614,0.1933115823817292,0.0840358988305684,0.05303524804177546,0.037995337995338,0.02955307769014595,0.36503067484662577
starmie-model_sample_row_ordered_tfidf_entity_column_0,0.6434782608695652,0.6809815950920245,0.6616989567809239,0.26033834586466165,0.09868421052631579,0.06090225563909774,0.04377013963480129,0.03404344193817878,0.5613496932515337
valentwin-school_report-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-04-euc,0.6956521739130435,0.7361963190184049,0.7153502235469448,0.1695364238410596,0.07109737248840804,0.04266030736618972,0.030566859089618623,0.023995289268364493,0.5122699386503068
