,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
alite-bert-base-uncased-l2,0.9508928571428571,0.4011299435028249,0.5642384105960265,0.9148936170212766,0.9214285714285714,0.927038626609442,0.9294478527607362,0.9260143198090692,0.4067796610169492
coma_schema,0.9443671766342142,0.6393596986817326,0.7624929814710836,1.0,1.0,1.0,1.0,0.949438202247191,0.6412429378531074
coma_schema_instance,0.9488574537540805,0.8210922787193974,0.8803634528016153,1.0,0.9927797833935018,0.9761388286334056,0.9798761609907121,0.9554216867469879,0.8229755178907722
cupid,0.9759450171821306,0.5348399246704332,0.6909975669099757,0.9965277777777778,0.6488991888760139,0.39109255393180237,0.279324055666004,0.22033243138770778,0.527306967984934
deepjoin-all-mpnet-base-v2-coltotext-colname-stat-col-shuffle-0.4-epochs-10-bs-16-lr-2e-05-wd-0.01-warmup-10000,0.8322756119673618,0.864406779661017,0.8480369515011549,0.39508340649692714,0.14779045946736905,0.0913081650570676,0.06584723441615452,0.05170227294898059,0.7410546139359698
distribution_based,0.8633879781420765,0.5951035781544256,0.7045707915273132,0.8837209302325582,0.8025974025974026,0.7207488299531981,0.6722408026755853,0.5967042497831744,0.6252354048964218
jaccard,0.848893166506256,0.8305084745762712,0.8396001903855308,0.6451104100946372,0.48264984227129337,0.3034700315457413,0.22307345651194233,0.17577988082719945,0.5951035781544256
similarity_flooding,0.6745240253853128,0.7005649717514124,0.68729792147806,0.30293730819815873,0.10903244665302543,0.07647110409541348,0.05950889501378101,0.05096224116930573,0.6290018832391714
starmie-model_drop_num_col_random_column_0-ft,0.8830462375339981,0.9171374764595104,0.8997690531177829,0.4997566909975669,0.17226277372262774,0.10335766423357665,0.07382690302398331,0.05742092457420925,0.7994350282485876
starmie-model_sample_row_ordered_tfidf_entity_column_0,0.9111514052583862,0.9463276836158192,0.9284064665127021,0.48783910196445274,0.16450958989552472,0.09936377245508982,0.07097032878909383,0.05520037423982536,0.8832391713747646
valentwin-stockport_contracts-n-100-hn-10-selective-neg-lr-3e5-bs-512-20240421-euc-cnw-04-euc,0.8921124206708976,0.9265536723163842,0.9090069284064665,0.43796580447172295,0.15521777258111663,0.0931333859510655,0.06652468053119519,0.05174177831912302,0.716572504708098
