,table_a,column_a,table_b,column_b,similarity,correct
0,1007ipopayments,VAT registration number,1009ipopayments,VAT registration number,0.96799946,True
1,1007ipopayments,Department family,1009ipopayments,Department family,0.96657395,True
2,1007ipopayments,Expense type,1009ipopayments,Expense type,0.965938,True
3,1007ipopayments,Expense area,1009ipopayments,Expense area,0.965938,True
4,1007ipopayments,Amount,1009ipopayments,Amount,0.96444595,True
5,1007ipopayments,Entity,1009ipopayments,Entity,0.9641632,True
6,1007ipopayments,Date,1009ipopayments,Date,0.9638691,True
7,1008ipopayments,Transaction number,1009ipopayments,Transaction number,0.92864937,True
8,1008ipopayments,Supplier,1009ipopayments,Supplier,0.92640316,True
9,1008ipopayments,Amount,1009ipopayments,Amount,0.92584825,True
10,1008ipopayments,Date,1009ipopayments,Date,0.925248,True
11,1006ipopayments,Transaction number,1009ipopayments,Transaction number,0.9005258,True
12,1006ipopayments,Expense type,1009ipopayments,Expense type,0.8993135,True
13,1006ipopayments,Expense area,1009ipopayments,Expense area,0.8993135,True
14,1007ipopayments,Amount,1008ipopayments,Amount,0.8975694,True
15,1006ipopayments,Date,1009ipopayments,Date,0.8972446,True
16,1007ipopayments,Date,1008ipopayments,Date,0.8969925,True
17,1006ipopayments,Expense type,1007ipopayments,Expense type,0.8930209,True
18,1006ipopayments,Expense area,1007ipopayments,Expense area,0.8930209,True
19,1006ipopayments,Date,1007ipopayments,Date,0.890952,True
20,1008ipopayments,Expense Category,1010ipopayments,Expense Category,0.88041306,True
21,1004ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.8796777,True
22,1005ipopayments,Date,1006ipopayments,Date,0.87860173,True
23,1004ipopayments,Transaction ID,1010ipopayments,Transaction ID,0.8775038,True
24,1009ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.8717798,True
25,1006ipopayments,Transaction number,1008ipopayments,Transaction number,0.8686344,True
26,1007ipopayments,VAT registration number,1010ipopayments,VAT registration number,0.86537105,True
27,1006ipopayments,Date,1008ipopayments,Date,0.86535317,True
28,1005ipopayments,Date,1008ipopayments,Date,0.8530842,True
29,1004ipopayments,VAT registration number,1009ipopayments,VAT registration number,0.8464377,True
30,1005ipopayments,Date,1007ipopayments,Date,0.83897686,True
31,1005ipopayments,Date,1009ipopayments,Date,0.82815564,True
32,1004ipopayments,VAT registration number,1007ipopayments,VAT registration number,0.8099361,True
33,1005ipopayments,ExpenseCategory,1008ipopayments,Expense Category,0.7742979,False
34,1005ipopayments,ExpenseCategory,1010ipopayments,Expense Category,0.72312605,False
35,1005ipopayments,Expense,1006ipopayments,Expense type,0.6976558,True
36,1008ipopayments,Department Category,1009ipopayments,Department family,0.6954722,True
37,1008ipopayments,VAT number,1009ipopayments,VAT registration number,0.6951685,True
38,1008ipopayments,Transaction number,1010ipopayments,Transaction ID,0.68955284,True
39,1008ipopayments,Expense Office,1009ipopayments,Expense type,0.6874753,False
40,1008ipopayments,Entity Category,1009ipopayments,Entity,0.6815633,True
41,1009ipopayments,Transaction number,1010ipopayments,Transaction ID,0.6792834,True
42,1007ipopayments,Department family,1008ipopayments,Department Category,0.66763765,True
43,1004ipopayments,Transaction ID,1008ipopayments,Transaction number,0.6676331,True
44,1008ipopayments,Department Category,1010ipopayments,Department Primary,0.66761523,False
45,1007ipopayments,VAT registration number,1008ipopayments,VAT number,0.6672898,True
46,1007ipopayments,Expense type,1008ipopayments,Expense Office,0.6595712,False
47,1005ipopayments,Expense,1007ipopayments,Expense type,0.6580309,True
48,1004ipopayments,Supplier Name,1008ipopayments,Supplier,0.65740424,True
49,1004ipopayments,Transaction ID,1009ipopayments,Transaction number,0.6543503,True
50,1007ipopayments,Entity,1008ipopayments,Entity Category,0.65370417,True
51,1008ipopayments,VAT number,1010ipopayments,VAT registration number,0.64783937,True
52,1009ipopayments,Department family,1010ipopayments,Department Primary,0.6472169,False
53,1005ipopayments,Expense,1009ipopayments,Expense type,0.6472097,True
54,1005ipopayments,Vendor,1006ipopayments,Vendor Name,0.64491236,True
55,1004ipopayments,Supplier Name,1009ipopayments,Supplier,0.6441214,True
56,1006ipopayments,Transaction number,1010ipopayments,Transaction ID,0.64287084,True
57,1004ipopayments,Category,1010ipopayments,Expense Category,0.64109164,False
58,1007ipopayments,Department family,1010ipopayments,Department Primary,0.64080817,False
59,1005ipopayments,Expense,1008ipopayments,Expense Office,0.63924617,False
60,1004ipopayments,Transaction ID,1006ipopayments,Transaction number,0.63720495,True
61,1004ipopayments,Category,1008ipopayments,Entity Category,0.63618463,False
62,1006ipopayments,Expense type,1008ipopayments,Expense Office,0.62793183,False
63,1004ipopayments,VAT registration number,1008ipopayments,VAT number,0.6258874,True
64,1006ipopayments,Transaction number,1007ipopayments,VAT registration number,0.62186676,False
65,1009ipopayments,Expense type,1010ipopayments,Expense Category,0.5943371,True
66,1007ipopayments,Expense type,1010ipopayments,Expense Category,0.5879283,True
67,1004ipopayments,Category,1005ipopayments,ExpenseCategory,0.56966984,True
68,1006ipopayments,Expense type,1010ipopayments,Expense Category,0.55792457,True
69,1007ipopayments,Amount,1010ipopayments,Transaction Amount,0.5546722,True
70,1004ipopayments,Supplier Name,1006ipopayments,Vendor Name,0.5070338,True
71,1004ipopayments,Title,1009ipopayments,Entity,0.44652295,False
72,1004ipopayments,Supplier Name,1005ipopayments,DeptName,0.419445,False
73,1005ipopayments,Vendor,1008ipopayments,VAT number,0.41715828,False
74,1004ipopayments,Title,1007ipopayments,Entity,0.41002136,False
75,1004ipopayments,Title,1008ipopayments,Date,0.40543395,False
76,1004ipopayments,Title,1006ipopayments,Date,0.37500578,False
77,1005ipopayments,DeptName,1010ipopayments,Department Primary,0.35632223,False
78,1005ipopayments,Vendor,1009ipopayments,Supplier,0.34682435,True
79,1004ipopayments,Title,1005ipopayments,Date,0.34517387,False
80,1005ipopayments,Vendor,1007ipopayments,VAT registration number,0.34226885,False
81,1005ipopayments,Vendor,1010ipopayments,VAT registration number,0.30513716,False
82,1004ipopayments,VAT registration number,1005ipopayments,Vendor,0.298622,False
