,table_a,column_a,table_b,column_b,similarity,correct
0,25kjun12,Expense type,25koct10,Expense type,0.4853361989278021,True
1,25kjun12,Expense area,25koct10,Expense area,0.4853361989278021,True
2,25kjun10,Description,25kjun12,Description,0.46851769635549,False
3,25kjul12,Expense type,25kjun12,Expense type,0.4489626952400458,True
4,25kjul12,Expense area,25kjun12,Expense area,0.4489626952400458,True
5,25kjun11,Expense type,25kjun12,Expense type,0.4489626952400458,True
6,25kjun11,Expense area,25kjun12,Expense area,0.4489626952400458,True
7,25kjun12,Expense type,25kmay10,Expense type,0.4476731226069757,True
8,25kjun12,Expense area,25kmay10,Expense area,0.4476731226069757,True
9,25kjun12,Expense area,25koct11,Expense area,0.4157774379836213,True
10,25kjun12,Description,25koct11,Description,0.4157774379836213,True
11,25kjun12,Expense type,25koct11,Expense type,0.4157774379836212,True
12,25kjun12,Expense type,25knov10,Expense type,0.4085530597997714,True
13,25kjun12,Expense area,25knov10,Expense area,0.4085530597997714,True
14,25koct10,Department family,25ksep11,Department family,0.403849937483313,True
15,25koct10,Supplier,25ksep11,Supplier,0.403849937483313,True
16,25kjun12,Expense type,25koct10,Expense area,0.4036500732981025,False
17,25kjun12,Expense area,25koct10,Expense type,0.4036500732981025,False
18,25kmay10,Department family,25koct10,Department family,0.3961943731626345,True
19,25kmay10,Expense type,25koct10,Expense type,0.3961943731626345,True
20,25kmay10,Expense area,25koct10,Expense area,0.3961943731626345,True
21,25kmay10,Supplier,25koct10,Supplier,0.3961943731626345,True
22,25kjul12,Department family,25koct10,Department family,0.3958967292590356,True
23,25kjul12,Expense type,25koct10,Expense type,0.3958967292590356,True
24,25kjul12,Expense area,25koct10,Expense area,0.3958967292590356,True
25,25kjul12,Supplier,25koct10,Supplier,0.3958967292590356,True
26,25kjun11,Department family,25koct10,Department family,0.3958967292590356,True
27,25kjun11,Expense type,25koct10,Expense type,0.3958967292590356,True
28,25kjun11,Expense area,25koct10,Expense area,0.3958967292590356,True
29,25kjun11,Supplier,25koct10,Supplier,0.3958967292590356,True
30,25kjun12,Expense type,25ksep11,Expense Title,0.3855195932650423,True
31,25koct10,Department family,25koct11,Department family,0.372664486696963,True
32,25koct10,Expense type,25koct11,Expense type,0.372664486696963,True
33,25koct10,Expense area,25koct11,Expense area,0.372664486696963,True
34,25koct10,Supplier,25koct11,Supplier,0.372664486696963,True
35,25kjul12,Expense type,25kjun12,Expense area,0.3716549760357097,False
36,25kjul12,Expense area,25kjun12,Expense type,0.3716549760357097,False
37,25kjun11,Expense type,25kjun12,Expense area,0.3716549760357097,False
38,25kjun11,Expense area,25kjun12,Expense type,0.3716549760357097,False
39,25kjun12,Expense type,25kmay10,Expense area,0.3701368622943768,False
40,25kjun12,Expense area,25kmay10,Expense type,0.3701368622943768,False
41,25kjun12,Expense area,25ksep11,Expense Category,0.3693683358947088,True
42,25kjun12,Expense area,25ksep11,Expense Title,0.3670610134132326,False
43,25kjul12,Department family,25ksep11,Department family,0.3663255311651945,True
44,25kjul12,Entity,25ksep11,Entity,0.3663255311651945,True
45,25kjul12,Supplier,25ksep11,Supplier,0.3663255311651945,True
46,25kmay10,Department family,25ksep11,Department family,0.3663255311651945,True
47,25kmay10,Entity,25ksep11,Entity,0.3663255311651945,True
48,25kmay10,Supplier,25ksep11,Supplier,0.3663255311651945,True
49,25kjun12,Expense type,25kmar12,Expense type,0.3634122326558446,True
50,25kjun12,Expense area,25kmar12,Expense area,0.3634122326558446,True
51,25kjun12,Description,25kmar12,Description,0.3634122326558446,True
52,25kjul12,Department family,25kjun11,Department family,0.3628118382979689,True
53,25kjul12,Entity,25kjun11,Entity,0.3628118382979689,True
54,25kjul12,Expense type,25kjun11,Expense type,0.3628118382979689,True
55,25kjul12,Expense area,25kjun11,Expense area,0.3628118382979689,True
