,table_a,column_a,table_b,column_b,similarity,type,correct
0,25kmar11,Primary Organization,25knov11,nan2,0.9959853291511536,textual,True
1,25kjul12,Entity,25kmay10,Entity,0.9958228468894958,textual,True
2,25kjun11,Entity,25ksep10,unnamed1,0.9957523345947266,textual,True
3,25knov10,Entity,25knov11,nan2,0.9954230189323424,textual,True
4,25kjul12,Entity,25ksep10,unnamed1,0.995325803756714,textual,True
5,25kmar11,Primary Organization,25knov10,Entity,0.9941539168357848,textual,True
6,25kjul12,Entity,25kjun11,Entity,0.9935476183891296,textual,True
7,25kmay10,Entity,25ksep10,unnamed1,0.9928798079490662,textual,True
8,25kjun11,Department family,25ksep10,unnamed0,0.992724597454071,textual,True
9,25kjun11,Entity,25kmay10,Entity,0.9922701120376588,textual,True
10,25kjun11,Department family,25kmay10,Department family,0.9911714792251588,textual,True
11,25kmay10,Department family,25ksep10,unnamed0,0.9909566044807434,textual,True
12,25kjun10,Dept,25kmay10,Department family,0.9901899695396424,textual,True
13,25kjun10,Dept,25ksep10,unnamed0,0.9893144965171814,textual,True
14,25kjul12,Department family,25ksep10,unnamed0,0.9887773990631104,textual,True
15,25kjun10,Dept,25kjun11,Department family,0.9886988997459412,textual,True
16,25kjul12,Department family,25kmay10,Department family,0.9886481761932372,textual,True
17,25kjul12,Department family,25kjun11,Department family,0.9875143766403198,textual,True
18,25kjun10,Ent,25kjun11,Entity,0.9869885444641112,textual,True
19,25kjul12,Entity,25kjun10,Ent,0.9868857860565186,textual,True
20,25kjun10,Ent,25kmay10,Entity,0.9858771562576294,textual,True
21,25kjun10,Ent,25ksep10,unnamed1,0.9853948950767516,textual,True
22,25kjul12,Department family,25kjun10,Dept,0.98240327835083,textual,True
23,25kmar11,Primary Organization,25kmar12,Entity,0.9821279644966124,textual,True
24,25knov11,nan2,25koct11,Entity,0.9815598726272584,textual,True
25,25kmar12,Entity,25knov10,Entity,0.9806796312332152,textual,True
26,25kmar12,Entity,25knov11,nan2,0.9802916646003724,textual,True
27,25kmar11,Primary Organization,25koct11,Entity,0.9787695407867432,textual,True
28,25knov10,Entity,25koct11,Entity,0.977520763874054,textual,True
29,25kjun10,Ent,25ksep11,Entity,0.9752378463745116,textual,True
30,25kjul12,Entity,25ksep11,Entity,0.9746580719947816,textual,True
31,25kjun11,Entity,25ksep11,Entity,0.972980260848999,textual,True
32,25ksep10,unnamed1,25ksep11,Entity,0.972903311252594,textual,True
33,25kjun11,Department family,25koct10,Department family,0.9725966453552246,textual,True
34,25koct10,Department family,25ksep10,unnamed0,0.972541093826294,textual,True
35,25kmay10,Entity,25ksep11,Entity,0.9720763564109802,textual,True
36,25kjun10,Dept,25koct10,Department family,0.9677921533584596,textual,True
37,25kmay10,Department family,25koct10,Department family,0.96768981218338,textual,True
38,25kmar11,Secondary Organization,25knov11,nan1,0.9622864723205566,textual,True
39,25kjul12,Department family,25koct10,Department family,0.9609242081642152,textual,True
40,25kmar12,Entity,25koct11,Entity,0.9571669101715088,textual,True
41,25kmay10,Expense area,25ksep10,unnamed3,0.9378061294555664,textual,True
42,25kjun11,Expense area,25ksep10,unnamed3,0.9333552122116088,textual,True
43,25kjun11,Expense area,25kmay10,Expense area,0.9320951104164124,textual,True
44,25knov10,Expense area,25knov11,nan5,0.9283799529075624,textual,True
45,25kmar11,Expense Category,25knov10,Expense area,0.925648868083954,textual,True
46,25knov10,Department family,25knov11,nan1,0.9242002964019777,textual,True
47,25kjun11,Expense area,25ksep11,Expense Category,0.9214909076690674,textual,True
48,25kjun10,Description,25kmay10,Expense area,0.9206594824790956,textual,True
49,25kjun10,Description,25ksep11,Expense Category,0.9189469218254088,textual,True
50,25ksep10,unnamed3,25ksep11,Expense Category,0.9174695014953612,textual,True
51,25kjun10,Description,25ksep10,unnamed3,0.9170994162559508,textual,True
52,25kmay10,Expense area,25ksep11,Expense Category,0.91659677028656,textual,True
53,25kjun11,Expense area,25koct10,Expense area,0.9159069657325744,textual,True
54,25kjun10,Description,25kjun11,Expense area,0.9150171875953674,textual,True
55,25kjul12,Expense area,25kmay10,Expense area,0.91426020860672,textual,True
56,25kmar11,Secondary Organization,25kmar12,Department family,0.912846863269806,textual,True
57,25kjul12,Expense area,25ksep10,unnamed3,0.9116567373275756,textual,True
58,25kmay10,Expense area,25koct10,Expense area,0.9058247208595276,textual,True
59,25kjul12,Expense area,25ksep11,Expense Category,0.904562771320343,textual,True
60,25kjun10,Summary,25ksep10,unnamed2,0.9045531749725342,textual,True
61,25kmar11,Secondary Organization,25knov10,Department family,0.9043331146240234,textual,True
62,25kjul12,Department family,25ksep11,Department family,0.9033965468406676,textual,True
63,25kjun10,Vendor,25koct10,Supplier,0.9032549262046814,textual,True
64,25kmar11,Expense Category,25knov11,nan5,0.901457130908966,textual,True
65,25kmar11,Expense Category,25koct11,Expense area,0.8996161222457886,textual,True
66,25ksep10,unnamed4,25ksep11,Supplier,0.8988445401191711,textual,True
67,25kjun11,Department family,25ksep11,Department family,0.8979242444038391,textual,True
68,25kjun10,Description,25koct10,Expense area,0.8976215720176697,textual,True
69,25kmar12,Department family,25knov11,nan1,0.8971337080001831,textual,True
70,25ksep10,unnamed0,25ksep11,Department family,0.8969392776489258,textual,True
71,25kjun10,Dept,25ksep11,Department family,0.8955250382423401,textual,True
72,25kmay10,Department family,25ksep11,Department family,0.8951408863067627,textual,True
73,25kjul12,Expense area,25kjun11,Expense area,0.8951265811920166,textual,True
74,25knov10,Transaction number,25knov11,nan7,0.8949559926986694,numerical,True
75,25knov10,Expense area,25koct11,Expense area,0.8948444724082947,textual,True
76,25koct10,Supplier,25ksep11,Supplier,0.8927530646324158,textual,True
77,25knov10,Supplier,25knov11,nan6,0.890767514705658,textual,True
78,25kmay10,Supplier,25ksep10,unnamed4,0.8904378414154053,textual,True
79,25knov11,nan1,25koct11,Department family,0.8884480595588684,textual,True
80,25knov10,Department family,25koct11,Department family,0.8880288004875183,textual,True
81,25koct10,Expense area,25ksep10,unnamed3,0.8855665922164917,textual,True
82,25koct10,Department family,25ksep11,Department family,0.8847842216491699,textual,True
83,25kjun11,Expense type,25ksep10,unnamed2,0.8846369981765747,textual,True
84,25kjun10,Vendor,25ksep11,Supplier,0.8844966888427734,textual,True
85,25kjun10,Ent,25koct11,Entity,0.8844916224479675,textual,True
86,25kjul12,Supplier,25kmay10,Supplier,0.88170325756073,textual,True
87,25kjun11,Expense type,25kmay10,Expense type,0.8813812732696533,textual,True
88,25koct11,Entity,25ksep11,Entity,0.8811028599739075,textual,True
89,25kjun10,Summary,25kmay10,Expense type,0.8805475234985352,textual,True
90,25kmar12,Department family,25koct11,Department family,0.8790912628173828,textual,True
91,25kjun10,Dept,25koct11,Department family,0.8788069486618042,textual,True
92,25kjun10,Vendor,25ksep10,unnamed4,0.8787484765052795,textual,True
93,25kmay10,Supplier,25ksep11,Supplier,0.8761460185050964,textual,True
94,25koct10,Expense area,25ksep11,Expense Category,0.8751614689826965,textual,True
95,25kjun10,Vendor,25kmay10,Supplier,0.8743935227394104,textual,True
96,25kmar11,Secondary Organization,25koct11,Department family,0.8738210201263428,textual,True
97,25kmar11,Vendor,25knov10,Supplier,0.8733904957771301,textual,True
98,25kmar12,Department family,25knov10,Department family,0.8723661303520203,textual,True
99,25kjun11,Entity,25koct11,Entity,0.8669000267982483,textual,True
100,25kjun10,Summary,25kjun11,Expense type,0.8667033910751343,textual,True
101,25koct10,Department family,25koct11,Department family,0.8665235042572021,textual,True
102,25koct11,Entity,25ksep10,unnamed1,0.8643417954444885,textual,True
103,25kjun11,Department family,25koct11,Department family,0.863402247428894,textual,True
104,25kjun11,Supplier,25ksep11,Supplier,0.8630772829055786,textual,True
105,25knov11,nan5,25koct11,Expense area,0.8626164197921753,textual,True
106,25kjul12,Supplier,25ksep11,Supplier,0.8604497909545898,textual,True
107,25koct11,Department family,25ksep10,unnamed0,0.8598883748054504,textual,True
108,25kmay10,Department family,25koct11,Department family,0.8583969473838806,textual,True
109,25kjun11,Supplier,25koct10,Supplier,0.8583617210388184,textual,True
110,25kmar12,Expense area,25knov10,Expense area,0.8573651313781738,textual,True
111,25kjul12,Entity,25koct11,Entity,0.8569678664207458,textual,True
112,25kjul12,Expense area,25kjun10,Description,0.8559868931770325,textual,True
