,table_a,column_a,table_b,column_b,similarity,type,correct
0,25kmar12,Department family,25kmay10,Department family,1.000000238418579,textual,True
1,25kmar12,Entity,25kmay10,Entity,1.000000238418579,textual,True
2,25kmar12,Department family,25knov10,Department family,1.0000001192092896,textual,True
3,25kmar12,Department family,25koct11,Department family,1.0000001192092896,textual,True
4,25kmar12,Entity,25knov10,Entity,1.0000001192092896,textual,True
5,25kmar12,Entity,25koct11,Entity,1.0000001192092896,textual,True
6,25kmay10,Department family,25koct10,Department family,1.0000001192092896,textual,True
7,25kmay10,Department family,25koct11,Department family,1.0000001192092896,textual,True
8,25kmay10,Entity,25koct11,Entity,1.0000001192092896,textual,True
9,25knov10,Department family,25koct11,Department family,1.0000001192092896,textual,True
10,25knov10,Entity,25koct11,Entity,1.0000001192092896,textual,True
11,25koct11,Department family,25ksep11,Department family,1.0000001192092896,textual,True
12,25koct11,Entity,25ksep11,Entity,1.0000001192092896,textual,True
13,25kjul12,Department family,25kmar12,Department family,1.0,textual,True
14,25kjul12,Department family,25kmay10,Department family,1.0,textual,True
15,25kjul12,Department family,25knov10,Department family,1.0,textual,True
16,25kjul12,Department family,25koct10,Department family,1.0,textual,True
17,25kjul12,Department family,25koct11,Department family,1.0,textual,True
18,25kjul12,Department family,25ksep11,Department family,1.0,textual,True
19,25kjul12,Entity,25kmar12,Entity,1.0,textual,True
20,25kjul12,Entity,25kmay10,Entity,1.0,textual,True
21,25kjul12,Entity,25knov10,Entity,1.0,textual,True
22,25kjul12,Entity,25koct11,Entity,1.0,textual,True
23,25kjul12,Entity,25ksep11,Entity,1.0,textual,True
24,25kjun11,Department family,25kmar12,Department family,1.0,textual,True
25,25kjun11,Department family,25kmay10,Department family,1.0,textual,True
26,25kjun11,Department family,25knov10,Department family,1.0,textual,True
27,25kjun11,Department family,25koct10,Department family,1.0,textual,True
28,25kjun11,Department family,25koct11,Department family,1.0,textual,True
29,25kjun11,Department family,25ksep11,Department family,1.0,textual,True
30,25kjun11,Entity,25kmar12,Entity,1.0,textual,True
31,25kjun11,Entity,25kmay10,Entity,1.0,textual,True
32,25kjun11,Entity,25knov10,Entity,1.0,textual,True
33,25kjun11,Entity,25koct11,Entity,1.0,textual,True
34,25kjun11,Entity,25ksep11,Entity,1.0,textual,True
35,25kmar12,Department family,25koct10,Department family,1.0,textual,True
36,25kmar12,Department family,25ksep11,Department family,1.0,textual,True
37,25kmar12,Entity,25ksep11,Entity,1.0,textual,True
38,25kmay10,Department family,25knov10,Department family,1.0,textual,True
39,25kmay10,Department family,25ksep11,Department family,1.0,textual,True
40,25kmay10,Entity,25knov10,Entity,1.0,textual,True
41,25kmay10,Entity,25ksep11,Entity,1.0,textual,True
42,25knov10,Department family,25koct10,Department family,1.0,textual,True
43,25knov10,Department family,25ksep11,Department family,1.0,textual,True
44,25knov10,Entity,25ksep11,Entity,1.0,textual,True
45,25koct10,Department family,25koct11,Department family,1.0,textual,True
46,25koct10,Department family,25ksep11,Department family,1.0,textual,True
47,25kjul12,Department family,25kjun11,Department family,0.9999999403953552,textual,True
48,25kjul12,Entity,25kjun11,Entity,0.9999999403953552,textual,True
49,25kmar12,Amount,25knov10,Amount,0.9999290704727172,numerical,True
50,25kmay10,Expense area,25knov10,Expense area,0.9999155402183532,textual,True
51,25kmar11,Amount,25kmar12,Amount,0.9998806118965148,numerical,True
52,25kmar11,Transaction number,25kmar12,Transaction number,0.9998756647109984,numerical,True
53,25kmar11,Amount,25knov10,Amount,0.999855637550354,numerical,True
54,25kjun12,Expense area,25kmar12,Expense area,0.9997714161872864,textual,True
55,25knov10,Expense area,25koct10,Expense area,0.9997279047966005,textual,True
56,25kmay10,Expense area,25koct10,Expense area,0.9996983408927916,textual,True
57,25kmar11,Expense Category,25ksep11,Expense Category,0.9995843768119812,textual,True
58,25koct11,Supplier,25ksep11,Supplier,0.9995819330215454,textual,True
59,25kjul12,Expense area,25koct10,Expense area,0.999570906162262,textual,True
60,25kjul12,Expense area,25knov10,Expense area,0.9995700120925904,textual,True
61,25kmay10,Expense area,25koct11,Expense area,0.9995687007904052,textual,True
62,25kjun11,Expense area,25koct10,Expense area,0.999556601047516,textual,True
63,25kjul12,Supplier,25kmar12,Supplier,0.9995413422584534,textual,True
64,25kjun11,Expense area,25kmay10,Expense area,0.999540388584137,textual,True
65,25kjun11,Supplier,25knov10,Supplier,0.9995399713516236,textual,True
66,25koct10,Expense area,25koct11,Expense area,0.9995310306549072,textual,True
67,25kjul12,Expense area,25kmar12,Expense area,0.9995290040969848,textual,True
68,25kjul12,Expense area,25kjun12,Expense area,0.9995262622833252,textual,True
69,25kjun11,Expense area,25koct11,Expense area,0.999486207962036,textual,True
70,25kmar12,Supplier,25koct11,Supplier,0.9994847774505616,textual,True
71,25kjul12,Expense area,25kmay10,Expense area,0.9994729161262512,textual,True
72,25kjun11,Supplier,25ksep11,Supplier,0.9994603395462036,textual,True
73,25kjun11,Expense type,25koct11,Expense type,0.9994418621063232,textual,True
74,25kjun11,Expense area,25knov10,Expense area,0.999439001083374,textual,True
75,25knov10,Supplier,25koct10,Supplier,0.9993857741355896,textual,True
76,25kjul12,Supplier,25kmay10,Supplier,0.9993317127227784,textual,True
77,25knov10,Expense area,25koct11,Expense area,0.9993260502815248,textual,True
78,25kjul12,Supplier,25koct11,Supplier,0.9993243217468262,textual,True
79,25kjun11,Supplier,25koct10,Supplier,0.9993182420730592,textual,True
80,25koct10,Supplier,25ksep11,Supplier,0.999294638633728,textual,True
81,25knov10,Supplier,25ksep11,Supplier,0.9992752075195312,textual,True
82,25kjul12,Expense type,25kjun12,Expense type,0.9992680549621582,textual,True
83,25kmar12,Expense type,25koct11,Expense type,0.999254584312439,textual,True
84,25kjul12,Supplier,25ksep11,Supplier,0.9992390871047974,textual,True
85,25kmar12,Expense area,25knov10,Expense area,0.9992101788520812,textual,True
86,25kjun11,Expense type,25knov10,Expense type,0.9991947412490844,textual,True
87,25kjul12,Expense area,25koct11,Expense area,0.9991807341575624,textual,True
88,25kmar12,Supplier,25ksep11,Supplier,0.9991576671600342,textual,True
89,25koct10,Supplier,25koct11,Supplier,0.9991474151611328,textual,True
90,25kmar12,Expense area,25kmay10,Expense area,0.9991434216499328,textual,True
91,25kjun12,Expense type,25kmar12,Expense type,0.999113917350769,textual,True
92,25kjun12,Expense area,25knov10,Expense area,0.9990974068641664,textual,True
93,25kmay10,Supplier,25koct10,Supplier,0.9990965723991394,textual,True
94,25kmar12,Expense area,25koct10,Expense area,0.9990710020065308,textual,True
95,25kmay10,Supplier,25knov10,Supplier,0.9990267753601074,textual,True
96,25kjul12,Supplier,25koct10,Supplier,0.999021291732788,textual,True
97,25kmar12,Supplier,25kmay10,Supplier,0.9990150928497314,textual,True
98,25kjun12,Expense area,25kmay10,Expense area,0.9990134835243224,textual,True
99,25kjun12,Expense area,25koct10,Expense area,0.9990099668502808,textual,True
100,25kjun12,Description,25kmar12,Description,0.9989929795265198,textual,True
101,25kjul12,Expense type,25kmar12,Expense type,0.9989880323410034,textual,True
102,25knov10,Expense type,25koct11,Expense type,0.9989668130874634,textual,True
103,25kmay10,Supplier,25ksep11,Supplier,0.9989646077156068,textual,True
104,25kjul12,Expense area,25kjun11,Expense area,0.9989592432975768,textual,True
105,25kmar12,Expense area,25koct11,Expense area,0.9989188313484192,textual,True
106,25kmay10,Supplier,25koct11,Supplier,0.9989078640937804,textual,True
107,25knov10,Supplier,25koct11,Supplier,0.9988971948623656,textual,True
108,25kjun11,Supplier,25koct11,Supplier,0.9988670349121094,textual,True
109,25kjul12,Supplier,25knov10,Supplier,0.998833954334259,textual,True
110,25kjul12,Expense type,25koct11,Expense type,0.9988019466400146,textual,True
111,25kjun12,Expense area,25koct11,Expense area,0.998773992061615,textual,True
112,25kjun11,Expense area,25kmar12,Expense area,0.9987555742263794,textual,True
113,25kjun11,Supplier,25kmay10,Supplier,0.9987247586250304,textual,True
114,25koct10,Expense type,25koct11,Expense type,0.9986647367477416,textual,True
115,25kjul12,Supplier,25kjun11,Supplier,0.9986382126808168,textual,True
116,25kjun12,Expense type,25koct11,Expense type,0.99856436252594,textual,True
117,25kjun11,Expense type,25koct10,Expense type,0.99855637550354,textual,True
118,25kmay10,Expense type,25knov10,Expense type,0.9985510110855104,textual,True
119,25kjun11,Expense type,25kmar12,Expense type,0.9985475540161132,textual,True
120,25kmar12,Supplier,25koct10,Supplier,0.9984947443008424,textual,True
121,25knov10,Expense type,25koct10,Expense type,0.9984467029571532,textual,True
122,25kjun11,Expense area,25kjun12,Expense area,0.9983941912651062,textual,True
123,25kmar12,Supplier,25knov10,Supplier,0.9983896613121032,textual,True
124,25kjul12,Expense type,25kjun11,Expense type,0.9983507394790648,textual,True
125,25kmar12,Expense type,25knov10,Expense type,0.9983375072479248,textual,True
126,25kjun11,Expense type,25kmay10,Expense type,0.9982800483703612,textual,True
127,25kjun11,Supplier,25kmar12,Supplier,0.9981928467750548,textual,True
128,25kmay10,Expense type,25koct11,Expense type,0.9980634450912476,textual,True
129,25kjul12,Expense type,25knov10,Expense type,0.9980520009994508,textual,True
130,25kmar12,Expense type,25koct10,Expense type,0.9977823495864868,textual,True
131,25kjun12,Expense type,25koct10,Expense type,0.9977196455001832,textual,True
132,25kmar11,Transaction number,25knov10,Transaction number,0.9975757598876952,numerical,True
133,25kmar12,Expense type,25kmay10,Expense type,0.9974862337112428,textual,True
134,25kjul12,Expense type,25koct10,Expense type,0.997475266456604,textual,True
135,25kjun11,Expense type,25kjun12,Expense type,0.997406005859375,textual,True
136,25kjun12,Expense type,25knov10,Expense type,0.9974033832550048,textual,True
137,25kmar12,Transaction number,25knov10,Transaction number,0.9971690773963928,numerical,True
138,25kjun12,Description,25koct11,Description,0.9971237778663636,textual,True
139,25kjun10,Vendor,25kmar11,Vendor,0.9969955086708068,textual,True
140,25kmar11,Date,25kmar12,Date,0.9964760541915894,mixed,True
141,25kmay10,Expense type,25koct10,Expense type,0.9963817596435548,textual,True
142,25kjul12,Expense type,25kmay10,Expense type,0.9963170289993286,textual,True
143,25kmar12,Description,25koct11,Description,0.9961472153663636,textual,True
144,25kjun12,Expense type,25kmay10,Expense type,0.9953596591949464,textual,True
145,25kjun11,Expense type,25ksep11,Expense Title,0.993500292301178,textual,True
146,25knov10,Date,25ksep11,Date,0.9934159517288208,mixed,True
147,25koct11,Expense type,25ksep11,Expense Title,0.9932414889335632,textual,True
148,25kjun10,Summary,25ksep11,Expense Title,0.9932364225387572,textual,True
149,25knov10,Expense type,25ksep11,Expense Title,0.993058443069458,textual,True
150,25kmay10,Expense type,25ksep11,Expense Title,0.9925969839096068,textual,True
151,25kmar12,Expense type,25ksep11,Expense Title,0.9925864934921264,textual,True
152,25kmar11,Expense Category,25kmay10,Expense area,0.9925703406333924,textual,True
153,25koct11,Expense area,25ksep11,Expense Category,0.9924945831298828,textual,True
154,25kmar11,Expense Category,25koct10,Expense area,0.9924449920654296,textual,True
155,25kmar11,Expense Category,25koct11,Expense area,0.992444396018982,textual,True
156,25kmar11,Expense Category,25knov10,Expense area,0.9924113750457764,textual,True
157,25kjun11,Expense area,25ksep11,Expense Category,0.9922786951065063,textual,True
158,25koct10,Expense type,25ksep11,Expense Title,0.9922113418579102,textual,True
159,25kmay10,Expense area,25ksep11,Expense Category,0.9921842217445374,textual,True
160,25kjun11,Expense area,25kmar11,Expense Category,0.9921581149101256,textual,True
161,25kjul12,Expense area,25kmar11,Expense Category,0.992112934589386,textual,True
162,25koct10,Expense area,25ksep11,Expense Category,0.9920525550842284,textual,True
