,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
alite-bert-base-uncased-l2,0.7209302325581395,0.3974358974358974,0.512396694214876,0.7142857142857143,0.7142857142857143,0.6176470588235294,0.6458333333333334,0.6290322580645161,0.5512820512820513
coma_schema,0.7966101694915254,0.6025641025641025,0.6861313868613139,0.8333333333333334,0.9444444444444444,0.9333333333333333,0.9285714285714286,0.8518518518518519,0.6025641025641025
coma_schema_instance,0.8904109589041096,0.8333333333333334,0.8609271523178808,1.0,0.9545454545454546,0.9459459459459459,0.8846153846153846,0.8939393939393939,0.8333333333333334
cupid,0.5882352941176471,0.5128205128205128,0.547945205479452,0.95,0.6440677966101694,0.5306122448979592,0.41304347826086957,0.3446327683615819,0.5897435897435898
deepjoin-all-mpnet-base-v2-coltotext-title-colname-col-shuffle-0.5-epochs-1-bs-16-lr-2e-05-wd-0.01-warmup-None,0.9176470588235294,1.0,0.9570552147239264,1.0,0.45348837209302323,0.27177700348432055,0.19402985074626866,0.1511627906976744,0.9615384615384616
distribution_based,1.0,0.6794871794871795,0.8091603053435115,1.0,1.0,1.0,1.0,1.0,0.6794871794871795
jaccard,0.9866666666666667,0.9487179487179487,0.9673202614379085,1.0,1.0,1.0,0.9375,0.8658536585365854,0.8717948717948718
similarity_flooding,0.5529411764705883,0.6025641025641025,0.5766871165644172,0.5172413793103449,0.29651162790697677,0.22996515679442509,0.18407960199004975,0.14922480620155038,0.4230769230769231
starmie-model_drop_num_col_random_column_0,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.6346153846153846,0.45454545454545453,0.3046875,0.21727019498607242,0.16919739696312364,0.5256410256410257
starmie-model_replace_cells_alphaHead_row_0-ft,0.5411764705882353,0.5897435897435898,0.5644171779141104,0.6842105263157895,0.31176470588235294,0.20141342756183744,0.16414141414141414,0.14538310412573674,0.5384615384615384
valentwin-500spend-n-100-hn-10-selective-noneg-lr-3e5-bs-512-ep-10-cos-cnw-00-cos,0.9512195121951219,1.0,0.975,1.0,1.0,0.8863636363636364,0.6341463414634146,0.4936708860759494,1.0
