,table_a,column_a,table_b,column_b,similarity,correct
0,500spend_jul2016,Service Name,500spend_oct2015,Service Name,1.0,True
1,500spend_jul2016,Service Name,500spend_sep2015,Service Name,1.0,True
2,500spend_may2016,Date,500spend_nov2015,Date,1.0,True
3,500spend_may2016,Date,500spend_oct2015,Date,1.0,True
4,500spend_may2016,Description,500spend_sep2015,Description,1.0,True
5,500spend_may2016,Date,500spend_sep2015,Date,1.0,True
6,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,1.0,True
7,500spend_nov2015,Date,500spend_oct2015,Date,1.0,True
8,500spend_nov2015,Service Category,500spend_oct2015,Service Category,1.0,False
9,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,1.0,True
10,500spend_nov2015,Date,500spend_sep2015,Date,1.0,True
11,500spend_nov2015,Transaction Number,500spend_sep2015,Transaction Number,1.0,True
12,500spend_nov2015,Supplier Name,500spend_sep2016,Supplier Name,1.0,True
13,500spend_nov2015,Merchant Category,500spend_sep2016,Merchant Category,1.0,True
14,500spend_oct2015,Service Name,500spend_sep2015,Service Name,1.0,True
15,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,1.0,True
16,500spend_oct2015,Date,500spend_sep2015,Date,1.0,True
17,500spend_oct2015,Supplier Name,500spend_sep2016,Supplier Name,1.0,True
18,500spend_oct2015,net_amount,500spend_sep2016,net_amount,1.0,True
19,500spend_sep2015,Supplier Name,500spend_sep2016,Supplier Name,1.0,True
20,500spend_nov2015,Merchant Category,500spend_sep2015,Merchant Type,0.9555555555555556,True
21,500spend_sep2015,Merchant Type,500spend_sep2016,Merchant Category,0.9555555555555556,True
22,500spend_jul2016,Service Name,500spend_nov2015,Organisation Name,0.9428571428571428,False
23,500spend_nov2015,Organisation Name,500spend_oct2015,Service Name,0.9428571428571428,False
24,500spend_nov2015,Organisation Name,500spend_sep2015,Service Name,0.9428571428571428,False
25,500spend_jun2016,Name,500spend_nov2015,Organisation Name,0.9365079365079364,False
26,500spend_may2016,Amount,500spend_nov2015,net_amount,0.9333333333333332,True
27,500spend_oct2015,net_amount,500spend_sep2015,Amount,0.9333333333333332,True
28,500spend_sep2015,Amount,500spend_sep2016,net_amount,0.9333333333333332,True
29,500spend_jul2016,Supplier,500spend_may2016,Merchant,0.9200000000000002,True
30,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.914666666666667,True
31,500spend_may2016,Merchant,500spend_sep2015,Merchant Type,0.9017543859649124,False
32,500spend_jun2016,Primary Service,500spend_nov2015,Service,0.9000000000000001,False
33,500spend_jul2016,Service Name,500spend_jun2016,Name,0.8933333333333333,False
34,500spend_jul2016,Supplier,500spend_nov2015,Supplier Name,0.8933333333333333,True
35,500spend_jul2016,Service Name,500spend_nov2015,Service,0.8933333333333333,True
36,500spend_jul2016,Supplier,500spend_oct2015,Supplier Name,0.8933333333333333,True
37,500spend_jul2016,Supplier,500spend_sep2015,Supplier Name,0.8933333333333333,True
38,500spend_jul2016,Supplier,500spend_sep2016,Supplier Name,0.8933333333333333,True
39,500spend_jun2016,Name,500spend_nov2015,Supplier Name,0.8933333333333333,True
40,500spend_jun2016,Name,500spend_oct2015,Service Name,0.8933333333333333,False
41,500spend_jun2016,Name,500spend_oct2015,Supplier Name,0.8933333333333333,True
42,500spend_jun2016,Name,500spend_sep2015,Service Name,0.8933333333333333,False
43,500spend_jun2016,Name,500spend_sep2015,Supplier Name,0.8933333333333333,True
44,500spend_jun2016,Name,500spend_sep2016,Supplier Name,0.8933333333333333,True
45,500spend_nov2015,Service,500spend_oct2015,Service Name,0.8933333333333333,True
46,500spend_nov2015,Service,500spend_sep2015,Service Name,0.8933333333333333,True
47,500spend_jul2016,Category Name,500spend_nov2015,Organisation Name,0.8723809523809525,False
