,table_a,column_a,table_b,column_b,similarity,type,correct
0,500spend_jul2016,Service Name,500spend_jun2016,Secondary Service,0.9074318408966064,textual,True
1,500spend_oct2015,Service Name,500spend_sep2015,Service Name,0.905671000480652,textual,True
2,500spend_jul2016,Category Name,500spend_jun2016,Primary Service,0.8985198736190796,textual,True
3,500spend_jul2016,Category Name,500spend_sep2016,Merchant Category,0.8915650844573975,textual,True
4,500spend_jun2016,Primary Service,500spend_sep2016,Merchant Category,0.889347493648529,textual,True
5,500spend_jul2016,Expense Category,500spend_jun2016,Details,0.8637937903404236,textual,True
6,500spend_jul2016,Supplier,500spend_jun2016,Name,0.8519858121871948,textual,True
7,500spend_oct2015,Service Name,500spend_sep2016,Merchant Category,0.8365901708602905,textual,False
8,500spend_jun2016,Secondary Service,500spend_oct2015,purpose of expenditure,0.8303722739219666,textual,False
9,500spend_jul2016,Service Name,500spend_oct2015,purpose of expenditure,0.8298766613006592,textual,False
10,500spend_jul2016,Supplier,500spend_sep2016,Supplier Name,0.8281856775283813,textual,True
11,500spend_jul2016,Expense Category,500spend_oct2015,purpose of expenditure,0.8077305555343628,textual,True
12,500spend_jul2016,Category Name,500spend_oct2015,Service Name,0.7901346683502197,textual,False
13,500spend_nov2015,Service,500spend_oct2015,Service Name,0.7890753746032715,textual,True
14,500spend_oct2015,purpose of expenditure,500spend_sep2015,Description,0.787041425704956,textual,True
15,500spend_jul2016,Supplier,500spend_oct2015,Supplier Name,0.7849893569946289,textual,True
16,500spend_jun2016,Primary Service,500spend_oct2015,Service Name,0.7644351720809937,textual,False
17,500spend_jun2016,Name,500spend_oct2015,Supplier Name,0.7638139128684998,textual,True
18,500spend_sep2015,Service Name,500spend_sep2016,Merchant Category,0.7585909962654114,textual,False
19,500spend_nov2015,Service,500spend_sep2015,Service Name,0.7550473213195801,textual,True
20,500spend_jun2016,Name,500spend_sep2016,Supplier Name,0.7504354119300842,textual,True
21,500spend_jun2016,Secondary Service,500spend_sep2015,Description,0.7433527708053589,textual,False
22,500spend_oct2015,net_amount,500spend_sep2015,Amount,0.7368494868278503,numerical,True
23,500spend_nov2015,Service,500spend_sep2016,Merchant Category,0.726418673992157,textual,False
24,500spend_jun2016,Primary Service,500spend_nov2015,Service,0.7221984267234802,textual,False
25,500spend_jul2016,Service Name,500spend_sep2015,Description,0.7217260003089905,textual,False
26,500spend_oct2015,net_amount,500spend_sep2016,net_amount,0.7187264561653137,numerical,True
27,500spend_jun2016,Details,500spend_oct2015,purpose of expenditure,0.7130401134490967,textual,True
28,500spend_jul2016,Category Name,500spend_sep2015,Service Name,0.7126984000205994,textual,False
29,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.7058213353157043,textual,True
30,500spend_jul2016,Expense Category,500spend_oct2015,Service Category,0.6981920003890991,textual,False
31,500spend_jul2016,Category Name,500spend_nov2015,Service,0.6963487267494202,textual,False
32,500spend_oct2015,Supplier Name,500spend_sep2016,Supplier Name,0.684845507144928,textual,True
33,500spend_jul2016,Expense Category,500spend_jun2016,Secondary Service,0.6788430213928223,textual,False
34,500spend_jul2016,Service Name,500spend_oct2015,Service Name,0.6713538765907288,textual,True
35,500spend_jun2016,Primary Service,500spend_sep2015,Service Name,0.6709357500076294,textual,False
36,500spend_may2016,Amount,500spend_oct2015,net_amount,0.6691157221794128,numerical,True
37,500spend_may2016,Description,500spend_nov2015,Summary of purpose of expenditure,0.6588544845581055,textual,True
38,500spend_jun2016,Secondary Service,500spend_nov2015,Summary of purpose of expenditure,0.6565297245979309,textual,False
39,500spend_may2016,Description,500spend_oct2015,purpose of expenditure,0.6551682353019714,textual,True
40,500spend_jul2016,Service Name,500spend_sep2015,Service Name,0.6518407464027405,textual,True
41,500spend_jul2016,Expense Category,500spend_sep2015,Description,0.6401855945587158,textual,True
42,500spend_may2016,Amount,500spend_sep2016,net_amount,0.6329300999641418,numerical,True
43,500spend_may2016,Merchant,500spend_oct2015,Supplier Name,0.6325207948684692,textual,True
44,500spend_may2016,Merchant,500spend_sep2016,Supplier Name,0.6309453248977661,textual,True
45,500spend_jun2016,Name,500spend_may2016,Merchant,0.626190185546875,textual,True
46,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2015,Description,0.6259902119636536,textual,True
47,500spend_may2016,Description,500spend_sep2015,Description,0.6241309642791748,textual,True
48,500spend_jul2016,Service Name,500spend_sep2015,Merchant Type,0.6225019097328186,textual,False
49,500spend_jul2016,Service Name,500spend_jun2016,Details,0.6213624477386475,textual,False
50,500spend_jul2016,Supplier,500spend_may2016,Merchant,0.618209183216095,textual,True
51,500spend_nov2015,Service Category,500spend_oct2015,Service Category,0.6176878809928894,textual,False
52,500spend_jun2016,Secondary Service,500spend_oct2015,Service Name,0.6162234544754028,textual,True
53,500spend_jun2016,Details,500spend_oct2015,Service Category,0.6161330342292786,textual,False
54,500spend_jul2016,Service Name,500spend_oct2015,Service Category,0.6138240694999695,textual,False
55,500spend_jul2016,Expense Category,500spend_may2016,Description,0.6101862788200378,textual,True
56,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.6089032292366028,textual,True
57,500spend_jun2016,Name,500spend_nov2015,Supplier Name,0.6057617664337158,textual,True
58,500spend_jun2016,Primary Service,500spend_oct2015,purpose of expenditure,0.6018552780151367,textual,False
59,500spend_oct2015,purpose of expenditure,500spend_sep2016,Merchant Category,0.5948463678359985,textual,False
60,500spend_jul2016,Service Name,500spend_may2016,Description,0.5920768976211548,textual,False
61,500spend_jul2016,Service Name,500spend_sep2016,Merchant Category,0.5920052528381348,textual,False
62,500spend_jul2016,Service Name,500spend_jun2016,Primary Service,0.5867787003517151,textual,False
63,500spend_jun2016,Secondary Service,500spend_may2016,Description,0.5855703353881836,textual,False
64,500spend_jul2016,Service Name,500spend_nov2015,Merchant Category,0.5852062702178955,textual,False
65,500spend_jul2016,Category Name,500spend_oct2015,purpose of expenditure,0.5823149681091309,textual,False
66,500spend_jul2016,Service Name,500spend_nov2015,Summary of purpose of expenditure,0.581896960735321,textual,False
67,500spend_may2016,Description,500spend_nov2015,Merchant Category,0.5800076723098755,textual,False
68,500spend_oct2015,Service Category,500spend_sep2015,Merchant Type,0.5778591632843018,textual,True
69,500spend_jun2016,Secondary Service,500spend_sep2016,Merchant Category,0.5765430927276611,textual,False
70,500spend_may2016,Merchant,500spend_nov2015,Supplier Name,0.576420783996582,textual,True
71,500spend_oct2015,purpose of expenditure,500spend_sep2015,Merchant Type,0.5755770802497864,textual,False
72,500spend_jul2016,Category Name,500spend_jun2016,Secondary Service,0.5735715627670288,textual,False
73,500spend_jul2016,Expense Category,500spend_sep2015,Merchant Type,0.5731567144393921,textual,False
74,500spend_jun2016,Details,500spend_sep2015,Description,0.5726214647293091,textual,True
75,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.5724458694458008,textual,True
76,500spend_jun2016,Details,500spend_may2016,Amount,0.5713513493537903,textual,False
77,500spend_oct2015,purpose of expenditure,500spend_sep2015,Service Name,0.5703004002571106,textual,False
78,500spend_jul2016,Service Name,500spend_nov2015,Service,0.5693215727806091,textual,True
79,500spend_nov2015,Merchant Category,500spend_oct2015,Service Category,0.5681430697441101,textual,True
80,500spend_jul2016,Category Name,500spend_may2016,Merchant,0.5679017901420593,textual,False
81,500spend_nov2015,net_amount,500spend_oct2015,net_amount,0.557568371295929,numerical,True
82,500spend_may2016,Amount,500spend_sep2015,Amount,0.5557162165641785,numerical,True
83,500spend_oct2015,Service Category,500spend_sep2016,Merchant Category,0.5545046329498291,textual,True
84,500spend_nov2015,Transaction Number,500spend_sep2015,Transaction Number,0.5534638166427612,numerical,True
85,500spend_jun2016,Secondary Service,500spend_sep2015,Service Name,0.5462014079093933,textual,True
86,500spend_may2016,Description,500spend_sep2016,Supplier Name,0.5441150665283203,textual,False
87,500spend_jun2016,Secondary Service,500spend_nov2015,Merchant Category,0.5420814156532288,textual,False
88,500spend_sep2015,Amount,500spend_sep2016,net_amount,0.5420535802841187,numerical,True
89,500spend_jun2016,Primary Service,500spend_oct2015,Service Category,0.5398737788200378,textual,True
90,500spend_jul2016,Expense Category,500spend_nov2015,Service Category,0.5397012233734131,textual,False
91,500spend_may2016,Merchant,500spend_sep2015,Supplier Name,0.5391232967376709,textual,True
92,500spend_jul2016,Expense Category,500spend_nov2015,Summary of purpose of expenditure,0.5375047326087952,textual,True
93,500spend_jun2016,Name,500spend_sep2015,Supplier Name,0.5373916625976562,textual,True
94,500spend_may2016,Description,500spend_oct2015,Service Category,0.5373432040214539,textual,False
95,500spend_jun2016,Secondary Service,500spend_nov2015,Service,0.5373421311378479,textual,True
96,500spend_jul2016,Supplier,500spend_nov2015,Supplier Name,0.535925030708313,textual,True
97,500spend_jun2016,Primary Service,500spend_may2016,Description,0.5326318144798279,textual,False
98,500spend_nov2015,Merchant Category,500spend_sep2015,Merchant Type,0.5303766131401062,textual,True
99,500spend_jun2016,Secondary Service,500spend_sep2015,Merchant Type,0.5295697450637817,textual,False
100,500spend_jun2016,Details,500spend_sep2015,Merchant Type,0.5269141793251038,textual,False
101,500spend_jul2016,Supplier,500spend_sep2015,Supplier Name,0.525891900062561,textual,True
102,500spend_jun2016,Details,500spend_nov2015,Summary of purpose of expenditure,0.5233794450759888,textual,True
103,500spend_may2016,Date,500spend_oct2015,Date,0.5181956887245178,mixed,True
104,500spend_jun2016,Secondary Service,500spend_oct2015,Service Category,0.5179963111877441,textual,False
105,500spend_may2016,Merchant,500spend_sep2016,Merchant Category,0.5136098861694336,textual,False
106,500spend_jun2016,Details,500spend_nov2015,Service Category,0.5034788846969604,textual,False
107,500spend_jul2016,Category Name,500spend_oct2015,Supplier Name,0.502404510974884,textual,False
108,500spend_oct2015,Service Category,500spend_sep2015,Service Name,0.4999502897262573,textual,False
109,500spend_may2016,Description,500spend_oct2015,Supplier Name,0.4994751811027527,textual,False
110,500spend_jul2016,Supplier,500spend_may2016,Description,0.4993057250976562,textual,False
111,500spend_may2016,Description,500spend_sep2016,Merchant Category,0.4972886443138122,textual,False
112,500spend_oct2015,Service Category,500spend_sep2015,Description,0.4970940053462982,textual,False
113,500spend_jul2016,Category Name,500spend_may2016,Description,0.4965493083000183,textual,False
114,500spend_jun2016,Primary Service,500spend_may2016,Merchant,0.4951651394367218,textual,False
115,500spend_jun2016,Primary Service,500spend_nov2015,Service Category,0.4944387674331665,textual,False
116,500spend_oct2015,Supplier Name,500spend_sep2016,Merchant Category,0.4919970035552978,textual,False
117,500spend_may2016,Description,500spend_sep2015,Merchant Type,0.4903261661529541,textual,False
118,500spend_jul2016,Expense Category,500spend_jun2016,Primary Service,0.4900450706481933,textual,False
119,500spend_nov2015,Service,500spend_oct2015,purpose of expenditure,0.4897504150867462,textual,False
120,500spend_jul2016,Category Name,500spend_oct2015,Service Category,0.4890543222427368,textual,True
121,500spend_jun2016,Secondary Service,500spend_nov2015,Service Category,0.4886159300804138,textual,False
122,500spend_nov2015,net_amount,500spend_sep2015,Amount,0.4884296655654907,numerical,True
123,500spend_nov2015,Merchant Category,500spend_sep2015,Description,0.4861596524715423,textual,False
124,500spend_oct2015,Date,500spend_sep2015,Date,0.4789376854896545,mixed,True
125,500spend_nov2015,Service Category,500spend_sep2015,Merchant Type,0.4772672355175018,textual,False
126,500spend_jun2016,Details,500spend_sep2016,net_amount,0.4733292758464813,textual,False
127,500spend_jul2016,Service Name,500spend_nov2015,Service Category,0.4702250063419342,textual,False
128,500spend_nov2015,Merchant Category,500spend_oct2015,purpose of expenditure,0.468363881111145,textual,False
129,500spend_sep2015,Supplier Name,500spend_sep2016,Supplier Name,0.4679885804653168,textual,True
130,500spend_jun2016,Details,500spend_may2016,Description,0.4653163254261017,textual,True
131,500spend_nov2015,Supplier Name,500spend_sep2016,Supplier Name,0.4619778096675873,textual,True
132,500spend_may2016,Merchant,500spend_oct2015,Service Name,0.4605101346969604,textual,False
133,500spend_jun2016,Primary Service,500spend_oct2015,Supplier Name,0.4576956629753113,textual,False
134,500spend_nov2015,Service Category,500spend_sep2016,Merchant Category,0.4574071764945984,textual,False
135,500spend_jun2016,Primary Service,500spend_nov2015,Summary of purpose of expenditure,0.455703854560852,textual,False
136,500spend_jul2016,Expense Category,500spend_sep2016,Merchant Category,0.4544822573661804,textual,False
137,500spend_sep2015,Merchant Type,500spend_sep2016,Merchant Category,0.4516867101192474,textual,True
138,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.4461409449577331,textual,True
139,500spend_oct2015,Service Name,500spend_sep2015,Description,0.4453984200954437,textual,False
140,500spend_nov2015,Service Category,500spend_oct2015,purpose of expenditure,0.4453040957450866,textual,False
141,500spend_nov2015,Transaction Number,500spend_sep2016,net_amount,0.4440304040908813,numerical,False
142,500spend_jul2016,Supplier,500spend_jun2016,Primary Service,0.4427586495876312,textual,False
143,500spend_jun2016,Primary Service,500spend_sep2015,Description,0.4374454617500305,textual,False
144,500spend_may2016,Description,500spend_oct2015,Service Name,0.4355109632015228,textual,False
145,500spend_jul2016,Expense Category,500spend_may2016,Amount,0.4326687157154083,textual,False
146,500spend_jun2016,Primary Service,500spend_nov2015,Merchant Category,0.43211430311203,textual,True
147,500spend_nov2015,Date,500spend_oct2015,Date,0.4292237758636474,mixed,True
148,500spend_nov2015,net_amount,500spend_sep2016,net_amount,0.4278030097484588,numerical,True
149,500spend_jun2016,Secondary Service,500spend_oct2015,net_amount,0.4263090193271637,textual,False
150,500spend_jul2016,Category Name,500spend_nov2015,Service Category,0.4250943064689636,textual,False
151,500spend_jun2016,Name,500spend_may2016,Description,0.4226287603378296,textual,False
152,500spend_may2016,Amount,500spend_oct2015,purpose of expenditure,0.4208175539970398,textual,False
153,500spend_jul2016,Category Name,500spend_sep2015,Description,0.4201149344444275,textual,False
154,500spend_jul2016,Expense Category,500spend_nov2015,Merchant Category,0.4196038246154785,textual,False
155,500spend_oct2015,Service Name,500spend_sep2015,Merchant Type,0.4182129502296448,textual,False
156,500spend_jul2016,Service Name,500spend_oct2015,net_amount,0.4146426618099212,textual,False
157,500spend_jul2016,Supplier,500spend_sep2016,Merchant Category,0.4111056923866272,textual,False
158,500spend_jun2016,Details,500spend_nov2015,Merchant Category,0.4105862975120544,textual,False
159,500spend_sep2015,Description,500spend_sep2016,Merchant Category,0.4102044105529785,textual,False
160,500spend_may2016,Description,500spend_sep2015,Service Name,0.4099209308624267,textual,False
161,500spend_nov2015,Transaction Number,500spend_oct2015,net_amount,0.4088333249092102,numerical,False
162,500spend_nov2015,Date,500spend_sep2015,Date,0.4067023992538452,mixed,True
163,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,Service Category,0.4057532548904419,textual,False
164,500spend_jun2016,Primary Service,500spend_sep2016,Supplier Name,0.4035142958164215,textual,False
165,500spend_jul2016,Category Name,500spend_nov2015,Summary of purpose of expenditure,0.4011527299880981,textual,False
166,500spend_may2016,Description,500spend_nov2015,Service,0.4000194668769836,textual,False
167,500spend_nov2015,Service,500spend_oct2015,Service Category,0.3985640406608581,textual,False
168,500spend_jun2016,Secondary Service,500spend_sep2016,net_amount,0.3983871042728424,textual,False
169,500spend_jun2016,Primary Service,500spend_sep2015,Merchant Type,0.3980102837085724,textual,True
170,500spend_jun2016,Details,500spend_oct2015,net_amount,0.3977394104003906,textual,False
171,500spend_may2016,Description,500spend_nov2015,Service Category,0.3942304849624634,textual,False
172,500spend_oct2015,purpose of expenditure,500spend_sep2016,Supplier Name,0.3930407464504242,textual,False
173,500spend_nov2015,Service Category,500spend_oct2015,Service Name,0.3924661874771118,textual,False
174,500spend_jul2016,Expense Category,500spend_oct2015,Service Name,0.3920328319072723,textual,False
175,500spend_jul2016,Category Name,500spend_sep2016,Supplier Name,0.3917545676231384,textual,False
176,500spend_jul2016,Expense Category,500spend_sep2016,net_amount,0.3904200196266174,textual,False
177,500spend_sep2015,Transaction Number,500spend_sep2016,net_amount,0.3903701901435852,numerical,False
178,500spend_oct2015,Supplier Name,500spend_sep2015,Service Name,0.3848248422145843,textual,False
179,500spend_may2016,Amount,500spend_sep2015,Transaction Number,0.3848133385181427,numerical,False
180,500spend_jul2016,Expense Category,500spend_sep2015,Service Name,0.3834704160690307,textual,False
181,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2016,Merchant Category,0.381573736667633,textual,False
182,500spend_may2016,Merchant,500spend_sep2015,Service Name,0.3804986774921417,textual,False
183,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,net_amount,0.3798559308052063,textual,False
184,500spend_jul2016,Category Name,500spend_sep2015,Merchant Type,0.379756212234497,textual,True
185,500spend_jun2016,Secondary Service,500spend_may2016,Amount,0.3781718015670776,textual,False
186,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2016,Supplier Name,0.3723036050796509,textual,False
187,500spend_nov2015,Merchant Category,500spend_sep2016,Merchant Category,0.3659128248691559,textual,True
188,500spend_oct2015,Service Category,500spend_sep2016,Supplier Name,0.3658401072025299,textual,False
189,500spend_jul2016,Supplier,500spend_oct2015,purpose of expenditure,0.364968866109848,textual,False
190,500spend_may2016,Amount,500spend_nov2015,net_amount,0.3641657829284668,numerical,True
191,500spend_oct2015,purpose of expenditure,500spend_sep2016,net_amount,0.3635211288928985,textual,False
