,table_a,column_a,table_b,column_b,similarity,type,correct
0,500spend_oct2015,Service Category,500spend_sep2015,Merchant Type,0.8183860778808594,textual,True
1,500spend_oct2015,purpose of expenditure,500spend_sep2015,Description,0.8081427812576294,textual,True
2,500spend_oct2015,Service Name,500spend_sep2015,Service Name,0.8073482513427734,textual,True
3,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.7918620109558105,textual,True
4,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.7763798832893372,textual,True
5,500spend_oct2015,Date,500spend_sep2015,Date,0.7687434554100037,mixed,True
6,500spend_nov2015,Merchant Category,500spend_sep2015,Merchant Type,0.7528865933418274,textual,True
7,500spend_jul2016,Supplier,500spend_jun2016,Name,0.7498562335968018,textual,True
8,500spend_jul2016,Supplier,500spend_sep2016,Supplier Name,0.7279831171035767,textual,True
9,500spend_jul2016,Supplier,500spend_nov2015,Supplier Name,0.725743293762207,textual,True
10,500spend_nov2015,Supplier Name,500spend_sep2016,Supplier Name,0.7222812175750732,textual,True
11,500spend_jul2016,Service Name,500spend_jun2016,Secondary Service,0.7121550440788269,textual,True
12,500spend_nov2015,Service,500spend_sep2016,Merchant Category,0.7076180577278137,textual,False
13,500spend_oct2015,net_amount,500spend_sep2015,Amount,0.7058380246162415,numerical,True
14,500spend_oct2015,Supplier Name,500spend_sep2016,Supplier Name,0.7046055793762207,textual,True
15,500spend_jul2016,Category Name,500spend_jun2016,Primary Service,0.7038610577583313,textual,True
16,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.6951944828033447,textual,True
17,500spend_jul2016,Expense Category,500spend_jun2016,Details,0.6944039463996887,textual,True
18,500spend_sep2015,Service Name,500spend_sep2016,Merchant Category,0.6834511756896973,textual,False
19,500spend_jul2016,Category Name,500spend_oct2015,Service Name,0.6816965937614441,textual,False
20,500spend_nov2015,Date,500spend_sep2015,Date,0.678520143032074,mixed,True
21,500spend_jul2016,Supplier,500spend_oct2015,Supplier Name,0.6771941781044006,textual,True
22,500spend_nov2015,Service,500spend_sep2015,Service Name,0.6681814789772034,textual,True
23,500spend_jun2016,Primary Service,500spend_sep2016,Merchant Category,0.6638463139533997,textual,True
24,500spend_jun2016,Name,500spend_sep2016,Supplier Name,0.6602706909179688,textual,True
25,500spend_nov2015,Service,500spend_oct2015,Service Name,0.6600803732872009,textual,True
26,500spend_nov2015,Date,500spend_oct2015,Date,0.6587495803833008,mixed,True
27,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2015,Description,0.6578512191772461,textual,True
28,500spend_oct2015,Service Name,500spend_sep2016,Merchant Category,0.6546045541763306,textual,False
29,500spend_nov2015,Merchant Category,500spend_oct2015,Service Category,0.65322345495224,textual,True
30,500spend_sep2015,Supplier Name,500spend_sep2016,Supplier Name,0.6502276062965393,textual,True
31,500spend_jul2016,Category Name,500spend_sep2015,Service Name,0.6267580986022949,textual,False
32,500spend_jul2016,Supplier,500spend_sep2015,Supplier Name,0.6253618001937866,textual,True
33,500spend_jun2016,Name,500spend_nov2015,Supplier Name,0.6165115833282471,textual,True
34,500spend_nov2015,net_amount,500spend_sep2015,Amount,0.6157784461975098,numerical,True
35,500spend_jul2016,Service Name,500spend_jun2016,Details,0.6103981137275696,textual,False
36,500spend_jun2016,Name,500spend_oct2015,Supplier Name,0.6088634133338928,textual,True
37,500spend_nov2015,net_amount,500spend_oct2015,net_amount,0.6013132929801941,numerical,True
38,500spend_jun2016,Primary Service,500spend_nov2015,Service,0.5976746678352356,textual,False
39,500spend_jun2016,Primary Service,500spend_oct2015,Service Name,0.5961636900901794,textual,False
40,500spend_jul2016,Supplier,500spend_jun2016,Secondary Service,0.5874214172363281,textual,False
41,500spend_nov2015,Merchant Category,500spend_sep2016,Supplier Name,0.5862759351730347,textual,False
42,500spend_may2016,Date,500spend_sep2015,Date,0.5846255421638489,mixed,True
43,500spend_nov2015,Service Category,500spend_oct2015,Service Category,0.583885908126831,textual,False
44,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.5838291049003601,textual,True
45,500spend_jul2016,Category Name,500spend_sep2016,Merchant Category,0.5801171064376831,textual,True
46,500spend_nov2015,Merchant Category,500spend_oct2015,Supplier Name,0.5780649185180664,textual,False
47,500spend_jun2016,Primary Service,500spend_sep2015,Service Name,0.5760049819946289,textual,False
48,500spend_jul2016,Service Name,500spend_sep2015,Merchant Type,0.5757805705070496,textual,False
