,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
alite-bert-base-uncased-l2,1.0,0.7727272727272727,0.8717948717948718,1.0,1.0,1.0,1.0,1.0,0.7727272727272727
coma_schema,0.6851851851851852,0.33636363636363636,0.451219512195122,0.8333333333333334,0.8823529411764706,0.6666666666666666,0.7631578947368421,0.6938775510204082,0.33636363636363636
coma_schema_instance,0.8924731182795699,0.7545454545454545,0.8177339901477831,1.0,0.8571428571428571,0.8297872340425532,0.8787878787878788,0.8809523809523809,0.7545454545454545
cupid,0.7647058823529411,0.35454545454545455,0.484472049689441,1.0,0.7058823529411765,0.6491228070175439,0.575,0.4803921568627451,0.4636363636363636
deepjoin-all-mpnet-base-v2-coltotext-col-shuffle-0.1-epochs-10-bs-16-lr-2e-05-wd-0.01-warmup-None,1.0,1.0,1.0,1.0,0.41825095057034223,0.2511415525114155,0.17944535073409462,0.13959390862944163,0.9727272727272728
distribution_based,1.0,0.7090909090909091,0.8297872340425533,1.0,1.0,1.0,1.0,1.0,0.7090909090909091
jaccard,1.0,0.9181818181818182,0.957345971563981,1.0,1.0,1.0,1.0,1.0,0.9181818181818182
similarity_flooding,0.5,0.5,0.5,0.36363636363636365,0.21212121212121213,0.17727272727272728,0.15584415584415584,0.13762626262626262,0.32727272727272727
starmie-model_sample_row_tfidf_entity_column_0-ft,0.990909090909091,0.990909090909091,0.990909090909091,1.0,0.45267489711934156,0.2722772277227723,0.19469026548672566,0.15130674002751032,0.9454545454545454
starmie-model_sample_row_tfidf_entity_column_0,0.990909090909091,0.990909090909091,0.990909090909091,1.0,0.45643153526970953,0.2736318407960199,0.19538188277087035,0.15214384508990317,0.9545454545454546
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-noneg-lr-3e5-bs-512-ep-10-cos-cnw-00-cos,1.0,1.0,1.0,1.0,0.873015873015873,0.5263157894736842,0.3767123287671233,0.2925531914893617,1.0
