,table_a,column_a,table_b,column_b,similarity,correct
0,arxiv_1,Journal-ref,neurips_1,Journal-ref,0.96,True
1,arxiv_1,Abstract,neurips_1,Abstract,0.9574468,True
2,arxiv_1,Authors,neurips_1,Authors,0.95652175,True
3,arxiv_1,Title,neurips_1,Title,0.95454544,True
4,arxiv_1,Date,neurips_1,Date,0.95348835,True
5,arxiv_1,_id,neurips_1,_id,0.95238096,True
6,arxiv_2,JournalRef,thecvf_1,JournalRef,0.9510309,True
7,arxiv_2,Authors,thecvf_1,Authors,0.9478022,True
8,arxiv_2,Title,thecvf_1,Title,0.94540226,True
9,arxiv_2,Month,thecvf_1,Month,0.94540226,True
10,arxiv_2,Year,thecvf_1,Year,0.94411767,True
11,dblp_2,authors,google_scholar_2,authors,0.9438776,True
12,arxiv_2,_id,thecvf_1,_id,0.9427711,True
13,arxiv_2,Tag,thecvf_1,Tag,0.9427711,True
14,dblp_2,title,google_scholar_2,title,0.94148934,True
15,dblp_2,venue,google_scholar_2,venue,0.94148934,True
16,dblp_2,year,google_scholar_2,year,0.9402174,True
17,dblp_2,id,google_scholar_2,id,0.9375,True
18,citeseer_1,publication_type,dblp_3,publication_type,0.93531466,True
19,citeseer_1,authors,dblp_3,authors,0.9264214,True
20,citeseer_1,journal,dblp_3,journal,0.9264214,True
21,citeseer_1,title,dblp_3,title,0.923951,True
22,citeseer_1,year,dblp_3,year,0.92262965,True
23,citeseer_1,id,dblp_3,id,0.9197936,True
24,dblp_1,publisher,google_scholar_1,publisher,0.9066457,True
25,dblp_1,ENTRYTYPE,google_scholar_1,ENTRYTYPE,0.9066457,True
26,dblp_1,booktitle,google_scholar_1,booktitle,0.9066457,True
27,dblp_1,journal,google_scholar_1,journal,0.9044449,True
28,dblp_2,authors,dblp_3,authors,0.9042641,True
29,dblp_2,title,dblp_3,title,0.9034524,True
30,dblp_1,author,google_scholar_1,author,0.9032756,True
31,dblp_1,number,google_scholar_1,number,0.9032756,True
32,dblp_1,volume,google_scholar_1,volume,0.9032756,True
33,dblp_2,year,dblp_3,year,0.90301687,True
34,dblp_2,id,dblp_3,id,0.90207875,True
35,dblp_1,title,google_scholar_1,title,0.90205663,True
