,table_a,column_a,table_b,column_b,similarity,correct
0,dblp_2,year,google_scholar_2,year,0.4293984440424821,True
1,dblp_2,id,google_scholar_2,id,0.4237474685876806,True
2,dblp_2,title,google_scholar_2,title,0.4237474685876806,True
3,dblp_2,authors,google_scholar_2,authors,0.4237474685876806,True
4,dblp_2,venue,google_scholar_2,venue,0.4237474685876806,True
5,citeseer_1,year,google_scholar_2,year,0.4201597708062547,True
6,citeseer_1,year,dblp_2,year,0.409517179771547,True
7,citeseer_1,title,dblp_2,title,0.4035169313382788,True
8,citeseer_1,authors,dblp_2,authors,0.4035169313382788,True
9,citeseer_1,title,google_scholar_2,title,0.3955856726596151,True
10,citeseer_1,authors,google_scholar_2,authors,0.3955856726596151,True
11,citeseer_1,id,dblp_2,id,0.3937476746865584,True
12,citeseer_1,id,google_scholar_2,id,0.3862817720904419,True
13,arxiv_1,Authors,google_scholar_2,authors,0.3806498162744735,True
14,dblp_3,title,google_scholar_2,title,0.3790711255406154,True
15,dblp_3,authors,google_scholar_2,authors,0.3790711255406154,True
16,dblp_3,year,google_scholar_2,year,0.3778458180892449,True
17,google_scholar_2,authors,neurips_1,Authors,0.3774691579469773,True
18,arxiv_1,Authors,dblp_2,authors,0.3761652540625491,True
19,dblp_2,authors,neurips_1,Authors,0.3721913328389848,True
20,dblp_3,id,google_scholar_2,id,0.3715064238396491,True
21,arxiv_1,_id,neurips_1,_id,0.3708658298545149,True
22,arxiv_1,Date,neurips_1,Date,0.3708658298545149,True
23,arxiv_1,Title,google_scholar_2,title,0.3679079681604371,True
24,google_scholar_2,title,neurips_1,Title,0.3648169435170129,True
25,arxiv_1,Title,dblp_2,title,0.3635517808865519,True
26,dblp_2,title,neurips_1,Title,0.3596903943829845,True
27,dblp_2,year,dblp_3,year,0.3565037241245862,True
28,citeseer_1,id,dblp_3,id,0.354764244315349,True
29,arxiv_2,Authors,google_scholar_2,authors,0.3538869459168942,True
30,dblp_2,authors,thecvf_1,Authors,0.3534473481912107,True
31,arxiv_2,_id,neurips_1,_id,0.3533746926328535,True
32,neurips_1,_id,thecvf_1,_id,0.3533746926328535,True
33,arxiv_1,Title,neurips_1,Title,0.3518831909287058,True
34,arxiv_1,Authors,neurips_1,Authors,0.3518831909287058,True
35,arxiv_1,Abstract,neurips_1,Abstract,0.3518831909287058,True
36,arxiv_1,Journal-ref,neurips_1,Journal-ref,0.3518831909287058,True
37,google_scholar_2,authors,thecvf_1,Authors,0.3511052011599829,True
38,arxiv_1,_id,thecvf_1,_id,0.3472463246769062,True
39,dblp_2,title,dblp_3,title,0.3470926713977856,True
40,dblp_2,authors,dblp_3,authors,0.3470926713977856,True
41,citeseer_1,title,dblp_3,title,0.346411570598472,True
42,citeseer_1,authors,dblp_3,authors,0.346411570598472,True
43,citeseer_1,journal,dblp_3,journal,0.346411570598472,True
44,citeseer_1,publication_type,dblp_3,publication_type,0.346411570598472,True
45,arxiv_2,Authors,dblp_2,authors,0.3463434705536055,True
46,arxiv_2,Title,neurips_1,Title,0.3447395923538237,True
47,arxiv_2,Authors,neurips_1,Authors,0.3447395923538237,True
48,neurips_1,Title,thecvf_1,Title,0.3447395923538237,True
49,neurips_1,Authors,thecvf_1,Authors,0.3447395923538237,True
50,citeseer_1,year,dblp_3,year,0.3447226009967775,True
51,citeseer_1,authors,neurips_1,Authors,0.3445520450848107,True
52,arxiv_1,Authors,citeseer_1,authors,0.3445520450848106,True
53,arxiv_2,Title,google_scholar_2,title,0.3418224358524221,True
54,dblp_2,year,thecvf_1,Year,0.3415719908157594,True
55,dblp_2,title,thecvf_1,Title,0.3413974269679323,True
56,dblp_2,id,dblp_3,id,0.3408896363695859,True
57,google_scholar_2,title,thecvf_1,Title,0.3391216960322556,True
58,arxiv_1,Title,thecvf_1,Title,0.3387964282270976,True
59,arxiv_1,Authors,thecvf_1,Authors,0.3387964282270976,True
60,arxiv_2,Month,thecvf_1,Month,0.3347433719903893,True
61,arxiv_2,Year,dblp_2,year,0.3345949779315311,True
62,arxiv_2,Title,dblp_2,title,0.3345010249635086,True
63,citeseer_1,title,neurips_1,Title,0.332789877477257,True
64,arxiv_1,Title,citeseer_1,title,0.3327898774772569,True
65,arxiv_2,Year,google_scholar_2,year,0.3299089296484561,True
66,arxiv_1,_id,arxiv_2,_id,0.328672153894976,True
67,arxiv_1,_id,google_scholar_2,id,0.3276707253665315,True
68,google_scholar_2,year,thecvf_1,Year,0.3273407930828668,True
69,arxiv_1,_id,citeseer_1,id,0.3267847341081168,True
70,citeseer_1,id,neurips_1,_id,0.3267847341081168,True
71,arxiv_2,Authors,citeseer_1,authors,0.3264373470775648,True
72,google_scholar_2,id,neurips_1,_id,0.3249995819187471,True
73,arxiv_1,Authors,dblp_3,authors,0.3246827450402575,True
74,arxiv_1,_id,dblp_2,id,0.3239250314393369,True
75,arxiv_2,_id,thecvf_1,_id,0.3220620454839245,True
76,arxiv_2,Year,thecvf_1,Year,0.3220620454839245,True
77,dblp_3,authors,neurips_1,Authors,0.3216826085542316,True
78,arxiv_1,Title,arxiv_2,Title,0.3208004149795594,True
79,arxiv_1,Authors,arxiv_2,Authors,0.3208004149795594,True
80,dblp_2,id,neurips_1,_id,0.3205845287626224,True
81,citeseer_1,authors,thecvf_1,Authors,0.318914977568362,True
