,table_a,column_a,table_b,column_b,similarity,type,correct
0,arxiv_1,Authors,arxiv_2,Authors,0.9012480974197388,textual,True
1,arxiv_2,Authors,thecvf_1,Authors,0.8857753276824951,textual,True
2,arxiv_1,Authors,neurips_1,Authors,0.8637203574180603,textual,True
3,arxiv_2,Authors,neurips_1,Authors,0.8481754660606384,textual,True
4,neurips_1,Authors,thecvf_1,Authors,0.82753986120224,textual,True
5,arxiv_1,Authors,thecvf_1,Authors,0.7837862968444824,textual,True
6,google_scholar_1,author,google_scholar_2,authors,0.7759144902229309,textual,True
7,arxiv_1,Authors,google_scholar_1,author,0.7731689214706421,textual,True
8,dblp_2,authors,google_scholar_2,authors,0.772601842880249,textual,True
9,dblp_3,authors,google_scholar_1,author,0.7654897570610046,textual,True
10,dblp_1,author,dblp_3,authors,0.761884868144989,textual,True
11,dblp_2,authors,google_scholar_1,author,0.7605806589126587,textual,True
12,dblp_1,author,neurips_1,Authors,0.7550182938575745,textual,True
13,arxiv_2,Title,thecvf_1,Title,0.7423832416534424,textual,True
14,arxiv_1,Authors,dblp_1,author,0.7388362884521484,textual,True
15,dblp_2,authors,dblp_3,authors,0.7353987097740173,textual,True
16,google_scholar_1,author,neurips_1,Authors,0.7300641536712646,textual,True
17,arxiv_2,_id,thecvf_1,_id,0.7298023104667664,numerical,True
18,dblp_1,author,google_scholar_1,author,0.7291357517242432,textual,True
19,arxiv_1,Title,google_scholar_1,title,0.7168262600898743,textual,True
20,arxiv_1,Journal-ref,arxiv_2,JournalRef,0.713811457157135,textual,True
21,dblp_1,author,dblp_2,authors,0.7136991620063782,textual,True
22,dblp_3,authors,neurips_1,Authors,0.712873637676239,textual,True
23,arxiv_2,Authors,google_scholar_1,author,0.7103170156478882,textual,True
24,dblp_3,journal,google_scholar_1,organization,0.7102816700935364,textual,True
25,neurips_1,_id,thecvf_1,_id,0.7077018022537231,numerical,True
26,arxiv_1,Authors,dblp_2,authors,0.7053470611572266,textual,True
27,arxiv_2,Year,thecvf_1,Year,0.7027603983879089,numerical,True
28,citeseer_1,authors,google_scholar_2,authors,0.7014986872673035,textual,True
29,arxiv_1,Authors,dblp_3,authors,0.6950472593307495,textual,True
30,neurips_1,Title,thecvf_1,Title,0.690044105052948,textual,True
31,dblp_1,ENTRYTYPE,google_scholar_1,ENTRYTYPE,0.6808534860610962,textual,True
32,arxiv_1,_id,google_scholar_1,ID,0.6797401905059814,numerical,True
33,dblp_1,author,google_scholar_2,authors,0.6750434041023254,textual,True
34,citeseer_1,authors,neurips_1,Authors,0.6710830330848694,textual,True
35,citeseer_1,authors,dblp_1,author,0.6645503640174866,textual,True
36,arxiv_1,Authors,google_scholar_2,authors,0.6635252237319946,textual,True
37,dblp_3,authors,google_scholar_2,authors,0.6585357785224915,textual,True
38,dblp_2,authors,neurips_1,Authors,0.6575270295143127,textual,True
39,citeseer_1,authors,thecvf_1,Authors,0.6568384170532227,textual,True
40,citeseer_1,authors,google_scholar_1,author,0.6543964147567749,textual,True
41,arxiv_1,Authors,citeseer_1,authors,0.6538153886795044,textual,True
42,google_scholar_2,authors,neurips_1,Authors,0.6530947685241699,textual,True
43,dblp_1,journal,google_scholar_1,organization,0.6527981162071228,textual,True
44,arxiv_1,Journal-ref,google_scholar_1,booktitle,0.6519732475280762,textual,True
45,google_scholar_1,author,thecvf_1,Authors,0.6514126062393188,textual,True
46,arxiv_2,_id,neurips_1,_id,0.6502763032913208,numerical,True
47,arxiv_1,Journal-ref,thecvf_1,JournalRef,0.650240957736969,textual,True
48,dblp_1,booktitle,google_scholar_2,venue,0.6451783180236816,textual,True
49,arxiv_1,Journal-ref,dblp_1,journal,0.6443818211555481,textual,True
50,google_scholar_1,ENTRYTYPE,google_scholar_2,venue,0.6355581879615784,textual,False
51,arxiv_2,JournalRef,thecvf_1,JournalRef,0.63551265001297,textual,True
52,citeseer_1,authors,dblp_3,authors,0.635481059551239,textual,True
53,arxiv_1,Title,neurips_1,Title,0.6303408145904541,textual,True
54,arxiv_1,Abstract,neurips_1,Abstract,0.6292871236801147,textual,True
55,citeseer_1,title,google_scholar_2,title,0.6284459233283997,textual,True
56,arxiv_2,Authors,citeseer_1,authors,0.6254466772079468,textual,True
57,arxiv_2,Authors,dblp_1,author,0.6223405599594116,textual,True
58,arxiv_1,Date,thecvf_1,Month,0.6209409832954407,textual,False
59,citeseer_1,journal,google_scholar_1,organization,0.6207773685455322,textual,True
60,arxiv_1,_id,arxiv_2,_id,0.6164534687995911,numerical,True
61,arxiv_1,Title,arxiv_2,Title,0.6158666610717773,textual,True
62,arxiv_1,_id,thecvf_1,_id,0.6151275634765625,numerical,True
63,arxiv_2,Authors,dblp_3,authors,0.6067091226577759,textual,True
64,dblp_1,title,neurips_1,Title,0.6033931970596313,textual,True
65,arxiv_1,Journal-ref,google_scholar_1,journal,0.6022578477859497,textual,True
66,arxiv_2,Authors,google_scholar_2,authors,0.6021680235862732,textual,True
67,arxiv_1,_id,neurips_1,_id,0.601586639881134,numerical,True
68,citeseer_1,journal,google_scholar_1,booktitle,0.5993660092353821,textual,True
69,neurips_1,Date,thecvf_1,Month,0.5968963503837585,textual,False
70,arxiv_1,Title,thecvf_1,Title,0.5954802632331848,textual,True
71,dblp_1,author,thecvf_1,Authors,0.5948343873023987,textual,True
72,arxiv_1,Journal-ref,citeseer_1,journal,0.5930708050727844,textual,True
73,dblp_1,title,dblp_3,title,0.5897311568260193,textual,True
74,citeseer_1,journal,dblp_1,journal,0.5884984135627747,textual,True
75,arxiv_2,Authors,dblp_2,authors,0.5873940587043762,textual,True
76,citeseer_1,authors,dblp_2,authors,0.5868579745292664,textual,True
77,arxiv_2,Title,neurips_1,Title,0.5860762000083923,textual,True
78,dblp_1,series,dblp_3,journal,0.5838404297828674,textual,False
79,citeseer_1,year,google_scholar_2,year,0.5812406539916992,numerical,True
80,dblp_3,publication_type,google_scholar_1,ENTRYTYPE,0.5789846777915955,textual,True
81,arxiv_1,Journal-ref,google_scholar_2,venue,0.5787654519081116,textual,True
82,dblp_1,journal,google_scholar_1,booktitle,0.5749008655548096,textual,True
83,dblp_1,journal,google_scholar_1,journal,0.5729566812515259,textual,True
84,dblp_1,journal,dblp_3,journal,0.5688832998275757,textual,True
85,dblp_3,title,google_scholar_1,title,0.5638430714607239,textual,True
86,dblp_3,title,neurips_1,Title,0.5621737241744995,textual,True
87,citeseer_1,id,google_scholar_1,ID,0.5595281720161438,numerical,True
88,dblp_1,crossref,google_scholar_2,venue,0.5586866140365601,textual,False
89,dblp_3,authors,thecvf_1,Authors,0.557699978351593,textual,True
90,dblp_1,series,google_scholar_1,organization,0.557561457157135,textual,False
91,dblp_1,series,google_scholar_1,journal,0.5574726462364197,textual,False
92,citeseer_1,journal,thecvf_1,JournalRef,0.5565059185028076,textual,True
93,dblp_1,series,google_scholar_2,venue,0.5559142827987671,textual,False
94,arxiv_1,Title,google_scholar_1,booktitle,0.5523125529289246,textual,False
95,google_scholar_2,authors,thecvf_1,Authors,0.5511348843574524,textual,True
96,dblp_1,journal,google_scholar_2,venue,0.5495724081993103,textual,True
97,citeseer_1,title,google_scholar_1,title,0.5464125275611877,textual,True
98,arxiv_2,JournalRef,dblp_1,crossref,0.5439808964729309,textual,False
99,citeseer_1,id,thecvf_1,_id,0.5411210656166077,numerical,True
100,arxiv_1,Title,citeseer_1,title,0.540867269039154,textual,True
101,citeseer_1,title,neurips_1,Title,0.5393295288085938,textual,True
102,google_scholar_1,ID,google_scholar_2,id,0.5367468595504761,textual,True
103,citeseer_1,journal,google_scholar_2,venue,0.5338950157165527,textual,True
104,neurips_1,Journal-ref,thecvf_1,Year,0.5331111550331116,textual,False
105,arxiv_1,Title,dblp_3,title,0.5307509303092957,textual,True
106,google_scholar_1,journal,google_scholar_2,venue,0.5284878015518188,textual,True
107,arxiv_2,JournalRef,google_scholar_2,venue,0.5282137393951416,textual,True
108,arxiv_2,Month,thecvf_1,Month,0.5281432867050171,textual,True
109,dblp_1,ENTRYTYPE,dblp_3,publication_type,0.5231161117553711,textual,True
110,citeseer_1,journal,dblp_3,journal,0.5227025151252747,textual,True
111,google_scholar_1,title,neurips_1,Title,0.5226640105247498,textual,True
112,dblp_1,ENTRYTYPE,google_scholar_2,venue,0.5225744843482971,textual,False
113,arxiv_1,Date,arxiv_2,Month,0.5203531384468079,textual,False
114,citeseer_1,title,dblp_3,title,0.5152037739753723,textual,True
115,arxiv_2,Year,thecvf_1,Month,0.5137553811073303,textual,False
116,arxiv_1,Abstract,arxiv_2,JournalRef,0.5137419700622559,textual,False
117,citeseer_1,journal,google_scholar_1,publisher,0.511855959892273,textual,False
118,arxiv_1,_id,citeseer_1,id,0.5068861246109009,numerical,True
119,dblp_2,title,dblp_3,title,0.5058860182762146,textual,True
120,dblp_1,ID,neurips_1,_id,0.5042624473571777,numerical,True
121,dblp_3,journal,google_scholar_2,venue,0.5042302012443542,textual,True
122,dblp_3,id,google_scholar_1,ID,0.5029327869415283,numerical,True
123,dblp_2,id,google_scholar_2,id,0.501121997833252,textual,True
124,arxiv_2,JournalRef,dblp_1,booktitle,0.4973398447036743,textual,True
125,dblp_1,journal,google_scholar_1,publisher,0.4967426061630249,textual,False
126,dblp_2,authors,thecvf_1,Authors,0.4959244728088379,textual,True
127,google_scholar_1,booktitle,thecvf_1,JournalRef,0.4934172630310058,textual,True
128,citeseer_1,journal,google_scholar_1,journal,0.4919363856315613,textual,True
129,dblp_1,number,google_scholar_1,number,0.4908093810081482,mixed,True
130,arxiv_1,Abstract,google_scholar_1,title,0.4852599799633026,textual,False
