,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
alite-bert-base-uncased-l2,0.9130434782608695,0.14685314685314685,0.25301204819277107,0.6666666666666666,0.875,0.8461538461538461,0.8888888888888888,0.9130434782608695,0.16083916083916083
coma_schema,0.8181818181818182,0.8181818181818182,0.8181818181818182,1.0,0.9767441860465116,0.9861111111111112,0.8712871287128713,0.8294573643410853,0.8181818181818182
coma_schema_instance,0.8986486486486487,0.9300699300699301,0.9140893470790379,1.0,1.0,0.9864864864864865,0.9326923076923077,0.9104477611940298,0.916083916083916
cupid,0.875,0.5874125874125874,0.702928870292887,1.0,1.0,1.0,0.9855072463768116,0.8876404494382022,0.5874125874125874
deepjoin-all-mpnet-base-v2-coltotext-col-shuffle-0.3-epochs-10-bs-16-lr-2e-05-wd-0.01-warmup-None,0.7052631578947368,0.9370629370629371,0.8048048048048048,0.5855855855855856,0.4307228915662651,0.2585895117540687,0.1847545219638243,0.14371859296482412,0.48951048951048953
distribution_based,0.8602150537634409,0.5594405594405595,0.6779661016949153,0.9285714285714286,0.825,0.7727272727272727,0.7311827956989247,0.6974789915966386,0.6363636363636364
jaccard,0.8717948717948718,0.7132867132867133,0.7846153846153847,1.0,1.0,0.9166666666666666,0.7014925373134329,0.5465116279069767,0.6573426573426573
similarity_flooding,0.5947368421052631,0.7902097902097902,0.6786786786786786,0.7155172413793104,0.3400576368876081,0.2218370883882149,0.1670792079207921,0.136669874879692,0.6573426573426573
starmie-model_drop_num_col_random_column_0-ft,0.746031746031746,0.986013986013986,0.8493975903614458,1.0,0.4633333333333333,0.2845691382765531,0.20457796852646637,0.15906562847608455,0.8251748251748252
starmie-model_drop_num_col_random_column_0,0.75,0.986013986013986,0.8519637462235651,0.9807692307692307,0.45016077170418006,0.27413127413127414,0.19696969696969696,0.1532690246516613,0.8531468531468531
valentwin-amo-ame-n-100-hn-10-selective-noneg-lr-3e5-bs-512-ep-10-emd-cnw-00-cos,0.7473684210526316,0.993006993006993,0.8528528528528528,1.0,0.41329479768786126,0.24783362218370883,0.17698019801980197,0.13776493256262043,0.9370629370629371
