,table_a,column_a,table_b,column_b,similarity,correct
0,amo-ame-2011-eng,OBJ_EN_NM,amo-ame-2009-eng,OBJ_EN_NM,1.0,True
1,amo-ame-2013-eng,Description,amo-ame-2009-eng,OBJ_EN_NM,1.0,True
2,amo-ame-2018-eng,MINE,amo-ame-2010-eng,DEPT_EN_DESC,1.0,False
3,amo-ame-2009-eng,MINE,amo-ame-2008-eng,ORGANIZATION,1.0,True
4,amo-ame-2012-eng,ï»¿Name,amo-ame-2008-eng,ORGANIZATION,1.0,True
5,amo-ame-2017-eng,MINE,amo-ame-2009-eng,MINE,1.0,True
6,amo-ame-2012-eng,Description,amo-ame-2008-eng,ORGANIZATION DESCRIPTION,1.0,True
7,amo-ame-2017-eng,MINE,amo-ame-2008-eng,ORGANIZATION,1.0,True
8,amo-ame-2012-eng,ï»¿Name,amo-ame-2009-eng,MINE,1.0,True
9,amo-ame-2017-eng,DEPT_EN_DESC,amo-ame-2008-eng,ORGANIZATION DESCRIPTION,1.0,True
10,amo-ame-2018-eng,OBJ_EN_NM,amo-ame-2013-eng,Description,1.0,True
11,amo-ame-2019-eng,DEPT_EN_DESC,amo-ame-2018-eng,MINE,1.0,False
12,amo-ame-2013-eng,Description,amo-ame-2011-eng,OBJ_EN_NM,1.0,True
13,amo-ame-2012-eng,ï»¿Name,amo-ame-2010-eng,MINE,1.0,True
14,amo-ame-2017-eng,MINE,amo-ame-2010-eng,MINE,1.0,True
15,amo-ame-2018-eng,OBJ_EN_NM,amo-ame-2009-eng,OBJ_EN_NM,1.0,True
16,amo-ame-2017-eng,MINE,amo-ame-2012-eng,ï»¿Name,1.0,True
17,amo-ame-2010-eng,MINE,amo-ame-2009-eng,MINE,1.0,True
18,amo-ame-2010-eng,MINE,amo-ame-2008-eng,ORGANIZATION,1.0,True
19,amo-ame-2019-eng,Category,amo-ame-2011-eng,MINE,1.0,True
20,amo-ame-2018-eng,OBJ_EN_NM,amo-ame-2011-eng,OBJ_EN_NM,1.0,True
21,amo-ame-2019-eng,DEPT_EN_DESC,amo-ame-2018-eng,DEPT_EN_DESC,1.0,True
22,amo-ame-2017-eng,DEPT_EN_DESC,amo-ame-2012-eng,Description,1.0,True
23,amo-ame-2018-eng,DEPT_EN_DESC,amo-ame-2010-eng,DEPT_EN_DESC,1.0,True
24,amo-ame-2019-eng,DEPT_EN_DESC,amo-ame-2010-eng,DEPT_EN_DESC,1.0,True
