,table_a,column_a,table_b,column_b,similarity,correct
0,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2011-eng,AGRG_PYMT_AMT,0.98275864,True
1,amo-ame-2009-eng,ï»¿FSCL_YR,amo-ame-2011-eng,ï»¿FSCL_YR,0.98214287,True
2,amo-ame-2009-eng,OBJ_EN_NM,amo-ame-2011-eng,OBJ_EN_NM,0.9814815,True
3,amo-ame-2009-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.9807692,True
4,amo-ame-2009-eng,MINC,amo-ame-2011-eng,MINC,0.98,True
5,amo-ame-2009-eng,MINE,amo-ame-2011-eng,MINE,0.98,True
6,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.950761,True
7,amo-ame-2010-eng,DEPT_EN_DESC,amo-ame-2018-eng,DEPT_EN_DESC,0.94686234,True
8,amo-ame-2010-eng,ï»¿FSCL_YR,amo-ame-2018-eng,ï»¿FSCL_YR,0.9466274,True
9,amo-ame-2010-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9455972,True
10,amo-ame-2010-eng,MINE,amo-ame-2018-eng,MINE,0.94502026,True
11,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.94385785,True
12,amo-ame-2011-eng,ï»¿FSCL_YR,amo-ame-2018-eng,ï»¿FSCL_YR,0.94339603,True
13,amo-ame-2011-eng,OBJ_EN_NM,amo-ame-2018-eng,OBJ_EN_NM,0.9429,True
14,amo-ame-2011-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9423658,True
15,amo-ame-2011-eng,MINE,amo-ame-2018-eng,MINE,0.9417889,True
16,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.93954754,True
17,amo-ame-2009-eng,ï»¿FSCL_YR,amo-ame-2018-eng,ï»¿FSCL_YR,0.93893176,True
18,amo-ame-2009-eng,OBJ_EN_NM,amo-ame-2018-eng,OBJ_EN_NM,0.9382704,True
19,amo-ame-2009-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9375581,True
20,amo-ame-2009-eng,MINE,amo-ame-2018-eng,MINE,0.9367889,True
21,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.92453945,True
22,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.92417383,True
23,amo-ame-2017-eng,AGRG_PYMT_AMT,amo-ame-2019-eng,AGRG_PYMT_AMT,0.92106825,True
24,amo-ame-2017-eng,DEPT_EN_DESC,amo-ame-2019-eng,DEPT_EN_DESC,0.92087585,True
25,amo-ame-2017-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9208676,True
26,amo-ame-2017-eng,DEPT_EN_DESC,amo-ame-2018-eng,DEPT_EN_DESC,0.92064077,True
27,amo-ame-2017-eng,MINE,amo-ame-2018-eng,MINE,0.9187987,True
28,amo-ame-2010-eng,ï»¿FSCL_YR,amo-ame-2011-eng,ï»¿FSCL_YR,0.91731703,True
29,amo-ame-2010-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.9162868,True
30,amo-ame-2010-eng,MINC,amo-ame-2011-eng,MINC,0.9157099,True
31,amo-ame-2010-eng,MINE,amo-ame-2011-eng,MINE,0.9157099,True
32,amo-ame-2009-eng,ï»¿FSCL_YR,amo-ame-2010-eng,ï»¿FSCL_YR,0.91285276,True
33,amo-ame-2009-eng,OBJ_CD,amo-ame-2010-eng,OBJ_CD,0.9114791,True
34,amo-ame-2009-eng,MINC,amo-ame-2010-eng,MINC,0.9107099,True
35,amo-ame-2009-eng,MINE,amo-ame-2010-eng,MINE,0.9107099,True
36,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.90990645,True
37,amo-ame-2010-eng,DEPT_EN_DESC,amo-ame-2017-eng,DEPT_EN_DESC,0.90600777,True
38,amo-ame-2010-eng,MINE,amo-ame-2017-eng,MINE,0.9041657,True
39,amo-ame-2012-eng,Description,amo-ame-2013-eng,Description,0.90338755,False
40,amo-ame-2012-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9021224,True
41,amo-ame-2012-eng,Amount,amo-ame-2013-eng,Amount,0.90183955,True
