,table_a,column_a,table_b,column_b,similarity,type,correct
0,amo-ame-2009-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.9415661692619324,numerical,True
1,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9084265828132628,numerical,True
2,amo-ame-2010-eng,DEPT_EN_DESC,amo-ame-2019-eng,DEPT_EN_DESC,0.8962993621826172,textual,True
3,amo-ame-2011-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.8940528631210327,numerical,True
4,amo-ame-2012-eng,ID,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.8935208916664124,numerical,True
5,amo-ame-2017-eng,MINE,amo-ame-2018-eng,MINE,0.8711212873458862,textual,True
6,amo-ame-2010-eng,MINC,amo-ame-2019-eng,minc,0.8671358823776245,numerical,True
7,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.8639271855354309,numerical,True
8,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,0.8615291714668274,numerical,True
9,amo-ame-2008-eng,AGGREGATE,amo-ame-2017-eng,AGRG_PYMT_AMT,0.856386661529541,numerical,True
10,amo-ame-2010-eng,MINC,amo-ame-2011-eng,MINC,0.8536679744720459,numerical,True
11,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.849299967288971,numerical,True
12,amo-ame-2011-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.8485738635063171,numerical,True
13,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.840933084487915,numerical,True
14,amo-ame-2012-eng,Description,amo-ame-2018-eng,DEPT_EN_DESC,0.8408549427986145,textual,True
15,amo-ame-2010-eng,MINE,amo-ame-2011-eng,MINE,0.8397504091262817,textual,True
