,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
alite-bert-base-uncased-l2,0.7159533073929961,0.15726495726495726,0.2578836720392432,0.5294117647058824,0.61,0.608433734939759,0.6180257510729614,0.6387959866220736,0.17692307692307693
coma_schema,0.9079956188389924,0.7085470085470086,0.7959673547767644,1.0,0.9966329966329966,0.9959595959595959,0.9913419913419913,0.9607182940516273,0.7632478632478632
coma_schema_instance,0.9145021645021645,0.7222222222222222,0.8070678127984717,1.0,1.0,0.9957537154989384,0.9908952959028832,0.9598583234946871,0.7307692307692307
cupid,0.8688311688311688,0.5717948717948718,0.6896907216494844,0.9864864864864865,0.9932126696832579,0.9741847826086957,0.7621359223300971,0.6125377643504532,0.688034188034188
deepjoin-all-mpnet-base-v2-coltotext-title-colname-stat-col-shuffle-0.3-epochs-1-bs-16-lr-2e-05-wd-0.01-warmup-None,0.6392156862745098,0.6965811965811965,0.6666666666666666,0.6099290780141844,0.22202521670606776,0.1367612293144208,0.09878419452887538,0.0768321513002364,0.7717948717948718
distribution_based,0.8866666666666667,0.11367521367521367,0.20151515151515148,0.8095238095238095,0.8524590163934426,0.8613861386138614,0.8723404255319149,0.7900552486187845,0.1264957264957265
jaccard,0.7340425531914894,0.2948717948717949,0.42073170731707316,0.8695652173913043,0.7054545454545454,0.5895196506550219,0.5264797507788161,0.5006060606060606,0.4076923076923077
similarity_flooding,0.6196078431372549,0.6752136752136753,0.6462167689161554,0.4148936170212766,0.18439716312056736,0.125177304964539,0.09447821681864235,0.07624113475177305,0.5196581196581197
starmie-model_drop_nan_col_random_column_0-ft,0.6393963463065926,0.688034188034188,0.6628242074927955,0.658994032395567,0.27735152031827226,0.17664109121909632,0.12982584338083059,0.10353320071990149,0.6606837606837607
starmie-model_drop_nan_col_random_column_0,0.6367961934972244,0.6863247863247863,0.6606334841628959,0.6581125827814569,0.27684239580458186,0.17737661477310368,0.13011592145729833,0.1032293679271322,0.6692307692307692
valentwin-books-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-06-cos,0.7098039215686275,0.7735042735042735,0.7402862985685073,0.6583924349881797,0.22734436564223798,0.13807778697245537,0.09879253567508232,0.07683719708412688,0.8777777777777778
