,table_a,column_a,table_b,column_b,similarity,type,correct
0,goodreads_3,_id,goodreads_4,_id,0.9986696243286132,numerical,True
1,barnes_and_noble_1,id,barnes_and_noble_2,ID,0.9985793232917786,numerical,True
2,goodreads_3,_id,goodreads_4,ID,0.998495876789093,numerical,True
3,barnes_and_noble_4,ID,barnes_and_noble_6,_id,0.9984774589538574,numerical,True
4,barnes_and_noble_3,ISBN13,barnes_and_noble_6,isbn13,0.9983583688735962,numerical,True
5,goodreads_3,ID,goodreads_4,ID,0.9982621669769288,numerical,True
6,amazon_1,language,amazon_2,Language,0.998110294342041,textual,True
7,goodreads_3,ID,goodreads_4,_id,0.9980189800262452,numerical,True
8,goodreads_1,ID,goodreads_3,_id,0.9979439973831176,numerical,True
9,goodreads_1,ID,goodreads_3,ID,0.9978926181793212,numerical,True
10,goodreads_1,ID,goodreads_2,_id,0.9978028535842896,numerical,True
11,barnes_and_noble_2,ID,barnes_and_noble_6,_id,0.9977185726165771,numerical,True
12,amazon_4,_id,amazon_5,_id,0.9976212978363036,numerical,True
13,amazon_2,ID,amazon_5,_id,0.9974879026412964,numerical,True
14,barnes_and_noble_3,Price,barnes_and_noble_6,cur_price,0.9974305629730223,textual,True
15,goodreads_1,ID,goodreads_4,_id,0.9971563816070556,numerical,True
16,amazon_1,id,amazon_4,_id,0.9971516132354736,numerical,True
17,barnes_and_noble_2,ID,barnes_and_noble_4,ID,0.997145414352417,numerical,True
18,barnes_and_noble_1,id,barnes_and_noble_4,ID,0.9971401691436768,numerical,True
19,barnes_and_noble_1,id,barnes_and_noble_6,_id,0.9971089363098145,numerical,True
20,barnes_and_noble_3,Pages,barnes_and_noble_6,pages,0.9969656467437744,numerical,True
21,goodreads_1,ID,goodreads_4,ID,0.9967044591903688,numerical,True
22,goodreads_2,_id,goodreads_3,_id,0.9966142773628236,numerical,True
23,amazon_2,ID,amazon_4,_id,0.9965962767601012,numerical,True
24,barnes_and_noble_1,pages,barnes_and_noble_5,pages,0.9964276552200316,numerical,True
25,amazon_1,id,amazon_2,ID,0.9963741898536682,numerical,True
26,goodreads_2,_id,goodreads_3,ID,0.9963694214820862,numerical,True
27,goodreads_2,year,goodreads_3,year,0.996279001235962,numerical,True
28,barnes_and_noble_3,Price,barnes_and_noble_6,old_price,0.9961433410644532,textual,True
29,amazon_1,id,amazon_5,_id,0.9961119294166564,numerical,True
30,amazon_1,pages,amazon_3,Pages,0.9959288835525512,numerical,True
31,goodreads_2,_id,goodreads_4,_id,0.9957923889160156,numerical,True
32,barnes_and_noble_2,PublicationDate,barnes_and_noble_6,publication_date,0.9957844614982604,mixed,True
33,barnes_and_noble_3,Dimensions,barnes_and_noble_6,product_dimensions,0.995753526687622,textual,True
34,barnes_and_noble_4,Product_dimensions,barnes_and_noble_6,product_dimensions,0.9955989718437196,textual,True
35,goodreads_2,_id,goodreads_4,ID,0.9954739212989808,numerical,True
36,goodreads_1,ISBN13,goodreads_4,ISBN_13,0.995072603225708,textual,True
37,barnes_and_noble_3,Price,barnes_and_noble_5,price,0.9950475692749025,textual,True
38,barnes_and_noble_5,price,barnes_and_noble_6,old_price,0.9946664571762084,mixed,True
39,barnes_and_noble_2,Productdimensions,barnes_and_noble_6,product_dimensions,0.994657039642334,textual,True
40,barnes_and_noble_2,Pages,half_1,Pages,0.9945398569107056,textual,True
41,barnes_and_noble_4,Paperback,barnes_and_noble_6,cur_price,0.9944292306900024,mixed,True
42,barnes_and_noble_1,pages,barnes_and_noble_6,pages,0.9940769076347352,numerical,True
43,barnes_and_noble_3,Price,half_1,UsedPrice,0.9940578937530518,textual,True
44,goodreads_1,ISBN13,half_1,ISBN13,0.9940299987792968,textual,True
45,barnes_and_noble_6,_id,goodreads_3,ID,0.9938955307006836,numerical,True
46,barnes_and_noble_4,Paperback,barnes_and_noble_5,price,0.9938381314277648,mixed,True
47,barnes_and_noble_6,cur_price,half_1,UsedPrice,0.9938057065010072,mixed,True
48,barnes_and_noble_6,_id,goodreads_3,_id,0.9937762022018432,numerical,True
49,barnes_and_noble_6,cur_price,half_1,NewPrice,0.9937390089035034,mixed,True
50,barnes_and_noble_2,Productdimensions,barnes_and_noble_4,Product_dimensions,0.9937297701835632,textual,True
51,barnes_and_noble_5,price,barnes_and_noble_6,cur_price,0.9936367273330688,mixed,True
52,barnes_and_noble_2,ID,goodreads_2,_id,0.9935539960861206,numerical,True
53,barnes_and_noble_4,ID,goodreads_3,ID,0.9934786558151244,numerical,True
54,barnes_and_noble_1,id,goodreads_2,_id,0.9933575987815856,numerical,True
55,barnes_and_noble_4,NOOK_Book,barnes_and_noble_6,old_price,0.9932695627212524,mixed,True
56,barnes_and_noble_5,pages,barnes_and_noble_6,pages,0.9932650923728944,numerical,True
57,barnes_and_noble_4,ID,goodreads_3,_id,0.9932401180267334,numerical,True
58,barnes_and_noble_3,Publisher,barnes_and_noble_6,publisher,0.9932390451431274,textual,True
59,goodreads_1,PageCount,goodreads_4,Page,0.9931990504264832,numerical,True
60,barnes_and_noble_2,ID,goodreads_3,ID,0.9931094646453856,numerical,True
61,goodreads_1,Format,goodreads_2,format,0.9930535554885864,textual,True
62,barnes_and_noble_4,ID,goodreads_4,ID,0.9930492639541626,numerical,True
63,goodreads_2,author,goodreads_4,Author,0.9930441975593568,textual,True
64,barnes_and_noble_3,Price,half_1,NewPrice,0.9930431246757508,textual,True
65,barnes_and_noble_2,ID,goodreads_1,ID,0.9930318593978882,numerical,True
66,barnes_and_noble_3,Price,barnes_and_noble_4,Paperback,0.9929689168930054,textual,True
67,goodreads_3,ID,imsa_1,_id,0.9928825497627258,numerical,True
68,barnes_and_noble_3,Price,barnes_and_noble_4,NOOK_Book,0.9928715229034424,textual,True
69,amazon_2,Price,amazon_5,old_price,0.9928619861602784,mixed,True
70,goodreads_4,Page,half_1,Pages,0.9928306341171264,numerical,True
71,goodreads_3,_id,imsa_1,_id,0.9927937984466552,numerical,True
72,barnes_and_noble_2,Salesrank,barnes_and_noble_4,Sales_rank,0.992687463760376,textual,True
73,barnes_and_noble_4,ID,goodreads_4,_id,0.9925981163978576,numerical,True
74,barnes_and_noble_6,_id,goodreads_4,ID,0.9925687313079834,numerical,True
75,barnes_and_noble_4,NOOK_Book,barnes_and_noble_5,price,0.992545485496521,mixed,True
76,barnes_and_noble_2,ID,goodreads_3,_id,0.992534339427948,numerical,True
77,barnes_and_noble_6,_id,goodreads_1,ID,0.992517590522766,numerical,True
78,barnes_and_noble_6,_id,goodreads_2,_id,0.9924813508987428,numerical,True
79,barnes_and_noble_1,id,goodreads_1,ID,0.9924507737159728,numerical,True
80,barnes_and_noble_6,_id,goodreads_4,_id,0.9923499822616576,numerical,True
81,goodreads_3,ID,imsa_1,ID,0.9923278093338012,numerical,True
82,barnes_and_noble_6,old_price,half_1,UsedPrice,0.9923123121261596,mixed,True
83,barnes_and_noble_4,ID,goodreads_2,_id,0.9922962188720704,numerical,True
84,barnes_and_noble_2,Pages,goodreads_4,Page,0.9922044277191162,textual,True
85,goodreads_1,PageCount,half_1,Pages,0.9921852350234984,numerical,True
86,barnes_and_noble_1,id,goodreads_3,ID,0.9921048879623412,numerical,True
87,barnes_and_noble_3,ISBN13,half_1,ISBN13,0.9920911192893982,numerical,True
88,barnes_and_noble_4,ID,goodreads_1,ID,0.9920669794082642,numerical,True
89,goodreads_1,ID,imsa_1,_id,0.9920371770858764,numerical,True
90,goodreads_3,_id,imsa_1,ID,0.9919705986976624,numerical,True
91,barnes_and_noble_2,Pages,barnes_and_noble_6,_id,0.9919216632843018,textual,False
92,barnes_and_noble_4,NOOK_Book,barnes_and_noble_6,cur_price,0.9918199181556702,mixed,True
93,book_depository_1,ISBN_13,goodreads_1,ISBN13,0.9916954040527344,textual,True
94,barnes_and_noble_3,Pages,barnes_and_noble_4,Pages,0.9916814565658568,numerical,True
95,barnes_and_noble_2,Pages,barnes_and_noble_4,ID,0.9916759729385376,textual,False
96,goodreads_4,Author,half_1,Author,0.9916433691978456,textual,True
97,goodreads_4,ID,imsa_1,_id,0.9916296601295472,numerical,True
98,goodreads_1,ID,imsa_1,ID,0.991511881351471,numerical,True
99,goodreads_4,_id,imsa_1,_id,0.9914471507072448,numerical,True
100,amazon_3,Pages,amazon_5,pages,0.9914194345474244,numerical,True
101,barnes_and_noble_4,Paperback,barnes_and_noble_6,old_price,0.9913970828056335,mixed,True
102,barnes_and_noble_1,id,goodreads_3,_id,0.9913855195045472,numerical,True
103,goodreads_4,ID,imsa_1,ID,0.9912985563278198,numerical,True
104,barnes_and_noble_2,ISBN13,barnes_and_noble_6,isbn13,0.9912312626838684,numerical,True
105,barnes_and_noble_3,Author,half_1,Author,0.9911875128746032,textual,True
106,book_depository_1,ISBN_13,half_1,ISBN13,0.9911737442016602,numerical,True
107,barnes_and_noble_2,Pages,book_depository_1,Page,0.9911507368087769,textual,True
