,table_a,column_a,table_b,column_b,similarity,correct
0,amazon_1,language,amazon_2,Language,1.0,True
1,amazon_1,isbn13,barnes_and_noble_1,isbn13,1.0,True
2,amazon_1,language,book_depository_1,Language,1.0,True
3,amazon_2,Language,book_depository_1,Language,1.0,True
4,amazon_2,Language,goodreads_1,Language,1.0,True
5,barnes_and_noble_1,language,goodreads_4,Language,1.0,True
6,barnes_and_noble_2,Audiobookprice,goodreads_1,ThirdAuthor,1.0,False
7,barnes_and_noble_2,Audiobookprice,goodreads_1,SecondAuthor,1.0,False
8,barnes_and_noble_2,Author3,goodreads_1,SecondAuthor,1.0,True
9,barnes_and_noble_3,Author,goodreads_1,FirstAuthor,1.0,True
10,book_depository_1,Language,goodreads_1,Language,1.0,True
11,book_depository_1,Language,goodreads_4,Language,1.0,True
12,amazon_1,id,barnes_and_noble_2,ID,0.9961010907952716,True
13,amazon_1,language,goodreads_4,Language,0.9934497881667016,True
14,amazon_2,Language,goodreads_4,Language,0.9921258280116806,True
15,amazon_2,Edition,amazon_4,format,0.9905212425148694,False
16,barnes_and_noble_2,Author2,goodreads_1,ThirdAuthor,0.9889696823404008,True
17,amazon_3,Pages,barnes_and_noble_4,Pages,0.9868027087204024,True
18,amazon_2,Publisher,barnes_and_noble_4,Publisher,0.9867442091335116,True
19,book_depository_1,Format,goodreads_2,format,0.9857416414530384,True
20,barnes_and_noble_2,Ratingscount,goodreads_1,ThirdAuthor,0.9856262653916026,False
21,amazon_1,pages,half_1,Pages,0.983812445295264,True
22,amazon_1,pages,barnes_and_noble_2,ID,0.9823735727787496,False
23,barnes_and_noble_2,Ratingvalue,goodreads_1,SecondAuthor,0.9813084112149534,False
24,barnes_and_noble_3,Pages,barnes_and_noble_6,pages,0.980864293129136,True
25,amazon_1,publisher,barnes_and_noble_4,Publisher,0.9794431974919076,True
26,amazon_1,language,goodreads_1,Language,0.9787084439673563,True
27,goodreads_2,year,goodreads_3,year,0.9777629015084598,True
28,amazon_4,_id,goodreads_2,_id,0.9775599050256648,True
29,goodreads_3,_id,goodreads_4,_id,0.9767126333633348,True
30,amazon_2,ID,goodreads_3,ID,0.9764555585046136,True
31,amazon_1,pubmonth,barnes_and_noble_1,pubmonth,0.9759364683794848,True
32,amazon_4,_id,barnes_and_noble_2,ID,0.975020171987706,True
33,amazon_2,ID,goodreads_3,_id,0.9749819801529884,True
34,barnes_and_noble_4,Pages,barnes_and_noble_6,pages,0.9748777968240806,True
35,goodreads_1,Format,goodreads_4,Format,0.9731537963400712,True
36,barnes_and_noble_1,id,barnes_and_noble_2,ID,0.9722877462306512,True
37,amazon_2,Publisher,barnes_and_noble_3,Publisher,0.97158171785954,True
38,barnes_and_noble_2,Hardcoverprice,goodreads_1,ThirdAuthor,0.9715798621482,False
39,amazon_1,pages,barnes_and_noble_4,Pages,0.971563936733191,True
40,barnes_and_noble_2,Ratingvalue,goodreads_1,ThirdAuthor,0.969897141191678,False
41,barnes_and_noble_2,Author3,goodreads_1,ThirdAuthor,0.969897141191678,True
42,barnes_and_noble_1,id,goodreads_2,_id,0.968018037775368,True
43,amazon_5,cur_price,barnes_and_noble_6,cur_price,0.9677029331129252,True
44,amazon_1,pages,barnes_and_noble_1,pages,0.9676220452923354,True
45,goodreads_3,_id,half_1,Pages,0.967330689422584,False
46,amazon_5,book_format,goodreads_1,Format,0.9668789820402972,True
47,barnes_and_noble_6,book_format,goodreads_2,format,0.966532647249799,True
48,amazon_1,publisher,amazon_3,Publisher,0.965836440137411,True
49,barnes_and_noble_1,pages,barnes_and_noble_4,Pages,0.9653866313716972,True
50,goodreads_3,ID,imsa_1,_id,0.9653376148654096,True
51,amazon_5,_id,goodreads_3,ID,0.9647709444465646,True
52,amazon_5,_id,goodreads_3,_id,0.9647709444465646,True
53,amazon_5,pages,barnes_and_noble_6,pages,0.9645897434384276,True
54,goodreads_3,_id,goodreads_4,ID,0.9642363499946855,True
55,amazon_1,pages,barnes_and_noble_5,pages,0.9628453080696924,True
56,barnes_and_noble_3,Pages,barnes_and_noble_4,Pages,0.962630000791298,True
57,barnes_and_noble_1,pages,barnes_and_noble_5,pages,0.9609081016285164,True
58,amazon_5,book_format,goodreads_2,format,0.960827599244333,True
