,table_a,column_a,table_b,column_b,similarity,type,correct
0,amazon_1,isbn13,barnes_and_noble_1,isbn13,0.845084011554718,numerical,True
1,amazon_4,format,goodreads_2,format,0.8436843156814575,textual,True
2,book_depository_1,Author,goodreads_4,Author,0.8418168425559998,textual,True
3,amazon_1,language,amazon_2,Language,0.8411049842834473,textual,True
4,amazon_1,publisher,barnes_and_noble_1,publisher,0.8123659491539001,textual,True
5,amazon_1,language,book_depository_1,Language,0.8112832903862,textual,True
6,book_depository_1,Language,goodreads_4,Language,0.8094000816345215,textual,True
7,amazon_5,authors,barnes_and_noble_6,authors,0.8037447929382324,textual,True
8,amazon_3,Publisher,barnes_and_noble_6,publisher,0.7970211505889893,textual,True
9,amazon_5,_id,barnes_and_noble_6,_id,0.7775969505310059,numerical,True
10,barnes_and_noble_6,book_format,book_depository_1,Format,0.7748361825942993,textual,True
11,amazon_1,publisher,amazon_3,Publisher,0.7720655202865601,textual,True
12,goodreads_4,Author,half_1,Author,0.7719677686691284,textual,True
13,amazon_3,ProductType,book_depository_1,Format,0.7686423063278198,textual,True
14,book_depository_1,ID,goodreads_4,ID,0.7664565443992615,numerical,True
15,amazon_5,authors,half_1,Author,0.7625875473022461,textual,True
16,barnes_and_noble_3,Publisher,half_1,Publisher,0.7618926763534546,textual,True
17,goodreads_2,format,goodreads_4,Format,0.7592129707336426,textual,True
18,amazon_4,format,goodreads_4,Format,0.7567245364189148,textual,True
19,amazon_1,authors,barnes_and_noble_1,authors,0.7537468075752258,textual,True
20,barnes_and_noble_3,Author,half_1,Author,0.7520756125450134,textual,True
21,goodreads_2,author,goodreads_4,Author,0.7504645586013794,textual,True
22,book_depository_1,ISBN_13,half_1,ISBN13,0.7447171211242676,numerical,True
23,barnes_and_noble_3,Author,goodreads_4,Author,0.7445929646492004,textual,True
24,book_depository_1,ISBN_10,goodreads_4,ISBN_10,0.7443104982376099,mixed,True
25,amazon_1,publisher,barnes_and_noble_4,Publisher,0.7411799430847168,textual,True
26,amazon_3,ProductType,barnes_and_noble_6,book_format,0.7397246360778809,textual,True
27,amazon_1,language,barnes_and_noble_5,language,0.7349974513053894,textual,True
28,barnes_and_noble_1,publisher,barnes_and_noble_4,Publisher,0.7338863611221313,textual,True
29,amazon_5,book_format,barnes_and_noble_6,book_format,0.7337409257888794,textual,True
30,amazon_3,ID,barnes_and_noble_6,_id,0.7335950136184692,textual,True
31,amazon_1,publisher,barnes_and_noble_6,publisher,0.7319742441177368,textual,True
32,amazon_1,authors,goodreads_3,author,0.7305907011032104,textual,True
33,barnes_and_noble_6,publisher,half_1,Publisher,0.7305181622505188,textual,True
34,barnes_and_noble_6,_id,goodreads_2,_id,0.7295129895210266,numerical,True
35,barnes_and_noble_3,Publisher,barnes_and_noble_6,publisher,0.7289273738861084,textual,True
36,amazon_1,title,barnes_and_noble_1,title,0.7287619709968567,textual,True
37,amazon_5,cur_price,barnes_and_noble_6,cur_price,0.7278801202774048,mixed,True
38,amazon_1,pubyear,barnes_and_noble_1,pubyear,0.7274011373519897,numerical,True
39,amazon_3,ProductType,goodreads_2,format,0.7247698903083801,textual,True
40,amazon_5,authors,goodreads_2,author,0.7236300706863403,textual,True
41,amazon_3,ID,amazon_5,_id,0.7232974767684937,textual,True
42,amazon_3,ProductType,amazon_5,book_format,0.7214850187301636,textual,True
43,goodreads_2,author,half_1,Author,0.7212863564491272,textual,True
44,book_depository_1,Page,goodreads_4,Page,0.7208271622657776,numerical,True
45,amazon_2,Language,book_depository_1,Language,0.7207573056221008,textual,True
46,barnes_and_noble_5,language,book_depository_1,Language,0.719237208366394,textual,True
47,barnes_and_noble_1,authors,goodreads_3,author,0.718772292137146,textual,True
48,barnes_and_noble_6,isbn13,half_1,ISBN13,0.717286229133606,numerical,True
49,amazon_5,book_format,book_depository_1,Format,0.7169563174247742,textual,True
50,amazon_5,_id,goodreads_2,_id,0.7167317867279053,numerical,True
51,goodreads_4,ISBN_10,half_1,ISBN10,0.7154886722564697,mixed,True
52,barnes_and_noble_4,Publisher,barnes_and_noble_6,publisher,0.7133101224899292,textual,True
53,barnes_and_noble_3,ISBN13,barnes_and_noble_6,isbn13,0.7111037373542786,numerical,True
54,amazon_1,language,goodreads_4,Language,0.7109454870223999,textual,True
55,barnes_and_noble_6,authors,goodreads_2,author,0.7107539176940918,textual,True
56,amazon_5,pages,barnes_and_noble_6,pages,0.7082687616348267,numerical,True
57,book_depository_1,Author,goodreads_2,author,0.7076892852783203,textual,True
58,barnes_and_noble_3,Title,half_1,Title,0.7054712772369385,textual,True
59,amazon_3,Publisher,barnes_and_noble_4,Publisher,0.7025154829025269,textual,True
60,barnes_and_noble_6,authors,half_1,Author,0.7019714117050171,textual,True
61,amazon_5,authors,goodreads_4,Author,0.7001362442970276,textual,True
62,book_depository_1,_id,goodreads_4,_id,0.6996446847915649,numerical,True
63,barnes_and_noble_3,Author,book_depository_1,Author,0.697869062423706,textual,True
64,amazon_2,Language,goodreads_1,Language,0.6954146027565002,textual,True
65,book_depository_1,Author,half_1,Author,0.6929899454116821,textual,True
66,book_depository_1,ISBN_13,goodreads_4,ISBN_13,0.692543089389801,numerical,True
67,barnes_and_noble_6,book_format,goodreads_2,format,0.6917791366577148,textual,True
68,barnes_and_noble_3,Author,goodreads_2,author,0.6916194558143616,textual,True
69,barnes_and_noble_5,ISBN13,half_1,ISBN13,0.6912985444068909,numerical,True
70,barnes_and_noble_3,Pages,barnes_and_noble_6,pages,0.6890890598297119,numerical,True
71,amazon_3,Publisher,barnes_and_noble_1,publisher,0.6870606541633606,textual,True
72,amazon_2,Language,barnes_and_noble_5,language,0.6836393475532532,textual,True
73,barnes_and_noble_5,ISBN-10,book_depository_1,ISBN_10,0.6830927729606628,mixed,True
74,barnes_and_noble_6,title,goodreads_2,name,0.6828131675720215,textual,True
75,amazon_1,authors,amazon_3,Author,0.6825185418128967,textual,True
76,amazon_5,title,barnes_and_noble_6,title,0.681519091129303,textual,True
77,amazon_3,Publisher,barnes_and_noble_3,Publisher,0.6792153120040894,textual,True
78,amazon_5,book_format,goodreads_1,Format,0.6785966157913208,textual,True
79,amazon_5,authors,barnes_and_noble_4,Author,0.6769091486930847,textual,True
80,barnes_and_noble_3,ISBN13,half_1,ISBN13,0.6715770959854126,numerical,True
81,amazon_1,publisher,goodreads_1,Publisher,0.6709322929382324,textual,True
82,amazon_3,Author,barnes_and_noble_6,authors,0.6695833802223206,textual,True
83,book_depository_1,Format,goodreads_4,Format,0.6691485643386841,textual,True
84,barnes_and_noble_4,Author,barnes_and_noble_6,authors,0.6681556701660156,textual,True
85,amazon_3,ISBN,barnes_and_noble_6,isbn13,0.6677711009979248,numerical,True
86,amazon_5,publisher,half_1,Publisher,0.667767345905304,textual,True
87,book_depository_1,ID,imsa_1,ID,0.6670272350311279,numerical,True
88,barnes_and_noble_5,language,goodreads_1,Language,0.6618093848228455,textual,True
89,book_depository_1,Name,goodreads_4,Name,0.6616325378417969,textual,True
90,barnes_and_noble_6,authors,goodreads_4,Author,0.6612741947174072,textual,True
91,goodreads_4,ID,imsa_1,ID,0.6605667471885681,numerical,True
92,barnes_and_noble_6,title,book_depository_1,Name,0.6601730585098267,textual,True
93,barnes_and_noble_6,book_format,goodreads_4,Format,0.6594215631484985,textual,True
94,amazon_1,publisher,barnes_and_noble_3,Publisher,0.6590718030929565,textual,True
95,amazon_1,isbn13,barnes_and_noble_4,ISBN_13_DUMMY,0.6583788394927979,numerical,True
96,barnes_and_noble_4,Publisher,half_1,Publisher,0.6575126647949219,textual,True
97,amazon_1,id,barnes_and_noble_1,id,0.6573101878166199,numerical,True
98,book_depository_1,Format,goodreads_2,format,0.6567090153694153,textual,True
99,amazon_3,ProductType,goodreads_1,Format,0.6524050831794739,textual,True
100,amazon_4,_id,goodreads_4,_id,0.6500904560089111,numerical,True
101,amazon_3,price,barnes_and_noble_5,price,0.6487259864807129,mixed,True
102,amazon_5,old_price,barnes_and_noble_6,old_price,0.6480883955955505,mixed,True
103,amazon_2,Language,goodreads_4,Language,0.6479581594467163,textual,True
104,barnes_and_noble_1,language,barnes_and_noble_4,Audiobook,0.6473255753517151,textual,False
105,amazon_5,book_format,goodreads_4,Format,0.6458612084388733,textual,True
106,amazon_3,Pages,barnes_and_noble_5,pages,0.6451572179794312,numerical,True
107,book_depository_1,_id,goodreads_2,_id,0.6449744701385498,numerical,True
108,barnes_and_noble_6,isbn13,book_depository_1,ISBN_13,0.6426293849945068,numerical,True
109,barnes_and_noble_1,publisher,barnes_and_noble_6,publisher,0.6424116492271423,textual,True
110,amazon_3,ProductType,amazon_4,format,0.6419130563735962,textual,True
111,amazon_1,id,amazon_2,ID,0.6417898535728455,numerical,True
112,amazon_5,product_dimensions,barnes_and_noble_6,product_dimensions,0.6409381031990051,textual,True
113,amazon_3,ISBN,barnes_and_noble_3,ISBN13,0.6407643556594849,numerical,True
114,book_depository_1,Name,goodreads_2,name,0.6398128271102905,textual,True
115,barnes_and_noble_5,ISBN13,book_depository_1,ISBN_13,0.6395220160484314,numerical,True
116,barnes_and_noble_6,_id,book_depository_1,_id,0.6369947195053101,numerical,True
117,amazon_5,title,half_1,Title,0.6359071731567383,textual,True
118,barnes_and_noble_6,publisher,goodreads_1,Publisher,0.6351065039634705,textual,True
119,amazon_4,year,goodreads_2,year,0.6347477436065674,numerical,True
120,amazon_3,Pages,barnes_and_noble_6,pages,0.6341468095779419,numerical,True
121,amazon_4,year,goodreads_3,year,0.633606493473053,numerical,True
122,amazon_3,Publisher,goodreads_1,Publisher,0.6315992474555969,textual,True
123,amazon_4,author,book_depository_1,Author,0.6311806440353394,textual,True
124,barnes_and_noble_3,ID,half_1,ID,0.6306875348091125,mixed,True
125,amazon_3,ProductType,goodreads_4,Format,0.6298465132713318,textual,True
126,barnes_and_noble_5,cover,barnes_and_noble_6,book_format,0.6295820474624634,textual,True
127,amazon_3,ISBN,barnes_and_noble_4,ISBN_13_DUMMY,0.6282708048820496,numerical,True
128,barnes_and_noble_1,isbn13,barnes_and_noble_4,ISBN_13_DUMMY,0.6269752979278564,numerical,True
129,amazon_1,authors,barnes_and_noble_4,Author,0.6266685128211975,textual,True
130,barnes_and_noble_4,ISBN_13,barnes_and_noble_6,isbn13,0.6253261566162109,textual,True
131,amazon_5,isbn13,barnes_and_noble_6,isbn13,0.62501460313797,numerical,True
132,barnes_and_noble_4,Publisher,goodreads_1,Publisher,0.623312771320343,textual,True
133,amazon_5,pages,barnes_and_noble_3,Pages,0.62311851978302,numerical,True
134,amazon_5,_id,goodreads_1,ID,0.6206157803535461,numerical,True
135,amazon_1,title,barnes_and_noble_5,title,0.6205921173095703,textual,True
136,barnes_and_noble_6,title,half_1,Title,0.619952917098999,textual,True
137,amazon_5,authors,book_depository_1,Author,0.6189503073692322,textual,True
138,barnes_and_noble_4,Author,half_1,Author,0.6183286905288696,textual,True
139,barnes_and_noble_6,authors,book_depository_1,Author,0.6180768013000488,textual,True
140,amazon_1,publisher,barnes_and_noble_2,Publisher,0.6171887516975403,textual,True
141,barnes_and_noble_3,Publisher,goodreads_1,Publisher,0.6167970895767212,textual,True
142,amazon_3,Publisher,half_1,Publisher,0.6161724328994751,textual,True
143,amazon_5,isbn13,barnes_and_noble_5,ISBN13,0.6160708069801331,numerical,True
144,goodreads_1,Publisher,half_1,Publisher,0.6158474683761597,textual,True
145,amazon_3,ID,goodreads_2,_id,0.6123816967010498,textual,True
146,barnes_and_noble_6,title,goodreads_1,Title,0.6120397448539734,textual,True
147,barnes_and_noble_5,language,goodreads_4,Language,0.6119037866592407,textual,True
148,amazon_5,authors,barnes_and_noble_3,Author,0.6114142537117004,textual,True
149,book_depository_1,Language,goodreads_1,Language,0.6096435785293579,textual,True
150,amazon_3,ID,book_depository_1,_id,0.6086272597312927,textual,True
151,barnes_and_noble_1,isbn13,barnes_and_noble_5,ISBN13,0.6081685423851013,numerical,True
152,barnes_and_noble_3,Publisher,barnes_and_noble_4,Publisher,0.6077542901039124,textual,True
153,barnes_and_noble_2,ID,goodreads_1,ID,0.607398271560669,numerical,True
154,barnes_and_noble_3,ISBN13,half_1,ISBN10,0.6068433523178101,textual,False
155,goodreads_2,year,goodreads_3,year,0.6068299412727356,numerical,True
156,amazon_5,book_format,goodreads_2,format,0.6067482829093933,textual,True
157,book_depository_1,ISBN_10,half_1,ISBN10,0.6039408445358276,mixed,True
158,amazon_1,authors,barnes_and_noble_5,authors,0.6039132475852966,textual,True
159,barnes_and_noble_1,publisher,goodreads_1,Publisher,0.6024492383003235,textual,True
160,amazon_5,isbn13,half_1,ISBN13,0.6009721159934998,numerical,True
161,amazon_3,ISBN,barnes_and_noble_2,ISBN13,0.6009663939476013,numerical,True
162,goodreads_4,ISBN_13,half_1,ISBN13,0.6005262732505798,numerical,True
163,amazon_3,Author,amazon_5,authors,0.5996934175491333,textual,True
164,barnes_and_noble_3,ISBN13,book_depository_1,ISBN_13,0.5987052321434021,numerical,True
165,amazon_4,author,half_1,Author,0.5980979800224304,textual,True
166,amazon_2,ISBN_13,amazon_3,ISBN,0.5979776382446289,textual,True
167,barnes_and_noble_3,ISBN13,goodreads_4,ISBN_10,0.5975353717803955,textual,False
168,amazon_3,Pages,amazon_5,pages,0.5974787473678589,numerical,True
169,goodreads_3,ID,imsa_1,ID,0.5973573923110962,numerical,True
170,amazon_3,price,half_1,NewPrice,0.5971538424491882,mixed,True
171,barnes_and_noble_3,ISBN13,book_depository_1,ISBN_10,0.5961965322494507,textual,False
172,amazon_4,author,goodreads_4,Author,0.5953101515769958,textual,True
173,barnes_and_noble_4,ID,half_1,ID,0.5948286652565002,textual,True
174,amazon_1,publisher,half_1,Publisher,0.5944523215293884,textual,True
175,amazon_4,name,goodreads_4,Name,0.5941194295883179,textual,True
176,amazon_3,Author,barnes_and_noble_4,Author,0.5939710140228271,textual,True
177,barnes_and_noble_4,ISBN_13,book_depository_1,ISBN_13,0.5939009785652161,textual,True
178,amazon_4,format,barnes_and_noble_6,book_format,0.593503475189209,textual,True
179,amazon_3,Publisher,barnes_and_noble_2,Publisher,0.5925602316856384,textual,True
180,book_depository_1,ISBN_13,goodreads_4,ISBN_10,0.5912849307060242,textual,False
