,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
alite-bert-base-uncased-l2,0.9894736842105263,0.5222222222222223,0.6836363636363638,1.0,1.0,1.0,1.0,1.0,0.5222222222222223
coma_schema,0.7763157894736842,0.6555555555555556,0.710843373493976,1.0,0.9830508474576272,0.9473684210526315,0.8976377952755905,0.7919463087248322,0.6555555555555556
coma_schema_instance,0.8627450980392157,0.7333333333333333,0.7927927927927927,1.0,1.0,1.0,0.9838709677419355,0.8671328671328671,0.7333333333333333
cupid,0.7619047619047619,0.6222222222222222,0.6850152905198776,0.8674698795180723,0.59,0.45901639344262296,0.35910224438902744,0.2977867203219316,0.7333333333333333
deepjoin-all-mpnet-base-v2-coltotext-col-shuffle-0.5-epochs-1-bs-16-lr-2e-05-wd-0.01-warmup-None,0.7918781725888325,0.8666666666666667,0.8275862068965516,0.6991150442477876,0.3103448275862069,0.20512820512820512,0.1509433962264151,0.11940298507462686,0.8777777777777778
distribution_based,0.9781021897810219,0.7444444444444445,0.8454258675078865,1.0,0.975609756097561,0.9705882352941176,0.9791666666666666,0.9838709677419355,0.7444444444444445
jaccard,0.9935483870967742,0.8555555555555555,0.9194029850746268,1.0,1.0,1.0,0.9928057553956835,0.9221556886227545,0.8555555555555555
similarity_flooding,0.6923076923076923,0.7,0.6961325966850829,0.5226130653266332,0.26719056974459726,0.19631901840490798,0.1509433962264151,0.12207239176721078,0.6
starmie-model_drop_num_col_random_column_0-ft,0.7918781725888325,0.8666666666666667,0.8275862068965516,0.7452830188679245,0.34237995824634654,0.22788203753351208,0.1755424063116371,0.13928012519561817,0.8777777777777778
starmie-model_drop_num_col_random_column_0,0.7918781725888325,0.8666666666666667,0.8275862068965516,0.7289719626168224,0.3292181069958848,0.21842105263157896,0.16988416988416988,0.13618974751338944,0.8777777777777778
valentwin-chicago_parks-n-100-hn-10-selective-noneg-lr-3e5-bs-512-ep-10-emd-cnw-05-euc,0.8557692307692307,0.9888888888888889,0.9175257731958762,0.7542372881355932,0.33584905660377357,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.9888888888888889
