,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_10,Country,cihr_co-applicant_7,Institution Country,0.871161937713623,textual,True
1,cihr_co-applicant_10,Country,cihr_co-applicant_5,CountryEN,0.865265429019928,textual,True
2,cihr_co-applicant_11,AppNm,cihr_co-applicant_8,App Name,0.8649991154670715,textual,True
3,cihr_co-applicant_0,Name,cihr_co-applicant_1,nan0,0.8628916144371033,textual,True
4,cihr_co-applicant_10,Applicant,cihr_co-applicant_11,AppNm,0.8613770604133606,textual,True
5,cihr_co-applicant_3,Applicant Name,cihr_co-applicant_8,App Name,0.8581312894821167,textual,True
6,cihr_co-applicant_11,AppNm,cihr_co-applicant_9,App Name,0.8580592274665833,textual,True
7,cihr_co-applicant_5,CountryEN,cihr_co-applicant_7,Institution Country,0.8578553199768066,textual,True
8,cihr_co-applicant_11,AppNm,cihr_co-applicant_5,AppNm,0.8471705317497253,textual,True
9,cihr_co-applicant_4,AppNm,cihr_co-applicant_9,App Name,0.8452675938606262,textual,True
10,cihr_co-applicant_1,nan0,cihr_co-applicant_2,AppNm,0.8436062335968018,textual,True
11,cihr_co-applicant_11,AppNm,cihr_co-applicant_4,AppNm,0.8412705659866333,textual,True
12,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_8,Province,0.8408663272857666,textual,True
13,cihr_co-applicant_6,App Name,cihr_co-applicant_9,App Name,0.8401421308517456,textual,True
14,cihr_co-applicant_0,Name,cihr_co-applicant_2,AppNm,0.8379361629486084,textual,True
15,cihr_co-applicant_10,Applicant,cihr_co-applicant_6,App Name,0.8377941250801086,textual,True
16,cihr_co-applicant_10,Applicant,cihr_co-applicant_9,App Name,0.8344493508338928,textual,True
17,cihr_co-applicant_10,Program Code,cihr_co-applicant_11,ProgramIDProgramme,0.8324378728866577,textual,True
18,cihr_co-applicant_10,Applicant,cihr_co-applicant_4,AppNm,0.8308511972427368,textual,True
19,cihr_co-applicant_11,AppNm,cihr_co-applicant_3,Applicant Name,0.8308407068252563,textual,True
20,cihr_co-applicant_3,Applicant Name,cihr_co-applicant_5,AppNm,0.8298107981681824,textual,True
21,cihr_co-applicant_5,AppNm,cihr_co-applicant_8,App Name,0.8290890455245972,textual,True
22,cihr_co-applicant_10,Applicant,cihr_co-applicant_8,App Name,0.8265848755836487,textual,True
23,cihr_co-applicant_10,Applicant,cihr_co-applicant_5,AppNm,0.8263790607452393,textual,True
24,cihr_co-applicant_7,Researcher,cihr_co-applicant_8,App Name,0.826252281665802,textual,True
25,cihr_co-applicant_4,AppNm,cihr_co-applicant_6,App Name,0.8262357115745544,textual,True
26,cihr_co-applicant_4,AppNm,cihr_co-applicant_5,AppNm,0.824935257434845,textual,True
27,cihr_co-applicant_8,App Name,cihr_co-applicant_9,App Name,0.8248087167739868,textual,True
28,cihr_co-applicant_5,AppNm,cihr_co-applicant_6,App Name,0.822900652885437,textual,True
29,cihr_co-applicant_7,CodeCommitteeCode,cihr_co-applicant_9,Code,0.822604775428772,textual,True
30,cihr_co-applicant_11,AppNm,cihr_co-applicant_7,Researcher,0.8213363885879517,textual,True
31,cihr_co-applicant_4,AppNm,cihr_co-applicant_8,App Name,0.8207329511642456,textual,True
32,cihr_co-applicant_3,Applicant Name,cihr_co-applicant_7,Researcher,0.818598747253418,textual,True
33,cihr_co-applicant_11,CountryEN,cihr_co-applicant_8,Country,0.8179429173469543,textual,True
34,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_8,Province,0.8167198300361633,textual,True
35,cihr_co-applicant_10,Applicant,cihr_co-applicant_3,Applicant Name,0.8131076693534851,textual,True
36,cihr_co-applicant_3,Code Committee Code,cihr_co-applicant_7,CodeCommitteeCode,0.8121911287307739,textual,True
37,cihr_co-applicant_11,ProgramIDProgramme,cihr_co-applicant_4,ProgramIDProgramme,0.8114334940910339,textual,True
38,cihr_co-applicant_3,Applicant Name,cihr_co-applicant_9,App Name,0.8106441497802734,textual,True
39,cihr_co-applicant_4,ProgramIDProgramme,cihr_co-applicant_5,ProgramIDProgramme,0.8106011152267456,textual,True
40,cihr_co-applicant_5,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.809378981590271,textual,True
41,cihr_co-applicant_0,Organization Code,cihr_co-applicant_1,nan3,0.8092325329780579,textual,True
42,cihr_co-applicant_3,Applicant Name,cihr_co-applicant_4,AppNm,0.8091272115707397,textual,True
43,cihr_co-applicant_5,nan0,cihr_co-applicant_7,CodeCommitteeCode,0.8079913854598999,textual,True
44,cihr_co-applicant_5,FundingTypeEN,cihr_co-applicant_9,Grant Type,0.8063296675682068,textual,True
45,cihr_co-applicant_11,AppNm,cihr_co-applicant_6,App Name,0.8045926094055176,textual,True
46,cihr_co-applicant_4,CodeCommitteeCode,cihr_co-applicant_9,Code,0.8034589886665344,textual,True
47,cihr_co-applicant_11,ProgramIDProgramme,cihr_co-applicant_5,ProgramIDProgramme,0.8022211790084839,textual,True
48,cihr_co-applicant_10,Committee Name,cihr_co-applicant_3,Committee Title,0.8014585375785828,textual,True
49,cihr_co-applicant_10,Province,cihr_co-applicant_11,ProvinceEN,0.8000947833061218,textual,True
50,cihr_co-applicant_7,AreasOfScienceEN,cihr_co-applicant_8,Areas of Study,0.7997175455093384,textual,True
51,cihr_co-applicant_4,CodeCommitteeCode,cihr_co-applicant_7,CodeCommitteeCode,0.7979768514633179,textual,True
52,cihr_co-applicant_10,Organization Code,cihr_co-applicant_11,AppOrgID,0.7977536916732788,textual,True
53,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_4,ProvinceEN,0.7976390719413757,textual,True
54,cihr_co-applicant_11,CodeCommitteeCode,cihr_co-applicant_9,Code,0.7957115173339844,textual,True
55,cihr_co-applicant_10,Province,cihr_co-applicant_8,Province,0.7956593632698059,textual,True
56,cihr_co-applicant_5,nan0,cihr_co-applicant_9,Code,0.7950960993766785,textual,True
57,cihr_co-applicant_3,Applicant Name,cihr_co-applicant_6,App Name,0.7944730520248413,textual,True
58,cihr_co-applicant_10,Applicant,cihr_co-applicant_7,Researcher,0.7943539619445801,textual,True
59,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_7,Institution Province,0.7936347723007202,textual,True
60,cihr_co-applicant_6,CodeCommitteeCode,cihr_co-applicant_7,CodeCommitteeCode,0.793525218963623,textual,True
61,cihr_co-applicant_5,AppNm,cihr_co-applicant_7,Researcher,0.7929689288139343,textual,True
62,cihr_co-applicant_0,Organization Code,cihr_co-applicant_2,AppOrgID,0.7918952703475952,textual,True
63,cihr_co-applicant_11,CountryEN,cihr_co-applicant_7,Institution Country,0.7908990979194641,textual,True
64,cihr_co-applicant_6,Country,cihr_co-applicant_8,Country,0.7908352613449097,textual,True
65,cihr_co-applicant_4,CodeCommitteeCode,cihr_co-applicant_5,nan0,0.7892987728118896,textual,True
66,cihr_co-applicant_5,AppNm,cihr_co-applicant_9,App Name,0.7872009873390198,textual,True
67,cihr_co-applicant_6,CodeCommitteeCode,cihr_co-applicant_9,Code,0.7860367894172668,textual,True
68,cihr_co-applicant_11,CountryEN,cihr_co-applicant_6,Country,0.7859596014022827,textual,True
69,cihr_co-applicant_11,CodeCommitteeCode,cihr_co-applicant_7,CodeCommitteeCode,0.7855408787727356,textual,True
70,cihr_co-applicant_10,Program Code,cihr_co-applicant_4,ProgramIDProgramme,0.7847779989242554,textual,True
71,cihr_co-applicant_11,CountryEN,cihr_co-applicant_3,Country,0.7846059799194336,textual,True
72,cihr_co-applicant_6,App Name,cihr_co-applicant_8,App Name,0.7820737361907959,textual,True
73,cihr_co-applicant_10,Country,cihr_co-applicant_11,CountryEN,0.7810508012771606,textual,True
74,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.7809598445892334,textual,True
75,cihr_co-applicant_1,nan6,cihr_co-applicant_2,CountryEN,0.7803575992584229,textual,True
76,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,0.7801313996315002,textual,True
77,cihr_co-applicant_3,Province,cihr_co-applicant_4,ProvinceEN,0.778589129447937,textual,True
78,cihr_co-applicant_7,Researcher,cihr_co-applicant_9,App Name,0.7775576114654541,textual,True
79,cihr_co-applicant_11,CodeCommitteeCode,cihr_co-applicant_4,CodeCommitteeCode,0.7764853835105896,textual,True
80,cihr_co-applicant_1,nan3,cihr_co-applicant_2,AppOrgID,0.7763098478317261,textual,True
81,cihr_co-applicant_11,CodeCommitteeCode,cihr_co-applicant_8,Code,0.7753347158432007,textual,True
82,cihr_co-applicant_5,CountryEN,cihr_co-applicant_8,Country,0.7717893123626709,textual,True
83,cihr_co-applicant_10,Province,cihr_co-applicant_4,ProvinceEN,0.7716239094734192,textual,True
84,cihr_co-applicant_5,ProvinceEN,cihr_co-applicant_7,Institution Province,0.770416796207428,textual,True
85,cihr_co-applicant_3,Funding Type,cihr_co-applicant_7,FundingTypeEN,0.7697268724441528,textual,True
86,cihr_co-applicant_3,Country,cihr_co-applicant_8,Country,0.7688289284706116,textual,True
87,cihr_co-applicant_10,Program Code,cihr_co-applicant_5,ProgramIDProgramme,0.7683796882629395,textual,True
88,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.7671486139297485,textual,True
89,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_3,Organization ID,0.7661087512969971,textual,True
90,cihr_co-applicant_0,Country,cihr_co-applicant_1,nan6,0.7650861740112305,textual,True
91,cihr_co-applicant_4,ProgramIDProgramme,cihr_co-applicant_8,Program ID,0.7648028135299683,textual,True
92,cihr_co-applicant_11,CountryEN,cihr_co-applicant_9,Country,0.7638232707977295,textual,True
93,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.7615706920623779,textual,True
94,cihr_co-applicant_5,ProgramIDProgramme,cihr_co-applicant_8,Program ID,0.7612430453300476,textual,True
95,cihr_co-applicant_11,TitreApplicationTitle,cihr_co-applicant_5,TitreApplicationTitle,0.7609489560127258,textual,True
96,cihr_co-applicant_4,CodeCommitteeCode,cihr_co-applicant_6,CodeCommitteeCode,0.7607324123382568,textual,True
97,cihr_co-applicant_7,FundingTypeEN,cihr_co-applicant_8,Grant Type,0.7604507207870483,textual,True
98,cihr_co-applicant_7,Institution Country,cihr_co-applicant_8,Country,0.7598320841789246,textual,True
99,cihr_co-applicant_10,Funding Category,cihr_co-applicant_6,Funding Category,0.7597481608390808,textual,True
100,cihr_co-applicant_0,Role Name,cihr_co-applicant_2,AppRoleEN,0.7595150470733643,textual,True
101,cihr_co-applicant_3,Code Committee Code,cihr_co-applicant_9,Code,0.7592631578445435,textual,True
102,cihr_co-applicant_3,Research Areas,cihr_co-applicant_4,AreasOfScienceEN,0.7580580115318298,textual,True
103,cihr_co-applicant_3,Research Areas,cihr_co-applicant_7,AreasOfScienceEN,0.7573944330215454,textual,True
104,cihr_co-applicant_8,Country,cihr_co-applicant_9,Country,0.7556719779968262,textual,True
105,cihr_co-applicant_3,Program Code,cihr_co-applicant_5,ProgramIDProgramme,0.7556079626083374,textual,True
106,cihr_co-applicant_10,Country,cihr_co-applicant_9,Country,0.7535503506660461,textual,True
107,cihr_co-applicant_5,FundingTypeEN,cihr_co-applicant_8,Grant Type,0.7535486817359924,textual,True
108,cihr_co-applicant_7,Institution Country,cihr_co-applicant_9,Country,0.7505178451538086,textual,True
109,cihr_co-applicant_3,Program Title,cihr_co-applicant_5,ProgramNameEN,0.7500860095024109,textual,True
110,cihr_co-applicant_11,ResearchClassEN,cihr_co-applicant_9,Study Class,0.7492713332176208,textual,True
111,cihr_co-applicant_3,Country,cihr_co-applicant_7,Institution Country,0.7490165829658508,textual,True
112,cihr_co-applicant_3,Code Committee Code,cihr_co-applicant_6,CodeCommitteeCode,0.7489905953407288,textual,True
113,cihr_co-applicant_10,Class of Study,cihr_co-applicant_11,ResearchClassEN,0.7485775351524353,textual,True
114,cihr_co-applicant_5,CountryEN,cihr_co-applicant_9,Country,0.7471609115600586,textual,True
115,cihr_co-applicant_3,Code Committee Code,cihr_co-applicant_4,CodeCommitteeCode,0.7470377683639526,textual,True
116,cihr_co-applicant_10,Funding Category,cihr_co-applicant_9,Grant Type,0.7461334466934204,textual,True
117,cihr_co-applicant_6,App Name,cihr_co-applicant_7,Researcher,0.7460359930992126,textual,True
118,cihr_co-applicant_3,Country,cihr_co-applicant_9,Country,0.7456948757171631,textual,True
119,cihr_co-applicant_3,Organization ID,cihr_co-applicant_9,Org Code,0.7451938390731812,textual,True
120,cihr_co-applicant_11,AppNm,cihr_co-applicant_2,AppNm,0.7449231147766113,textual,True
121,cihr_co-applicant_7,CodeCommitteeCode,cihr_co-applicant_8,Code,0.7438070178031921,textual,True
122,cihr_co-applicant_4,AppNm,cihr_co-applicant_7,Researcher,0.7437070608139038,textual,True
123,cihr_co-applicant_3,Province,cihr_co-applicant_8,Province,0.743450403213501,textual,True
124,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.7429363131523132,textual,True
125,cihr_co-applicant_11,TitreApplicationTitle,cihr_co-applicant_3,Research Title,0.7424296140670776,textual,True
126,cihr_co-applicant_11,CountryEN,cihr_co-applicant_4,CountryEN,0.7418622374534607,textual,True
127,cihr_co-applicant_6,Funding Category,cihr_co-applicant_9,Grant Type,0.7408373355865479,textual,True
128,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_9,Org Code,0.7405508160591125,textual,True
129,cihr_co-applicant_10,Funding Category,cihr_co-applicant_7,FundingTypeEN,0.7403317093849182,textual,True
130,cihr_co-applicant_3,Province,cihr_co-applicant_9,Province,0.7389335036277771,textual,True
131,cihr_co-applicant_4,CodeCommitteeCode,cihr_co-applicant_8,Code,0.7385555505752563,textual,True
132,cihr_co-applicant_3,Country,cihr_co-applicant_5,CountryEN,0.7384904623031616,textual,True
133,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,0.7384812235832214,textual,True
134,cihr_co-applicant_10,Funding Category,cihr_co-applicant_5,FundingTypeEN,0.7383053302764893,textual,True
135,cihr_co-applicant_3,Program Code,cihr_co-applicant_4,ProgramIDProgramme,0.7379311919212341,textual,True
136,cihr_co-applicant_2,AppNm,cihr_co-applicant_5,AppNm,0.7364351749420166,textual,True
137,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_9,Grant Type,0.7350087761878967,textual,True
138,cihr_co-applicant_5,TitreApplicationTitle,cihr_co-applicant_8,Title of Study,0.7346266508102417,textual,True
139,cihr_co-applicant_2,AppNm,cihr_co-applicant_4,AppNm,0.7341307997703552,textual,True
140,cihr_co-applicant_5,nan0,cihr_co-applicant_6,CodeCommitteeCode,0.733833372592926,textual,True
141,cihr_co-applicant_3,Committee Title,cihr_co-applicant_4,CommitteeNameEN,0.7334004044532776,textual,True
142,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_9,Province,0.7327883243560791,textual,True
143,cihr_co-applicant_3,Code Committee Code,cihr_co-applicant_5,nan0,0.7326449751853943,textual,True
144,cihr_co-applicant_10,Province,cihr_co-applicant_5,ProvinceEN,0.7325701713562012,textual,True
145,cihr_co-applicant_3,Research Title,cihr_co-applicant_5,TitreApplicationTitle,0.732536792755127,textual,True
146,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_9,Grant Type,0.731975257396698,textual,True
147,cihr_co-applicant_5,FundingTypeEN,cihr_co-applicant_6,Funding Category,0.7317342758178711,textual,True
148,cihr_co-applicant_10,Funding Category,cihr_co-applicant_11,FundingTypeEN,0.7313458323478699,textual,True
149,cihr_co-applicant_10,Committee Code,cihr_co-applicant_9,Code,0.7309718132019043,textual,True
150,cihr_co-applicant_8,Code,cihr_co-applicant_9,Code,0.7305095195770264,textual,True
151,cihr_co-applicant_0,Role Name,cihr_co-applicant_1,nan2,0.7301338315010071,textual,True
152,cihr_co-applicant_4,AppOrgID,cihr_co-applicant_9,Org Code,0.7289518713951111,textual,True
153,cihr_co-applicant_3,Funding Type,cihr_co-applicant_5,FundingTypeEN,0.7276491522789001,textual,True
154,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_11,AreasOfScienceEN,0.7275823950767517,textual,True
155,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_5,ResearchClassEN,0.7275427579879761,textual,True
156,cihr_co-applicant_11,CodeCommitteeCode,cihr_co-applicant_5,nan0,0.7263174057006836,textual,True
157,cihr_co-applicant_11,TitreApplicationTitle,cihr_co-applicant_7,Research Title,0.7254313230514526,textual,True
158,cihr_co-applicant_10,Organization Code,cihr_co-applicant_3,Organization ID,0.7251522541046143,textual,True
159,cihr_co-applicant_5,ProgramIDProgramme,cihr_co-applicant_6,Program ID,0.7249950170516968,textual,True
160,cihr_co-applicant_3,Research Class,cihr_co-applicant_4,ResearchClassEN,0.7249464988708496,textual,True
161,cihr_co-applicant_8,Committee Title,cihr_co-applicant_9,Committee,0.7240676283836365,textual,True
162,cihr_co-applicant_3,Funding Type,cihr_co-applicant_8,Grant Type,0.7225979566574097,textual,True
163,cihr_co-applicant_5,ProgramNameEN,cihr_co-applicant_7,Program NameEN,0.7221835255622864,textual,True
164,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.7219123840332031,textual,True
165,cihr_co-applicant_4,CommitteeNameEN,cihr_co-applicant_8,Committee Title,0.7215999364852905,textual,True
166,cihr_co-applicant_3,Code Committee Code,cihr_co-applicant_8,Code,0.7210150361061096,textual,True
167,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_4,AreasOfScienceEN,0.720247209072113,textual,True
168,cihr_co-applicant_8,Grant Type,cihr_co-applicant_9,Grant Type,0.7199084758758545,textual,True
169,cihr_co-applicant_7,Institution Province,cihr_co-applicant_8,Province,0.7194435596466064,textual,True
170,cihr_co-applicant_3,Organization ID,cihr_co-applicant_8,Org Code,0.7180567979812622,textual,True
171,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_7,Institution Province,0.7160699963569641,textual,True
172,cihr_co-applicant_0,Organization Name,cihr_co-applicant_2,AppOrgNm,0.7159301042556763,textual,True
173,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_5,AreasOfScienceEN,0.7153943777084351,textual,True
174,cihr_co-applicant_1,nan2,cihr_co-applicant_2,AppRoleEN,0.7147184014320374,textual,True
175,cihr_co-applicant_0,Country,cihr_co-applicant_2,CountryEN,0.714122474193573,textual,True
176,cihr_co-applicant_6,CommitteeNameEN,cihr_co-applicant_8,Committee Title,0.7134538888931274,textual,True
177,cihr_co-applicant_5,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.7128372192382812,textual,True
178,cihr_co-applicant_10,Province,cihr_co-applicant_7,Institution Province,0.7124128341674805,textual,True
179,cihr_co-applicant_10,Class of Study,cihr_co-applicant_6,Class,0.7117282748222351,textual,True
180,cihr_co-applicant_6,CodeCommitteeCode,cihr_co-applicant_8,Code,0.7113732099533081,textual,True
181,cihr_co-applicant_10,Class of Study,cihr_co-applicant_9,Study Class,0.7106609344482422,textual,True
